cluster_id,Applicable Material,Base,Brand,Built,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dimensions,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Model Number Type,Mounting,Packaging Type,Packing Type,Power,Price,Product Type,Room,Scent,Series,Shape,Style,Thickness,UPC,Warranty,Weight,Width
1120043,,,,,,,,['electric operation'],,,,,,,,,,,['Energy Star'],,,,"['12 x 20', '231.00 Pound(s)']",,,,,,,,,,,"['mechanical timer', 'star']",,,,,['deep pans vacuum cooking'],,,,,
1122756,,['legs with boxed crossrails'],,,,['stainless steel'],,,['regaline sink 2'],"['12 deep with 8', 'h backsplash stainless steel']",,,,,,,,,,,,,"['227.00 Pound(s)', '8""']",,,['nsf'],,,,,,,,"['open frame', 'gauge']",,"['28 front to', '304 series stainless steel overall']",,,['compartment with right hand drainboard'],,,,['35 f'],
1124353,,,,,"['21 3', '16 d']",,['nsf'],,['valve per burner manual'],,,['manual'],,,,,,,,,,,['690.00 Pound(s)'],,,['stainless steel'],,,,['front sides'],,,,,,,,,,['2 front rail'],,,,"['72""']"
1125696,,['(2) standard / space saver ovens'],,,,,,,['series restaurant'],['us range'],,,,,,,,,,,,,['692.00 Pound(s)'],,,['front'],,,,,,,,"['plate rail', 'shelf 6 stainless steel', 'legs']",,['backriser with hi-shelf'],,['rack guides with oven'],"['space saver', 'oven', 'rack stainless steel']",,,,,
1128187,,,,,,,,['electric operation'],,"['not voided', '60 3ph 5', 'cord nema', 'energy star']",,,,,,,,,['Energy Star'],,,,"['12 x 20', '231.00 Pound(s)']",,,,,,,,,,,,,,,,"['electric holds 6', 'deep pans digital']",,,,,
1128436,,['(1) cabinet'],['cuisine series heavy duty'],,,,,,,,,,,,,,,,,,,,['380.00 Pound(s)'],,,['stainless steel'],,,['front and sides'],,,,,['fixed cast iron grid assembly'],,,,['backguard'],"['standard', 'cabinet base 6 adjustable']",,,,,
1129927,,,,,,,,,,,,['mechanical'],,,,,,,['Energy Star'],,,,"['12 x 20', '281.00 Pound(s)']",,,,,,,,,,,"['n hold boilerless', 'convection steamer includes', 'electric holds 6', 'mechanical timer']",,,,,"['deep pans vacuum cooking', 'energy star']",,,,,
1130475,,['(2) cabinets'],,,['2 cabinets'],,,,,['flue riser with shelf stainless steel front sides'],,,,,,,,['22'],,,['nsf'],,['1075.00 Pound(s)'],,,,,,,,,,,"['standard grates', 'shelf']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant']",,,,,
1130690,,['countertop'],,,,,,,['stainless steel'],,,,['front'],,,,,,,,,,['355.00 Pound(s)'],,,,,,,,,,,,,['left 1 18 front fired hot'],,,"['cuisine series heavy duty', 'open burners']",,,,,
1133246,,['(2) cabinets'],,,['2 cabinets'],,['front'],,['ultimate'],['flue riser with shelf stainless steel front sides'],,,,,,,,['22'],,,"['legs', 'nsf']",,['1075.00 Pound(s)'],,,,,,,,,,,"['burners rear', 'shelf']",,"['left standing pilot', 'backriser with hi-shelf']",,,['restaurant'],,,,,
1135478,,,,,,,,,,,,,,,"['3/8""']",,,,,,,,['2.38 Pound(s)'],"['60""']",,,,,,,,,,"['braid coated with orange', 'sleeve heat shield']",,,,,"['hose bib', 'stainless steel braid with plastic coat exterior']",,,,,
1136735,,['(2) cabinets'],['ultimate'],,,,,,,,,,['front'],,,,,,,,"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,,,,,,,,,"['saut burners', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'rear']",,,,,
1137936,,"['flue riser with shelf', '(2) cabinets']",,,['2 cabinets'],,,,"['ultimate', 'standard grates']",,,,['front'],,,,,,,,"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['saut burners'],,,,,,,,['shelf 6 adjustable'],,['backriser with hi-shelf'],,['rear'],['restaurant'],,,,,['60 3']
1138526,,['(2) standard ovens'],,,,,['front'],,"['ultimate', 'right wavy grates standing pilot 2']",,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['oven'],,,,,,,,['burners rear'],,['backriser with hi-shelf'],,,"['restaurant', 'standard ovens with battery', 'per']",,,,,
1139410,,['legs with boxed crossrails'],,,['95 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],['27 f b x'],"['20 front', '243.00 Pound(s)', '11""']","['11 h', '304 series']",,['stainless steel overall'],,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with left hand drainboard', 'deep with']",,,,,
1139554,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['left standing pilot 1', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
1140355,,"['(1) standard oven, (1) cabinet']",['u series restaurant'],,,,,,['rack guides with oven'],,,,,,,,,,,,['nsf'],,['775.00 Pound(s)'],,,"['standard', 'front']",,,,,,,,"['open burners', 'plate rail', 'shelf 6 stainless steel', 'legs']",,['backriser with hi-shelf'],,,"['oven', 'rack 1 storage base stainless steel']",,,,,
1140541,,,,,,,,,,,,,,,,,,,,,,,,,,['insulated plastic'],,,,,,,,,,,,,['nsf approved'],,,,,
1140616,,,['prism'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140617,,"['convection ovens', '(2) convection ovens']",,,,,['front'],,"['ultimate', 'per oven']",,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['burners rear', 'left wavy grates standing pilot', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,['restaurant'],,,,,
1143694,,['(1) standard oven'],,,,,,,,,,,,,,,,,,,['nsf'],,['660.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1149764,,['legs with boxed crossrails'],,,['11 h'],['stainless steel'],,,,,,,,,,,,,,,,['27 f b x'],"['20 front', '98.00 Pound(s)', '11""']",['304 series'],,"['14', 'stainless steel overall', 'nsf']",,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with right hand drainboard', 'deep with']",,,,,
1154874,,['nsf cul'],,,['2n1 on'],,['interior'],,['series refrigerator freezer'],,,,['ul'],,,,,,,,,,"['half', '790.00 Pound(s)']",,,"['electronic', 'front and sides']",,,,,,,,['two drawers'],,,,,"['thaw', 'chef s']",,,,,
1156641,,['legs with boxed crossrails'],,,['18 gauge'],['stainless steel'],,,,,,,,,,,,,,,,,"['8""', '207.00 Pound(s)']",,,['nsf'],,,,,,,,['open frame'],,"['28 front to', '304 series stainless steel']",,,"['compartment with left hand drainboard', 'deep with']",,,,['35 f'],
1160410,,"['convection ovens', '(2) convection ovens']",,,,,['front'],,"['restaurant range gas', 'per oven']",,,,['front'],,,,,,,,"['legs 375', 'nsf']",['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,['grates standing pilot 2'],,,,,
1161173,,,,,"['21 3', '16 d']",,,,['valve per burner manual'],,,['manual'],,,,,,,,,,,['620.00 Pound(s)'],,,['stainless steel'],,,,['front sides'],,,,['iron grates'],,,,,,['2 front rail'],,,,"['60""']"
1162194,,,,,['54 - 85 cu. ft.'],,,,"['epoxy coated wire shelves', 'per']",,,['solid'],,,,,,,,,['stainless steel'],,['622.00 Pound(s)'],,,['front aluminum ends'],,,,,,,,['reach in three'],,,,,"['self contained refrigeration', 'digital thermometer']",,,,,
1166626,,['legs with boxed crossrails'],['regaline'],,"['18 gauge', '95 l']",['stainless steel'],,,,,,,,,,,,,,,['nsf'],,"['20 front', '193.00 Pound(s)', '8""']",,,,,,,,,,,['open frame'],,['304 series stainless steel'],,,"['compartment with right hand drainboard', 'deep with']",,,,['27 f'],
1166689,,,,,,,"['conveyor dual', 'nsf approved']",,,['dia urethane band belts'],,['dual belt'],,,,,,,,,['iesb20'],['20 section variable speed'],['1040.00 Pound(s)'],,,"['pan', 'stationary']",,,,,,,,,,,,,['fda'],,,,,
1166786,['energy star'],"['50 50 stainless steel', 'speed fan', 'legs']",,,"['500 f', '12 hr']",,,,,,,['solid state'],,,,,,,['ENERGY STAR®'],,,,['1080.00 Pound(s)'],,,"['8 stainless steel', 'digital timer']",,,,,,,,"['independent doors', 'pulse fan']",,,,,['legs adjustable'],,,,,
1166913,['front'],,,,,,,,,,,,,,,,,,,,,,"['pans face', '675.00 Pound(s)']",['12 x'],,['top'],,,,,,,,"['accommodates 6 deep', 'dial thermometers']",,,,['8 and 4 27'],"['phoenix refrigerated base', 'self contained refrigeration 2', 'drawers']",,,,,['20 hotel']
1167339,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,['ultimate'],,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven']",,,,,
1168178,,,,,,,,,['sided'],,,,,,,,,,,,,,,,,,,,,,,,,['buffet shield'],,,,,,,,,,
1168454,,['legs with boxed crossrails'],,,['95 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],['27 f b x'],"['20 front', '11""', '243.00 Pound(s)']","['11 h', '304 series']",,['stainless steel overall'],,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with right hand drainboard', 'deep with']",,,,,
1170076,,['adjustable shelves'],,,['18 pan'],,['solid hinged doors'],,['top refrigerator'],"['thick white', 'polyethylene cutting board stainless steel']",,,,,,,,,,,['two'],['16 6 cu ft'],['323.00 Pound(s)'],,,"['self contained refrigeration system', 'exterior front sides']",['2'],,,,,,,,,,,,"['pan capacity', 'with brakes r 134a refrigerant', 'hp culus', 'doors']",,['nsf'],,,"['60 - 68"" wide']"
1171496,,['(2) standard ovens'],,,['48 griddle'],,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['left standing pilot', 'oven']",,,,,,,,['standard grates'],,['backriser with hi-shelf'],,,"['restaurant', 'standard ovens with battery', 'per']",,,,,
1171784,,"['(1) standard oven, (1) cabinet']",,,,,,,,,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['rear', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1174274,,"['standard ovens', '(2) standard ovens']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'oven']",,,,,,,,['standard grates'],,['backriser with hi-shelf'],,,"['restaurant', 'burners', 'rear', 'per']",,,,,
1177086,,,,,['48 l'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['buffet shield'],,,,['sided'],,,,,,
1181704,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['burners', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'oven']",,,,,
1182192,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['wavy grates', 'shelf 6']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1183824,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1186618,,"['(1) standard oven, (1) convection oven']",,,,,,,['restaurant range gas'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['front', 'battery', 'battery']",,,,,,,,"['burners rear', 'left wavy grates standing pilot standing pilot 1', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1186987,,['legs with boxed crossrails'],,,['91 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],['27 f b x'],"['230.00 Pound(s)', '11""']","['11 h', '304 series']",,['stainless steel overall'],,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with left right hand drainboards', 'deep with']",,['20'],,,
1187442,,"['(1) convection oven, (1) cabinet']",['s series restaurant'],,['2 crumb'],,,,,['thermostat removable cast iron grates'],,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['stainless steel front sides'],,,,,,,,"['open burners', 'shelf hinged', 'shelf']",,['backriser with hi-shelf'],,,['valve panel includes'],,,,,
1187606,,"['left thermostatic', 'standard ovens', '(2) standard ovens']",,,,,,,,,,,,,,,,,,,['nsf'],,['1320.00 Pound(s)'],,,"['battery', 'oven']",,,,,,,,['burners rear'],,['backriser with hi-shelf'],,['restaurant'],"['burners', 'per']",,,,,
1188776,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,"['saut burners', 'battery']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'oven']",,,,,['60 3']
1192856,,['legs with side crossrails'],,,['18 gauge'],['stainless steel'],['12'],,"['regaline sink 1', 'r']",,,,,,,,,,,,,,"['75.00 Pound(s)', '8""']",,,,,,,,,,,['open frame'],,['304 series stainless steel'],,,"['compartment with right hand', 'deep with']",,,,,
1193628,,,,,,,,,,,,['manual'],,,,,,,['Energy Star'],,,,['426.00 Pound(s)'],['12 x'],,,,,,,,,,"['convection steamer includes', 'electric', 'mechanical timer', 'each 240']",,,,,['deep pans each compartment'],,,,,
1195653,,['cooking surface'],,,,,,,,,,['solid state'],,,,,,,,,,['25 kw 240v'],['200.00 Pound(s)'],,,"['stainless steel', 'stainless steel construction solid state thermostat', 'nsf']",,,,,,['60 3'],,"['electric smooth cold', 'griddle']",,,,,,,,,,
1195808,,,['coldmaster coldpan 1'],,,,['resistant refrigerant gel insulated dishwasher safe'],,,,,,,,,,,,,,['abs plastic white'],,,,,['designed to hold food pans'],,,,,,,,,,,,['nsf'],['deep'],,,,,
1198768,,['(2) cabinets'],['u series restaurant'],,,,,,,,,,,,,,,,,,['nsf'],,['721.00 Pound(s)'],,,['stainless steel'],,,,,,,,"['plate rail', 'shelf 6 stainless steel', 'legs']",,,,,,,,,,
1199068,,['not included'],,,['54 - 85 cu. ft.'],,,,['per'],,,['glass (display)'],,,,,,,,,,,['622.00 Pound(s)'],,,,,,,,,,,,,,,,"['ends', 'shelves', 'legs cul', 'recommended', 'hinged / swing']",,,,,
1199949,,['(1) space saver oven'],,,['12 griddle'],,,,"['u series restaurant', 'rack guides 1 oven']",,,,,,,,,,,,,,['332.00 Pound(s)'],,,['front'],,,,,,,,"['open burners', 'plate cast iron top', 'plate rail', 'shelf 6 stainless steel', 'legs']",,['backriser with hi-shelf'],,['rack stainless steel'],,,,,,
1200269,,['27 drawers'],,,['60 1 ph'],,,,,,,,,,,,,,,,['only when ordered'],,['604.00 Pound(s)'],,,"['cuisine freezer', 'stainless steel']",,,,,,,,"['base self contained refrigeration 84', 'legs available']",,['cuisine series'],,,"['two', 'drawers']",,,,,
1203297,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,"['legs', 'nsf']",,['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1203777,,"['convection ovens', '(2) convection ovens']",,,,,,,"['ultimate', 'per oven']",,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,['restaurant'],,,,,
1207271,,"['convection ovens', '(2) convection ovens']",,,,,['front'],,"['burners', 'front right 2', 'per oven']",,,,['front'],,,,,,,,"['legs 375', 'nsf']",['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['rear right standing pilot 2'],,,,,
1209377,,,['dormont safety'],,,,,,,,,,,,"['3/8""']",,,,,,['dia'],,['1.02 Pound(s)'],"['48""']",,['stainless steel'],,,,,,,,"['connector', 'braid coated with orange', 'sleeve heat shield']",,,,,"['hose bib', 'stainless steel braid with plastic coat exterior']",,,,,
1209601,,['legs with boxed crossrails'],,,,['stainless steel'],,,,,,,,,,,,,,,['nsf'],,"['367.00 Pound(s)', '8""']",,,,,,,,,,,"['open frame', 'gauge']",,['304 series stainless steel'],,,"['regaline', 'compartment with left right hand drainboards', 'deep with']",,,,,
1210297,,['27 drawers'],,,,,,,,,,,,,,,,,,,,['60 1 ph'],['361.00 Pound(s)'],,,['stainless steel'],,,,,,,,"['base remote refrigeration', 'only when ordered with cuisine series']",,['60'],,,"['cook tops 115v', 'drawers']",,,,,
1213084,,['legs with boxed crossrails'],,,['18 gauge'],['stainless steel'],,,,,,,,,,,,,,,,,"['20 front', '208.00 Pound(s)', '8""']",,,['nsf'],,,,,,,,['open frame'],,['304 series stainless steel'],,,"['compartment with left hand drainboard', 'deep with']",,,,['27 f'],
1213440,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],['oven'],,,,,
1214133,,,,,,,['dx5cbpb02 disposable'],,['dome lid'],,,,,,,,,,,,,,,,,['clear 500 each per'],,,,,,,,,,,,,,,,,,
1214664,,['27 drawers'],,,['60 1 ph'],,,,,,,,,,,,,,,,['only when ordered'],,['808.00 Pound(s)'],,,['stainless steel'],,,,,,,,['legs available'],,['cuisine series'],,,"['refrigerated base self contained refrigeration', 'drawers']",,,,,
1217397,,"['convection ovens', '(2) convection ovens']",,,,,,,"['ultimate', 'per oven']",,,,['front'],,,,,,,,"['legs 375', 'nsf']",['22 1 2'],['1075.00 Pound(s)'],,,"['saut burners', 'battery', 'stainless steel']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,"['front', 'backriser with hi-shelf']",,,"['restaurant', 'grates standing pilot 2']",,,,,['60 3']
1218190,,['legs with side crossrails'],,,['48 l'],['stainless steel'],['12'],,,,,,,,,,,,,,['nsf'],,"['92.00 Pound(s)', '8""']",,,,,,,,,,,"['open frame', 'gauge']",,['304 series stainless steel'],,,"['compartment with left hand', 'deep with']",,,,,
1218389,,['legs with boxed crossrails'],,,['11 h'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],,"['261.00 Pound(s)', '11""']",['304 series'],,"['14', 'stainless steel overall']",,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with left hand', 'deep with']",,,,,
1218748,,['legs with boxed crossrails'],,,['66 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],,"['20 front', '96.00 Pound(s)', '8""']",,,,,,,,,,,"['open frame', 'gauge']",,['304 series stainless steel overall'],,['12'],"['compartment with left hand drainboard', 'deep with']",,,,['27 f'],
1220186,,['(2) standard ovens'],,,,,,,['ultimate restaurant'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['oven'],,,,,,,,['burners rear'],,"['front left', 'left 4 star saut burners', 'backriser with hi-shelf']",,,"['burners', 'standard ovens with battery', 'per']",,,,,
1221844,,"['standard ovens', '(2) standard ovens']",['ultimate'],,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'oven']",,,,,,,,['wavy grates'],,['backriser with hi-shelf'],,,"['restaurant', 'per']",,,,,
1222297,,['(2) standard ovens'],,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1320.00 Pound(s)'],,,['oven'],,,,,,,,,,['backriser with hi-shelf'],,,"['restaurant', 'standard ovens with battery', 'per']",,,,,
1222814,,['(2) cabinets'],,,['2 cabinets'],,,,,['flue riser with shelf stainless steel front sides'],,,,,,,,['22'],,,"['legs', 'nsf']",,['1075.00 Pound(s)'],,,,,,,,,,,"['wavy grates', 'shelf']",,['backriser with hi-shelf'],,['restaurant'],,,,,,
1223187,,['legs'],,,['60 minute'],,,,['oven racks per deck dependant'],"['legs porcelain cavity 20 8 kw', 'ul cul']",,['solid state with timer'],,,,,,,,,,,['1030.00 Pound(s)'],,,"['solid state thermostat', 'timer 5', 'stainless steel']",,,,,,,,,,,,,"['front', 'floor model']",,,,,
1223330,,['legs with boxed crossrails'],,,['11 h'],['stainless steel'],,,,,,,,,,,,,,,,['27 f b x'],"['20 front', '158.00 Pound(s)', '11""']",['304 series'],,"['14', 'stainless steel overall']",,,,,,,,['legs with welded front to rear adjustable'],,,,,"['compartment with right hand drainboard', 'deep with']",,['nsf'],,,
1223900,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['wavy grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1224514,,,,,['8 - 9 pan'],,,,['self contained rear mounted'],,,,,,,,,,,,,,"['7 cu', '205.00 Pound(s)']",,,"['stainless steel', 'stainless steel']",,,,,,,,"['top', 'drawers with', 'cord with nema']",,"['one', 'recessed handles']",,,"['deluxe sandwich salad unit', 'refrigeration system 1', 'cetlus', 'drawers']",,['60'],,,"['27"" - 29"" wide']"
1224923,,"['speed fan', 'open base stand']",,,,,,,['computerized digital'],['half size stainless steel'],,['computer with timer'],,,,,,['25'],,,,,"['30 w', '455.00 Pound(s)']",,,"['stainless steel door with', 'pulse fan capability']",,,['exterior 1'],,,,,"['deck with base', 'buttons 5', 'cook hold feature']",,,,,"['oven electric', 'timers', 'undershelves', 'floor model']",,['cetlus'],,,
1226359,,,,,['60 1 ph'],,,,,,,,,,,,,,,,['only when'],,['340.00 Pound(s)'],,,['stainless steel'],,,,,,,,['fire freezer'],,['master series'],,,"['handles', 'legs available', 'drawers']",,,,,
1226870,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,['rear'],,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,"['front', 'left standing pilot 1', 'battery']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,"['burners', 'front left', 'backriser with hi-shelf']",,['restaurant'],['oven'],,,,,
1228426,,,,,,,['conveyor lexan'],,['iessb20'],,,['slat belt'],,,,,,,,,,['20 section variable speed'],['1140.00 Pound(s)'],,,,,,,,,['powered'],,['slat belt'],,,,,,,,,,
1229058,,"['oven racks', 'legs']",,,,,,,,,,['solid state with timer'],,,,,,,,,,,['500.00 Pound(s)'],,,['stainless steel front top'],,,,,,,,['speed fan'],,,,,,,,,,
1230182,,,,,,,['on non stainless tops'],,,,,,,,,,,,,,,,['16.00 Pound(s)'],,,,,,,['not for'],,,,['gauge'],,['304 series stainless steel'],,['1 compartment'],"['deep drain opening', 'tables can be']",,['20'],,,
1232765,,['(2) cabinets'],,,"['60 6', '2 crumb']",,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,,,,,,,,,"['open burners', 'shelf hinged', 'shelf']",,['backriser with hi-shelf'],,['valve panel stainless steel'],"['s series restaurant', 'removable cast iron grates']",,,,,
1234552,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],['60 4 star saut'],['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['burners', 'shelf 6 adjustable']",,"['left standing pilot 1 standard', 'backriser with hi-shelf']",,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1236916,['hot tops left'],"['12 even', 'countertop']",,,,,,,"['cuisine series heavy duty', 'stainless steel']",,,,['front'],,,,,,,,,,['355.00 Pound(s)'],,,,,,,,,,,,,,,,['open burners'],,,,,
1237685,['nylon skate wheels 14'],,,,,,['conveyor 2'],,['section stainless steel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238043,,['convection steamer countertop electric'],,,,,,['electric operation'],,,,,,,,,,,['Energy Star'],,,,['188.00 Pound(s)'],['12 x'],,,,,,,,,,"['n hold boilerless', 'mechanical timer']",,,,,['deep pans vacuum cooking'],,,,,
1239171,,,,,,,['ansi'],,,,,,,,,,,,,,,,['595.00 Pound(s)'],,,,,,,,,,,"['work shelf', 'ecosmart culus']",,['stainless steel'],,,"['chip required to place order hold various', 'eph']",,,,,
1242054,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'legs', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'oven']",,,,,
1242267,,"['h backsplash', 'legs with boxed crossrails']",,,"['12 deep', '18 gauge']",['stainless steel'],,,,['back x'],,,,,,,,,,,['nsf'],,"['115.00 Pound(s)', '8""']",,,['stainless steel'],,,,,,,,['open frame'],,['304 series stainless steel'],,,['compartment with left hand'],,,,,
1242884,,"['flue riser with shelf', '(1) convection oven']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['660.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate restaurant', 'oven']",,,,,
1243026,,"['(1) standard oven, (1) convection oven']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['left standing pilot 1', 'battery', 'battery']",,,,,,,,['shelf 6 adjustable'],,['backriser with hi-shelf'],,['restaurant'],"['burners', 'rear', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
1243140,,['countertop'],,,,,,,,,,,['front'],,,,,,,,,,['329.00 Pound(s)'],['18 front'],['left 1 18 even'],['stainless steel'],,,,,,,,,,,,,['duty'],,,,,
1244804,,"['(1) standard oven, (1) cabinet']",,,,,,,['shelf hinged lower'],,,,['front'],,,,,,,,['nsf'],['60 4 28'],['1075.00 Pound(s)'],,,['stainless steel'],,,,,,,,"['open burners', 'shelf']",,['backriser with hi-shelf'],,['valve panel includes'],"['restaurant', 'oven']",,,,,
1246287,,,['coldmaster'],,['2 qt'],,,,['coldcrock organizer only'],,,,,,,,,,,,['textured'],,,,,,,,,,,,,"['resistant', 'coldcrocks sold separately']",,,,,,,,,,
1246508,,"['convection ovens', '(2) convection ovens']",,,,,,,['per oven'],,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['burners', 'shelf 6 adjustable']",,"['left standing pilot 2', 'backriser with hi-shelf']",,['restaurant'],,,,,,
