viaf_id,viaf_birthdate,viaf_deathdate,viaf_gender,viaf_name,viaf_work,viaf_uri
viaf_2836,1968-01-24,,female,Masaru Katori,,http://viaf.org/viaf/256883560
viaf_2837,1883-02-20,1971-10-21,male,Shiga Naoya,暗夜行路	 志賀直哉集	 Wakai	 Anʼya kōro.,http://viaf.org/viaf/54173830
viaf_2838,1856,1918,female,Nigâr bint Osman,,http://viaf.org/viaf/25009725
viaf_2839,1935-11-13,,male,Norman Bogner,California dreamers	 Madonna complex	 Honor thy wife	 To die in Provence	 Seventh Avenue	 Divorce,http://viaf.org/viaf/54673923
viaf_2840,1922-04-08,2011-07-08,male,Norman Hampson,"Life and opinions of maximilien robespierre	 Enlightenment	 Saint-Just	 First european revolution, 1776-1815	 Social history of the french revolution	 Danton",http://viaf.org/viaf/71392097
viaf_2841,1850-02-20,1931-06-29,male,Nérée Beauchemin,Cloche de Louisbourg,http://viaf.org/viaf/33110303
viaf_2842,1903-07-03,1987,male,Morchard Bishop,,http://viaf.org/viaf/92668019
viaf_2843,1874-02-15,1956-02-28,male,Paolo Buzzi,,http://viaf.org/viaf/44407518
viaf_2844,1904-10-21,1967-12-01,male,Patrick Kavanagh,"Kavanagh, Patrick	 Kavanagh, Patrick,	 Green fool	 Tarry Flynn	 Poems.",http://viaf.org/viaf/66495112
viaf_2845,1816-04-01,1869-05-18,male,Peter Cunningham,Handbook of London,http://viaf.org/viaf/12297712
viaf_2846,1951-12-20,,male,Peter May,Coffin Road	 The chessmen	 Freeze frame	 The Blackhouse	 Blacklight blue	 Entry Island	 Lewis man	 Fourth sacrifice	 Critic	 Runaway,http://viaf.org/viaf/116145283
viaf_2847,1950,,male,Peter Wells,,http://viaf.org/viaf/75038288
viaf_2848,1924-11-24,2005-03-28,male,Raffaello Baldini,Carta canta	 Furistìr	 La nàiva,http://viaf.org/viaf/79118461
viaf_2849,1907-06-14,1988-02-19,male,René Char,"Commune présence	 Char, René	 Poèmes de René Char	 Char, René (1907-1988).	 La Parole en archipel	 Char	 Recherche de la base et du sommet	 Le nu perdu et autres poèmes, 1964-1975",http://viaf.org/viaf/24599383
viaf_2850,1959-06-20,,male,Robert B. Weide,,http://viaf.org/viaf/289757177
viaf_2851,1889-09-15,1945-11-21,male,Robert Benchley,Benchley roundup,http://viaf.org/viaf/24597713
viaf_2852,1868-10-29,1930-01-13,male,Robert Crawford,,http://viaf.org/viaf/94761161
viaf_2853,1955-12-13,,male,Robert Ellsberg,Saints' guide to happiness : practical lessons in the life of the spirit,http://viaf.org/viaf/94905587
viaf_2854,1917-07-24,2005-04-23,male,Robert Farnon,"À la claire fontaine	 Captain Horatio Hornblower.	 Rhapsody,",http://viaf.org/viaf/49407867
viaf_2855,1930,1988,male,Robert Hatch McNeal,,http://viaf.org/viaf/105872012
viaf_2856,1886-09-21,1966-12-22,male,Robert  Hopkins,,http://viaf.org/viaf/143502639
viaf_2857,1903-11-08,2000-04-12,male,R. M. Lockley,Private life of the rabbit	 Seal-woman,http://viaf.org/viaf/32488874
viaf_2858,1929-06-12,1943-12-00,female,Rutka Laskier,"Laskier, Rutka	 Pamie̜tnik Rutki Laskier",http://viaf.org/viaf/10175849
viaf_2859,1932-12-19,2006-03-29,male,Salvador Elizondo,"Elizondo	 Farabeuf : la crónica de un instante	 Hipogeo secreto	 Elizondo, Salvador,	 Farabeuf",http://viaf.org/viaf/112223290
viaf_2860,1950-08-26,,,Steinunn Sigurðardóttir,Steinunn Sigurðardóttir	 Hundrað dyr í golunni	 Jöklaleikhúsið	 Sólskinshestur	 Tímaþjófurinn	 Ástarljóð af landi	 Hjartastaður	 Ástin fiskanna	 Góði elskhuginn,http://viaf.org/viaf/68988821
viaf_2861,1903-11-15,1984-03-03,female,Tatsuko,,http://viaf.org/viaf/98490637
viaf_2862,1958,2002,male,Teodor Keko,"Keko, Teodor.",http://viaf.org/viaf/204995357
viaf_2863,1947-05-10,,male,Thomas Tessier,Nightwalker	 Fog heart	 Finishing touches	 Phantom,http://viaf.org/viaf/68952716
viaf_2864,1931-04-07,2013-01-14,male,Anthony Conran,,http://viaf.org/viaf/61704602
viaf_2865,1924-11-03,2013-09-29,female,Toyoko Yamazaki,二つの祖国	 しぶちん	 Fumochitai	 ぼんち	 Futatsu no sokoku	 女系家族	 花のれん	 华麗なる一族	 白い巨塔	 女の勲章,http://viaf.org/viaf/45621538
viaf_2866,1929-07-25,1974-10-02,male,Vasiliï Makarovich Shukshin,"Besedy pri i︠a︡snoĭ lune : rasskazy	 Характеры : рассказы	 Ia prishiol dat' vam voliu roman	 Do tret'ich petuchov	 Lûbaviny : roman	 Rasskazy	 Shukshin, Vasiliĭ,	 Kalina krasnaâ (film)	 Šukšin, Vasilij Makarovič	 Калина красная",http://viaf.org/viaf/29647630
viaf_2867,1824-08-18,1900-05-20,,André Léo,Guerre sociale,http://viaf.org/viaf/56653702
viaf_2868,1894-08-17,1994-07-19,male,Victor Barbeau,,http://viaf.org/viaf/100193815
viaf_2869,1802-11-29,1827-11-18,male,Wilhelm Hauff,"Kalt Herz.	 Geschichte von dem kleinen muck	 Lichtenstein	 Hauff, Wilhelm	 Märchen	 Mitteilungen aus den Memoiren des Satan	 Wirtshaus im spessart	 Die Bettlerin Vom Pont Des Arts	 Werke	 Die Karawane",http://viaf.org/viaf/9931960
viaf_2870,1936-04-07,2006-07-10,male,Wilhelm Przeczek,Kazinkowe granie,http://viaf.org/viaf/74933219
viaf_2871,1914-09-21,2002-04-11,male,William Brandon,,http://viaf.org/viaf/70174541
viaf_2872,1593,1684,male,William Stafford,,http://viaf.org/viaf/56497707
viaf_2873,1914-01-17,1993-08-28,male,William Stafford,"Stafford, William,",http://viaf.org/viaf/110362789
viaf_2874,1871-11-10,1947-03-12,male,Winston Churchill,,http://viaf.org/viaf/90630241
viaf_2875,1965,,male,Yishai Śarid,טרף קל,http://viaf.org/viaf/7230578
viaf_2876,1963-08-24,,female,Yrsa Sigurðardóttir,Yrsa Sigurðardóttir	 Sér grefur gröf	 Auðnin	 Aska	 Brakið	 DNA	 Ég man þig	 Kuldi	 Lygi,http://viaf.org/viaf/55301603
viaf_2877,1910-12-19,1997-02-19,male,Yutaka Haniya,"Haniya, Yutaka	 Haniya, Yutaka,	 Yami no naka no kuroi uma",http://viaf.org/viaf/108226811
viaf_2878,1941-06-26,,male,Yves Beauchemin,Second violon	 Antoine Et Alfred	 Saut dans le vide	 Empocheurs : roman	 Charles le téméraire : roman	 Matou : roman	 Juliette Pomerleau,http://viaf.org/viaf/85357017
viaf_2879,1940-10-21,,female,Zee Edgell,Beka Lamb,http://viaf.org/viaf/64660425
viaf_2880,1884-11-10,1954-12-17,female,Zofia Nałkowska,"Nałkowska, Zofia	 Granica	 Romans Teresy Hennert	 Niecierpliwi	 Choucas.	 Kobiety",http://viaf.org/viaf/9864108
viaf_2881,1885-02-16,1972-08-23,female,Sofija Dembovskytė Römerienė,,http://viaf.org/viaf/73734142
viaf_2882,1928-07-26,,female,Pu Zong,"Zong, Pu.	 Sanshengshi	 Ye hu lu yin",http://viaf.org/viaf/19755431
viaf_2883,1916-12-01,1982-04-14,female,Adrien Stoutenburg,"Snowshoe Thompson	 Good-by, Cinderella",http://viaf.org/viaf/5449392
viaf_2884,1928-09-20,2007-08-27,male,Alberto de Lacerda,,http://viaf.org/viaf/56631238
viaf_2885,1949-07-12,,female,Anne B. Hendershott,,http://viaf.org/viaf/74002844
viaf_2886,1912-02-13,1938-12-03,female,Antonia Pozzi,"Pozzi, Antonia,	 Parole	 Correspondence.",http://viaf.org/viaf/49261186
viaf_2887,1874-02-26,1950-09-13,male,Arthur Stringer,Night Hawk. A novel,http://viaf.org/viaf/42715135
viaf_2888,1909-01-12,1987-01-22,,Barbro Alving,,http://viaf.org/viaf/17315164
viaf_2889,1937-03-18,,female,Barbro Lindgren,"Max boll	 Mamman och den vilda bebin.	 Lindgren, Barbro.	 Loranga Loranga	 Max kaka	 Sagan om den lilla farbrorn	 Max dockvagn	 Max potta",http://viaf.org/viaf/46733274
viaf_2890,1926-07-26,2016-07-18,female,Bloeme Evers-Emden,,http://viaf.org/viaf/19839339
viaf_2891,1864-10-08,1938-01-19,male,Branislav Nušić,"Nušić, Branislav Đ.,	 Pripovetke jednog kaplara ; Ramazanske večeri	 Nušić, Branislav(1864-1938).	 Devetsto petnaesta	 Gospodja ministarka.	 Sumnjivo lice	 Hajduci",http://viaf.org/viaf/73889774
viaf_2892,1962-12-26,,male,Charles Barber,,http://viaf.org/viaf/19067952
viaf_2893,1922-03-15,1994-11-05,male,Christian Christensen,Frihet for Ukraina,http://viaf.org/viaf/32064246
viaf_2894,1902-08-10,2000-09-02,male,Curt Siodmak,"Hauser's memory	 Donovan's brain	 Siodmak, Curt,	 City in the sky	 Black Friday	 Even a man who is pure in heart	 Third ear	 F.P. 1 antwortet nicht",http://viaf.org/viaf/69015057
viaf_2895,1876-10-04,1954-12-18,male,Dhani Ram Chatrik,"Chatrik, Dhani Ram,",http://viaf.org/viaf/35766333
viaf_2896,1924-10-04,2012-07-11,male,Donald J. Sobol,"Encyclopedia Brown and the case of the midnight visitor	 Encyclopedia Brown books	 Encyclopedia Brown, boy detective",http://viaf.org/viaf/109932076
viaf_2897,1954-03-26,2008-12-10,female,Dorothy Porter,Akhenaten	 What a piece of work	 Monkey's mask,http://viaf.org/viaf/68083679
viaf_2898,1921-01-12,2008-02-26,female,Elizabeth Harrison,Made for each other	 Doctor called caroline	 Faithful type,http://viaf.org/viaf/148532241
viaf_2899,1914-10-27,2009-01-10,female,Eluned Phillips,,http://viaf.org/viaf/66258325
viaf_2900,1933-04-16,2012-10-15,male,Erol Günaydın,,http://viaf.org/viaf/253427429
viaf_2901,1936-01-01,,male,Erol Toy,"Toy, Erol.",http://viaf.org/viaf/44349506
viaf_2902,1930-02-08,2011-01-03,female,Eva Strittmatter,Brüderchen Vierbein,http://viaf.org/viaf/98241734
viaf_2903,1917-05-09,2013-03-27,,Fay Kanin,"""His and hers;""",http://viaf.org/viaf/46968129
viaf_2904,1953-11-18,,female,France Daigle,Petites difficultés d'existence : roman	 Pour Sur	 La vraie vie	 Fin passage : roman	 1953 : chronique d'une naissance annoncée,http://viaf.org/viaf/79048592
viaf_2905,1964-01-14,,male,George Lane,Mind games,http://viaf.org/viaf/2423475
viaf_2906,1908-10-12,1973-04-04,male,Gösta Knutsson,"Knutsson, Gösta,	 Knutsson, Gösta	 Nalle Lufs.",http://viaf.org/viaf/29628818
viaf_2907,1958,,male,Hans Dieter Aigner,,http://viaf.org/viaf/876913
viaf_2908,1960-02-06,2005-11-07,male,Harry Thompson,This thing of darkness	 Tintin : Hergʹe and his creation	 Man in the iron mask : a historical detective investigation,http://viaf.org/viaf/100841902
viaf_2909,1954-03-27,,male,Hemaṃta Jośī,,http://viaf.org/viaf/65606636
viaf_2910,1848-01-06,1876-06-01,male,Hristo Botev,"Works.	 Botev, Khristo,",http://viaf.org/viaf/88042671
viaf_2911,1898-09-29,1923-06-18,male,Hristo Smirnenski,"Да бъде ден	 Prose works.	 Smirnenski, Khristo,",http://viaf.org/viaf/66622023
viaf_2912,1897-01-06,1954-02-03,male,Ionel Teodoreanu,Lorelei	 La Medeleni	 Bal mascat	 La Medeleni.,http://viaf.org/viaf/64021002
viaf_2913,1901-02-27,1982-10-19,male,Iorwerth Cyfeiliog Peate,,http://viaf.org/viaf/62427919
viaf_2914,1944-02-26,,male,James Fleming,,http://viaf.org/viaf/164065633
viaf_2915,1954-05-01,2011-06-02,male,Joel Rosenberg,Murder in LaMut	 Sword and the chain	 Warrior lives	 The Sleeping Dragon	 Not for glory,http://viaf.org/viaf/3414403
viaf_2916,1912-05-27,1982-06-18,male,John Cheever,"Oh what a paradise it seems	 Falconer	 Cheever, John.	 Wapshot scandal	 Short stories.	 The Whapshot chronicle	 Enormous radio : and other stories	 Wapshot chronicle	 Bullet Park	 Five-forty-eight",http://viaf.org/viaf/2468135
viaf_2917,1876-05-19,1962-05-25,male,Julio Dantas,Ceia dos cardeais	 Sóror Mariana : peça em I acto,http://viaf.org/viaf/3577187
viaf_2918,1967-07-20,,female,Karoline Leach,In the shadow of the dreamchild : the myth and reality of Lewis Carroll,http://viaf.org/viaf/64170807
viaf_2919,1942-05-22,,male,Kieran Egan,Imagination in teaching and learning : the middle school years	 Teaching as story telling : an alternative approach to teaching and curriculum in the elementary school	 Primary understanding : education in early childhood	 Educated mind : how cognitive tools shape our understanding,http://viaf.org/viaf/108835144
viaf_2920,1901-08-28,1961-03-05,male,Kjeld Abell,"Anna Sophie Hedvig	 Dage paa en sky	 Fodnoter i støvet	 Melodien, der blev væk	 De tre fra Minikoi	 Miss Plinckby's kabale	 Blå pekingeser",http://viaf.org/viaf/56669455
viaf_2921,1858-12-20,1919-10-11,male,Kuno Meyer,Selections from ancient Irish poetry	 Betha Colmáin maic Lúacháin	 Aislinge Meic Conglinne. The vision of MacConglinne: a middle-Irish wonder tale,http://viaf.org/viaf/74006218
viaf_2922,1964-03-09,,male,Kurt Wimmer,,http://viaf.org/viaf/14371432
viaf_2923,1966-09-04,,male,Marek Krajewski,"Widma w mieście Breslau	 Koniec świata w Breslau	 Krajewski, Marek	 Festung Breslau	 Erynie	 Śmierć w Breslau	 Głowa Minotaura",http://viaf.org/viaf/54459458
viaf_2924,1933-02-06,,male,Michael Hardcastle,Archie's amazing game	 The First Goal	 Don't tell me what to do,http://viaf.org/viaf/72022006
viaf_2925,1864,1931-01-11,male,Michaël Morton,,http://viaf.org/viaf/14915979
viaf_2926,1948-07-31,2003-05-06,male,Miodrag Perišić,,http://viaf.org/viaf/73886851
viaf_2927,1970-09-12,,female,Nancy Lee,Dead girls	 Age,http://viaf.org/viaf/79206029
viaf_2928,1884,1956,,Nikos Nikolai͏̈dēs ho Kuprios,Works.,http://viaf.org/viaf/41979548
viaf_2929,1828-04-26,1902-08-18,male,Shigeki Nishimura,"Kokuminkun	 Nishimura, Shigeki",http://viaf.org/viaf/47602715
viaf_2930,1967,,male,Paul Summers,Poems.,http://viaf.org/viaf/68423458
viaf_2931,1942-03-25,,male,Richard O'Brien,"O'Brien, Richard	 O'Brien, Richard,",http://viaf.org/viaf/10050776
viaf_2932,1915-12-29,1965-07-01,male,Robert Chester Ruark,"Something of value	 Uhuru	 Horn of the hunter	 Old man's boy grows older	 Use enough gun	 Old man and the boy	 Poor no more	 Ruark, Robert Chester",http://viaf.org/viaf/5736004
viaf_2933,1928-10-10,2009-01-20,female,Sheila Walsh,Minerva's marquess	 Sergeant major's daughter	 Woman of little importance,http://viaf.org/viaf/77623682
viaf_2934,1899-08-08,2002-03-16,male,Siegfried E. van Praag,Jezus en Menachéém	 Fille de France.	 Judith : een groot actrice,http://viaf.org/viaf/56586535
viaf_2935,1791-10-03,1847-12-30,male,Sima Milutinović Sarajlija,Tragedija srpskoga gospodara i vožda Karađorđa	 Works.	 Poems.,http://viaf.org/viaf/56703836
viaf_2936,1961-04-21,,female,Simonetta Greggio,Col de l'ange : roman	 Mains nues	 Provence	 Douceur des hommes	 Etoiles : Nouvelle,http://viaf.org/viaf/31063
viaf_2937,1930-06-29,2013-08-15,male,Sławomir Mrożek,"Mrożek, Slawomir (1930-2013).	 Emigranci	 Słoń	 Wesele w atomicach	 Dziennik powrotu	 Strip-Tease	 Mrożek, Sławomir.",http://viaf.org/viaf/71395393
viaf_2938,1954-01-09,,male,Thorvald Steen,"Giovanni : roman	 Milly Meter og delfinene	 Løvehjerte : roman	 Lille hesten : roman	 Kamelskyer	 Balanse roman	 Vekten av snøkrystaller : roman	 Konstantinopel : roman	 Jeg er kanskje en fugl, sa Milly Meter	 Don Carlos : roman",http://viaf.org/viaf/12359780
viaf_2939,1942-06-27,,male,Vidosav Stevanović,Sneg u Atini	 Milošević  : jedan epitaf	 Testament,http://viaf.org/viaf/102375506
viaf_2940,1905-07-17,1967-03-04,male,Vladan Desnica,"Desnica, Vladan,	 Pravda i druge pripovijetke.	 Pronalazak Athanatika	 Proljeće u Badrovcu : pripovetke	 Koncert",http://viaf.org/viaf/44424076
viaf_2941,1942-04-23,,male,Wolfgang Heinz,,http://viaf.org/viaf/38066818
viaf_2942,1961,,male,Yuji Hayami,,http://viaf.org/viaf/252006468
viaf_2943,,,,A. Edward Newton,,http://viaf.org/viaf/39519630
viaf_2944,1956-07-10,,male,Anders Heger,,http://viaf.org/viaf/32104781
viaf_2945,1930-12-10,,male,Andrew Ezergailis,"Holocaust in Latvia, 1941-1944.",http://viaf.org/viaf/67544754
viaf_2946,1920-03-20,2011-02-06,female,Andree Chedid,"Chedid, Andrée,	 Enfant multiple	 Sixième jour	 Fêtes et lubies	 Territoires du souffle.	 Sommeil délivré	 Chedid, Andrée (1920-2011).	 La cité fertile	 La Maison Sans Racines	 Montreur",http://viaf.org/viaf/111004523
viaf_2947,1888-05-13,1939-04-01,male,Anton Semenovitch Makarenko,"Lekt︠s︡ii o vospitanii deteĭ	 Kniga dli︠a︡ roditeleĭ	 Makarenko, Anton	 Flagi na bashniakh	 Педагогическая поэма",http://viaf.org/viaf/44302134
viaf_2948,1904-06-12,1978-01-17,male,Atanas Dalčev,"Dalchev, Atanas,	 Stichotvorenija ; Fragmenti ; Misli i vpečatlenija",http://viaf.org/viaf/95326769
viaf_2949,1913-08-26,,male,Boris Pahor,"Nekropola	 V labirintu	 Mesto v zalivu	 Spopad s pomladjo	 Parnik trobi nji	 Trg Oberdan	 Vila ob jezeru : roman	 Zatemnitev : roman	 Zgodba o reki, kripti in dvorljivem golobu	 Kres v pristanu",http://viaf.org/viaf/22163352
viaf_2950,1824-03-28,1853-06-18,male,Branko Radičević,Poems.,http://viaf.org/viaf/41946613
viaf_2951,1920-06-07,2016-07-19,male,Carlos Gorostiza,Works.	 Plays.,http://viaf.org/viaf/19719995
viaf_2952,1978-06-25,,female,Chanel Capra,,http://viaf.org/viaf/61864520
viaf_2953,1778,1850,male,Charles Teeling,Personal narrative of the Irish rebellion of 1798,http://viaf.org/viaf/246170014
viaf_2954,1972,,male,Chris Flynn,,http://viaf.org/viaf/280745263
viaf_2955,1722-04-11,1771-05-21,,Christopher Smart,"Smart, Christopher,	 Student's companion	 Smart, Christopher	 My cat Jeoffry",http://viaf.org/viaf/51703197
viaf_2956,1930-05-08,1991-02-15,male,David Herlihy,Medieval households	 Pisa in the early Renaissance	 Medieval and Renaissance pistoia	 Black death and the transformation of the west,http://viaf.org/viaf/108552936
viaf_2957,1908-05-29,1996-12-09,female,Diana Morgan,My cousin Rachel : a play,http://viaf.org/viaf/121753277
viaf_2958,1873-09-01,1933-08-03,male,Dinko Šimunović,"Alkar	 Porodica Vinčić	 Šimunović, Dinko,",http://viaf.org/viaf/30343323
viaf_2959,1914-06-18,1982-02-03,male,Efraín Huerta,"Poems	 Poems.	 Huerta, Efraín,",http://viaf.org/viaf/118686690
viaf_2960,1928-10-05,,male,Enrique González Rojo,"González Rojo, Enrique.",http://viaf.org/viaf/90010184
viaf_2961,1971-01-01,,male,Fady Joudah,"Joudah, Fady,",http://viaf.org/viaf/76298108
viaf_2962,1878-05-27,1945-01-03,male,Ferdynand Antoni Ossendowski,"Ossendowski, Ferdynand Antoni,	 Homme et le mystère en asie	 Beasts, men and gods	 Lenin	 Ossendowski, Ferdynand Antoni	 Płomienna północ : podróź po Afryce północnej : Marokko",http://viaf.org/viaf/100204280
viaf_2963,1643-03-04,1671-04-30,male,Franjo Krsto Frankopan,"Frankopan, Franjo Krsto,	 Poems.",http://viaf.org/viaf/61594609
viaf_2964,1898-09-01,1977-07-20,male,Friedrich Georg Jünger,"Jünger, Friedrich Georg	 Perfektion der technik	 Gedichte	 Der erste Gang	 Nietzsche	 Spiegel der Jahre",http://viaf.org/viaf/93096780
viaf_2965,1935-01-26,1999-05-21,male,Fulvio Tomizza,"Bolji život	 Materada	 Quinta stagione	 Ereditiera veneziana	 Amicizia	 Franziska : romanzo	 Tomizza, Fulvio	 Rapporti colpevoli	 Sposi di via rossetti : tragedia in una minoranza",http://viaf.org/viaf/85435729
viaf_2966,1822-04-10,1854-02-09,male,George Lippard,"Empire city, or, new york by night and day	 Life and adventures of Charles Anderson Chester	 Lippard, George,",http://viaf.org/viaf/52753369
viaf_2967,1929-12-08,1986-08-31,male,Goffredo Parise,"Sillabario	 Guerre politiche	 Cara Cina	 Parise, Goffredo	 Prete bello	 Assoluto naturale dialogo	 La Grande Vacanza	 Fidanzamento, romanzo	 Eleganza è frigida	 Odore del sangue",http://viaf.org/viaf/66494679
viaf_2968,1960-06-22,,male,Grégoire Bouillier,Cap Canaveral	 Rapport sur moi	 Invité mystère,http://viaf.org/viaf/5148465
viaf_2969,1843-11-19,1891-05-27,male,Akop Paronjan,Ptoyt mě Polsoy tʻagheru mēj.	 Atamnaboyzhn arewelean.	 Kʻaghakʻavarutʻian vnasnerě.	 Մեծապատիւ մուրացկաններ	 Mecapatiw mowrac̕kannerẹ,http://viaf.org/viaf/46886934
viaf_2970,1928-04-12,2010-10-11,female,Hazel Townson,"Deathwood letters	 Rumpus on the roof	 Amos Shrike, the school ghost	 Kidnap report	 Pilkie's progress	 Invisible boy	 What on earth-?	 Tale of the terrible teeth	 Disaster bag",http://viaf.org/viaf/282755813
viaf_2971,1941-04-17,,female,Hilary Bradt,Backpacker's Africa,http://viaf.org/viaf/73948762
viaf_2972,1430,1480,male,Ieuan ap Hywel Swrdwal,,http://viaf.org/viaf/93464489
viaf_2973,1932-09-11,2005-01-01,female,Inta Miske Ezergailis,,http://viaf.org/viaf/3057442
viaf_2974,1848,1920,male,Isaac Sharpless,,http://viaf.org/viaf/21183832
viaf_2975,1903-08-19,1978-08-09,male,James Gould Cozzens,"By love possessed	 Just and the unjust	 Men and brethren	 Last adam	 Children and others	 Castaway	 Guard of honor	 Cozzens, James Gould,	 S.S. San Pedro",http://viaf.org/viaf/109132788
viaf_2976,1930,,male,James Heneghan,Payback	 Flood	 Hit squad	 Grave	 Wish me luck	 Torn away,http://viaf.org/viaf/40238499
viaf_2977,1927-02-27,1993-10-21,male,James Leo Herlihy,Blue denim a new play	 Midnight cowboy	 Season of the witch	 All fall down,http://viaf.org/viaf/32007716
viaf_2978,1618-01-02,1687-02-22,male,Jean Hamon,Ægræ animæ et dolorem suum lenire conantis pia in psalmum centesimum decimum octavum soliloquia,http://viaf.org/viaf/56619215
viaf_2979,1952,,,Jean McGarry,,http://viaf.org/viaf/44362412
viaf_2980,1924-09-04,2006-05-09,male,Jerzy Ficowski,"Ksiega listów	 Kolorowy kalendarzyk	 Odczytanie popiołów	 Gałązka z Drzewa Słońca	 Regiony wielkiej herezji i okolice.	 Czekanie na sen psa	 Ficowski, Jerzy	 Gorączka rzeczy",http://viaf.org/viaf/64005552
viaf_2981,1906-07-27,2000-09-14,male,Jerzy Giedroyc,"Giedroyc, Jerzy	 Autobiografia na cztery ręce	 Listy	 Correspondence.	 Listy 1950-1969	 Archiwum Jerzego Giedroycia",http://viaf.org/viaf/29625496
viaf_2982,1900-03-29,1924-01-03,male,Jiří Wolker,"Dílo Jiřího Wolkra	 Host do domu	 Pohádky	 Balada o ženě, Bohu a muži	 Těžká hodina	 Wolker, Jiří,",http://viaf.org/viaf/29593281
viaf_2983,1925-08-17,1998-05-15,male,John Hawkes,"Travesty	 Passion artist	 Beetle leg	 Hawkes, John,	 Adventures in the Alaskan skin trade	 The blood oranges	 Cannibal	 Death, sleep & the traveller	 Lime twig	 Whistlejacket",http://viaf.org/viaf/109163993
viaf_2984,1901-11-10,1973-03-17,male,José Gorostiza,Muerte sin fin	 Poesías.	 Poesía y poética	 Gorostiza,http://viaf.org/viaf/115672332
viaf_2985,1943,,,José Ortega Torres,,http://viaf.org/viaf/87131178
viaf_2986,1888-02-20,1964-09-01,male,Jože Pahor,Serenissima,http://viaf.org/viaf/168163944
viaf_2987,1896-04-10,1960-04-10,male,Julio Jiménez Rueda,,http://viaf.org/viaf/32076486
viaf_2988,1941-10-31,,male,Laurence Leamer,Kennedy women : the saga of an american family	 As time goes by : the life of Ingrid Bergman,http://viaf.org/viaf/5557424
viaf_2989,1915-08-23,1993-01-01,male,Laurence Marks,,http://viaf.org/viaf/7593361
viaf_2990,1946-10-20,1994-03-20,male,Lewis Grizzard,"Grizzard, Lewis,	 Elvis is dead and I don't feel so good myself	 Don't Bend over in the Garden, Granny",http://viaf.org/viaf/33281131
viaf_2991,1952-04-07,,female,"Li, Ang",看得見的鬼	 Mi yuan.	 自傳の小說	 Butcher's wife	 Sha fu	 迷園	 晻亱,http://viaf.org/viaf/85836276
viaf_2992,1942-02-04,2005-08-26,male,Louis Ferron,,http://viaf.org/viaf/93106048
viaf_2993,1980,1951,female,Lucy Gordon,"Italian's wife by sunset	 Millionaire tycoon's english rose	 And the bride wore red	 Rinaldo's inherited bride	 Royal harlot	 Her Italian boss's agenda	 Italian tycoon, secret son	 Vengeance is mine	 Accidentally expecting!	 Italian's cinderella bride",http://viaf.org/viaf/85619726
viaf_2994,1892-02-08,1963-05-16,male,Luigi Bartolini,Signora malta di cuore	 Ladri di biciclette,http://viaf.org/viaf/87470344
viaf_2995,1876-07-17,1954-04-12,male,Luis Cabrera Lobato,"Cabrera, Luis,	 Works.",http://viaf.org/viaf/5361694
viaf_2996,1848-04-28,1934-02-04,male,Madhusudan Das,Speeches	 Works.,http://viaf.org/viaf/72278660
viaf_2997,1961,,female,Maggie Helwig,,http://viaf.org/viaf/27100935
viaf_2998,1960-03-12,,female,Majda Koren,,http://viaf.org/viaf/296043754
viaf_2999,1925-07-16,1980-04-07,male,Malcolm Braly,On the yard,http://viaf.org/viaf/76435020
viaf_3000,1932-12-28,1990-07-22,male,Manuel Puig,"Puig, Manuel (1932-1990).	 Puig, Manuel.	 Maldición eterna a quien lea estas páginas	 Sangre de amor correspondido	 Pubis angelical	 Cara del villano	 Biblioteca Manuel Puig (Buenos Aires)	 Cae la noche tropical	 Traición de Rita Hayworth.	 Puig, Manuel",http://viaf.org/viaf/29539492
viaf_3001,1924-03-17,2015-06-18,male,Marcello Fabbri,,http://viaf.org/viaf/215649248
viaf_3002,1817-02-04,1881-04-17,male,Matija Mazuranic,"Mažuranić, Matija	 Pogled u Bosnu, ili, kratak put u onu krajinu, učinjen 1839-40	 Pogled u Bosnu; ili kratak put u onu krajinu učinjen 1839-40, po Jednom Domorodcu",http://viaf.org/viaf/22182964
viaf_3003,1826-03-24,1898-03-18,female,Matilda Joslyn Gage,,http://viaf.org/viaf/52591635
viaf_3004,1984-03-13,,male,Matthew Randazzo V,,http://viaf.org/viaf/101540964
viaf_3005,1948-07-29,,male,Meir Shalev,"Shalev, Meir.	 Shaleṿ, Meʾir	 עשו",http://viaf.org/viaf/79067211
viaf_3006,1915-03-13,2002-11-28,male,Melih Cevdet Anday,"Sözcükler	 Anday, Melih Cevdet.	 Works.",http://viaf.org/viaf/49220867
viaf_3007,1824-01-25,1873-06-29,male,Maikela Madhusūdana Datta,"Dutt	 Bīrāṅganā kābya	 Dutt, Michael Madhusudan,",http://viaf.org/viaf/66512048
viaf_3008,1860-10-23,1916-11-15,female,Molly Elliot Seawell,,http://viaf.org/viaf/64367567
viaf_3009,1882-04-18,1948-07-04,male,Monteiro Lobato,Presidente negro	 Barca de Gleyre	 Reinaçoes de Narizinho	 Historias de Tia Nastacia	 Picapau amarelo,http://viaf.org/viaf/99985617
viaf_3010,1980-03-05,,male,Nathaniel Rich,Mayor's tongue	 Odds against tomorrow,http://viaf.org/viaf/76648908
viaf_3011,1900-11-29,1937-06-09,male,Nello Rosselli,,http://viaf.org/viaf/64013666
