"birthdate","deathdate","label","work","gender","uri"
"+1902-01-01T00:00:00Z","+1979-01-01T00:00:00Z","Dilys Cadwaladr","","female","http://www.wikidata.org/entity/Q3404614"
"+1924-10-04T00:00:00Z","+2012-07-11T00:00:00Z","Donald J. Sobol","Encyclopedia Brown","male","http://www.wikidata.org/entity/Q5294587"
"+1954-03-26T00:00:00Z","+2008-12-10T00:00:00Z","Dorothy Porter","","female","http://www.wikidata.org/entity/Q5298596"
"+1885-10-02T00:00:00Z","+1945-04-20T00:00:00Z","Dragiša Vasić","","male","http://www.wikidata.org/entity/Q1564011"
"+1950-12-11T00:00:00Z","+2004-04-25T00:00:00Z","Eirug Wyn","","male","http://www.wikidata.org/entity/Q5349883"
"+1849-09-01T00:00:00Z","+1927-10-31T00:00:00Z","Elizabeth Harrison","","female","http://www.wikidata.org/entity/Q5362922"
"+1921-01-12T00:00:00Z","+2008-02-26T00:00:00Z","Elizabeth Harrison","","female","http://www.wikidata.org/entity/Q5362923"
"+1914-10-27T00:00:00Z","+2009-01-10T00:00:00Z","Eluned Phillips","","female","http://www.wikidata.org/entity/Q3400343"
"+1961-00-00T00:00:00Z","","Emma Richler","","female","http://www.wikidata.org/entity/Q19664494"
"+1891-03-29T00:00:00Z","+1965-02-20T00:00:00Z","David Emrys Evans","","male","http://www.wikidata.org/entity/Q13127812"
"+1919-04-15T00:00:00Z","","Emyr Humphreys","","male","http://www.wikidata.org/entity/Q3406160"
"+1933-04-16T00:00:00Z","+2012-10-15T00:00:00Z","Erol Günaydın","","male","http://www.wikidata.org/entity/Q3057408"
"+1936-01-01T00:00:00Z","","Erol Toy","","male","http://www.wikidata.org/entity/Q3057406"
"+1930-02-08T00:00:00Z","+2011-01-03T00:00:00Z","Eva Strittmatter","","female","http://www.wikidata.org/entity/Q71019"
"+1917-05-09T00:00:00Z","+2013-03-27T00:00:00Z","Fay Kanin","","female","http://www.wikidata.org/entity/Q304588"
"+1956-00-00T00:00:00Z","","Fiona Finlay","","female","http://www.wikidata.org/entity/Q18206799"
"+1953-11-18T00:00:00Z","","France Daigle","","female","http://www.wikidata.org/entity/Q3080697"
"+1680-00-00T00:00:00Z","+1749-00-00T00:00:00Z","Gavril Stefanović Venclović","","male","http://www.wikidata.org/entity/Q5528390"
"+1933-07-25T00:00:00Z","+2015-01-10T00:00:00Z","George Dickerson","","male","http://www.wikidata.org/entity/Q5538523"
"+1964-01-01T00:00:00Z","","George Lane","","male","http://www.wikidata.org/entity/Q5541529"
"+1932-12-05T00:00:00Z","+2014-12-02T00:00:00Z","Giampaolo Rugarli","","male","http://www.wikidata.org/entity/Q3762484"
"+1952-03-02T00:00:00Z","","Giancarlo Bianchi","","male","http://www.wikidata.org/entity/Q17385652"
"+1942-07-03T00:00:00Z","","Gunilla Bergström","Alfie Atkins","female","http://www.wikidata.org/entity/Q467434"
"+1881-05-31T00:00:00Z","+1963-10-05T00:00:00Z","Gwilym Edwards","","male","http://www.wikidata.org/entity/Q5623621"
"+1903-03-24T00:00:00Z","+1993-07-29T00:00:00Z","Gwilym R. Jones","","male","http://www.wikidata.org/entity/Q5623632"
"+1955-01-01T00:00:00Z","+2016-07-31T00:00:00Z","Gwynn ap Gwilym","","male","http://www.wikidata.org/entity/Q3402507"
"+1903-10-12T00:00:00Z","+1973-04-04T00:00:00Z","Gösta Knutsson","Pelle Svanslös","male","http://www.wikidata.org/entity/Q4348813"
"+1958-01-01T00:00:00Z","","Hans Dieter Aigner","","male","http://www.wikidata.org/entity/Q88843"
"+1926-12-03T00:00:00Z","","Harold Stephens","","male","http://www.wikidata.org/entity/Q15441796"
"+1960-02-06T00:00:00Z","+2005-11-07T00:00:00Z","Harry Thompson","","male","http://www.wikidata.org/entity/Q328745"
"+1971-01-01T00:00:00Z","","Helen Blakeman","","female","http://www.wikidata.org/entity/Q5701902"
"+1954-03-27T00:00:00Z","","Hemant Joshi","","male","http://www.wikidata.org/entity/Q5711005"
"+1945-01-01T00:00:00Z","","Howard White","","male","http://www.wikidata.org/entity/Q5921249"
"+1848-01-06T00:00:00Z","+1876-06-02T00:00:00Z","Hristo Botev","","male","http://www.wikidata.org/entity/Q347118"
"+1898-09-17T00:00:00Z","+1923-06-18T00:00:00Z","Hristo Smirnenski","","male","http://www.wikidata.org/entity/Q1084236"
"+1920-08-12T00:00:00Z","+2002-04-11T00:00:00Z","Héctor Rojas Herazo","","male","http://www.wikidata.org/entity/Q5948825"
"+1897-01-06T00:00:00Z","+1954-02-03T00:00:00Z","Ionel Teodoreanu","","male","http://www.wikidata.org/entity/Q647963"
"+1901-02-27T00:00:00Z","+1982-10-19T00:00:00Z","Iorwerth Peate","","male","http://www.wikidata.org/entity/Q3402172"
"+1971-07-01T00:00:00Z","","J. T. Lindroos","","male","http://www.wikidata.org/entity/Q6107191"
"+1951-01-01T00:00:00Z","+2013-12-29T00:00:00Z","Jagadish Mohanty","","male","http://www.wikidata.org/entity/Q6122097"
"+1944-02-26T00:00:00Z","","James Fleming","","male","http://www.wikidata.org/entity/Q6133980"
"+1857-09-22T00:00:00Z","+1921-09-13T00:00:00Z","James Hebblethwaite","","male","http://www.wikidata.org/entity/Q6135825"
"+1970-06-27T00:00:00Z","","James Holland","","male","http://www.wikidata.org/entity/Q16209153"
"+1929-05-17T00:00:00Z","","Jean-Denis Bredin","","male","http://www.wikidata.org/entity/Q1230574"
"+1957-02-21T00:00:00Z","","Jean-Marc Dalpé","","male","http://www.wikidata.org/entity/Q3167359"
"+1951-01-01T00:00:00Z","","Jennie Erdal","","female","http://www.wikidata.org/entity/Q6177973"
"+1954-05-01T00:00:00Z","+2011-06-02T00:00:00Z","Joel Rosenberg","","male","http://www.wikidata.org/entity/Q361478"
"+1932-07-22T00:00:00Z","+1995-05-10T00:00:00Z","John Alexander Porteous","","male","http://www.wikidata.org/entity/Q6218616"
"+1912-05-27T00:00:00Z","+1982-06-18T00:00:00Z","John Cheever","","male","http://www.wikidata.org/entity/Q336151"
"+1933-06-16T00:00:00Z","+2018-09-20T00:00:00Z","John Cunliffe","","male","http://www.wikidata.org/entity/Q3370524"
"+1923-01-01T00:00:00Z","+1986-04-18T00:00:00Z","John Grady","","male","http://www.wikidata.org/entity/Q15459381"
"+1952-05-02T00:00:00Z","","John Ryle","","male","http://www.wikidata.org/entity/Q13522518"
"+1981-01-01T00:00:00Z","","Jon Ingold","","male","http://www.wikidata.org/entity/Q6270961"
"+1942-07-27T00:00:00Z","+2008-03-18T00:00:00Z","Jyrki Hämäläinen","","male","http://www.wikidata.org/entity/Q6319516"
"+1876-05-19T00:00:00Z","+1962-05-25T00:00:00Z","Júlio Dantas","","male","http://www.wikidata.org/entity/Q1388664"
"+1900-12-13T00:00:00Z","+1951-10-01T00:00:00Z","Karel Teige","","male","http://www.wikidata.org/entity/Q1377687"
"+1909-01-01T00:00:00Z","+2001-01-01T00:00:00Z","Karl Ichiro Akiya","","male","http://www.wikidata.org/entity/Q3078610"
"+1967-07-20T00:00:00Z","","Karoline Leach","","female","http://www.wikidata.org/entity/Q6373187"
"+1969-07-07T00:00:00Z","","Keith Baker","","male","http://www.wikidata.org/entity/Q6384014"
"+1968-01-01T00:00:00Z","","Kevin Kerr","","male","http://www.wikidata.org/entity/Q6396687"
"+1943-00-00T00:00:00Z","","Kieran Egan","","male","http://www.wikidata.org/entity/Q6405377"
"+1901-08-25T00:00:00Z","+1961-03-05T00:00:00Z","Kjeld Abell","","male","http://www.wikidata.org/entity/Q361870"
"+1858-12-20T00:00:00Z","+1919-10-11T00:00:00Z","Kuno Meyer","","male","http://www.wikidata.org/entity/Q76911"
"+1964-03-09T00:00:00Z","","Kurt Wimmer","","male","http://www.wikidata.org/entity/Q165760"
"+1963-01-01T00:00:00Z","","Kurumi Inui","","male","http://www.wikidata.org/entity/Q6447426"
"+1930-09-06T00:00:00Z","","Kyōtarō Nishimura","","male","http://www.wikidata.org/entity/Q1051441"
"+1926-01-01T00:00:00Z","+1994-01-01T00:00:00Z","Kåre Prytz","","male","http://www.wikidata.org/entity/Q6453622"
"+1968-10-01T00:00:00Z","","Laura Quilter","","female","http://www.wikidata.org/entity/Q14541047"
"+1966-09-04T00:00:00Z","","Marek Krajewski","Death in Breslau	Eberhard Mock","male","http://www.wikidata.org/entity/Q1348678"
"+1972-01-01T00:00:00Z","","Marente de Moor","","female","http://www.wikidata.org/entity/Q1894720"
"+1930-01-25T00:00:00Z","+1983-11-27T00:00:00Z","Marta Traba","","female","http://www.wikidata.org/entity/Q1902944"
"+1966-10-25T00:00:00Z","","Martha McCaughey","","female","http://www.wikidata.org/entity/Q6774488"
"+1830-01-01T00:00:00Z","+1907-01-22T00:00:00Z","Mian Muhammad Bakhsh","","male","http://www.wikidata.org/entity/Q6814654"
"+1933-02-06T00:00:00Z","","Michael Hardcastle","","male","http://www.wikidata.org/entity/Q6830944"
"+1864-01-01T00:00:00Z","+1931-01-01T00:00:00Z","Michael Morton","","male","http://www.wikidata.org/entity/Q6832927"
"+1979-03-23T00:00:00Z","","Michael Sweet","","male","http://www.wikidata.org/entity/Q23020903"
"+1948-07-31T00:00:00Z","+2003-05-06T00:00:00Z","Miodrag Perišić","","male","http://www.wikidata.org/entity/Q6871363"
"+1943-01-01T00:00:00Z","","Mohammad Rafiq","","male","http://www.wikidata.org/entity/Q6892297"
"+1947-10-28T00:00:00Z","","Naira Gelashvili","","female","http://www.wikidata.org/entity/Q3651623"
"+1970-01-01T00:00:00Z","","Nancy Lee","","female","http://www.wikidata.org/entity/Q6962803"
"+1957-05-16T00:00:00Z","+2018-01-18T00:00:00Z","Nancy Richler","","female","http://www.wikidata.org/entity/Q6962937"
"+1884-04-03T00:00:00Z","+1956-06-24T00:00:00Z","Nicos Nicolaides","","male","http://www.wikidata.org/entity/Q7030511"
"+1828-04-26T00:00:00Z","+1902-08-18T00:00:00Z","Nishimura Shigeki","","male","http://www.wikidata.org/entity/Q3022461"
"+1970-01-14T00:00:00Z","","Nuala Ní Chonchúir","","female","http://www.wikidata.org/entity/Q14415871"
"+1852-01-23T00:00:00Z","+1928-06-18T00:00:00Z","Otto Hammann","","male","http://www.wikidata.org/entity/Q729534"
"+1967-01-01T00:00:00Z","","Paul Summers","","male","http://www.wikidata.org/entity/Q15460748"
"+1959-10-07T00:00:00Z","+2011-01-18T00:00:00Z","Pavol Hudák","","male","http://www.wikidata.org/entity/Q4178040"
"+1935-03-06T00:00:00Z","+1999-06-06T00:00:00Z","Peter Townend","","male","http://www.wikidata.org/entity/Q7177358"
"+1640-01-01T00:00:00Z","+1709-03-30T00:00:00Z","Pieter Nuyts","","male","http://www.wikidata.org/entity/Q2299168"
"+1967-05-10T00:00:00Z","","Raffaele Cecco","","male","http://www.wikidata.org/entity/Q1785328"
"+1977-07-27T00:00:00Z","","Rich Blomquist","","male","http://www.wikidata.org/entity/Q7323193"
"+1942-03-25T00:00:00Z","","Richard O'Brien","","non-binary","http://www.wikidata.org/entity/Q982182"
"+1900-05-01T00:00:00Z","+1976-04-05T00:00:00Z","Robert Lord","","male","http://www.wikidata.org/entity/Q2158073"
"+1915-12-29T00:00:00Z","+1965-07-01T00:00:00Z","Robert Ruark","","male","http://www.wikidata.org/entity/Q1103301"
"+1907-04-22T00:00:00Z","+2004-05-24T00:00:00Z","Ruby Altizer Roberts","","female","http://www.wikidata.org/entity/Q16016257"
"+1928-10-10T00:00:00Z","+2009-01-20T00:00:00Z","Sheila Walsh","","female","http://www.wikidata.org/entity/Q7493161"
"+1886-01-01T00:00:00Z","+1957-01-01T00:00:00Z","Shripad Mahadev Mate","","male","http://www.wikidata.org/entity/Q20577796"
"+1913-01-05T00:00:00Z","+2007-03-24T00:00:00Z","Shripad Narayan Pendse","","male","http://www.wikidata.org/entity/Q68415"
"+1899-08-08T00:00:00Z","+2002-03-16T00:00:00Z","Siegfried van Praag","","male","http://www.wikidata.org/entity/Q2781773"
"+1791-10-03T00:00:00Z","+1847-12-30T00:00:00Z","Sima Milutinović Sarajlija","","male","http://www.wikidata.org/entity/Q928385"
"+1961-04-21T00:00:00Z","","Simonetta Greggio","","female","http://www.wikidata.org/entity/Q3484637"
"+1930-06-29T00:00:00Z","+2013-08-15T00:00:00Z","Sławomir Mrożek","Edek","male","http://www.wikidata.org/entity/Q18832"
"+1921-01-01T00:00:00Z","+1965-01-01T00:00:00Z","T. Harri Jones","","male","http://www.wikidata.org/entity/Q15460120"
"+1926-01-01T00:00:00Z","+2018-02-19T00:00:00Z","Teresa Gisbert Carbonell","","female","http://www.wikidata.org/entity/Q16438439"
"+1902-09-26T00:00:00Z","+1960-04-24T00:00:00Z","Thomas Monroe","","male","http://www.wikidata.org/entity/Q15454275"
"+1954-01-09T00:00:00Z","","Thorvald Steen","","male","http://www.wikidata.org/entity/Q1524648"
"+1887-01-15T00:00:00Z","+1943-01-16T00:00:00Z","Tripuraneni Ramaswamy","","male","http://www.wikidata.org/entity/Q10986715"
"+1947-07-14T00:00:00Z","","Ulla-Lena Lundberg","","female","http://www.wikidata.org/entity/Q401531"
"+1899-11-13T00:00:00Z","+1987-06-13T00:00:00Z","Vera Caspary","Laura	Bedelia","female","http://www.wikidata.org/entity/Q1645179"
"+1942-06-27T00:00:00Z","","Vidosav Stevanović","","male","http://www.wikidata.org/entity/Q1266748"
"+1905-09-17T00:00:00Z","+1967-03-04T00:00:00Z","Vladan Desnica","","male","http://www.wikidata.org/entity/Q1275257"
"+1813-08-01T00:00:00Z","+1873-10-31T00:00:00Z","William Ambrose","","male","http://www.wikidata.org/entity/Q14480365"
"+1784-00-00T00:00:00Z","+1865-08-20T00:00:00Z","William Grimes","","male","http://www.wikidata.org/entity/Q22338544"
"+1913-06-07T00:00:00Z","+1973-10-23T00:00:00Z","William Templeton","","male","http://www.wikidata.org/entity/Q8019249"
"+1876-04-25T00:00:00Z","+1954-11-07T00:00:00Z","Willy Oskar Dressler","","male","http://www.wikidata.org/entity/Q2582114"
"+1942-04-23T00:00:00Z","","Wolfgang Heinz","","male","http://www.wikidata.org/entity/Q90208"
"+1932-04-27T00:00:00Z","+2016-10-26T00:00:00Z","Yuichi Takai","","male","http://www.wikidata.org/entity/Q2059319"
"+1961-00-00T00:00:00Z","","Yuji Hayami","","male","http://www.wikidata.org/entity/Q8060499"
"+1863-01-01T00:00:00Z","+1940-01-01T00:00:00Z","A. Edward Newton","","male","http://www.wikidata.org/entity/Q4647737"
"+1972-01-01T00:00:00Z","","Aaron Boulding","","male","http://www.wikidata.org/entity/Q4661864"
"+1860-01-10T00:00:00Z","+1926-12-01T00:00:00Z","Abdul Halim Sharar","","male","http://www.wikidata.org/entity/Q3595833"
"+1984-01-01T00:00:00Z","","Ailbhe Ní Ghearbhuigh","","female","http://www.wikidata.org/entity/Q4697006"
"+1906-09-09T00:00:00Z","+2002-11-02T00:00:00Z","Aileen Fisher","","female","http://www.wikidata.org/entity/Q4697021"
"+1928-08-11T00:00:00Z","+1992-07-19T00:00:00Z","Alan E. Nourse","","male","http://www.wikidata.org/entity/Q440612"
"+1925-08-02T00:00:00Z","+2013-07-12T00:00:00Z","Alan Whicker","","male","http://www.wikidata.org/entity/Q4708035"
"+1944-01-06T00:00:00Z","","Albert Nofi","","male","http://www.wikidata.org/entity/Q4710903"
"+1937-03-01T00:00:00Z","","Alexander Frater","","male","http://www.wikidata.org/entity/Q4718899"
"+1961-12-25T00:00:00Z","+2016-01-28T00:00:00Z","Aleš Debeljak","","male","http://www.wikidata.org/entity/Q1969431"
"+1973-05-31T00:00:00Z","","Aleš Šteger","","male","http://www.wikidata.org/entity/Q2988912"
"+1870-12-15T00:00:00Z","+1930-07-24T00:00:00Z","Alfred Philpott","","male","http://www.wikidata.org/entity/Q4723291"
"+1981-00-00T00:00:00Z","","Alice Pung","","female","http://www.wikidata.org/entity/Q4726057"
"+1895-02-04T00:00:00Z","+1977-00-00T00:00:00Z","Allerton C. Hickmott","","male","http://www.wikidata.org/entity/Q23018191"
"+1956-07-10T00:00:00Z","","Anders Heger","","male","http://www.wikidata.org/entity/Q4753805"
"+1930-12-10T00:00:00Z","","Andrew Ezergailis","","male","http://www.wikidata.org/entity/Q4756922"
"+1977-04-06T00:00:00Z","","Andrius Tapinas","Hour of the Wolf (book)","male","http://www.wikidata.org/entity/Q12648406"
"+1920-03-20T00:00:00Z","+2011-02-06T00:00:00Z","Andrée Chedid","","female","http://www.wikidata.org/entity/Q465721"
"+1980-00-00T00:00:00Z","","Anna Ballbona i Puig","","female","http://www.wikidata.org/entity/Q15647399"
"+1974-01-01T00:00:00Z","","Antje Rávic Strubel","","female","http://www.wikidata.org/entity/Q89379"
"+1888-01-13T00:00:00Z","+1939-04-01T00:00:00Z","Anton Makarenko","","male","http://www.wikidata.org/entity/Q297448"
"+1904-06-12T00:00:00Z","+1978-01-17T00:00:00Z","Atanas Dalchev","","male","http://www.wikidata.org/entity/Q382033"
"+1923-10-16T00:00:00Z","+1988-06-10T00:00:00Z","Bert Greene","","male","http://www.wikidata.org/entity/Q4895087"
"+1848-04-04T00:00:00Z","+1931-04-22T00:00:00Z","Beverly Carradine","","male","http://www.wikidata.org/entity/Q4899490"
"+1944-08-14T00:00:00Z","+2008-05-23T00:00:00Z","Bhargavi Rao","","female","http://www.wikidata.org/entity/Q16773355"
"+1913-08-26T00:00:00Z","","Boris Pahor","Necropolis","male","http://www.wikidata.org/entity/Q378747"
"+1970-04-01T00:00:00Z","","Brad Meltzer","Identity Crisis","male","http://www.wikidata.org/entity/Q896846"
"+1824-03-18T00:00:00Z","+1853-06-18T00:00:00Z","Branko Radičević","","male","http://www.wikidata.org/entity/Q540772"
"+1915-01-01T00:00:00Z","+1984-03-26T00:00:00Z","Branko Ćopić","","male","http://www.wikidata.org/entity/Q472164"
"+1955-01-09T00:00:00Z","","Brian Taylor","","male","http://www.wikidata.org/entity/Q4965455"
"+1920-06-07T00:00:00Z","+2016-07-19T00:00:00Z","Carlos Gorostiza","","male","http://www.wikidata.org/entity/Q442893"
"+1971-06-14T00:00:00Z","","Catherine Jones","","female","http://www.wikidata.org/entity/Q5052760"
"+1956-10-25T00:00:00Z","","Catherine Jones","","female","http://www.wikidata.org/entity/Q5052762"
"+1964-01-01T00:00:00Z","","Catherine Walsh","","female","http://www.wikidata.org/entity/Q338265"
"+1961-04-21T00:00:00Z","","Chad Hayes","","male","http://www.wikidata.org/entity/Q5066256"
"+1978-06-25T00:00:00Z","","Chanel Capra","","female","http://www.wikidata.org/entity/Q5071527"
"+1938-05-27T00:00:00Z","+2006-03-15T00:00:00Z","Charles Newman","","male","http://www.wikidata.org/entity/Q5081237"
"+1778-01-01T00:00:00Z","+1850-01-01T00:00:00Z","Charles Teeling","","male","http://www.wikidata.org/entity/Q5082877"
"+1947-01-21T00:00:00Z","","Cherith Baldry","","female","http://www.wikidata.org/entity/Q465339"
"+1972-01-01T00:00:00Z","","Chris Flynn","","male","http://www.wikidata.org/entity/Q5106559"
"+1722-04-11T00:00:00Z","+1771-05-21T00:00:00Z","Christopher Smart","","male","http://www.wikidata.org/entity/Q2617795"
"+1967-08-25T00:00:00Z","","Clara Jeffery","","female","http://www.wikidata.org/entity/Q5126003"
"+1954-01-07T00:00:00Z","","Cornelius Eady","","male","http://www.wikidata.org/entity/Q5171355"
"+1916-10-26T00:00:00Z","+2008-04-29T00:00:00Z","D. C. H. Rieu","","male","http://www.wikidata.org/entity/Q5203524"
"+1943-07-08T00:00:00Z","+2016-12-16T00:00:00Z","David Berry","","male","http://www.wikidata.org/entity/Q5231376"
"+1967-01-01T00:00:00Z","","David Gilbert","","male","http://www.wikidata.org/entity/Q17385807"
"+1930-05-08T00:00:00Z","+1991-02-15T00:00:00Z","David Herlihy","","male","http://www.wikidata.org/entity/Q3703207"
"+1953-01-09T00:00:00Z","","David Hewson","","male","http://www.wikidata.org/entity/Q2006506"
"+1960-10-05T00:00:00Z","","David Shannon","","male","http://www.wikidata.org/entity/Q3703333"
"+1956-01-01T00:00:00Z","","Deborah Hautzig","","female","http://www.wikidata.org/entity/Q5248261"
"+1907-00-00T00:00:00Z","+1979-05-25T00:00:00Z","Desmond Clarke","","male","http://www.wikidata.org/entity/Q5264692"
"+1908-05-29T00:00:00Z","+1996-12-09T00:00:00Z","Diana Morgan","","female","http://www.wikidata.org/entity/Q5271247"
"+1913-01-01T00:00:00Z","","Diana Morgan","","female","http://www.wikidata.org/entity/Q5271248"
"+1873-09-01T00:00:00Z","+1933-08-03T00:00:00Z","Dinko Šimunović","","male","http://www.wikidata.org/entity/Q712853"
"+1949-01-01T00:00:00Z","","Don Nigro","","male","http://www.wikidata.org/entity/Q5293220"
"+1831-00-00T00:00:00Z","+1908-06-05T00:00:00Z","Edward Faragher","","male","http://www.wikidata.org/entity/Q15068605"
"+1914-06-18T00:00:00Z","+1982-02-20T00:00:00Z","Efraín Huerta","","male","http://www.wikidata.org/entity/Q5347596"
"+1928-10-05T00:00:00Z","","Enrique González Rojo, Jr.","","male","http://www.wikidata.org/entity/Q5379714"
"+1895-01-01T00:00:00Z","+1968-01-01T00:00:00Z","Ernest Franklin Bozman","","male","http://www.wikidata.org/entity/Q5393078"
"+1930-10-18T00:00:00Z","+2009-11-01T00:00:00Z","Esther Hautzig","","female","http://www.wikidata.org/entity/Q462465"
"+1941-05-21T00:00:00Z","","Eugenio Batres Garcia","","male","http://www.wikidata.org/entity/Q5408257"
"+1971-01-01T00:00:00Z","","Fady Joudah","","male","http://www.wikidata.org/entity/Q5429289"
"+1853-09-10T00:00:00Z","+1913-09-20T00:00:00Z","Ferdinand Blumentritt","","male","http://www.wikidata.org/entity/Q981793"
"+1878-05-27T00:00:00Z","+1945-01-03T00:00:00Z","Ferdynand Antoni Ossendowski","","male","http://www.wikidata.org/entity/Q1392335"
"+1643-03-04T00:00:00Z","+1671-04-30T00:00:00Z","Fran Krsto Frankopan","","male","http://www.wikidata.org/entity/Q559980"
"+1893-01-01T00:00:00Z","+1968-10-13T00:00:00Z","Frank Owen","","male","http://www.wikidata.org/entity/Q12230462"
"+1838-12-07T00:00:00Z","+1884-01-04T00:00:00Z","Franz Gehring","","male","http://www.wikidata.org/entity/Q15453769"
"+1818-01-01T00:00:00Z","+1869-01-01T00:00:00Z","Frederick Swartwout Cozzens","","male","http://www.wikidata.org/entity/Q5498810"
"+1898-09-01T00:00:00Z","+1977-07-20T00:00:00Z","Friedrich Georg Jünger","","male","http://www.wikidata.org/entity/Q67405"
"+1935-01-26T00:00:00Z","+1999-05-21T00:00:00Z","Fulvio Tomizza","","male","http://www.wikidata.org/entity/Q525798"
"+1750-00-00T00:00:00Z","+1791-02-01T00:00:00Z","George Forster","","male","http://www.wikidata.org/entity/Q3101568"
"+1822-04-10T00:00:00Z","+1854-02-09T00:00:00Z","George Lippard","","male","http://www.wikidata.org/entity/Q1507770"
"+1874-11-07T00:00:00Z","+1957-04-07T00:00:00Z","George Samuel Clason","","male","http://www.wikidata.org/entity/Q4115299"
"+1914-04-11T00:00:00Z","+1984-04-01T00:00:00Z","Gina Cerminara","","female","http://www.wikidata.org/entity/Q5562850"
"+1907-05-23T00:00:00Z","+1998-06-14T00:00:00Z","Ginette Mathiot","","female","http://www.wikidata.org/entity/Q3106745"
"+1929-12-08T00:00:00Z","+1986-08-31T00:00:00Z","Goffredo Parise","","male","http://www.wikidata.org/entity/Q1132008"
"+1945-11-05T00:00:00Z","+1984-10-19T00:00:00Z","Gordon Gahan","","male","http://www.wikidata.org/entity/Q5585152"
"+1960-06-22T00:00:00Z","","Grégoire Bouillier","","male","http://www.wikidata.org/entity/Q3118443"
"+1843-11-19T00:00:00Z","+1891-05-27T00:00:00Z","Hagop Baronian","","male","http://www.wikidata.org/entity/Q4345779"
"+1928-04-12T00:00:00Z","+2010-10-11T00:00:00Z","Hazel Townson","","female","http://www.wikidata.org/entity/Q5688012"
"+1882-05-03T00:00:00Z","+1951-02-16T00:00:00Z","Henri-René Lenormand","Le temps est un songe","male","http://www.wikidata.org/entity/Q775364"
"+1827-01-01T00:00:00Z","+1892-03-14T00:00:00Z","Henry John Wale","","male","http://www.wikidata.org/entity/Q5724007"
"+1886-11-01T00:00:00Z","+1951-05-30T00:00:00Z","Hermann Broch","","male","http://www.wikidata.org/entity/Q84150"
"+1941-07-17T00:00:00Z","","Hilary Bradt","","female","http://www.wikidata.org/entity/Q5760921"
"+1932-01-01T00:00:00Z","","Hugh Edwards","","male","http://www.wikidata.org/entity/Q11330275"
"+1875-06-14T00:00:00Z","+1928-05-05T00:00:00Z","I. Dragoslav","","male","http://www.wikidata.org/entity/Q5967972"
"+1430-00-00T00:00:00Z","+1480-00-00T00:00:00Z","Ieuan ap Hywel Swrdwal","","male","http://www.wikidata.org/entity/Q11137999"
"+1932-09-11T00:00:00Z","+2005-01-01T00:00:00Z","Inta Ezergailis","","female","http://www.wikidata.org/entity/Q15435670"
"+1848-01-01T00:00:00Z","+1920-01-01T00:00:00Z","Isaac Sharpless","","male","http://www.wikidata.org/entity/Q15497366"
"+1917-02-07T00:00:00Z","+1988-07-27T00:00:00Z","Ivan G. Istomin","","male","http://www.wikidata.org/entity/Q4204412"
"+1903-08-19T00:00:00Z","+1978-08-09T00:00:00Z","James Gould Cozzens","Guard of Honor	By Love Possessed","male","http://www.wikidata.org/entity/Q1238811"
"+1930-01-01T00:00:00Z","","James Heneghan","","male","http://www.wikidata.org/entity/Q6013"
"+1927-02-27T00:00:00Z","+1993-10-21T00:00:00Z","James Leo Herlihy","","male","http://www.wikidata.org/entity/Q945929"
"+1810-01-01T00:00:00Z","+1884-01-01T00:00:00Z","James Napier","","male","http://www.wikidata.org/entity/Q15504305"
"+1955-01-01T00:00:00Z","","Jan Jones","","female","http://www.wikidata.org/entity/Q6149189"
"+1618-01-02T00:00:00Z","+1687-02-22T00:00:00Z","Jean Hamon","","male","http://www.wikidata.org/entity/Q3172486"
"+1948-06-18T00:00:00Z","","Jean McGarry","","female","http://www.wikidata.org/entity/Q6171160"
"+1978-07-08T00:00:00Z","","Jeremy Bates","","male","http://www.wikidata.org/entity/Q20675958"
"+1924-10-04T00:00:00Z","+2006-05-09T00:00:00Z","Jerzy Ficowski","","male","http://www.wikidata.org/entity/Q540908"
"+1906-07-27T00:00:00Z","+2000-09-14T00:00:00Z","Jerzy Giedroyc","","male","http://www.wikidata.org/entity/Q723328"
"+1965-01-01T00:00:00Z","","Jim Lippard","","male","http://www.wikidata.org/entity/Q6196446"
"+1900-03-29T00:00:00Z","+1924-01-03T00:00:00Z","Jiří Wolker","Host do domu	Těžká hodina","male","http://www.wikidata.org/entity/Q158379"
"+1937-04-15T00:00:00Z","+2018-06-30T00:00:00Z","Johan J. Jakobsen","","male","http://www.wikidata.org/entity/Q553928"
"+1934-02-11T00:00:00Z","+2018-08-21T00:00:00Z","John Christgau","","male","http://www.wikidata.org/entity/Q6226004"
"+1901-09-24T00:00:00Z","+1963-03-28T00:00:00Z","John Faulkner","","male","http://www.wikidata.org/entity/Q6232800"
"+1925-08-17T00:00:00Z","+1998-05-15T00:00:00Z","John Hawkes","","male","http://www.wikidata.org/entity/Q2627935"
"+1970-01-01T00:00:00Z","","John Hulme","","male","http://www.wikidata.org/entity/Q6240347"
"+1941-01-01T00:00:00Z","","John Mole","","male","http://www.wikidata.org/entity/Q6249099"
"+1849-02-28T00:00:00Z","+1901-04-14T00:00:00Z","John R. Musick","","male","http://www.wikidata.org/entity/Q6253949"
"+1825-01-01T00:00:00Z","+1904-01-01T00:00:00Z","John Volts","","male","http://www.wikidata.org/entity/Q6262072"
"+1951-00-00T00:00:00Z","","Jonathan Coleman","","male","http://www.wikidata.org/entity/Q11021887"
"+1901-11-10T00:00:00Z","+1973-03-16T00:00:00Z","José Gorostiza","","male","http://www.wikidata.org/entity/Q695854"
