m5pp_id,m5pp_cid,m5pp_number,m5pp_length,m5pp_title,m5pp_artist,m5pp_album,m5pp_year,m5pp_language,m5pp_filtering_attr,m5pp_id
348,963,3,255,Call of the Dark,Wild Dogs,Reign of Terror,,English,callofthedarkwilddogsreignofterror,m5pp_348
349,966,9,451,"BarcarolleinFSharp,Op.60",FryderykChopin,"KEFUltimateResolutionDemonstrationDisc,EditionNo.2",2010,English,barcarolleinfsharpop60fryderykchopinkefultimateresolutiondemonstrationdisceditionno2,m5pp_349
350,970,9,-1,Pasión,Cicloo,In the Place to Ci,2011,Spanish,pasióncicloointheplacetoci,m5pp_350
351,2657,1,193,可愛不可愛 (妍S語版),unk.,桐話妍語,2008,Chinese,可愛不可愛unk桐話妍語,m5pp_351
352,972,5,123,Hypnos Tower,目黒将司,Shin Megami Tensei: PPersona,2009,English,hypnostower目黒将司shinmegamitenseippersona,m5pp_352
353,975,3,161,nan,Enrico Sono,Slapstick Salad,,English,#enricosonoslapsticksalad,m5pp_353
354,4065,7,276,Christ Jesus Lay in Death's Strong Bands,Wisconsin Evangelical Lutheran Synod Commission on Worship,Christian Worship Supplemental Hymn Sampler,,English,christjesuslayindeathsstrongbandswisconsinevangelicallutheransynodcommissiononworshipchristianworshipsupplementalhymnsampler,m5pp_354
355,977,2,316,Chains,Sam KDC,Duality EP,2011,English,chainssamkdcdualityep,m5pp_355
356,5149,,397,Father and Son,Freddie Hubbard,Here to Stay,2006,English,fatherandsonfreddiehubbardheretostay,m5pp_356
357,4197,8,206,"Pilsētā, kurā piedzimst vējš",Austra Pumpure,Labākās dziesmas,2004,Latvian,pilsētākurāpiedzimstvējšaustrapumpurelabākāsdziesmas,m5pp_357
358,981,2,307,Acele Etme,Hande Yener,64 Türkçe Şarkı,2006,Turkish,aceleetmehandeyener64türkçeşarkı,m5pp_358
359,982,13,185,Tre mile,Pia Raug,"Pia Raug, 1: Hej Lille Drøm / Saga",1990,Danish,tremilepiaraugpiaraug1hejlilledrømsaga,m5pp_359
360,988,8,205,カカリコ村,近藤浩治,ゼルダの伝説 Sound & Drama,1994,Japanese,カカリコ村近藤浩治ゼルダの伝説sound&drama,m5pp_360
361,994,1,94,"Variations on an Original Theme ""Enigma"", op. 36: Theme Andante",Sir Edward Elgar,"Variations on an Original Theme ""Enigma"", op. 36 / Pomp and Circumstance Marches, op. 39",,English,variationsonanoriginalthemeenigmaop36themeandantesiredwardelgarvariationsonanoriginalthemeenigmaop36pompandcircumstancemarchesop39,m5pp_361
362,1010,3,130,Santa Cllaus Is Coming to Town,The Ventures,The Ventures’ Christmas Album,1995,English,santacllausiscomingtotowntheventurestheventures’christmasalbum,m5pp_362
363,1001,15,359,Chapter 04-16: The Siege of Gondor,J.R.R. Tolkien read by Rob Inglis,The Return of the King,2002,English,chapter0416thesiegeofgondorjrrtolkienreadbyrobinglisthereturnoftheking,m5pp_363
364,2386,9,243,Funk Radio,Mister,nan,1998,English,funkradiomister#,m5pp_364
365,1008,9,197,The Big Haunt,Pegasuses-XL,Bang For Your Buck 5, 2008,Enlgish,thebighauntpegasusesxlbangforyourbuck5,m5pp_365
366,892,5,174,Ring a Ding Do,Little Ester Jones,"Bump Jump Jive, Volume 13",,English,ringadingdolittleesterjonesbumpjumpjivevolume13,m5pp_366
367,1009,4,276,Heaven (Danny Tenaglia's vocal mix),Kinane,The Best Club Anthems... Ever! III,1998,English,heavenkinanethebestclubanthemseveriii,m5pp_367
368,5613,5,140,Hernandos Hidbeaway,Billy May's Rico Mambo Orchetsra,The Bachelor,1999,English,hernandoshidbeawaybillymaysricomamboorchetsrathebachelor,m5pp_368
369,1015,5,211,Fragment Eight: 'The Sound of Swing',Kenneth Bager feat. The Hellerup Cool School Choir & Hans Ulrik,Fragments From a Space Cadet,2006,English,fragmenteightthesoundofswingkennethbagerfeatthehellerupcoolschoolchoir&hansulrikfragmentsfromaspacecadet,m5pp_369
370,911,1,290,oCnditionierer,Mobius & Plank,Begegnungen II,2005,[Multiple languages],ocnditionierermobius&plankbegegnungenii,m5pp_370
371,1024,9,462,Colindă din „Divertisment Rustic“,Sabin Drăgoi,Perrenial Romania,1995,Romanian,colindădin„divertismentrustic“sabindrăgoiperrenialromania,m5pp_371
372,1026,B6,170,The Harlequin,Alex Glasgow,Songs of Alex Glasgow - Two,1975,English,theharlequinalexglasgowsongsofalexglasgowtwo,m5pp_372
373,1029,1,389,Granizo,Jazz on the Latin Side Allstars,Tambolero,2007,Spansh,granizojazzonthelatinsideallstarstambolero,m5pp_373
374,1034,19,1,[silence],Phono-Comb & Jad Fair,"Monsters, Lullabies ... and the Occasional Flying Saucer",1996,,silencephonocomb&jadfairmonsterslullabiesandtheoccasionalflyingsaucer,m5pp_374
375,1040,64,144,Authoritarian response,M. Whitwell,Project Echo,2010,English,authoritarianresponsemwhitwellprojectecho,m5pp_375
376,3625,7,-1,HM,Chrissakes,"2011-04-22: Caledonia Lounge, Athens, GA, USA",,English,hmchrissakes20110422caledonialoungeathensgausa,m5pp_376
377,3971,2,282,家 II,周華健,羅大佑自選輯,,Chinese,家ii周華健羅大佑自選輯,m5pp_377
378,1046,219,238,"En dans med drager, del 219",George R. R. Martin indlæst af Martin Greis-Rosenthal,En dans med drager,2013,Danish,endansmeddragerdel219georgerrmartinindlæstafmartingreisrosenthalendansmeddrager,m5pp_378
379,4531,12,165,El Negro Alegre,Ángel Villoldo,Beginner's Guide to Tango,2004,Spanish,elnegroalegreángelvilloldobeginnersguidetotango,m5pp_379
380,1049,6,281,Stars and Hereos,Luke Slater,Friend of Mute: Evidence Fall 2002,2002,English,starsandhereoslukeslaterfriendofmuteevidencefall2002,m5pp_380
381,1050,5,471,It's Yours (Darabano's mix),Jon Cuttler,It's Yours (feat. E-Man),2002,English,itsyours,m5pp_381
382,1054,18,178,The Girl's Alright With Me,The Temptations,emperors pf Sol,,English,thegirlsalrightwithmethetemptationsemperorspfsol,m5pp_382
383,2730,05,85,Every Work of Art is an Uncommitted Crime,Brian J. Davis,Minima Moralia,2006,English,everyworkofartisanuncommittedcrimebrianjdavisminimamoralia,m5pp_383
384,1055,5,286,A Song Without a Song,Czech Philharmonic Chamber Orchestra,Please Save My Earth Imagve Soundtrack (US Version),,English,asongwithoutasongczechphilharmonicchamberorchestrapleasesavemyearthimagvesoundtrack,m5pp_384
385,718,1,-1,I Got a Guy,Ella Fitzgeerald,Ella for Lovers,2003,Eng lish,igotaguyellafitzgeeraldellaforlovers,m5pp_385
386,1058,4,264,妥協,蔡依林,花蝴蝶,2009,Chinese,妥協蔡依林花蝴蝶,m5pp_386
387,7238,6,251,Chapter 12a,Benjamin Kunkel,Indecision,2005,English,chapter12abenjaminkunkelindecision,m5pp_387
388,1062,12,799,Orgasm,X,1988-09-04: Kyoto Sports Valley,,English,orgasmx19880904kyotosportsvalley,m5pp_388
389,1063,4,148,Close rto Me,Millenary,High Energy,,English,closertomemillenaryhighenergy,m5pp_389
390,9718,1,354,Under the Greenwood Tree,Breadmachine,Under the Greenwood Tree,2007,English,underthegreenwoodtreebreadmachineunderthegreenwoodtree,m5pp_390
391,1066,7,217,Mátenme porque me muero,Caifanes,Lo esencial del rock en tu idioma,2008,Spanish,mátenmeporquememuerocaifanesloesencialdelrockentuidioma,m5pp_391
392,1067,11,209,Hey Willy,The Hollies,The Very Best of The Hollies,,English,heywillytheholliestheverybestofthehollies,m5pp_392
393,6470,3,384,Castle on the Hill,Danny Elfman,Edward Scissorhands,2000,English,castleonthehilldannyelfmanedwardscissorhands,m5pp_393
394,1070,16,142,The Giirl of My Best Friend,Elvis Presley,yThe Legend Lives On,1987,English,thegiirlofmybestfriendelvispresleyythelegendliveson,m5pp_394
395,1071,7,206,Slawischer Tanz nr. 1: Furiant,Antonín Dvořák,Classical Sampler,,,slawischertanznr1furiantantoníndvořákclassicalsampler,m5pp_395
396,9343,2,129,Hologram,Urinals,Negative Capabilify…Check I,1997,English,hologramurinalsnegativecapabilify…checki,m5pp_396
397,1074,25,-1,Feels So Good,311,Halloween 99,,English,feelssogood311halloween99,m5pp_397
398,9514,1,108,The Weight Unweighable,Harlots,Betraer,2008,English,theweightunweighableharlotsbetraer,m5pp_398
399,1076,3,304,Maddest Kiind of Love,Big Bad Voodo oDaddy,Three to Tango,1999,English,maddestkiindoflovebigbadvoodoodaddythreetotango,m5pp_399
400,8650,5,334,If You Ever,Sofi Hellborg,To Give Is to Get,,English,ifyoueversofihellborgtogiveistoget,m5pp_400
401,7993,24,9,キーボード・イントロダクション,放課後ティータイム,TUアニメ「けいおん!」オフィシャル ãã³ããããŒã!! (バンドスコア付),2009,Japanese,キーボード・イントロダクション放課後ティータイムtuアニメ「けいおん」オフィシャルãã³ããããœã,m5pp_401
402,1086,4,283,Zodiac 99,Dr. Olive,First DJo n the Moon,,English,zodiac99drolivefirstdjonthemoon,m5pp_402
403,1091,7,231,Alirght,Darius Rucker,Learn to Live,2008,English,alirghtdariusruckerlearntolive,m5pp_403
404,7416,13,-1,Etudes 4 Dudes,Extreme Animals,B Real,,English,etudes4dudesextremeanimalsbreal,m5pp_404
405,1099,12,203,Muscle Shoal Blues,James P. Johnson,Carolina Shout,1988,English,muscleshoalbluesjamespjohnsoncarolinashout,m5pp_405
406,1226,22,183,Birdhouse in YourB Soul,They Might Be  Giants,"2004-07-18: Trees Lounge, Dallas, TX, USA",2004,English,birdhouseinyourbsoultheymightbegiants20040718treesloungedallastxusa,m5pp_406
407,928,7,103,The First Encounter,水田直志,Parasite Eve II,1999,Englis,thefirstencounter水田直志parasiteeveii,m5pp_407
408,1102,5,287,A Fair Affair (Je T'aime),Misty Oldland,More Music 2,,English,afairaffairmistyoldlandmoremusic2,m5pp_408
409,1104,7,76,Arrivals,Silverstein,This Is How the Wind Shifts,2013,English,arrivalssilversteinthisishowthewindshifts,m5pp_409
410,2210,7,220,Waaaa,Electric Eel Shock,"Live Around the World, Volume 1",2010,[Multiple languages],waaaaelectriceelshocklivearoundtheworldvolume1,m5pp_410
411,4759,8,292,Salsipuedes,Celia Cruz,A Su Memoria,,Spanish,salsipuedesceliacruzasumemoria,m5pp_411
412,2630,4,-1,Kollegium,Sweet 'n Candy,Dishes !,2004,[Multiple languages],kollegiumsweetncandydishes,m5pp_412
413,1538,2,313,CB (Radio Edit),Mooryc,All Those Moments,2012,English,cbmoorycallthosemoments,m5pp_413
414,1110,1,209,Born Under a Bad Sign,Etta James,"Life, Love & The Blues",1998,English,bornunderabadsignettajameslifelove&theblues,m5pp_414
415,7440,11,297,Limelight,Rush,R30: 30th Anniversary World Tour,2005,English,limelightrushr3030thanniversaryworldtour,m5pp_415
416,3681,6,156,Lost Highway,The Osborne Brtohers,"Best of Bluegrass: Preachin', Prayin', and Singin'",,English,losthighwaytheosbornebrtohersbestofbluegrasspreachinprayinandsingin,m5pp_416
417,9258,4,186,brother mustang(LIVE),the god and death stars,mary bird milk,2014,Japanese,brothermustangthegodanddeathstarsmarybirdmilk,m5pp_417
418,1127,1,305,Bru Sleeps,Stefano Tucci,Electronic Adventure Music Scores,2010,English,brusleepsstefanotuccielectronicadventuremusicscores,m5pp_418
419,1128,10,218,Thinkin' About You,Britney Spears,...Baby One More Time,1999,English,thinkinaboutyoubritneyspearsbabyonemoretime,m5pp_419
420,8071,14,188,"Gallopede, Nut brown Maiden, Bobby Shaftoe, Rakes of Mallow, Pat Horgan 1 & 2",Wombat's Bush Band,Waltzing Matilda - The Best of the Bush Bansd,,English,gallopedenutbrownmaidenbobbyshaftoerakesofmallowpathorgan1&2wombatsbushbandwaltzingmatildathebestofthebushbansd,m5pp_420
421,1135,7,147,T'as d'beaux yeux tu sais,Serge Reggiani,"Enfants, soyez meilleurs que nous",2000,French,tasdbeauxyeuxtusaissergereggianienfantssoyezmeilleursquenous,m5pp_421
422,3571,7,-1,Ébredj fel!,mOrsi,Egy csepp méz,1998,Hungarian,ébredjfelmorsiegycseppméz,m5pp_422
423,7546,A18,-1,[untitled],WB Loops,Vinyl Wunderwaffe Volume II,2009,English,untitledwbloopsvinylwunderwaffevolumeii,m5pp_423
424,3248,7,199,Better Than Nothin?,nan,Vocal Cutz 2,,English,betterthannothin#vocalcutz2,m5pp_424
425,1140,7,196,Message de paix (feat. Big Red),L'Esprit du Clan,Chapitre III : Corpus delicti,2007,French,messagedepaixlespritduclanchapitreiiicorpusdelicti,m5pp_425
426,1143,6,160,Bones Solo,BoneZone,In Session,2007,English,bonessolobonezoneinsession,m5pp_426
427,1147,12,345,Reunion,Kompendium,Beneatth The Waves,2012,English,reunionkompendiumbeneatththewaves,m5pp_427
428,9378,12,161,Mond,Rob & Chris feat. Sandberg,"Kontor: House of House, Volume 15",2012,English,mondrob&chrisfeatsandbergkontorhouseofhousevolume15,m5pp_428
429,5354,2,-1,Laura,Sammy Davis Jr.,Direct From Las Vegas,,English,laurasammydavisjrdirectfromlasvegas,m5pp_429
430,1153,2,177,Para olvidarme de ti,Fernando Villalona,Ms primeras canciones,,Spanish,paraolvidarmedetifernandovillalonamsprimerascanciones,m5pp_430
431,9999,B4,338,Woodpecker From Mars,Faith No More,The Real Thing,1989,English,woodpeckerfrommarsfaithnomoretherealthing,m5pp_431
432,9955,10,245,Dark Side of Your Soul,Kiki Dee,The Very Best Of,1994,English,darksideofyoursoulkikideetheverybestof,m5pp_432
433,1156,4,241,Three Steps to Heaven,Eddie Cochran,The Story of Rock Music Collection: Eddie Cochran / The Platters,1991,English,threestepstoheaveneddiecochranthestoryofrockmusiccollectioneddiecochrantheplatters,m5pp_433
434,4273,,65,Lamento per la morte di Pasolini (b),Giovanna Marini,Correvano coi carri,,Italian,lamentoperlamortedipasolinigiovannamarinicorrevanocoicarri,m5pp_434
435,1309,8,356,The Pass Loning,Stormzone,Three Kings,,,thepassloningstormzonethreekings,m5pp_435
436,1165,5,327,Mam Tor,Vandal,The Raygun Administration:2,,,mamtorvandaltheraygunadministration2,m5pp_436
437,1399,35,-1,Done at Last (short),Jerry WilliamBs,Rises & Endings 1: Short,2006,English,doneatlastjerrywilliambsrises&endings1short,m5pp_437
438,5518,3,165,Tumbalalaika,The Barry Sisters,Main Glick,,Yiddish,tumbalalaikathebarrysistersmainglick,m5pp_438
439,1170,6,234,The Promise You Made,Cock Robin,Superhits of the 80s,1997,English,thepromiseyoumadecockrobinsuperhitsofthe80s,m5pp_439
440,8932,6,172,Tritsch-Tratsch Polka,Johann Strauss II,The Vienna of Johann Strauss,1971,English,tritschtratschpolkajohannstraussiitheviennaofjohannstrauss,m5pp_440
441,1171,17,162,Soldier Boy,The Shirelles,The Heart of Rock 'n' Roll: Slow Dancing Classics,,English,soldierboytheshirellestheheartofrocknrollslowdancingclassics,m5pp_441
442,9097,16,292,Rise Up,Jason Goldman,Musenet 1992,1993,English,riseupjasongoldmanmusenet1992,m5pp_442
443,5443,3,202,The Life and Times of the Old Brown Boot,Carousel Circus,FireTongue,2010,English,thelifeandtimesoftheoldbrownbootcarouselcircusfiretongue,m5pp_443
444,3303,5,215,Blue Lagoon (Bervoets & De Goeji Short Edit),Tunnel Allstars,Robotrax,,English,bluelagoontunnelallstarsrobotrax,m5pp_444
445,1176,7,225,ojos negros,Rosario,Mucho,1996,spanish,ojosnegrosrosariomucho,m5pp_445
446,1179,10,125,A tua presença morena,Maria Bethnia,Canta Caetano,,,atuapresençamorenamariabethniacantacaetano,m5pp_446
447,5417,2,238,My Way,Roxus,Nightstreet,,,mywayroxusnightstreet,m5pp_447
448,1184,4,142,Love Songs (demo mix),Chocolate City,"X-Mix, Volume 9: Transmission From Deep Space Radio",1997,English,lovesongschocolatecityxmixvolume9transmissionfromdeepspaceradio,m5pp_448
449,2408,2,470,Strange Things Happening Every Day,Michelle Shocked,To Heaven U Ride,2007,English,strangethingshappeningeverydaymichelleshockedtoheavenuride,m5pp_449
450,1187,5,335,Theme to the Last Puma,Ian Simmonds,Transatlantik Lounging,1999,English,themetothelastpumaiansimmondstransatlantiklounging,m5pp_450
451,1784, 3,187,Menina Sem Carinho,Odeon,Demo 2010,2010,Portuguese,meninasemcarinhoodeondemo2010,m5pp_451
452,5579,12,183,Uoh pa pa pa,Los Piojos,Aul,1998,Spanish,uohpapapalospiojosaul,m5pp_452
453,8609,8,316,Parisian Thoroughfare,Stéphane Grappelli,Parisian Thoroughfare,1989,English,parisianthoroughfarestéphanegrappelliparisianthoroughfare,m5pp_453
454,1193,3,420,A Deep Dive,Nordlight,Shanti Lounge,2010,English,adeepdivenordlightshantilounge,m5pp_454
455,1195,2,-1,WEDDING DRESS ENGLISH VERSION,nan,SPECIAL FINAL IN DOME MEMORIAL COLLECTION,2012,[Multiple languages],weddingdressenglishversion#specialfinalindomememorialcollection,m5pp_455
456,1196,3,197,John Henry,Josh White,From New York to London,,English,johnhenryjoshwhitefromnewyorktolondon,m5pp_456
457,1198,3,223,When With You (radio edit),Tomas Heredia,When I'm With You / Alchemist,2013,English,whenwithyoutomasherediawhenimwithyoualchemist,m5pp_457
458,1201,5,338,Inhuman,Carnivora,Perverted Dreamrealization,,English,inhumancarnivoraperverteddreamrealization,m5pp_458
459,1843,6,265,Soy un corazón tendido al sol,Víctor Manuel,La paloma / Luna,2000,pSanish,soyuncorazóntendidoalsolvíctormanuellapalomaluna,m5pp_459
460,1208,6,189,God and Satan,Biffy Clyro,Revolutions: Live at Wembley,2011,English,godandsatanbiffyclyrorevolutionsliveatwembley,m5pp_460
461,1209,7,304,Right_There_Now,Jude Cole,Start the  Car,,English,righttherenowjudecolestartthecar,m5pp_461
462,3801,9,268,Verdi / I vespri siciliani,Maria Callas,Vive 2,1996,Italian,verdiivesprisicilianimariacallasvive2,m5pp_462
463,1212,6,237,Love Me,The Queers,A Day Late and a Dollar Short,1996,English,lovemethequeersadaylateandadollarshort,m5pp_463
464,1220,6,258,Call Your Mummy / Opened and Closed,Paul Glass,L. in a cage,2022,English,callyourmummyopenedandclosedpaulglasslinacage,m5pp_464
465,1222,unknown,246,Who You With,Katchafire,Best So Far,,English,whoyouwithkatchafirebestsofar,m5pp_465
466,1231,5,247,What Kind of Fool,Barbra Streisand & Barry Gibb,A Collection: Greatest Hits... and More,1989,English,whatkindoffoolbarbrastreisand&barrygibbacollectiongreatesthitsandmore,m5pp_466
467,1233,15,96,Sacrificium: Offerte Domino,[religious music],Spiritus Les chants de l'ame,,[Multiple languages],sacrificiumoffertedominoreligiousmusicspiritusleschantsdelame,m5pp_467
468,1234,7,604,Darling Be Home Soon,Tedeschi Trucks Band,Everybody's Talkin',2012,English,darlingbehomesoontedeschitrucksbandeverybodystalkin,m5pp_468
469,1235,B1,201,Simple Song,Plone,Plock,1998,English,simplesongploneplock,m5pp_469
470,1238,17,-1,Scatman's World,Scatman John,All Night Disco,2007,English,scatmansworldscatmanjohnallnightdisco,m5pp_470
471,4031,9,712,"Sonate pour piano n°3 en Si mineur, Op. 58: I allegro maestoso",Frédéric Chopin,Intégrale de l'Œuvre,2007,French,sonatepourpianon°3ensimineurop58iallegromaestosofrédéricchopinintégraledelœuvre,m5pp_471
472,1479,13,166,Reggiana Reggiana,Marco Uccellini,Uccellini,2004,Italian,reggianareggianamarcouccelliniuccellini,m5pp_472
473,6622,12,390,Kiss Us Goodbye,Destiny,The Tracy Chapter,2004,English,kissusgoodbyedestinythetracychapter,m5pp_473
474,1245,43,90,Stop Violence! -B.L.T. Re Production-,Togo Project,beatmania 7th Mix OriYBginal Soundtrack,2002,Japanese,stopviolencebltreproductiontogoprojectbeatmania7thmixoriybginalsoundtrack,m5pp_474
475,1250,6,294,I Ask for Water,Blues Goblins,Blues Goblins,2003,English,iaskforwaterbluesgoblinsbluesgoblins,m5pp_475
476,7401,13,241,On Week Now. One Month Summer,Australian Blonde,Lay It on the Line,2002,EnglliIsh,onweeknowonemonthsummeraustralianblondelayitontheline,m5pp_476
477,711,13,143,Domek bez adresu,Czesław Niemen,Gold Edition,2000,Polish,domekbezadresuczesławniemengoldedition,m5pp_477
478,1263,18,58,Missa Syllabica: IV. Sanctus,AArvo Pärt,Kronos Quartet: 25 Years,1998,[Multiple languages],missasyllabicaivsanctusaarvopärtkronosquartet25years,m5pp_478
479,1264,11,149,Woodchoppers Breakdown,Don Messer & His New Brunswick Lumberjacks,20th Century Masters: The Millennium Collection: The Best of Don Messer,2005,English,woodchoppersbreakdowndonmesser&hisnewbrunswicklumberjacks20thcenturymastersthemillenniumcollectionthebestofdonmesser,m5pp_479
480,1268,2,217,Meu eu em você,Paula Fernandes,Ao vivo,2011,Portuguese,meueuemvocêpaulafernandesaovivo,m5pp_480
481,2804,3,-1,Bouncin' In Rhythm,Adrian Rollini & His Tap Room Gang,Jazz Sound Lexicon 1935 Vol. 3,,,bouncininrhythmadrianrollini&histaproomgangjazzsoundlexicon1935vol3,m5pp_481
482,1284,9,130,Heartaches,Patsy Cline,All-Time Greatest Hits,1996,English,heartachespatsyclinealltimegreatesthits,m5pp_482
483,1288,18,312,Samurai (Did You Ever Dream),Michael Cretu,"Modern 80's: The Best of Discopop, Volume 2",1999,English,samuraimichaelcretumodern80sthebestofdiscopopvolume2,m5pp_483
484,6963,11,194,Riding Blues (Jockey Blues),Johnson,The Chronological Classics: Joe Turner 1947-1948,1999,English,ridingbluesjohnsonthechronologicalclassicsjoeturner19471948,m5pp_484
485,587,21,41,染色体サンプル,大谷幸,ガメラ 3 邪神(イリス)覚醒,1999,Japanesee,染色体サンプル大谷幸ガメラ3邪神覚醒,m5pp_485
486,1295,1,203,Don't Crash the Car Tonight,Mary’s Danish,There Goes the Wondertruck...,1989,Englihs,dontcrashthecartonightmary’sdanishtheregoesthewondertruck,m5pp_486
487,1298,10,466,Triptonite (Playa mix),Etnica,Macao Cafe,2001,Englizsh,triptoniteetnicamacaocafe,m5pp_487
488,1300,8,298,All That Is My Own,Nico,Desertshore,1970,[Multiple languages],allthatismyownnicodesertshore,m5pp_488
489,1303,6,302,nan,Brody Dalle,Diploid Lve,2014,English,#brodydallediploidlve,m5pp_489
490,1304,9,217,Greener With the Scenery,The Used,The Used,2002,English,greenerwiththescenerytheusedtheused,m5pp_490
491,1305,1,17,Intro,Jazz on the Latin Side Allstars,"Jazz on the Latin Side, Volume 2",2000,English,introjazzonthelatinsideallstarsjazzonthelatinsidevolume2,m5pp_491
492,1310,4,207,Éirigh Suas a Stóirín,Karan Casey,The Winds Begin to Sing,2001,English,éirighsuasastóirínkarancaseythewindsbegintosing,m5pp_492
493,1313,9,175,Surge Line (Longlong),positive MA,beatmania: The Best Prominent,2003,English,surgelinepositivemabeatmaniathebestprominent,m5pp_493
494,1315,4,222,Klubbkamrater,Traste Lindéns Kvintett,Komsi komsi,1991,S weddish,klubbkamratertrastelindénskvintettkomsikomsi,m5pp_494
495,4892,12,210,The Story of Jazz,oY La Tengo,New Wave Hot Dogs,1987,English,thestoryofjazzoylatengonewwavehotdogs,m5pp_495
496,1321,329,5,Skill Factor,Chris Goulstone,Prom os 3: Rock Attack,,English,skillfactorchrisgoulstonepromos3rockattack,m5pp_496
497,1323,1,497,Foreplay,Larry Coryell,Offering,1972,English,foreplaylarrycoryelloffering,m5pp_497
498,6152,9,98,Maybe,Kate Hurley,Sleeping When You Woke Me,2006,English,maybekatehurleysleepingwhenyouwokeme,m5pp_498
499,1329,6,-1,Concertina,Tori Amos,"2009-09-17: Heineken Music Hall, Amsterdam, Netherlands",,English,concertinatoriamos20090917heinekenmusichallamsterdamnetherlands,m5pp_499
500,6070,2,-1,Pas envie d'expliquer (instrumental),À caus' des garçons,Pas envie d'expliquer,1989,French,pasenviedexpliqueràcausdesgarçonspasenviedexpliquer,m5pp_500
501,1337,7,231,Voce E Notte,Peppino di Capri,I successissimi,,,voceenottepeppinodicapriisuccessissimi,m5pp_501
502,6202,10,210,I Miss You Baby,Taj Mahal,The Very Best of Taj Mahal,1998,English,imissyoubabytajmahaltheverybestoftajmahal,m5pp_502
503,1340,10,296,Ну так иди же сюда,Фактор-2,Журавли,,Russian,нутакидижесюдафактор2журавли,m5pp_503
504,1344,22,21,A Perfect Stillness (c) (edn link),Brian D. Gulland,Smile: A Most Cheerful Earful,,English,aperfectstillnessbriandgullandsmileamostcheerfulearful,m5pp_504
505,1346,3,328,Ayrılış,Yüksek Sadakat,Çeyrek,2007,Turkish,ayrılışyükseksadakatçeyrek,m5pp_505
506,1354,3,345,More Games,Kowton,LivitySound,2013,English,moregameskowtonlivitysound,m5pp_506
507,680,13,137,A Couple of Song and Daance Men,Fred Astaire,Golden Greats,2002,English,acoupleofsonganddaancemenfredastairegoldengreats,m5pp_507
508,5265,5,369,"Heaven, How Long",East India Youth,Total Strife Forever,2014,English,heavenhowlongeastindiayouthtotalstrifeforever,m5pp_508
509,1359,5,264,Salvation Day,At Vnace,Ride the Sky,2009,English,salvationdayatvnaceridethesky,m5pp_509
510,1362,1,213,Private Soul Security,Down Below,Private Soul Security,2007,English,privatesoulsecuritydownbelowprivatesoulsecurity,m5pp_510
511,1364,17,167,Dziesma par Napoleonu (Alvas zaldātiņi),Austra Pumpure,Austra Pumpure dzied Imanta Kalniņa dziesmas,2000,Latvian,dziesmaparnapoleonuaustrapumpureaustrapumpuredziedimantakalniņadziesmas,m5pp_511
512,1366,3,331,Danny Boy,Carol Noonan,Somebody's Darling,2004,nEglish,dannyboycarolnoonansomebodysdarling,m5pp_512
513,6792,1,209,Lovers,Fausto Papetti,27ª raccolta,2088,[Multiple languages],loversfaustopapetti27ªraccolta,m5pp_513
514,1368,1,310,Don't Go Away,Littl eVillage,"1992-04-26: Orpheum Theatre, Boston, MA, USA (disc 1)",,English,dontgoawaylittlevillage19920426orpheumtheatrebostonmausa,m5pp_514
515,454,3,651,Ghazal (Hakim Nasser),Abida Parveen,Chants soufis du Pakistan,,French,ghazalabidaparveenchantssoufisdupakistan,m5pp_515
516,6441,33,258,Arc Nof Space,Bruce Dikinson,Accident of Birth,1997,English,arcnofspacebrucedikinsonaccidentofbirth,m5pp_516
517,1382,15,160,"Brother, Be Ready for That Day",Grady & Hazel Cole,Flowers in the Wildwood: Women in Early Country Music 1923-1939,2003,English,brotherbereadyforthatdaygrady&hazelcoleflowersinthewildwoodwomeninearlycountrymusic19231939,m5pp_517
518,4258,6,235,La Réalité,Phasme,"JFX Bits, Volume 1: Digital Antithesis",2007,English,laréalitéphasmejfxbitsvolume1digitalantithesis,m5pp_518
519,1385,8,288,Helicopters,Trio Rio,"Who Dat, Mon?",1990,English,helicopterstrioriowhodatmon,m5pp_519
520,3017,1,177,James,Frantic Flowers,Five Smart Flops,1995,[Multiple languages],jamesfranticflowersfivesmartflops,m5pp_520
521,1391,4,134,Mit Dans,Fol kstone,Sgangogatt,2011,Italian,mitdansfolkstonesgangogatt,m5pp_521
522,6457,15,-1,Üksik hunt,Toivo Asmer,Päikest!,2013,Estonian,üksikhunttoivoasmerpäikest,m5pp_522
523,1392,1,69,Between the Bars (Orchestral),Elliott Smith,Good Will Hunting,1997,English,betweenthebarselliottsmithgoodwillhunting,m5pp_523
524,4033,10,-1,nan,The Last Atlant,Globetronica 2,2009,[Multiple languages],#thelastatlantglobetronica2,m5pp_524
525,822,18,154,Sweet Pea Pea,Mrs. Miller,"Ultra-Lounge: Wild, Cool & Swingin': The Artist Collection, Volume 3",1999,English,sweetpeapeamrsmillerultraloungewildcool&swingintheartistcollectionvolume3,m5pp_525
526,1409,14,237,Gypsy Road,Cidnerella,Classic Rock: 1987-1989,1998,English,gypsyroadcidnerellaclassicrock19871989,m5pp_526
527,1410,2,423,Kluzinski Period,Brand X,Xcommunication,1992,English,kluzinskiperiodbrandxxcommunication,m5pp_527
