ids,label,rewo_base,cdi_base,rewo_brand,cdi_brand,rewo_capacity,cdi_capacity,rewo_category,cdi_category,rewo_cluster_id,cdi_cluster_id,rewo_color,cdi_color,rewo_finish,cdi_finish,rewo_height,cdi_height,rewo_id,cdi_id,rewo_material,cdi_material,rewo_product_type,cdi_product_type,rewo_shape,cdi_shape,rewo_style,cdi_style,rewo_title,cdi_title
rewo_14319_cdi_143,0,'flue riser with heavy duty shelf','flue riser with shelf' '(2) cabinets',southbend,southbend,,,,,681631,187778,'plus cabinet base 22',,'legs' 'nsf','stainless steel' 'nsf',,'1075.00 ',rewo_14319,cdi_143,'stainless steel',,'saute burners' 'standard grates standing pilot','burners' 'shelf 6','restaurant','restaurant','oven',," "" 4483ac-3tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_37100_cdi_143,0,'flue riser with heavy duty shelf','flue riser with shelf' '(2) cabinets',southbend,southbend,,,,,1628350,187778,'plus cabinet base standing pilot',,'nsf','stainless steel' 'nsf',,'1075.00 ',rewo_37100,cdi_143,'stainless steel',,,'burners' 'shelf 6','restaurant','restaurant','with wavy grates' 'oven',," "" 4482dc-3cr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_14885_cdi_143,0,'flue riser with heavy duty shelf','flue riser with shelf' '(2) cabinets',southbend,southbend,,,,,705927,187778,'plus cabinet base standing pilot',,'nsf','stainless steel' 'nsf',,'1075.00 ',rewo_14885,cdi_143,'stainless steel',,,'burners' 'shelf 6',,'restaurant','restaurant' 'with wavy grates' 'oven',," "" 4602dc-3cl range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_3605_cdi_143,1,'flue riser with heavy duty shelf','flue riser with shelf' '(2) cabinets',southbend,southbend,,,,,187778,187778,,,'nsf','stainless steel' 'nsf','22 1','1075.00 ',rewo_3605,cdi_143,'stainless steel',,'burners','burners' 'shelf 6','restaurant range gas','restaurant',,," "" 4607cc-2gl range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_14319_cdi_319,0,'flue riser with heavy duty shelf','(1) standard oven',southbend,southbend,,,,,681631,438138,'plus cabinet base 22',,'legs' 'nsf','nsf',,'660.00 ',rewo_14319,cdi_319,'stainless steel','battery','saute burners' 'standard grates standing pilot','standard grates' 'shelf 6 adjustable','restaurant','restaurant','oven','oven' 'flue riser with shelf stainless steel' 'front'," "" 4483ac-3tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_31103_cdi_319,0,'flue riser with heavy duty shelf','(1) standard oven',southbend,southbend,,,,,1387924,438138,'restaurant range gas' 'plus cabinet base standing pilot',,'legs' 'nsf','nsf',,'660.00 ',rewo_31103,cdi_319,'stainless steel','battery',,'standard grates' 'shelf 6 adjustable',,'restaurant','with wavy grates' 'oven','oven' 'flue riser with shelf stainless steel' 'front'," "" 4602ac-7l range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_49395_cdi_319,0,'flue riser with heavy duty shelf','(1) standard oven',southbend,southbend,,,,,4670919,438138,'plus cabinet base standing pilot',,'nsf','nsf',,'660.00 ',rewo_49395,cdi_319,'stainless steel','battery','saute burners' 'standard grates','standard grates' 'shelf 6 adjustable',,'restaurant','restaurant' 'oven','oven' 'flue riser with shelf stainless steel' 'front'," "" 4603ac range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_8849_cdi_319,1,,'(1) standard oven',southbend,southbend,,,,,438138,438138,'ultimate',,'nsf','nsf',,'660.00 ',rewo_8849,cdi_319,,'battery','standard grates','standard grates' 'shelf 6 adjustable',,'restaurant','restaurant' 'oven base standing pilot' 'csa','oven' 'flue riser with shelf stainless steel' 'front'," "" 4363d-2cl range, 36"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_14319_cdi_706,0,'flue riser with heavy duty shelf','flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,,,,681631,969206,'plus cabinet base 22','ultimate','legs' 'nsf','stainless steel' 'nsf',,'735.00 ',rewo_14319,cdi_706,'stainless steel','battery','saute burners' 'standard grates standing pilot','standard grates' 'shelf 6 adjustable','restaurant',,'oven','restaurant' 'rear' 'oven'," "" 4483ac-3tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_20838_cdi_706,1,'flue riser with heavy duty shelf','flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,,,,969206,969206,'plus cabinet base 22','ultimate','legs' 'nsf','stainless steel' 'nsf',,'735.00 ',rewo_20838,cdi_706,'back' 'stainless steel','battery','saute in','standard grates' 'shelf 6 adjustable','in',,'ultimate' 'restaurant' 'grates standing pilot' 'oven','restaurant' 'rear' 'oven'," "" 4484ac-3tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_27043_cdi_706,0,'flue riser with heavy duty shelf','flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,,,,1222814,969206,,'ultimate','nsf','stainless steel' 'nsf',,'735.00 ',rewo_27043,cdi_706,'stainless steel','battery',,'standard grates' 'shelf 6 adjustable','restaurant',,'with wavy grates','restaurant' 'rear' 'oven'," "" 4602cc-3gr range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_14319_cdi_4912,0,'flue riser with heavy duty shelf','(1) standard oven (1) convection oven',southbend,southbend,,,,,681631,9520105,'plus cabinet base 22',,'legs' 'nsf','legs' 'nsf',,'1075.00 ',rewo_14319,cdi_4912,'stainless steel','saut burners' 'battery','saute burners' 'standard grates standing pilot','burners rear' 'shelf 6 adjustable','restaurant','restaurant range gas','oven','oven' 'flue riser with shelf stainless steel' 'front'," "" 4483ac-3tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_25038_cdi_4912,0,'convection oven' 'flue riser with heavy duty shelf','(1) standard oven (1) convection oven',southbend,southbend,'standing pilot',,'front',,1140617,9520105,'restaurant range gas',,'legs' 'nsf','legs' 'nsf',,'1075.00 ',rewo_25038,cdi_4912,'stainless steel','saut burners' 'battery',,'burners rear' 'shelf 6 adjustable',,'restaurant range gas','with wavy grates','oven' 'flue riser with shelf stainless steel' 'front'," "" 4602aa-5r range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_2148_cdi_4912,0,'flue riser with heavy duty shelf','(1) standard oven (1) convection oven',southbend,southbend,,,'front',,114148,9520105,'restaurant range gas',,'nsf','legs' 'nsf',,'1075.00 ',rewo_2148,cdi_4912,'stainless steel','saut burners' 'battery','saute burners','burners rear' 'shelf 6 adjustable',,'restaurant range gas','plus cabinet base standing pilot','oven' 'flue riser with shelf stainless steel' 'front'," "" 4603ac-5l range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_39731_cdi_229,0,'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,,,,1733088,305850,'plus cabinet base 22','ultimate','nsf','nsf',,'735.00 ',rewo_39731,cdi_229,'left standing pilot 1' 'stainless steel','battery','burners in','wavy grates' 'shelf 6 adjustable','restaurant',,'with wavy grates' 'oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4482ac-7r range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_970_cdi_229,0,,'(1) standard oven (1) cabinet',southbend,southbend,,,,,49872,305850,,'ultimate','duty shelf' 'stainless steel' 'nsf','nsf',,'735.00 ',rewo_970,cdi_229,,'battery','standard grates','wavy grates' 'shelf 6 adjustable','restaurant',,'oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4481ee-3cr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_23993_cdi_229,0,'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,,,,1097023,305850,'plus cabinet base','ultimate','nsf','nsf',,'735.00 ',rewo_23993,cdi_229,'stainless steel','battery','standard grates standing pilot','wavy grates' 'shelf 6 adjustable','restaurant',,'oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4481dc-3gl range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_6022_cdi_229,1,'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,,,,305850,305850,'plus cabinet base standing pilot','ultimate','nsf','nsf',,'735.00 ',rewo_6022,cdi_229,'stainless steel','battery',,'wavy grates' 'shelf 6 adjustable','restaurant',,'with wavy grates' 'oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4482dc-3cl range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_33770_cdi_4544,0,'flue riser with heavy duty shelf','(2) cabinets',southbend,southbend,,'2 cabinets',,,1494217,8742399,'plus cabinet base 22','ultimate','legs' 'nsf','nsf',,'1075.00 ',rewo_33770,cdi_4544,'stainless steel',,'saute burners' 'standard grates standing pilot','burners right standard grates standing pilot' 'shelf','restaurant',,'oven','restaurant'," "" 4483ac-3gr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_33770_cdi_3458,0,'flue riser with heavy duty shelf','(1) cabinet',southbend,southbend,,,,,1494217,6108744,'plus cabinet base 22','ultimate','legs' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_33770,cdi_3458,'stainless steel',,'saute burners' 'standard grates standing pilot','standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable','restaurant',,'oven','restaurant'," "" 4483ac-3gr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_53831_cdi_3458,1,'flue riser with heavy duty shelf','(1) cabinet',southbend,southbend,,,,,6108744,6108744,'ultimate','ultimate','legs' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_53831,cdi_3458,'stainless steel',,'burners' 'standard grates','standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable',,,'restaurant','restaurant'," "" 4367c range, 36"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_391_cdi_3458,0,'flue riser with heavy duty shelf','(1) cabinet',southbend,southbend,,,,,20281,6108744,'plus cabinet base','ultimate','nsf','stainless steel' 'nsf',,'660.00 ',rewo_391,cdi_3458,'stainless steel',,'standard grates standing pilot','standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable','restaurant',,'oven','restaurant'," "" 4481dc-2tr range, 48"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_28721_cdi_3458,0,'flue riser with heavy duty shelf','(1) cabinet',southbend,southbend,,,,,1289613,6108744,'plus cabinet base','ultimate','nsf','stainless steel' 'nsf',,'660.00 ',rewo_28721,cdi_3458,'stainless steel',,,'standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable','restaurant',,'with wavy grates standing pilot' 'oven','restaurant'," "" 4482dc-2gr range, 48"" restaurant, gas""@en ""  range restaurant gas | heavy duty range""@en","ultimate restaurant range "" | culinary depot"""
rewo_53835_cdi_3458,0,,'(1) cabinet',southbend,southbend,,,,,6108783,6108744,,'ultimate','duty shelf' 'stainless steel' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_53835,cdi_3458,'standard',,,'standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable','restaurant',,'with wavy grates' 'oven base standing pilot','restaurant'," "" 4362d range, 36"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_1463_cdi_3458,0,'flue riser with heavy duty shelf','(1) cabinet',southbend,southbend,,,,,76069,6108744,'plus cabinet base standing pilot','ultimate','nsf','stainless steel' 'nsf',,'660.00 ',rewo_1463,cdi_3458,'stainless steel',,'saute burners' 'standard grates','standard grates standing pilot 1 cabinet base' 'shelf 6 adjustable','restaurant',,'oven','restaurant'," "" 4603dc-2cr range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_33770_cdi_5900,0,'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,'48 griddle',,,1494217,11981959,'plus cabinet base 22',,'legs' 'nsf','nsf',,'1075.00 ',rewo_33770,cdi_5900,'stainless steel','left standing pilot 1' 'battery','saute burners' 'standard grates standing pilot','standard grates' 'shelf 6 adjustable','restaurant','ultimate','oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4483ac-3gr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_18297_cdi_5900,0,'left thermostatic' 'oven' 'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,'48 griddle',,,859885,11981959,'plus cabinet base standing pilot',,'nsf','nsf',,'1075.00 ',rewo_18297,cdi_5900,'stainless steel','left standing pilot 1' 'battery','saute burners' 'standard grates','standard grates' 'shelf 6 adjustable','restaurant range gas','ultimate',,'restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4603ac-4tl range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_19806_cdi_5900,0,'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,'48 griddle',,,925358,11981959,'plus cabinet base standing pilot',,'nsf','nsf',,'1075.00 ',rewo_19806,cdi_5900,'stainless steel','left standing pilot 1' 'battery','standard grates','standard grates' 'shelf 6 adjustable','restaurant','ultimate','oven','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4601dc-3cl range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_26909_cdi_5900,0,'convection oven' 'flue riser with heavy duty shelf','(1) standard oven (1) cabinet',southbend,southbend,,'48 griddle',,,1217397,11981959,,,'legs' 'nsf','nsf',,'1075.00 ',rewo_26909,cdi_5900,'stainless steel','left standing pilot 1' 'battery','standard grates' 'saute burners','standard grates' 'shelf 6 adjustable','restaurant','ultimate',,'restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4601aa-6l range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_33770_cdi_512,0,'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,1494217,727208,'plus cabinet base 22','ultimate','legs' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_33770,cdi_512,'stainless steel',,'saute burners' 'standard grates standing pilot','standard grates' 'shelf 6 adjustable','restaurant',,'oven','restaurant'," "" 4483ac-3gr range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_3872_cdi_512,0,'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,202406,727208,'plus cabinet base 22','ultimate','nsf','stainless steel' 'nsf',,'660.00 ',rewo_3872,cdi_512,'burner front' 'stainless steel',,'burners in','standard grates' 'shelf 6 adjustable','restaurant' 'oven',,,'restaurant'," "" 4484ac-7r range, 48"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_15356_cdi_512,1,'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,727208,727208,,'ultimate','nsf','stainless steel' 'nsf',,'660.00 ',rewo_15356,cdi_512,'stainless steel',,'saute burners' 'standard grates','standard grates' 'shelf 6 adjustable','restaurant',,,'restaurant'," "" 4363c-2gl range, 36"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_71435_cdi_1072,0,,'(1) standard oven electric',southbend,southbend,'12 griddle',,,,12266222,1407329,'duty shelf',,'stainless steel' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_71435,cdi_1072,,,'standard grates','standard grates' 'shelf 6 adjustable',,'restaurant','restaurant' 'oven base standing pilot','oven' 'includes 1 rack'," "" 4361d-1g 36"" wide range with oven""@en ""  oven | 30"" - heavy duty gas range""@en","ultimate restaurant range "" | culinary depot"""
rewo_31594_cdi_1072,1,,'(1) standard oven electric',southbend,southbend,,,,,1407329,1407329,,,'duty shelf' 'stainless steel' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_31594,cdi_1072,,,'standard grates','standard grates' 'shelf 6 adjustable',,'restaurant','restaurant' 'oven base standing pilot','oven' 'includes 1 rack'," "" h4361d-2gr range, 36"" restaurant, gas/electric""@en gas/electric | 30"" - heavy duty gas range""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_71435_cdi_4815,0,,'(1) standard oven electric',southbend,southbend,'12 griddle',,,,12266222,9315549,'duty shelf','ultimate','stainless steel' 'nsf','stainless steel' 'nsf',,'660.00 ',rewo_71435,cdi_4815,,,'standard grates','wavy grates standing pilot 1 electric hybrid' 'shelf 6 adjustable',,,'restaurant' 'oven base standing pilot','restaurant' 'oven' 'includes 1 rack'," "" 4361d-1g 36"" wide range with oven""@en ""  oven | 30"" - heavy duty gas range""@en","ultimate restaurant range "" | culinary depot"""
rewo_63800_cdi_4815,1,,'(1) standard oven electric',southbend,southbend,,,,,9315549,9315549,,'ultimate',,'stainless steel' 'nsf',,'660.00 ',rewo_63800,cdi_4815,'wavy grates electric standard',,,'wavy grates standing pilot 1 electric hybrid' 'shelf 6 adjustable',,,'restaurant' 'oven base','restaurant' 'oven' 'includes 1 rack'," "" h4362d range, 36"" restaurant, gas/electric""@en gas/electric | gas ranges""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_33897_cdi_886,0,'cabinet base' 'flue riser with heavy duty shelf','(1) standard oven (1) convection oven',southbend,southbend,,,,,1498882,1182192,,'ultimate','legs' 'nsf','nsf',,'1075.00 ',rewo_33897,cdi_886,'stainless steel','battery','saute burners' 'standard grates','wavy grates' 'shelf 6','restaurant',,,'restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4601cc-6r range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_4176_cdi_886,0,'oven' 'flue riser with heavy duty shelf','(1) standard oven (1) convection oven',southbend,southbend,,,,,216401,1182192,'plus cabinet base standing pilot','ultimate','nsf','nsf',,'1075.00 ',rewo_4176,cdi_886,'stainless steel','battery','standard grates' 'left thermostatic','wavy grates' 'shelf 6','restaurant',,,'restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4601ac-2tl range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_26079_cdi_886,1,,'(1) standard oven (1) convection oven',southbend,southbend,,,,,1182192,1182192,,'ultimate','standard and 1 convection' 'nsf','nsf',,'1075.00 ',rewo_26079,cdi_886,,'battery',,'wavy grates' 'shelf 6','restaurant',,'with wavy grates' 'oven base standing pilot' 'csa','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front'," "" 4602ad-3cl range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_33897_cdi_788,0,'cabinet base' 'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,1498882,1061302,,'ultimate','legs' 'nsf','stainless steel' 'legs' 'nsf',,'660.00 ',rewo_33897,cdi_788,'stainless steel',,'saute burners' 'standard grates','wavy grates' 'shelf 6 adjustable','restaurant',,,'restaurant'," "" 4601cc-6r range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_23106_cdi_788,1,'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,1061302,1061302,,'ultimate','nsf','stainless steel' 'legs' 'nsf',,'660.00 ',rewo_23106,cdi_788,'stainless steel',,,'wavy grates' 'shelf 6 adjustable','restaurant',,'with wavy grates','restaurant'," "" 4362c-2gr range, 36"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_47558_cdi_788,0,'flue riser with heavy duty shelf','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,3973943,1061302,'ultimate','ultimate','nsf','stainless steel' 'legs' 'nsf',,'660.00 ',rewo_47558,cdi_788,'stainless steel',,,'wavy grates' 'shelf 6 adjustable',,,'restaurant' 'with wavy grates standing pilot 1 convection oven' 'plus cabinet base','restaurant'," "" 4482ac range, 48"" restaurant, gas""@en restaurant gas | heavy duty range""@en ""  range","ultimate restaurant range "" | culinary depot"""
rewo_33897_cdi_1151,1,'cabinet base' 'flue riser with heavy duty shelf','(2) cabinets',southbend,southbend,,,,,1498882,1498882,,,'legs' 'nsf','legs' 'nsf',,'1075.00 ',rewo_33897,cdi_1151,'stainless steel','saut burners' 'stainless steel','saute burners' 'standard grates','burners rear' 'shelf 6 adjustable','restaurant','restaurant' 'left',,," "" 4601cc-6r range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_36117_cdi_2663,0,'oven' 'flue riser with heavy duty shelf','flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,,,,1588714,4357599,'back standard grates' 'plus cabinet base standing pilot','ultimate','nsf','stainless steel' 'nsf',,'1075.00 ',rewo_36117,cdi_2663,'stainless steel','battery','saute burners' 'left thermostatic','standard grates' 'shelf 6 adjustable','restaurant',,,'restaurant' 'rear' 'oven'," "" 4604ac-4tl range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_36117_cdi_1225,1,'oven' 'flue riser with heavy duty shelf','oven' 'flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,'48 griddle',,,1588714,1588714,'back standard grates' 'plus cabinet base standing pilot',,'nsf','stainless steel' 'nsf',,'1075.00 ',rewo_36117,cdi_1225,'stainless steel','left thermostatic' 'battery','saute burners' 'left thermostatic','standard grates' 'shelf 6 adjustable','restaurant','restaurant range gas',,'burners' 'rear'," "" 4604ac-4tl range, 60"" restaurant, gas""@en ""  range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_307_cdi_1225,0,'cabinet base' 'flue riser with heavy duty shelf','oven' 'flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,'48 griddle',,,15750,1588714,,,'nsf','stainless steel' 'nsf',,'1075.00 ',rewo_307,cdi_1225,'stainless steel','left thermostatic' 'battery','left thermostatic','standard grates' 'shelf 6 adjustable','restaurant','restaurant range gas','with wavy grates','burners' 'rear'," "" 4602cc-2tl range, 60"" restaurant, gas""@en restaurant ""  range","ultimate restaurant range "" | culinary depot"""
rewo_55797_cdi_4577,0,,,bon chef,bon chef,,,,,6829484,8839268,,,,,,,rewo_55797,cdi_4577,'12' 'pewter',,,,,,'water pitcher' 'h aluminum' 'glo','h aluminum' 'with pewter' 'glo'," "" 4013p pitcher aluminum""@en "" bon","aluminum supreme insert case ""bon | culinary depot"""
rewo_64240_cdi_4577,0,,,bon chef,bon chef,,,,,9429510,8839268,'with pewter' 'pewter',,,,'20 13' '5501 aluminum',,rewo_64240,cdi_4577,,,'e z',,,,'glo','h aluminum' 'with pewter' 'glo'," "" 52021p tile inset""@en "" bon","aluminum supreme insert case ""bon | culinary depot"""
rewo_62212_cdi_3272,0,,,bon chef,bon chef,,,,,8852316,5613609,,,,'nsf',,,rewo_62212,cdi_3272,,,'ceramic look','butter plate 6' 'ceramic look',,,,," "" 9111s display tray, market / bakery""@en "" bon tray bakery | serving and trays""@en","round aluminum bread & butter plate case ""bon | culinary depot"""
rewo_33467_cdi_3272,0,,,bon chef,bon chef,,,,,1482755,5613609,,,,'nsf',,,rewo_33467,cdi_3272,,,'ceramic look','butter plate 6' 'ceramic look','oblong',,,," "" 91019113s serving & display tray, metal""@en metal | trays""@en "" bon tray","round aluminum bread & butter plate case ""bon | culinary depot"""
rewo_41585_cdi_4884,0,'self contained refrigeration systems with' 'nsf cul',,randell,randell,,'2 casters','interior',,1805781,9478377,,'series flexible refrigerator or freezer work' 'stainless steel',,,,'891.00 ' 'triple stacked',rewo_41585,cdi_4884,'series refrigerator freezer' 'electronic' 'front and sides',,'two drawers','finished top' 'exterior casters',,,'thaw' 'chef s','table single' 'self contained refrigeration systems with electronic'," "" fx2-4n1cs refrigerator freezer, convertible""@en convertible | fx series freezer""@en ""  freezer","fx series flexible refrigerator or freezer work table "" | culinary depot"""
rewo_16212_cdi_7056,0,,,john boos,john boos,,,,,766501,14857972,,,'beeswax','maple','35 h',"'165.00 ' '36""'",rewo_16212,cdi_7056,'maple',,,'beeswax',,,'thick eliptical hard' 'edge grain butcher block surface','end grain butcher block surface boos block' 'painted base'," "" c-elip7230175-2s table, utility""@en "" john table","jasmine block ""john | culinary depot"""
rewo_45068_cdi_1894,0,,,bon chef,bon chef,,,,,2942959,2951480,,,,,,,rewo_45068,cdi_1894,'oyster cocktail fork',,,'anne oyster cocktail fork',,,,," "" s2108 fork, cocktail oyster""@en oyster | forks""@en "" bon fork","18/8 stainless steel queen anne oyster/cocktail fork pack of 12 ""bon | culinary depot"""
rewo_45094_cdi_1894,1,,,bon chef,bon chef,,,,,2951480,2951480,,,,,,,rewo_45094,cdi_1894,,,'anne oyster cocktail fork','anne oyster cocktail fork',,,,," "" s1808 fork, cocktail oyster""@en "" bon fork oyster | forks""@en","18/8 stainless steel queen anne oyster/cocktail fork pack of 12 ""bon | culinary depot"""
rewo_45068_cdi_1870,1,,,bon chef,bon chef,,,,,2942959,2942959,,,,,,,rewo_45068,cdi_1870,'oyster cocktail fork','oyster cocktail fork',,,,,,," "" s2108 fork, cocktail oyster""@en oyster | forks""@en "" bon fork","18/8 stainless steel breeze oyster/cocktail fork pack of 12 ""bon | culinary depot"""
rewo_33128_cdi_4875,0,,,john boos,john boos,,'20 d',,,1468421,9459496,,,,,,,rewo_33128,cdi_4875,'16 300 stainless steel','stainless steel','60 l','kits for e series sinks',,,,," "" cdt6-ls60ssk dishtable, undershelf""@en "" john dishtable","leg bracing kits set ""john | culinary depot"""
rewo_60081_cdi_4875,0,,,john boos,john boos,'30 d','20 d',,,8180757,9459496,,,,,,,rewo_60081,cdi_4875,'stainless steel' 'gmt series tables','stainless steel',,'kits for e series sinks',,,'table dunnage undershelf',," "" jb12tc work table, undershelf""@en "" john table","leg bracing kits set ""john | culinary depot"""
rewo_79844_cdi_3042,0,,,john boos,john boos,,,,,15337150,5181217,,'wire' 'chrome plated','chrome plated' 'chrome','chrome',,'16.00 ',rewo_79844,cdi_3042,,'nsf',,,,,'shelving','60'," "" cs-1454 shelving, wire""@en "" john shelving","shelf ""john | culinary depot"""
rewo_38329_cdi_978,0,'legs with boxed crossrails','legs with boxed crossrails',eagl,advance tabco,,'77 l',,,1679149,1290728,,,'nsf' 'stainless steel','nsf',"'20 front' '9 1/2""'","'20 front' '173.00 ' '8""'",rewo_38329,cdi_978,'stainless steel',,'open frame','open frame' 'gauge','compartment',,,'compartment with left hand drainboard' 'deep with'," ""e fn2040-2-24r14/3 sink, (2) two compartment""@en compartment | sinks with drainboard""@en "" e sink","regaline sink ""advance | culinary depot"""
rewo_28748_cdi_978,1,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'77 l','77 l',,,1290728,1290728,,,'nsf' 'stainless steel','nsf',"'20 front' '8""'","'20 front' '173.00 ' '8""'",rewo_28748,cdi_978,,,'open frame' 'gauge','open frame' 'gauge',,,'compartment with left hand drainboard' 'deep with','compartment with left hand drainboard' 'deep with'," "" 93-3-54-18l sink, (3) three compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
