Base_x,Base_y,Capacity_x,Capacity_y,Category_x,Category_y,Color_x,Color_y,Finish_x,Finish_y,Height_x,Height_y,Material_x,Material_y,Product Type_x,Product Type_y,Shape_x,Shape_y,Style_x,Style_y,brand_x,brand_y,cluster_id,description_x,description_y,id_org_x,id_org_y,title_x,title_y
,'legs with boxed crossrails','20 wide',,,,,,,,'162.00',"'162.00 Pound(s)', '8""'",,,'open frame','open frame',,'12','compartment with left right hand drainboards',"'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",374374,"""Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 20"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 27"" F/B x 93"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 20""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 27"" F/B x 93"" L/R, NSF
"" ",12166886,5968734," ""Advance Tabco 9-22-40-24RL 93"" 2-Compartment Sink w/ 20""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-22-40-24RL Regaline Sink ""Advance | Culinary Depot"""
,'legs with boxed crossrails','109 l','109 l',,,,,'nsf','nsf','169.00',"'169.00 Pound(s)', '8""'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",'12','12','compartment with left right hand drainboards',"'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",374993,"""Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 16"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 109"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 16""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 109"" L/R, NSF
"" ",8136115,16783761," ""Advance Tabco 93-2-36-36RL 109"" 2-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 93-2-36-36RL Regaline Sink ""Advance | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'",'60 3',,,,"'right wavy grates standing pilot 2', 'per oven', 'right wavy grates standing pilot 2', 'per oven'","'ultimate', 'right wavy grates standing pilot 2', 'per oven'","'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'saut burners', 'battery', 'stainless steel', 'battery', 'stainless steel'","'saut burners', 'battery', 'stainless steel'","'lp gas', 'burners rear', 'shelf 6 adjustable', 'burners rear', 'shelf 6 adjustable'","'burners rear', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",,"'LP', 'NG'",'restaurant',"""Southbend""@en","""Southbend""",378357,"""Ultimate Restaurant Range, LP gas, 60"", (3) star/sauté burners front left, (2) pyromax burners rear left, (4) non-clog burners right, wavy grates, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 351,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) star/sauté burners front left, (2) pyromax burners rear left, (4) non-clog burners right, wavy grates, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 351,000 BTU, CSA, NSF
"" ",6801534,7392940," ""Southbend 4602AA-6L 60"" 9-Burner Gas Range, LP""@en LP ""@en Range"," "" Southbend 4602AA-6L Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'left standing pilot', 'left standing pilot', 'Standard Oven', 'Standard Oven'","'left standing pilot', '(1) standard oven'",,,,,'ultimate',,"'nsf', 'nsf'",'nsf',"'660.00', '660.00'",'660.00 Pound(s)',"'burner front', 'battery', 'battery'",'battery',"'lp gas', 'shelf 6 adjustable', 'standard grates', 'shelf 6 adjustable'","'standard grates', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",'restaurant',"'standard grates', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",378552,"""Ultimate Restaurant Range, NG gas, 36"", (1) star/sauté burner front, (1) non-clog burner, standard grates, (1) 24"" griddle left, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 159,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 36"", (1) star/sauté burner front, (1) non-clog burner, standard grates, (1) 24"" griddle left, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 159,000 BTU, CSA, NSF
"" ",8379101,13742468," ""Southbend 4364D-2GL 36"" 2-Burner Gas Range with Griddle, NG""@en NG ""@en Griddle"," "" Southbend 4364D-2GL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'standard ovens', 'standard ovens', 'Standard Oven', 'Standard Oven'","'standard ovens', '(2) standard ovens'",'60 6',,,,"'restaurant range', 'restaurant range'",'ultimate',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'oven', 'battery', 'oven'","'battery', 'oven'","'lp gas', 'standard grates', 'standard grates'",'standard grates',,,"'per', 'per', 'LP', 'NG'","'restaurant', 'per'","""Southbend""@en","""Southbend""",387399,"""Ultimate Restaurant Range, NG gas, 60"", (6) non-clog burners, standard grates, (1) 24"" griddle right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 336,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) non-clog burners, standard grates, (1) 24"" griddle right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 336,000 BTU, CSA, NSF
"" ",11899003,8752373," ""Southbend 4601DD-2GR 60"" 6-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4601DD-2GR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,'legs with side crossrails','58 l','58 l',,,,,'nsf','nsf','90.00',"'90.00 Pound(s)', '8""'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",'12','12','compartment with left hand drainboard',"'compartment with left hand drainboard', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",389431,"""Regaline Sink, 1-compartment, with left-hand drainboard, 20"" front-to-back x 16"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 58"" L/R, NSF""@en ","""
Regaline Sink, 1-compartment, with left-hand drainboard, 20"" front-to-back x 16""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 58"" L/R, NSF
"" ",15839839,193525," ""Advance Tabco 93-1-24-36L 58"" 1-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-1-24-36L Regaline Sink ""Advance | Culinary Depot"""
"'left manual', 'standard ovens', 'left manual', 'standard ovens', 'Standard Oven', 'Standard Oven'","'left manual', 'standard ovens', '(2) standard ovens'","'2 crumb', '2 crumb'",'2 crumb',,,,,"'nsf', 'nsf'",'nsf',"'860.00', '860.00'",'1075.00 Pound(s)',"'oven', 'stainless steel', 'oven', 'stainless steel'","'oven', 'stainless steel'","'open burners', 'shelf hinged', 'shelf', 'ccsaus csa flame csa star', 'open burners', 'shelf hinged', 'shelf', 'ccsaus csa flame csa star'","'shelf hinged', 'shelf'","'valve panel includes', 'valve panel includes'",'valve panel includes',"'s series restaurant', 'NG', 'LP'","'s series restaurant', 'open burners'","""Southbend""@en","""Southbend""",395198,"""S-Series Restaurant Range, NG gas, 60"", (4) 28,000 BTU open burners, (1) 36"" griddle left, manual controls, (2) standard ovens, snap action thermostat, removable cast iron grates, (2) crumb drawers & shelf, hinged lower valve panel, includes (1) rack per oven, stainless steel front, sides, shelf, 4"" front rail & 6"" adjustable legs, 246,000 BTU, cCSAus, CSA Flame, CSA Star, NSF""@en ","""
S-Series Restaurant Range, gas, 60"", (4) 28,000 BTU open burners, (1) 36"" griddle left, manual controls, (2) standard ovens, snap action thermostat, removable cast iron grates, (2) crumb drawers & shelf, hinged lower valve panel, includes (1) rack per oven, stainless steel front, sides, shelf, 4"" front rail & 6"" adjustable legs, 246,000 BTU, CSA, NSF
"" ",15119784,8765006," ""Southbend S60DD-3GL 60"" 4-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend S60DD-3GL S-Series Restaurant Range ""Southbend | Culinary Depot"""
,'legs with boxed crossrails',,,'12',,,,'nsf','nsf','194.00',"'194.00 Pound(s)', '8""'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",,,"'compartment with right hand', 'back'","'compartment with right hand', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",395269,"""Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF
"" ",10293153,16467322," ""Advance Tabco 93-42-48-24R 80"" 2-Compartment Sink w/ 24""L x 24""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-42-48-24R Regaline Sink ""Advance | Culinary Depot"""
,'legs with boxed crossrails','133 l','133 l',,,,,,,'327.00',"'350.00 Pound(s)', '8""'",,,'open frame','open frame',,,"'compartment with right hand', 'back', 'deep with'","'compartment with right hand', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",401734,"""Regaline Sink, 4-compartment, with right-hand drainboard, 24"" front-to-back x 24"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 133"" L/R NSF (requires 2 faucets)""@en ","""
Regaline Sink, 4-compartment, with right-hand drainboard, 24"" front-to-back x 24""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 133"" L/R NSF (requires 2 faucets)
"" ",17245114,3252365," ""Advance Tabco 9-44-96-24R 133"" 4-Compartment Sink w/ 24""L x 24""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-44-96-24R Regaline Sink ""Advance | Culinary Depot"""
"'Standard/Convection Oven', 'Standard/Convection Oven'","'(1) standard oven, (1) convection oven'",,,,,'restaurant range','ultimate',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'battery'",'battery',"'lp gas', 'burners', 'shelf 6 adjustable', 'burners', 'shelf 6 adjustable'","'burners', 'shelf 6 adjustable'",'restaurant range',,"'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'restaurant', 'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",403236,"""Ultimate Restaurant Range, NG gas, 60"", (4) pyromax burners, (1) 24"" griddle right, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 285,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (4) pyromax burners, (1) 24"" griddle right, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 285,000 BTU, CSA, NSF
"" ",6420082,12369450," ""Southbend 4607AD-2GR 60"" 4-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4607AD-2GR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,'6',,,,,,,,"'30', '231.00'","'12 x 20', '231.00 Pound(s)'",'30p energy star','30p energy star','mechanical timer','mechanical timer',,,'deep pans vacuum cooking','deep pans vacuum cooking',"""Accutemp""@en","""AccuTemp""",406674,"""Steam'N'Hold™ Convection Steamer, countertop, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 6kw, 208/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR®""@en ","""
Steam'N'Hold Boilerless Convection Steamer, countertop, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 6kw, 208/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR
"" ",17145292,5870931," ""Accutemp S62081D060 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 208v/1ph""@en 208v/1ph ""@en Capacity"," "" AccuTemp S62081D060 Steam'N'Hold Boilerless Convection Steamer ""AccuTemp | Culinary Depot"""
"'Convection Oven', 'Convection Oven'","'(1) convection oven, (1) cabinet'",'60 6','60 6',"'valve panel includes', 'valve panel includes'",'valve panel includes',,,"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'stainless steel front sides', 'stainless steel front sides'",'stainless steel front sides',"'open burners', 'shelf', 'lp gas', 'open burners', 'shelf'","'s series restaurant', 'open burners', 'shelf'",,,"'shelf hinged lower', 'shelf hinged lower', 'NG', 'LP'",'shelf hinged lower',"""Southbend""@en","""Southbend""",406938,"""S-Series Restaurant Range, LP gas, 60"", (6) 28,000 BTU open burners, (1) 24"" raised griddle/broiler, manual controls, (1) convection oven, (1) cabinet base, snap action thermostat, removable cast iron grates, crumb drawer & shelf, hinged lower valve panel, includes (2) racks, stainless steel front, sides, shelf, 4"" front rail & 6"" adjustable legs, 236,500 BTU, CSA, NSF""@en ","""
S-Series Restaurant Range, gas, 60"", (6) 28,000 BTU open burners, (1) 24"" raised griddle/broiler, manual controls, (1) convection oven, (1) cabinet base, snap action thermostat, removable cast iron grates, crumb drawer & shelf, hinged lower valve panel, includes (2) racks, stainless steel front, sides, shelf, 4"" front rail & 6"" adjustable legs, 236,500 BTU, CSA, NSF
"" ",5334974,7437794," ""Southbend S60AC-2RR 60"" 6-Burner Gas Range with Griddle & Broiler, LP""@en Broiler LP ""@en"," "" Southbend S60AC-2RR S-Series Restaurant Range ""Southbend | Culinary Depot"""
,,,,,,,'stainless steel',,,,,,,,'fits pot','229012b 229012sp or 229012stm',,,,"""Town""@en","""Town Equipment""",413935,"""X Rack, 12"", s/s, fits pot 229012B, 229012SP or 229012STM""@en ","""
""X"" Rack, 12"", stainless steel, fits pot 229012B, 229012SP or 229012STM
"" ",9763337,10239318," ""Town 229012XR Stainless Steel X Rack, 12 in""@en in ""@en Rack"," "" Town Equipment 229012XR X Rack ""Town | Culinary Depot"""
,'legs with boxed crossrails',,,,,,,,,'346.00',"'8""', '346.00 Pound(s)'","'front to', 'nsf'","'front to', '12', 'nsf'","'open frame', 'gauge'","'open frame', 'gauge'",,,"'compartment with left right hand drainboards', 'deep with'","'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",416196,"""Regaline Sink, 3-compartment, with left & right-hand drainboards, 28"" front-to-back x 20"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 35"" F/B x 139"" L/R, NSF""@en ","""
Regaline Sink, 3-compartment, with left & right-hand drainboards, 28"" front-to-back x 20""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 35"" F/B x 139"" L/R, NSF
"" ",7146471,8869057," ""Advance Tabco 93-83-60-36RL 139"" 3-Compartment Sink w/ 20""L x 28""W Bowl, 12"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 93-83-60-36RL Regaline Sink ""Advance | Culinary Depot"""
,'legs with boxed crossrails',,,'12',,,,'nsf','nsf','235.00',"'235.00 Pound(s)', '8""'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",,,"'compartment with right hand', 'back'","'compartment with right hand', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",418776,"""Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 31"" F/B x 92"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 31"" F/B x 92"" L/R, NSF
"" ",60309,2547861," ""Advance Tabco 93-42-48-36R 92"" 2-Compartment Sink w/ 24""L x 24""W Bowl, 12"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 93-42-48-36R Regaline Sink ""Advance | Culinary Depot"""
'Space Saver Oven','(2) standard / space saver ovens',,,,'front','oven','oven','nsf','nsf','735.00','735.00 Pound(s)','front',,'burners rear','burners rear',"'restaurant range', 'left standing pilot'",'left standing pilot','NG','restaurant',"""Southbend""@en","""Southbend""",431338,"""Ultimate Restaurant Range, NG gas, 48"", (3) non-clog burners front right, (2) pyromax burners rear right, (1) star/sauté burner front left, (1) non-clog rear left, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 335,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 48"", (3) non-clog burners front right, (2) pyromax burners rear right, (1) star/sauté burner front left, (1) non-clog rear left, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 335,000 BTU, CSA, NSF
"" ",11630359,12972746," ""Southbend 4484EE-5R 48"" 7-Burner Gas Range, NG""@en Range NG ""@en"," "" Southbend 4484EE-5R Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'",'60 3',,,,"'per oven', 'per oven'",'per oven',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'stainless steel', 'battery', 'stainless steel'","'saut burners', 'battery', 'stainless steel'","'burners rear', 'shelf 6 adjustable', 'lp gas', 'saut burners', 'burners rear', 'shelf 6 adjustable'","'burners rear', 'shelf 6 adjustable'","'restaurant', 'restaurant range'",'restaurant',"'burners', 'NG', 'LP'",,"""Southbend""@en","""Southbend""",434832,"""Ultimate Restaurant Range, NG gas, 60"", (3) star/sauté burners front, (2) pyromax burners rear, (1) 24"" griddle right, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 291,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) star/sauté burners front, (2) pyromax burners rear, (1) 24"" griddle right, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 291,000 BTU, CSA, NSF
"" ",8628789,17517607," ""Southbend 4606AA-2TR 60"" 5-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4606AA-2TR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,'legs with boxed crossrails','20 wide',,,,,,,,'184.00',"'184.00 Pound(s)', '8""'",,,"'open frame', 'gauge'","'open frame', 'gauge'",,'12','compartment with left right hand drainboards',"'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",435083,"""Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 20"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 93"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 20""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 93"" L/R, NSF
"" ",12223860,7432257," ""Advance Tabco 93-22-40-24RL 93"" 2-Compartment Sink w/ 20""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-22-40-24RL Regaline Sink ""Advance | Culinary Depot"""
"'Standard Oven', 'Standard Oven'",'(1) standard oven',,,,,'ultimate',,"'nsf', 'nsf'",'nsf',"'660.00', '660.00'",'660.00 Pound(s)',"'battery', 'battery'",'battery',"'lp gas', 'standard grates', 'shelf 6 adjustable', 'standard grates', 'shelf 6 adjustable'","'standard grates', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",'restaurant',"'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",438138,"""Ultimate Restaurant Range, NG gas, 36"", (2) star/sauté burners, standard grates, (1) 24"" charbroiler left, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 175,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 36"", (2) star/sauté burners, standard grates, (1) 24"" charbroiler left, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 175,000 BTU, CSA, NSF
"" ",2341245,5939942," ""Southbend 4363D-2CL 36"" 2-Burner Gas Range with Charbroiler, NG""@en Charbroiler NG ""@en"," "" Southbend 4363D-2CL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'left thermostatic', 'flue riser with shelf', 'left thermostatic', 'flue riser with shelf', 'Convection Oven', 'Convection Oven'","'left thermostatic', 'flue riser with shelf', '(1) convection oven'",,,,,'ultimate',,"'stainless steel', 'nsf', 'stainless steel', 'nsf'","'stainless steel', 'nsf'","'660.00', '660.00'",'660.00 Pound(s)',"'battery', 'battery'",'battery',"'lp gas', 'standard grates', 'shelf 6 adjustable', 'standard grates', 'shelf 6 adjustable'","'standard grates', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",'restaurant',"'grates standing pilot 1 convection oven', 'grates standing pilot 1 convection oven', 'LP', 'NG'",'grates standing pilot 1 convection oven',"""Southbend""@en","""Southbend""",440306,"""Ultimate Restaurant Range, NG gas, 36"", (2) star/sauté burners, standard grates, (1) 24"" griddle left, thermostatic controls, standard grates, standing pilot, (1) convection oven with battery spark ignition, includes (3) racks, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 146,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 36"", (2) star/sauté burners, standard grates, (1) 24"" griddle left, thermostatic controls, standard grates, standing pilot, (1) convection oven with battery spark ignition, includes (3) racks, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 146,000 BTU, CSA, NSF
"" ",4503748,1857482," ""Southbend 4363A-2TL 36"" 2-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4363A-2TL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'",'60 6',,,,"'per oven', 'per oven'",'per oven',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'stainless steel', 'battery', 'stainless steel'","'battery', 'stainless steel'","'lp gas', 'saut burners', 'left thermostatic', 'shelf 6 adjustable', 'left thermostatic', 'shelf 6 adjustable'","'left thermostatic', 'shelf 6 adjustable'",'restaurant range',,"'LP', 'NG'","'ultimate', 'restaurant'","""Southbend""@en","""Southbend""",442127,"""Ultimate Restaurant Range, LP gas, 60"", (6) star/sauté burners, (1) 24"" griddle left, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 310,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) star/sauté burners, (1) 24"" griddle left, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 310,000 BTU, CSA, NSF
"" ",16856400,11698825," ""Southbend 4603AA-2TL 60"" 6-Burner Gas Range with Griddle, LP""@en LP ""@en Griddle"," "" Southbend 4603AA-2TL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,,,,,,,,'lid fits dx1105 bowl',,,,,"'lid', 'flat translucent'",,,'flat',,'classic disposable',"""Dinex""@en","""Dinex""",443708,"""Classic Disposable Lid, fits DX1105 bowl, DX1190 tumbler, DX1197 mug, and DX3615 monkey dish, flat, translucent ""@en ","""
Classic Disposable Lid, fits DX1105 bowl, DX1190 tumbler, DX1197 mug, and DX3615 monkey dish, flat, translucent (2,000 each per case)
"" ",13745789,8871225," ""Dinex DX11948714 Disposable Translucent Lid for DX1105, DX1190, DX1197, DX3615""@en DX1197 DX3615 ""@en DX1190 DX1105"," "" Dinex DX11948714 Translucent Classic Disposable Lid Case ""Dinex | Culinary Depot"""
