ids,label,katom_base,cdi_base,katom_brand,cdi_brand,katom_capacity,cdi_capacity,katom_category,cdi_category,katom_cluster_id,cdi_cluster_id,katom_color,cdi_color,katom_finish,cdi_finish,katom_height,cdi_height,katom_id,cdi_id,katom_material,cdi_material,katom_product_type,cdi_product_type,katom_shape,cdi_shape,katom_style,cdi_style,katom_title,cdi_title
katom_3156_cdi_419,1,'flue riser with shelf' 'convection oven','flue riser with shelf' '(1) convection oven',southbend,southbend,,,,,584205,584205,'ultimate','ultimate','stainless steel' 'nsf','stainless steel' 'nsf','660.00','660.00 ',katom_3156,cdi_419,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant range',,'oven' 'restaurant' 'lp' 'ng','restaurant' 'oven',"36"" 2-burner gas range with charbroiler, lp""@en lp ""@en charbroiler","ultimate restaurant range "" | culinary depot"""
katom_17631_cdi_518,0,'standard ovens' 'standard oven','convection ovens' '(2) convection ovens',southbend,southbend,,'48 griddle',,,9040804,733185,,'per oven','nsf','nsf','1075.00','1075.00 ',katom_17631,cdi_518,'battery' 'oven','left standing pilot' 'battery' 'stainless steel','lp gas' 'burners' 'standard grates','standard grates' 'shelf 6','restaurant','restaurant','rear' 'per' 'lp',,"60"" 4-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_3965_cdi_518,1,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'48 griddle','48 griddle',,,733185,733185,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_3965,cdi_518,'left standing pilot' 'battery' 'stainless steel','left standing pilot' 'battery' 'stainless steel','lp gas' 'standard grates' 'shelf 6','standard grates' 'shelf 6',,'restaurant','lp' 'ng',,"60"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_17631_cdi_4123,0,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,9040804,7763564,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_17631,cdi_4123,'battery' 'oven','battery' 'oven','lp gas' 'burners' 'standard grates','standard grates','restaurant',,'rear' 'per' 'lp','restaurant' 'per',"60"" 4-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_22_cdi_458,0,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,5339,654628,,,'nsf','nsf','1075.00','1320.00 ',katom_22,cdi_458,'battery' 'oven','battery' 'oven','standard grates','left thermostatic','restaurant range','restaurant','per' 'ng','per',"60"" 6-burner gas range with griddle & broiler, ng""@en ng ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_22_cdi_4,1,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,5339,5339,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_22,cdi_4,'battery' 'oven','battery' 'oven','standard grates','standard grates','restaurant range',,'per' 'ng','restaurant' 'per',"60"" 6-burner gas range with griddle & broiler, ng""@en ng ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_7545_cdi_1013,0,'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,1358185,1348509,,,'nsf','nsf','1075.00','1075.00 ',katom_7545,cdi_1013,'oven','battery' 'oven','burners rear','standard grates','restaurant range','restaurant','burners' 'standard ovens with battery' 'per' 'ng','per',"60"" 5-burner gas range with griddle, ng""@en ng ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_6975_cdi_1013,0,'left thermostatic' 'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,1253159,1348509,'ultimate',,'legs' 'nsf','nsf','1075.00','1075.00 ',katom_6975,cdi_1013,'battery' 'oven','battery' 'oven','wavy grates','standard grates',,'restaurant','restaurant' 'per' 'ng','per',"60"" 6-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_7496_cdi_1013,1,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,'60 6',,,,1348509,1348509,,,'nsf','nsf','1075.00','1075.00 ',katom_7496,cdi_1013,'battery' 'oven','battery' 'oven','standard grates' 'lp gas','standard grates',,'restaurant','per' 'ng' 'lp','per',"60"" 6-burner gas range with charbroiler, lp""@en charbroiler lp ""@en","ultimate restaurant range "" | culinary depot"""
katom_7545_cdi_1025,1,'standard oven','(2) standard ovens',southbend,southbend,,,,,1358185,1358185,,,'nsf','nsf','1075.00','1075.00 ',katom_7545,cdi_1025,'oven','saut burners' 'oven','burners rear','burners rear','restaurant range','restaurant','burners' 'standard ovens with battery' 'per' 'ng','standard ovens with battery' 'per',"60"" 5-burner gas range with griddle, ng""@en ng ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_18963_cdi_4808,0,'standard/convection oven','flue riser with shelf' '(1) convection oven electric',southbend,southbend,'60 3',,,'front',10176038,9315366,,'ultimate','nsf','oven incudes' 'stainless steel' 'nsf','1075.00','660.00 ',katom_18963,cdi_4808,'saut burners' 'battery','back','lp gas' 'burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','shelf 6 adjustable','restaurant range' 'restaurant','pyromax burners','oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'grates standing pilot 1 electric hybrid',"60"" 9-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_18963_cdi_100,0,'standard/convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'60 3',,,,10176038,134867,,'ultimate restaurant' 'per oven','nsf','legs 375' 'nsf','1075.00','1075.00 ',katom_18963,cdi_100,'saut burners' 'battery','battery' 'stainless steel','lp gas' 'burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','burners rear' 'shelf 6 adjustable','restaurant range' 'restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','front right',"60"" 9-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_660_cdi_100,1,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'60 3',,,,134867,134867,'per oven','ultimate restaurant' 'per oven','legs 375' 'nsf','legs 375' 'nsf','1075.00','1075.00 ',katom_660,cdi_100,'front' 'battery' 'stainless steel','battery' 'stainless steel','burners rear' 'shelf 6 adjustable' 'lp gas','burners rear' 'shelf 6 adjustable','restaurant range' 'restaurant',,'ng' 'lp','front right',"60"" 9-burner gas range, ng""@en range ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_18963_cdi_781,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 3',,,,10176038,1051859,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_18963,cdi_781,'saut burners' 'battery','battery','lp gas' 'burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','burners right standard grates standing pilot 1 standard' 'shelf 6 adjustable','restaurant range' 'restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 9-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_536_cdi_781,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,108912,1051859,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_536,cdi_781,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners right standard grates standing pilot 1 standard' 'shelf 6 adjustable','restaurant' 'restaurant range',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_5775_cdi_781,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,1051859,1051859,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_5775,cdi_781,'battery','battery','lp gas' 'shelf 6 adjustable' 'burners right standard grates standing pilot 1 standard','burners right standard grates standing pilot 1 standard' 'shelf 6 adjustable','restaurant range' 'restaurant',,'grates standing pilot 1 standard' 'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_18963_cdi_4721,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 3',,,,10176038,9111039,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_18963,cdi_4721,'saut burners' 'battery','saut burners' 'battery','lp gas' 'burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','restaurant range' 'restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 9-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_5140_cdi_4721,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,942640,9111039,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_5140,cdi_4721,'battery','saut burners' 'battery','lp gas' 'burners' 'shelf 6 adjustable','burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable','restaurant range',,'rear' 'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_4721,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,366406,9111039,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_4721,'battery','saut burners' 'battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners rear' 'left wavy grates standing pilot 1' 'shelf 6 adjustable',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_660_cdi_1271,0,'convection ovens' 'convection oven','oven' 'flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,'60 3','48 griddle',,,134867,1636626,'per oven',,'legs 375' 'nsf','stainless steel' 'nsf','1075.00','1075.00 ',katom_660,cdi_1271,'front' 'battery' 'stainless steel','battery','burners rear' 'shelf 6 adjustable' 'lp gas','wavy grates' 'left thermostatic' 'shelf 6 adjustable','restaurant range' 'restaurant',,'ng' 'lp','ultimate' 'restaurant',"60"" 9-burner gas range, ng""@en range ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_536_cdi_617,0,'standard/convection oven','oven' 'flue riser with shelf' '(1) convection oven',southbend,southbend,,,,,108912,872467,,,'nsf','stainless steel' 'nsf','1075.00','660.00 ',katom_536,cdi_617,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant' 'restaurant range','restaurant','oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng',,"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_4732_cdi_617,1,'oven' 'flue riser with shelf' 'convection oven','oven' 'flue riser with shelf' '(1) convection oven',southbend,southbend,,,,,872467,872467,,,'stainless steel' 'nsf','stainless steel' 'nsf','660.00','660.00 ',katom_4732,cdi_617,'burner front' 'battery','battery','lp gas' 'shelf 6 adjustable' 'standard grates','standard grates' 'shelf 6 adjustable','restaurant range','restaurant','standard grates' 'lp' 'ng',,"36"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_536_cdi_4910,0,'standard/convection oven','flue riser with shelf' '(1) convection oven (1) cabinet',southbend,southbend,,,,,108912,9519717,,,'nsf','stainless steel' 'nsf','1075.00','1075.00 ',katom_536,cdi_4910,'battery','saut burners' 'battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners rear' 'shelf 6 adjustable','restaurant' 'restaurant range','restaurant','oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','oven',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_536_cdi_3457,0,'standard/convection oven','flue riser with shelf' '(1) convection oven',southbend,southbend,,,,,108912,6108730,,'ultimate restaurant' 'standard grates standing pilot 1 convection oven','nsf','stainless steel' 'nsf','1075.00','660.00 ',katom_536,cdi_3457,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','shelf 6 adjustable','restaurant' 'restaurant range',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','in',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_536_cdi_83,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,108912,108912,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_536,cdi_83,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant' 'restaurant range',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_5775_cdi_809,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,1051859,1081158,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_5775,cdi_809,'battery','battery','lp gas' 'shelf 6 adjustable' 'burners right standard grates standing pilot 1 standard','burners' 'shelf 6 adjustable','restaurant range' 'restaurant',,'grates standing pilot 1 standard' 'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_5923_cdi_809,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,1081158,1081158,'restaurant range','ultimate','nsf','nsf','1075.00','1075.00 ',katom_5923,cdi_809,'battery','battery','lp gas' 'burners' 'shelf 6 adjustable','burners' 'shelf 6 adjustable','restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 4-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_5140_cdi_240,0,'standard/convection oven','(1) standard oven (1) cabinet',southbend,southbend,,,,,942640,315242,,,'nsf','nsf','1075.00','735.00 ',katom_5140,cdi_240,'battery','battery','lp gas' 'burners' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant range','restaurant','rear' 'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_5140_cdi_4922,0,'standard/convection oven','(1) standard oven (1) cabinet',southbend,southbend,,,,'front',942640,9547452,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_5140,cdi_4922,'battery','battery','lp gas' 'burners' 'shelf 6 adjustable','burners rear' 'shelf 6 adjustable','restaurant range',,'rear' 'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_9957_cdi_4922,0,'standard oven','(1) standard oven (1) cabinet',southbend,southbend,,,,'front',1778280,9547452,,'ultimate','nsf','nsf','660.00','1075.00 ',katom_9957,cdi_4922,'battery','battery','lp gas' 'wavy grates' 'shelf 6 adjustable','burners rear' 'shelf 6 adjustable','restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"36"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_5140_cdi_674,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,942640,942640,,,'nsf','nsf','1075.00','1075.00 ',katom_5140,cdi_674,'battery','battery','lp gas' 'burners' 'shelf 6 adjustable','shelf 6 adjustable','restaurant range',,'rear' 'oven' 'flue riser with shelf stainless steel' 'front' 'burners' 'lp' 'ng','restaurant' 'burners' 'rear' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_278,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,366406,366406,,,'nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_278,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,'restaurant','oven' 'flue riser with shelf stainless steel' 'front' 'lp','oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_6551_cdi_278,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 3',,,,1186618,366406,,,'nsf','nsf','1075.00','1075.00 ',katom_6551,cdi_278,'front' 'battery','battery','lp gas' 'burners rear' 'left wavy grates standing pilot standing pilot 1' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant range','restaurant','oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','oven' 'flue riser with shelf stainless steel' 'front',"60"" 9-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_5421_cdi_278,0,'convection ovens' 'convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,'convection ovens with battery',,994215,366406,'per oven' 'restaurant range',,'nsf','nsf','1075.00','1075.00 ',katom_5421,cdi_278,'stainless steel' 'battery','battery','shelf 6 adjustable' 'lp gas' 'saut burners','standard grates' 'shelf 6 adjustable','restaurant','restaurant','ng' 'lp','oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_5604_cdi_278,0,'standard ovens' 'standard oven','(1) standard oven (1) convection oven',southbend,southbend,'48 griddle',,,,1024087,366406,,,'nsf','nsf','1075.00','1075.00 ',katom_5604,cdi_278,'left thermostatic' 'battery' 'oven','battery','lp gas' 'wavy grates','standard grates' 'shelf 6 adjustable','restaurant range','restaurant','per' 'lp','oven' 'flue riser with shelf stainless steel' 'front',"60"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_1166,0,'standard/convection oven','standard ovens' '(2) standard ovens',southbend,southbend,'60 6',,,,366406,1519172,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_1166,'battery','battery' 'oven','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'per',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_8436_cdi_1166,1,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,1519172,1519172,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_8436,cdi_1166,'battery' 'oven','battery' 'oven','lp gas' 'standard grates','standard grates','restaurant range' 'restaurant',,'per' 'lp' 'ng','restaurant' 'per',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_1037,0,'standard/convection oven','(1) standard oven (1) cabinet',southbend,southbend,'60 6',,,,366406,1367788,,'ultimate','nsf','nsf','1075.00','735.00 ',katom_1942,cdi_1037,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_1124,0,'standard/convection oven','(1) standard oven (1) cabinet',southbend,southbend,'60 6',,,,366406,1471589,,,'nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_1124,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners right standard grates standing pilot 1 standard' 'shelf 6 adjustable',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','ultimate' 'restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_5399,0,'standard/convection oven','left thermostatic' '(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,366406,10797987,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_5399,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_1942_cdi_2654,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,366406,4343132,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_1942,cdi_2654,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','standard grates' 'shelf 6',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp','restaurant' 'burners' 'rear' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en lp ""@en broiler","ultimate restaurant range "" | culinary depot"""
katom_9765_cdi_2654,0,'standard ovens' 'standard oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,1746624,4343132,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_9765,cdi_2654,'battery' 'oven','battery','standard grates' 'lp gas','standard grates' 'shelf 6','restaurant range',,'per' 'ng' 'lp','restaurant' 'burners' 'rear' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_1386,0,'convection ovens' 'convection oven','flue riser with shelf' '(2) cabinets',southbend,southbend,,,,,257231,1760910,'per oven',,'nsf','stainless steel' 'legs' 'nsf','1075.00','1075.00 ',katom_1340,cdi_1386,'battery' 'stainless steel','saut burners','standard grates' 'shelf 6','burners rear' 'shelf 6 adjustable','restaurant','restaurant','ng','grates standing pilot 2 cabinets',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_1109,0,'convection ovens' 'convection oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,257231,1449201,'per oven','ultimate','nsf','nsf','1075.00','1075.00 ',katom_1340,cdi_1109,'battery' 'stainless steel','battery' 'oven','standard grates' 'shelf 6','standard grates','restaurant',,'ng','restaurant' 'per',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_8049_cdi_1109,1,'standard ovens' 'standard oven','standard ovens' '(2) standard ovens',southbend,southbend,,,,,1449201,1449201,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_8049,cdi_1109,'battery' 'oven','battery' 'oven','standard grates','standard grates','restaurant',,'per' 'ng','restaurant' 'per',"60"" 4-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_290,0,'convection ovens' 'convection oven','(1) standard oven (1) cabinet',southbend,southbend,,,,'front',257231,385684,'per oven','restaurant range gas','nsf','nsf','1075.00','1075.00 ',katom_1340,cdi_290,'battery' 'stainless steel','battery','standard grates' 'shelf 6','burners rear' 'shelf 6 adjustable','restaurant',,'ng','grates standing pilot 1 standard' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_3254_cdi_290,0,'standard oven','(1) standard oven (1) cabinet',southbend,southbend,,,,'front',604474,385684,'ultimate','restaurant range gas','nsf','nsf','660.00','1075.00 ',katom_3254,cdi_290,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners rear' 'shelf 6 adjustable','restaurant' 'restaurant range',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','grates standing pilot 1 standard' 'oven' 'flue riser with shelf stainless steel' 'front',"36"" 2-burner gas range with griddle, lp""@en griddle lp ""@en","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_3668,0,'convection ovens' 'convection oven','(1) standard oven (1) convection oven',southbend,southbend,,'48 griddle',,,257231,6500195,'per oven','ultimate','nsf','nsf','1075.00','1075.00 ',katom_1340,cdi_3668,'battery' 'stainless steel','left thermostatic' 'battery','standard grates' 'shelf 6','standard grates' 'shelf 6','restaurant',,'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_4732_cdi_3668,0,'oven' 'flue riser with shelf' 'convection oven','(1) standard oven (1) convection oven',southbend,southbend,,'48 griddle',,,872467,6500195,,'ultimate','stainless steel' 'nsf','nsf','660.00','1075.00 ',katom_4732,cdi_3668,'burner front' 'battery','left thermostatic' 'battery','lp gas' 'shelf 6 adjustable' 'standard grates','standard grates' 'shelf 6','restaurant range',,'standard grates' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"36"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_43,0,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,,,,,257231,53422,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_1340,cdi_43,'battery' 'stainless steel','saut burners' 'battery' 'stainless steel','standard grates' 'shelf 6','shelf 6 adjustable','restaurant','restaurant','ng','rear',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_270_cdi_43,1,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'60 3',,,,53422,53422,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_270,cdi_43,'battery' 'stainless steel','saut burners' 'battery' 'stainless steel','rear' 'shelf 6 adjustable' 'lp gas' 'saut burners','shelf 6 adjustable','restaurant','restaurant','restaurant' 'rear' 'ng' 'lp','rear',"60"" 6-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1340_cdi_199,1,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,,,,,257231,257231,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_1340,cdi_199,'battery' 'stainless steel','battery' 'stainless steel','standard grates' 'shelf 6','standard grates' 'shelf 6','restaurant','ultimate','ng','restaurant',"60"" 6-burner gas range with charbroiler, ng""@en charbroiler ng ""@en","ultimate restaurant range "" | culinary depot"""
