m4_id,m4_cid,m4_number,m4_length,m4_title,m4_artist,m4_year,m4_language,m4_filtering_attr,m2_id
461,4149,1,4m 57sec,001-Prayers for Rain,The Cure,,Egn.,001prayersforrainthecurehothothot,m4_461
462,8924,6,2m 56sec,006-Wenn ich einst gro bin,Heintje,,Ger.,006wennicheinstgrobinheintjeseinegroenerfolge,m4_462
463,1197,11,0m 35sec,011-Prelude E-Minor,Anti Cimex,,Eng.,011preludeeminoranticimexabsolutcountryofsweden,m4_463
464,1206,2,3m 9sec,002-,Pizzicato Five,,Jap.,002pizzicatofiveamessagesong,m4_464
465,9682,12,4m 2sec,012-Wild Horses,Beth Hart,,Eng.,012wildhorsesbethhartleavethelighton,m4_465
466,853,2,2m 29sec,002-Baby I'm Yours,Cass Elliot,,Eng.,002babyimyourscasselliotcasselliot,m4_466
467,4073,4,4m 55sec,First,The Incredible String Band,,Eng.,firsttheincrediblestringbandthebestof19661970,m4_467
468,2997,7,4m 10sec,007-All I Dreamed,Realite,,Eng.,007allidreamedrealiterealite1,m4_468
469,1213,5,2m 55sec,"005-Concerto Grosso in D major, Op. 6 No. 1: V. Largo",Arcangelo Corelli,,Eng.,005concertogrossoindmajorop6no1vlargoarcangelocorelli12concertigrossiop6,m4_469
470,1214,7,4m 50sec,007-Good Morning Blues,Abi Walleenstein,,Eng.,007goodmorningbluesabiwalleensteinbluescultureinconcert,m4_470
471,1216,8,2m 47sec,008-Juliette's Window,Black Print,,Eng.,008julietteswindowblackprintquincyshankssampler#5,m4_471
472,1218,7,2m 28sec,007-Pover,Kreng,,unknown,007poverkrengzomerep,m4_472
473,5724,10,2m 13sec,2m 13sec,Banjo Band Ivana Mladka,,Cze.,2m13secbanjobandivanamladkadobryden,m4_473
474,9095,B1,5m 27sec,0B1-Clover,"Earth, Wind & Fire",,Eng.,0b1cloverearthwind&fireheadtothesky,m4_474
475,1225,9,3m 49sec,009-'Round Midnight,Chris Connor,,Eng.,009roundmidnightchrisconnorchrisinpersonsingsgeorgegershwin,m4_475
476,713,11,4m 47sec,011-Exacto,The Human Echo,,EEng.,011exactothehumanechosonicblanket,m4_476
477,298,6,4m 3sec,006-,,,Rus.,006#@,m4_477
478,5361,8,4m 4sec,008-Tell Me a Lie,Janie Fricke,,Eng.,008tellmealiejaniefricke30yearsof#1hits,m4_478
479,5317,19,1m 43sec,019-Closing Riff / Special Message From Elvis' Father,Elvis Presley,,Eng.,019closingriffspecialmessagefromelvisfatherelvispresleyelvisinconcert,m4_479
480,1237, 9,3m 11sec,009-I'm Not a Fucking Drag Queen (edited film version),Peter Outerbridge,,Eng.,009imnotafuckingdragqueen,m4_480
481,6,9,4m 2sec,009-Ballade a donner,Luce Dufault,,Fre.,009balladeadonnerlucedufaultlucedufault,m4_481
482,1242,3,2m 51sec,003-Mr. Scrapper's Blues,Scrapper Blackwell,,Eng.,003mrscrappersbluesscrapperblackwellcompleterecordedworksinchronologicalordervolume119281932,m4_482
483,3511,5,4m 7sec,005-Audimat,Louis Bertignac,,Fre.,005audimatlouisbertignaclongtemps,m4_483
484,1248,7,5m 8sec,007-[bass solo],Metallica,,Eng.,007basssolometallica19890414battlecreekmiusa,m4_484
485,4876,10,2m 15sec,010-Limbo,Fischer-Z,,Eng.,010limbofischerzgoingdeafforaliving,m4_485
486,7842,1,unknown,001-[unknown],Garbage-A-Trois,,Eng.,001unknowngarbageatrois20090815faceoffgarageatrois40wattclubathensgausa,m4_486
487,1251,9,3m 10sec,009-Praca na saxach,Wojciech,,Pol.,009pracanasaxachwojciechkoledzy,m4_487
488,1254,10,2m 12sec,010-Just Because,Lil' Bit & The Customatics,,Eng.,010justbecauselilbit&thecustomaticsheadinon,m4_488
489,1255,4,5m 4sec,004-Snow,Loreena McKennitt,,Eng.,004snowloreenamckennittawintergadenfivesongsfortheseason,m4_489
490,9907,7,3m 35sec,007-Let U Go (airplay mix),ATB,,Eng.,007letugo,m4_490
491,1258,5,5m 3sec,"005-Suite fur Violoncello Nr. 2 in d-Moll, Op. 131c: Gavotte: Allegretto",Max Reger,,Ger.,005suitefurvioloncellonr2indmollop131cgavotteallegrettomaxregerdieklassiksammlung91regerspatromantischekammermusik,m4_491
492,1260,8,7m 17sec,008-Irish Setter,John Fahey,,Eng.,008irishsetterjohnfaheytheyellowprincess,m4_492
493,2546,8,2m 41sec,008-Born Again,Babe the Blue Ox,,Eng.,008bornagainbabetheblueoxbox,m4_493
494,1267,21,2m 11sec,021-Sahara And Dax / Taps,John Morgan and William Stromberg,,Eng.,021saharaanddaxtapsjohnmorganandwilliamstrombergstarshiptroopers2heroofthefederation,m4_494
495,5128,2,3m 56sec,002-Ma liberte,Gued-1,, re.,002malibertegued1lesgensveulentlargent,m4_495
496,1272,8,2m 51sec,Tyler's Song,Coal Chamber,,Eng.,tylerssongcoalchamberscream3,m4_496
497,1275,24,2m 27sec,024-If I Had a Boat,[unknown],,Eng.,024ifihadaboatunknownbestofsillysongparade,m4_497
498,1276,10,4m 2sec,010-Junkyard,The Rhombu,,Eng.,010junkyardtherhombumargins,m4_498
499,6901,7,2m 48sec,007-Sarah Appears (Alternate),Miklos Rozsa,,Eng.,007sarahappears,m4_499
500,1280,15,2m 16sec,015-I'm Walking,Fats Domino,,Eng.,015imwalkingfatsdomino16greatesthits,m4_500
501,7249,5,5m 29sec,005-Paradise Is Here,Tina Turner,,Eng.,005paradiseisheretinaturnerformeleinsspacehits,m4_501
502,1287,1,1m 15sec,001-Introduction,World Standard,,Eng.,001introductionworldstandardcountrygazette,m4_502
503,8522,7,2m 23sec,007-African Herbsman,Bob Marley,,Eng.,007africanherbsmanbobmarleythebestoftheupsetteryears19701971,m4_503
504,8686,2,3m 4 0sec,002-Make My Day,Flamingo Star,,East Volume Lotus - Mixed by Ping (2009),002makemydayflamingostareng,m4_504
505,1292,1,4m 1sec,001-Music for a while,Henry Purcell,,Eng.,001musicforawhilehenrypurcellhmgoldlestresors,m4_505
506,1296,5,5m 57sec,005- , ,,Rus.,005,m4_506
507,1297,19,4m 35sec,019-Der schwarze Stein (08/11),H. P. Lovecraft,,GGer.,019derschwarzestein,m4_507
508,1302,7,2m 25sec,007-Rock Love,Teresa Brewer,,Eng.,007rockloveteresabrewerteenagedanceparty,m4_508
509,1619,AA2,8m 43sec,AA2-The Awakening,Earth Leakage Trip,,EEng.,aa2theawakeningearthleakagetripthevirtualityep,m4_509
510,3803,6,11m 43sec,006-Osm,Ourson,,Eng.,006osmoursoneth,m4_510
511,8240,5,5m 53sec,005-Mujer de carbon,Los Gatos,,Spa.,005mujerdecarbonlosgatosrockdelamujerperdida,m4_511
512,1330,3,5m 15sec,003-Beso gitano,La Misma Gente,,Spa.,003besogitanolamismagentelomejor,m4_512
513,9909,12,unknown,012-ONLY YOU,,,Eng.,012onlyyou#uncontrolled,m4_513
514,1336,3,4m 23sec,003-Xanandra,Mago de Oz,,SRpa.,003xanandramagodeozhechizospocimasybrujeria,m4_514
515,6008,2,3m 41sec,002-Circles,Soul Coughing,,EngQ.,002circlessoulcoughing1077theendendsessions,m4_515
516,6036,3,2m 28sec,003-Topaz,Antonelli,,Eng.,003topazantonellitheblackoutquintet,m4_516
517,6817,7,2m 58sec,008-Can't Get Along (Without You),HardFi,,Eng.,008cantgetalong,m4_517
518,1341,7,11m 30sec,007-Baris,Byong!,,unknown,007barisbyonggamelanaltenberg,m4_518
519,5333,24,1m 58sec,024-Fruhstuckskorn,Die Toten Hosen,,Ger.,024fruhstuckskorndietotenhosenalldieganzenjahreraritaten7984,m4_519
520,3501,16,6m 6sec,0166-Eden,Chancho en Piedra,,unknown,0166edenchanchoenpiedrachancho6,m4_520
521,1347,35,0m 50sec,Messiah: 35. Let all the angels of God worship Him 20/B,Georg Friedrich Handeel,,Eng.,messiah35letalltheangelsofgodworshiphim20bgeorgfriedrichhandeellearnhandelsmessiahbassenhanced,m4_521
522,1726,17,3m 41sec,017-Surprise,Gnarls Barkley,,Eng.,017surprisegnarlsbarkleyfreshair,m4_522
523,1351,n.a .,3m 45sec,006-Tines Sang,Lars Lilholt,,unknown,006tinessanglarslilholtkalddetkrlighed,m4_523
524,2676,6,2m 43sec,006-De boca,Superaquello,,Spa.,006debocasuperaquellosiemprevasaestarconmigo,m4_524
525,8873,1,3m 38sec,001-In the Zone,Delbert Bump,,Eng.,001inthezonedelbertbumporganization,m4_525
526,4662,3,5m 51sec,003-Boulevard St. Germain,Bloomfield,,Eng.,003boulevardstgermainbloomfieldthebestoflounge3,m4_526
527,1369,17,3m 4sec,017-My Man,Ella Fitzgerald and Her Famous Orchestra,,Eng.,017mymanellafitzgeraldandherfamousorchestrathechronologicalclassicsellafitzgerald19401941,m4_527
528,1373,3,1m 7sec,00h3-Isolatiefolter,B.G.K.,,Eng.,00h3isolatiefolterbgkadutchfeastthecompleteworksofbalthasargerardskommando,m4_528
529,1378,1,unknown,n.a.,Banda Magnificos,2000,unknown,nabandamagnificosmagnificos2000,m4_529
530,1383,3,3m 59sec,003-Half Cocked,Larry the Cable Guy,,Eng.,003halfcockedlarrythecableguytailgateparty,m4_530
531,3093,3,unknown,003-Luau,Stan Getz,,Eng.,003luaustangetzstangetzandthelighthouseallstarslive,m4_531
532,1393,3,5m 30sec,003-My Foolish Friend (extended version),Talk Talk,,Eng.,003myfoolishfriend,m4_532
533,1394,9,2m 52sec,"009-Estrellita del sur (feat. Jorge Maciel, Hector Coral)",Alfredo Gobbi,,Spa.,009estrellitadelsur,m4_533
534,1398,9,2m 11sec,009-Two Minutes of Scattered Hate,DeCre w,,Eg.,009twominutesofscatteredhatedecrewslackers,m4_534
535,1402,20,4m 9sec,020-Controversy Between,Front 242,,Eng.,020controversybetweenfront242ontheoneandtwo,m4_535
536,1749,10,2m 26sec,"010-Oj, mori vrbo, zelena",Beograd Renaissance Ensemble,,Cro.,010ojmorivrbozelenabeogradrenaissanceensemblerootsofthebalkan,m4_536
537,1403,1,39m 6sec,001-Invasion of Thunderbolt Pagoda (St. Marks Epiphany),Angus MacLise,,Eng.,001invasionofthunderboltpagoda,m4_537
538,2287,A,unknown,00A-Rumours,Hot Chocolate,,Eng.,00arumourshotchocolaterumours,m4_538
539,6621,4,3m 48sec,004-Stories to Tell,Stanley Clarke,,Eng.,004storiestotellstanleyclarkethecollection1,m4_539
540,152,9,4m 3sec,009-Don't Dream It's Over,Sixpence None the Richer,,Eng.,009dontdreamitsoversixpencenonethericherthebestofsixpencenonethericher,m4_540
541,4396,11,3m 24sec,011-Kathleen,Andy White,,Eng.,011kathleenandywhitesongwriter,m4_541
542,1420,19,2m 57sec,019-Tights Blues,Boozter Pallus,,Swe.,019tightsbluesboozterpallusaggroran2,m4_542
543,1421,6,3m 7sec,006-Lover Come Back to Me,Mildred Bailey,,Eng.,006lovercomebacktomemildredbaileyladysingstheblues,m4_543
544,7961,10,unknown,010-Mode modern,Heartbreak,,Swe.,010modemodernheartbreakungochgjordavglas,m4_544
545,1426,16,unknown,016-Anestesia,aDrmo,,Spa.,016anestesiaadrmo7dejulio,m4_545
546,8439,4,3m 7sec,004-Life Cycles,Chosen,,Eng.,004lifecycleschosenspacejams,m4_546
547,2934,22,1m 10sec,022-Up With the Sun,Steve Glotzer,,Eng.,022upwiththesunsteveglotzerpromosvolviii,m4_547
548,1446,12,unknown,012-Lovescene,BlowUp,,Eng.,012lovesceneblowupinwatermelonsugar,m4_548
549,1452,005-Just Stay,4m 14sec,005-Just Stay,Little Scout,,Engg.,005juststaylittlescoutdifferentinthedistance,m4_549
550,2929,12,3m 56sec,012-Cdoconut Water,Anthony Red Rose,,Eng.,012cdoconutwateranthonyredrosemynameisredrose,m4_550
551,1458,12,4m 26sec,012-Communion,Otep,,Eng.,012communionoteptheascension,m4_551
552,9139,15,3m 30sec,015-Une maison de sons,Pierre Henry,,Fre.,015unemaisondesonspierrehenrydeuxcoupsdesonnette,m4_552
553,1462,2,5m 30sec,002-Hyper Chondriac Music,Muse,,Eng.,002hyperchondriacmusicmusebliss,m4_553
554,7241,2,3m 56sec,002-Ootuuled,Rajaajaja,,Est.,002ootuuledrajaajajarajaajaja,m4_554
555,6164,8,4m 36sec,008-We Got Somethin',Guthrie Thomas,,Eng.,008wegotsomethinguthriethomasmedicineman,m4_555
556,6526,9,4m 7sec,009-Stcumbles & Treeforts,Real Cool Traders,,unknown,009stcumbles&treefortsrealcooltraderstinymurders,m4_556
557,3637,1,2m 41sec,001-Revolver,Scarlet,,Eng.,001revolverscarletsomethingtolustabout,m4_557
558,1479,1 3,2m 46sec,013-La Reggiana,Marco Uccellini,,Ita.,013lareggianamarcouccelliniuccellini,m4_558
559,1486,13,2m 42sec,013-Pifa / Pifa,Georg Frierdich Handel,,Eng.,013pifapifageorgfrierdichhandelmessiah,m4_559
560,1493,7,3m 14sec,007-Ten  Cents a Coup,Phil Ochs,,Eng.,007tencentsacoupphilochsgreatesthits,m4_560
561,1495,1,5m 58sec,Invisible Touch 12,Genesis,,Eng.,invisibletouch12genesisarchive#219761992,m4_561
562,5983,9,4m 34sec,009-Centered Sideways,Melanie Garside,,Eng.,009centeredsidewaysmelaniegarsidedrinkme,m4_562
563,3792,3,2m 57sec,003-Manipulationology,Digital Drug,,Eng.,003manipulationologydigitaldrugprogressivefolk,m4_563
564,9955,10,4m 5sec,010-Dark Side of Your Soul,Kiki Dee,,Eng.,010darksideofyoursoulkikideetheverybestof,m4_564
565,1500,19,2m 50sec,"019-Bonduca, Z. 574/1: Overture in C major",Henry Purcell,,En g.,019bonducaz5741overtureincmajorhenrypurcellsuitesandtranscriptionsforharpsichord,m4_565
566,1501,3,unknown,003-The Succession Crisis in England,Professor Jennifer Paxton,,Eng.,003thesuccessioncrisisinenglandprofessorjenniferpaxton1066,m4_566
567,4407,3,4m 47sec,003-Jivin' (in a Jump Swing Band),Kamikaze Mustang Pilot,,Eng.,003jivin,m4_567
568,591,8,0m 27sec,008-What Child Is This?,D.W. Read,,Eng.,008whatchildisthisdwreadyaytimeforchristmasvoli,m4_568
569,314,9,5m 21sec,009-Hysteria,Muse,,Eng.,009hysteriamuseliveatromeolympicstadium,m4_569
570,7395, 5,4m 9 sec,005-Wait fpr the Sun,Supe-grass,nun,Fng.,005waitfprthesunsupegrassalright,m4_570
571,3030,12,3m 19sec,012-,,,Jap.,012#,m4_571
572,2623,6,4m 18sec,006 006-Who's Winning,Chilliwack,,Eng.,006006whoswinningchilliwackmunichcitynightsvolxi,m4_572
573,1146,2,4m 24sec,002-U 14,Natty Bass Live,,Fre.,002u14nattybasslivesoundthathammers,m4_573
574,1534,B1,6m 27sec,0B1-Wake Up (Parallel mix),Changall,,Eng.,0b1wakeup,m4_574
575,8549,8,7m 43sec,008-Transphere,Aural Planet,,Eng.,008transphereauralplanetlightflow,m4_575
576,1542,2,5m 19sec,002-Haemorrhage Transmission,Thee Maldoror Kollective,,Eng.,002haemorrhagetransmissiontheemaldororkollectiveneweraviralorder,m4_576
577,9839,2,6m 13sec,002-...,Infetu,,unknown,002infetupulse,m4_577
578,1547,12,4m 15sec,012-Schlaflied,F.O.D.,,unknown,012schlafliedfodmaschinentanz,m4_578
579,5262,11,2m 11sec,011-Couac and Roll,Le Grand Orchestre du Splendid,,Fre.,011couacandrolllegrandorchestredusplendidcouac,m4_579
580,3333,5,1m 41sec,005-September Girls,Sweet Things,,Eng.,005septembergirlssweetthingslofiisa4letterword,m4_580
581,1551,7,4m 44sec,007-September,Ryan Adams & The Cardinals,,Eng.,007septemberryanadams&thecardinalsbedhead5whatwillhappennext,m4_581
582,5688,1,3m 42sec,001-Kissing,Mandalay,,Eng.,001kissingmandalaysampler,m4_582
583,1558,17,unknown,017-Lady,D'angelo,,Eng.,017ladydangelochilledr&btheplatinumedition,m4_583
584,1562,2,unknown,002-Pecame (Mr. Marvin  mix),Joe T. Vannelli,,cEng.,002pecame,m4_584
585,5622,A1,2m 9sec,0A1-Darn Dem Bones,Ike & The Capers,,Eng.,0a1darndembonesike&thecapersfouralleycats,m4_585
586,1565,90,0m 10sec,090-[silence],Acheron,,Eng.,090silenceacheronthosewhohaverisen,m4_586
587,6666,10,5m 46sec,010-One Love (remix),En-Sonic,,Eng.,010onelove,m4_587
588,1572,4,3m 12sec,004-Something Wicked,British Sea Power,,Eng.,004somethingwickedbritishseapowerthedeclineofbritishseapower,m4_588
589,1577,9,5m 37sec,"009-Horus, 2P1",Wolfgang Hohlbein,,Ger.,009horus2p1wolfganghohlbeinhorus,m4_589
590,1578,6,5m 18sec,006- (Inst-umental),,,Jap.,006,m4_590
591,1580,11,2m 29sec,011-Woebegone,The Long Lost,,Eng.,011woebegonethelonglostthelonglost,m4_591
592,1587,9,5m 1sec,009-St. Louis Blues,UltrMax,,Eng.,009stlouisbluesultrmaxdigitalbliss,m4_592
593,1588,7,3m 2sec,007-Get to That,Dizzy Gillespie,,Eng.,007gettothatdizzygillespiesoultime,m4_593
594,5670,6,4m 39sec,006-A Russian Film in Snow,,,En.g,006arussianfilminsnow#god,m4_594
595,688,5,5m 29sec,005-Ba wang bie ji: Quan jun wang yin jiu ting yu ge,,,Chi.,005bawangbiejiquanjunwangyinjiutingyuge#jingjuzhixingdiaolizhuanji,m4_595
596,1597,8,4m 4sec,008-Back to Love,Kia Kadiri,,unknown,008backtolovekiakadirivancouverinternationaljazzfestival2002,m4_596
597,6608,9,3m 38sec,009-3 Sided Light,Solillaquists of Sound,,Eng.,0093sidedlightsolillaquistsofsound4studentcounsol,m4_597
598,1602,2,4m 2sec,002-Clear,Emmie,,Eng.,002clearemmiemorethanthis,m4_598
599,9573,2,3m 36sec,002-Georgia On My Mind,Mildred Bailey,,Eng.,002georgiaonmymindmildredbaileyamericanstandards,m4_599
600,1604,15,4m 3sec,015-,"- """"",,Rus.,015,m4_600
601,1605,10,4m 49sec,010-Through the Never,Metallica,,Eng.,010throughthenevermetallica19911103detroitbadboysdetroitmiusa,m4_601
602,6131,6,1m 31sec,"006-L'Heure espagnole : Scene V.  C'est fait, l'horloge est a sa place ",Maurice Ravel,,Fre.,006lheureespagnolescenevcestfaitlhorlogeestasaplacemauriceravellenfantetlessortilegeslheureespagnole,m4_602
603,1607,8,5m 13sec,008-LOVE ME,BUCK-TICK,,Jap.,008lovemebucktickthisisnotgreatesthits,m4_603
604,1609,3,unknown,003-Janu mates pagalma,Ilgi,,Lat.,003janumatespagalmailgiisakasnaktsdziesmas,m4_604
605,1610,5,unknown,005-No Hopes,Trash Talk,,En.g,005nohopestrashtalktrashtalk,m4_605
606,7949,3,2m 49sec,003-Smooth Down,Kas Product,,Eng.,003smoothdownkasproductbypass,m4_606
607,7301,13,1m 18sec,013T-uning,The Doors,,Eng.,013tuningthedoorsliveinvancouver1970,m4_607
608,3981,14,4m 0sec,014-Torn,Imbruglia,,En.g,014tornimbrugliagirls2k,m4_608
609,378,3,5m 23sec,"003-Symphony 1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",Felix Mendelssohn,,Eng.,003symphony1incminorop11iiimenuetto&trioallegrodimoltofelixmendelssohnthecompletesymphonies,m4_609
610,3553,1,3m 18sec,001-I Will Survive,Gloria Gaynor,,unknown,001iwillsurvivegloriagaynorreveillon2,m4_610
611,6720,12,2m 17sec,"012-Four Songs, Op. 13 No. 3 ""Sure on This Shining Night""",Samuel Barber,,Eng.,012foursongsop13no3sureonthisshiningnightsamuelbarberdoverbeach,m4_611
612,3197,43,0m 30sec,043-Pola,NJC,,Eng.,043polanjcweirdbeatznbreakz,m4_612
613,1632,5,unknown,005-Anos 80 (feat. Amaral),Los Piratas,,Spa.,005anos80,m4_613
614,1635,3,7m 22sec,003-The Prayer,Hrossharsgrani,,Eng.,003theprayerhrossharsgraniofbattlesravensandfire,m4_614
615,6648,4,10m 17sec,004-Wild Dogs,Tommy Bolin,,Eng.,004wilddogstommybolinliveatnorthernlights,m4_615
616,1639,12,1m 51sec,012-Upside Down,Ginnk,,,012upsidedownginnkthebestpunkrockinenglandman,m4_616
617,8451,6,unknown,006-Red White & Blue,The Last Resort,,Eng.,006redwhite&bluethelastresortviolenceinourminds,m4_617
618,1642,14,unknown,014-Wet Bllossom,Dephas8,,Eng.,014wetbllossomdephas8hqdc02,m4_618
619,2660,11,4m 32sec,011-Build Your Love,Alison Limerick,,Eng.,011buildyourlovealisonlimerickwitthatwist,m4_619
620,1647,4,2m 17sec,004-Youths of Tomorrow,Glen Brown,,Eng.,004youthsoftomorrowglenbrownthewaytomtzion,m4_620
621,4173,3,3m 2sec,003-Good Hearted Woman,Waylon Jennings & Willie Nelson,,Eng.,003goodheartedwomanwaylonjennings&willienelsontheclassofcountry,m4_621
622,1650,2,4m 2sec,002-Smalfilm,Spinvis,,DuNt.,002smalfilmspinvisspinvis,m4_622
623,1353,4,5m 11sec,004-Adelante,Massimo Di Cataldo,,unknown,004adelantemassimodicataldoconelalma,m4_623
624,1478,A2,unknown,0A2-Better to Be,LIAM Fin,,Eng.,0a2bettertobeliamfinillbelightning,m4_624
625,9604,9,3m 34sec,009-Zo ver weg,Guus Meeuwis & Vagant,,Dut.,009zoverwegguusmeeuwis&vagantverbazing,m4_625
626,2996,11,6m 49sec,011-I Want to Know What Love Is,Foreigner,,Eng.,011iwanttoknowwhatloveisforeignerlivein05,m4_626
627,1645,5,2m 40sec,005-Yo Quiero Bailar,Ivy Queen,,Spa.,005yoquierobailarivyqueentratra,m4_627
628,1666,6,unknown,Be What You Are,,,Rus.,bewhatyouare#,m4_628
629,9702,4,3m 7sec,004-Centipede,Falsewander,,ng.,004centipedefalsewanderastheominoussunhoveredabovetheproudrace,m4_629
630,1671,6,4m 47sec,006-,deadman,,Jap.,006deadmannoalternative,m4_630
631,2766,A1,unknown,0A1-Things You Said,n.a.,,Eng.,0a1thingsyousaidnathings,m4_631
632,1677,10,4m 52sec,010-Hanacpachap cussicuinin: Verses XI-XV,Anonymous,,En.,010hanacpachapcussicuininversesxixvanonymousfireburninginsnowbaroquemusicfromlatinamerica3,m4_632
633,9005,10,4m 50sec,010-,,,Jap.,010#,m4_633
634,147,9,unknown,009-(Watch Out for) The Normal People,The Boomtown Rats,,Eng.,009,m4_634
635,1680,51,0m 15sec,051-Bizarre Illusions: Bells in the Box (15 second version),Ingo Herrmann,,Eng.,051bizarreillusionsbellsinthebox,m4_635
636,9861,12,8m 19sec,"Reis Glorios (Giraut de Bornelh, 12th Cent.)",Sonus,,unknown,reisglorios,m4_636
637,8204,1 3,5m 30sec,013-Del,Drone,,Eng.,013deldronehello,m4_637
638,4260,4,4m 0sec,004-Brimful of Asha,Cornershop,,Eng.,004brimfulofashacornershopthegreatesthitsofthe90sthestoryofthedecade,m4_638
639,1685,6,4m 44sec,006-All Systems Go (Vs DJ Muh),East Clubbers,,unknown,006allsystemsgo,m4_639
640,3611,9,3m 19sec,009-Una goccia d'amore,Giannii Celeste,,Ita.,009unagocciadamoregianniicelesteierie,m4_640
641,1692,1,2m 52sec,"001Ohen,Voda,Vitr",Dalibor Janda,,Cze.,001ohenvodavitrdaliborjandazlatyvyber,m4_641
642,1698,7,4m 19sec,007-Sexiest Librarian,My Morning Jacket,,Eng.,007sexiestlibrarianmymorningjacketevilurges,m4_642
643,6524,8,7m 10sec,"008-Uskottomuus, toivottomuus ja rakkaus",Tampo,,Fin.,008uskottomuustoivottomuusjarakkaustampotampo,m4_643
644,3901,6,3m 23sec,006-Lesson 1: Disturbing,Gulu Locus,,unknown,006lesson1disturbinggululocuschocolhate,m4_644
645,6598,8,4m 42sec,"Die sieben Todsunden, Ballett mit Gesang in 8 Teilen: 8. Neid. Allegro non troppo",Kurt Weill,,Ger.,diesiebentodsundenballettmitgesangin8teilen8neidallegronontroppokurtweillsevendeadlysinshappyend,m4_645
646,1705,3,16m 29sec,"003-Cello Concerto in B minor, Op. 104: I. Allegro",Antonin Dvorak,,Eng.,003celloconcertoinbminorop104iallegroantonindvorakdvorakfordummies,m4_646
647,1711,6,2m 15sec,006-Corazon desilusionado,Machuca,,Spa.,006corazondesilusionadomachucaella,m4_647
648,2760,1,3m 53sec,001-Where Do the Children Play?,Cat Stevens,,Eng.,001wheredothechildrenplaycatstevensforthetillerman,m4_648
649,72,4,2m 55sec,004-DaytimeT V,Coffin Nails,,Eng.,004daytimetvcoffinnailsoutfortheweekend,m4_649
650,1712,1,3m 40sec,002-I Want To Build a Jumbo Ark,Henning Strk,,Eng.,002iwanttobuildajumboarkhenningstrksomewheresomeonesfallinginlove,m4_650
651,4042,1,3m 27sec,001-Valhalla,Crimson Glory,,Eng.,001valhallacrimsongloryliveatthedynamoopenair,m4_651
652,1718,1,2m 28sec,001-Sibbevader's Intrede (Intro),Heimat,,Dut.,001sibbevadersintrede,m4_652
653,1721,1,1m 8sec,001-Intro,,,Eng.,001intro#putyourphazersonstunthrowyourhealthfoodskyward,m4_653
654,1724,1,9m 42sec,001-Moztlitta,Aztlan Underground,,Eng.,001moztlittaaztlanundergroundaztlanunderground,m4_654
655,1725,7,3m 12sec,007-Flip It (feat. Sean Paul),Rampage,,Eng.,007flipit,m4_655
656,1729,1,unknown,001-Krt song,Slon in Sadez,,Slo.,001krtsongsloninsadezalternativnemone,m4_656
657,1731,8,4m 28sec,008-Crystal Frontier (Buscemi instrumental remix),Calexico,,Eng.,008crystalfrontier,m4_657
658,1734,8,3m 46sec,008-I Ain't Goin' Nowhere,Martina McBride,,Eng.,008iaintgoinnowheremartinamcbrideemotion,m4_658
659,1737,13,5m 47sec,013-L'orniere,Collection d'Arnell~Andrea,,Fre.,013lornierecollectiondarnell~andreacollage,m4_659
660,1740,4,6m 49sec,004-Music Stop (extended version),The Railway Children,,Eng.,004musicstop,m4_660
661,1743,1,3m 0sec,001-Feelt  Good,Lee Nova,,Eng.,001feeltgoodleenovaclubcutz,m4_661
662,1745,10,2m 27sec,"010-Tangents, Tangerines, & Melons",Frank Caliendo,,ENG.,010tangentstangerines&melonsfrankcaliendomaterialfromthefrankcaliendocomgigglesshakeycamdvd,m4_662
663,1751,13,2m 15sec,013-Elephant Ride,D. Prosper,,Eng.,013elephantridedprosper#atom121212,m4_663
664,2935,14,2m 43sec,014-Chicken Strut,The Meters,,Eng.,014chickenstrutthemetersbluesstory,m4_664
665,1754,12,3m 17sec,012-Me jedyne niebo (Another Life),Pat Metheny & Anna Maria Jopek,,Pol.,012mejedyneniebo,m4_665
666,7679,2,5m 8sec,002-Sit in the Middle of Three Galloping Dogs,A Silver Mt. Zion,,Eng .,002sitinthemiddleofthreegallopingdogsasilvermtzionhehasleftusalonebutshaftsoflightsometimesgracethecornerofourrooms,m4_666
667,1762,5,3m 23sec,005-Touch and Go,Stiff Little Fingers,,EEng.,005touchandgostifflittlefingersthen,m4_667
668,4124,1,16m 57sec,001-Apres une lecture du dante : fantasia quasi sonata,Lise-de-la-Salle,,unknown,001apresunelecturedudantefantasiaquasisonatalisedelasalleliszt,m4_668
669,1768,11,3m 7sec,011-Followed the Waves,Auf der Maur,2004,Eng.,011followedthewavesaufdermaurmodernrockaprli2004,m4_669
670,1770,9,5m 10sec,009-Spelar Guro,Knut Hamre and Steve Tibbetts,,unknown,009spelarguroknuthamreandstevetibbettsa,m4_670
671,1771,9,3m 31sec,009-Radio Stars,london,,Eng.,009radiostarslondonnonstoprock,m4_671
672,1240,12,unknown,012-Peein' Red,Get Rad,,Eng.,012peeinredgetradsayfucknotorulesman,m4_672
673,1948,1,6m 46sec,001-C'e bsogno di un sgono,Graziano Romani,2002,Ita.,001cebsognodiunsgonograzianoromaniadmobenefit13042002cebisognodiunsogno,m4_673
674,9736,6,3m 49sec,006-Disc05f,Ruon McLarty,,Eng.,006disc05fruonmclartythememoryofrunning,m4_674
