oc_id,oc_cluster_id,oc_product_type,oc_category,oc_brand,oc_storage_capacity,oc_memory_type,oc_interface,oc_memory_speed,oc_color,oc_model,oc_processor
oc_1601,424745,['lan realtek'],,['support'],,,['8x sata ports'],,,,
oc_1602,424897,,,,,,,,,,['ati']
oc_1603,425055,,['stream'],['core'],,['gddr5'],,['7010mhz'],['physx cuda'],,
oc_1604,425347,,,['msi'],,"['gddr5', 'ddr4 windows']",,,,['gt83vr'],"['7rf titan 207', 'intel core i7 7920hq dual nvidia gtx 1080']"
oc_1605,425480,,['intel'],['based'],,,,,,,
oc_1606,425661,"['processors 1920 sli ready', 'processors 1920 sli ready']","['stream', 'stream']",['gv'],,"['gddr5', 'gddr5']","['vr ready physx cuda', 'vr ready physx cuda']","['8192mb', '8008mhz', '8192mb', '8008mhz']",,,
oc_1607,425780,,,['white led backlit'],,,,,,,
oc_1608,426326,"['intel speedstep technology', 'execute disable bit energy efficient']",,,,,,,,,
oc_1609,426331,"['microatx mid tower has', 'sized graphics cards and power supplies']",,['carbide series'],,,,['88r'],,,
oc_1610,426334,['supremefx audio'],,,,,,,,,
oc_1611,427172,,,['an elegant full'],,,,,,,
oc_1612,427418,,,['wireless keyboard'],,,,,,,
oc_1613,428311,,,['support'],,,['sata ports'],,,,
oc_1614,428728,,,['hyperx impact'],['1x4gb'],['ddr4 so dimm pc4'],,['25v'],,,['ddr4']
oc_1615,429972,,,,['2666mhz ram'],['vdimm'],['timings 1 20'],['25v'],,,
oc_1616,430061,,,['amd'],,,,,,,
oc_1617,430574,['processors 1280 vr ready'],"['stream', 'physx cuda']",['zt p10600g'],,['gddr5'],,['9000mhz'],,,
oc_1618,431146,,['orange'],,,['20cm'],,,,,
oc_1619,431803,['amd mantle dolby truehd gcn'],['amd eyefinity'],['core'],,['gddr5'],,"['985mhz', '5600mhz']",,,
oc_1620,432591,['34 led backlit'],,['xr342ckbmijphuzx'],,,,,['year warranty'],,
oc_1621,432821,,,['intel'],,,,,,,
oc_1622,433594,['home theater'],,['hummin'],,,,,,,
oc_1623,434560,"['face led s', 'stealthy keyboard']",,,,,,,,,
oc_1624,434624,,['lifetime warranty'],,,['sodimm'],,['1600mhz ram'],['5v'],,
oc_1625,434951,"['power and it comes perfectly disguised and an ocuk exclusive', 'Intel Core i7', 'Intel Core i7']",,"['so much power and it', 'so much']",,,,,,,
oc_1626,435103,,,['quad core technology'],,"['ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3']",['22nm'],,,,
oc_1627,435548,"['i7 6700hq', 'Intel Core i7']",,,,,,,,,
oc_1628,435768,,,['connect'],,,,,,,
oc_1629,436475,['beautiful rounded shield inspired front and supports an impressive'],,['aegis'],,,,,,,
oc_1630,436580,,,['socket'],,,,,,,
oc_1631,437575,,,['skylake'],,,,['usb3'],,['6th gen ddr4'],
oc_1632,437632,['years warranty'],,,,,,,,,
oc_1633,437732,['f1251 copper bushing'],,['xaf'],,,,,,,
oc_1634,437851,"['cpu cooler from thermaltake', 'pwm riing fan five copper heatpipes']",,['strong'],,,,,,,
oc_1635,438189,['2 year warranty'],,,['3tb'],,,['7200rpm'],,['sata 6gb s'],
oc_1636,438288,,,['portable'],,,,,,,
oc_1637,438602,['determination to push'],,['creation'],,,,,,,
oc_1638,439562,"['ati stream', 'ati avivo hd']",['ati'],,,['gddr5'],,"['860mhz', '4800mhz']",,,
oc_1639,440012,,,,['1tb'],,"['external usb 3', 'usb 3 0', 'usb 2 0']",,['year warranty'],,
oc_1640,440041,['small office'],,,,,,,,,
oc_1641,440144,"['air series led high static', 'pc case fans combine', 'air delivery']",,['corsair'],,,,,,,
oc_1642,440207,['90k 83k iops'],,,,,,,,,
oc_1643,440538,['write'],,,,,,,,,
oc_1644,441041,"['rx570gaming', 'processors 2048 directx', 'years warranty']","['stream', 'amd crossfire']",,,['gddr5'],,['7000mhz'],,['vr ready premium 3'],
oc_1645,441320,,,['2560x1440'],,,,,,,
oc_1646,441645,['time'],,['3840x2160'],,,['000'],,,,
oc_1647,442047,['kc1000 solid state drive'],['7200rpm hard disk drive'],['kingston s'],,,,,,,
oc_1648,442159,['processors 1280 vr ready'],"['stream', 'physx cuda']",,['zt p10600a 10l core'],['gddr5'],,['8008mhz'],,,
oc_1649,442315,"['video chat full', 'stereo audio full', 'lens']",['glass'],,,,,,,,
oc_1650,442378,['rock canyon consumer segment nuc sports'],,['intel s'],,,,['35v'],,['intel hd 6000 graphics 1x'],
oc_1651,442516,,,['core technology'],,['ddr4'],,,,,
oc_1652,442546,['iops 5yr warranty'],,['ssdpe21d280gasx'],,,,,,,
oc_1653,443021,['v7 cf1'],,['gigabyte'],,,"['led 1920x1080 i7 7700hq nvidia gtx', 'windows 10']",,"['7200rpm', 'warranty']",,
oc_1654,443419,,['lifetime warranty'],['2133mhz ram'],,['vdimm'],['cas 13'],['20v'],,,
oc_1655,443787,,,['xb252qbmiprzx'],,,,,,['1920 x 1080'],
oc_1656,445177,['power supply lineup'],,['introducing'],,,,,,,
oc_1657,445891,['quiet operation'],,['fz'],,,,,,,
oc_1658,446085,"['lms data intelligent tower', 'ups series offer both excellent value']",['of'],['range'],,,,,,,
oc_1659,446531,['beautiful rounded shield inspired front and supports an impressive'],,['aegis'],,,,,,,
oc_1660,446540,,,['pc'],,,['tiger'],,,,
oc_1661,446943,['of computing'],,['pinnacle'],,,['mini pc'],,,,
oc_1662,446969,['compact and capless design'],['metal casing'],['datatraveler'],['128gb'],,,,,,
oc_1663,447765,,,,,"['support 4x', 'ddr4 dimm 2x pcie x16 4x pcie x1 6x sata']",,,,,['socket']
oc_1664,448278,,,['constant development of hardware getting'],,,,,,,
oc_1665,448575,,['stream'],"['core', 'physx cuda']",,['gddr5'],,['7010mhz'],,,
oc_1666,448685,,,['external'],,,['usb 3 0'],,['stylish design'],,
oc_1667,448843,"['starter kit turns', 'any']",,['tp link s'],,,,,,['tl pa8030p kit av1200'],
oc_1668,449229,,,['led backlit'],,,,,['year warranty'],['1920x1080'],
oc_1669,449279,['led backlit 1920x1080'],,['xf270hbmjdprz'],,,,['1000000000'],['year warranty'],,
oc_1670,449420,['processors 1536 shader'],['stream'],,,['gddr5'],['physx cuda'],['7010mhz'],,,
oc_1671,449812,['fast simply push in the'],,['icy box'],,,,,,,
oc_1672,449909,,['stream'],,,['gddr5'],,['7010mhz'],['physx cuda'],,
oc_1673,450400,['years warranty'],,['turbo'],,,,['10000mhz'],,,
oc_1674,450668,['corsair'],,,['2666mhz ram'],,,,,,
oc_1675,450679,"['processors 2304 directx', 'years warranty']",['stream'],,['11265 21 20g boost'],['gddr5'],['amd crossfire amd eyefinity'],['8400mhz'],,['vr ready 3'],
oc_1676,451108,,,['x300'],,,,,,,
oc_1677,451437,"['p34k v5 cf1', 'Intel Core i7']",['windows'],['gigabyte'],,,,,,,['glare intel core i7 6700hq']
oc_1678,451470,['power supplies'],,,,,,,,,
oc_1679,452323,,['maple canyon'],['intel s'],,,,['35v'],,,['intel']
oc_1680,452839,,,['as5004'],,,,,,,
oc_1681,453017,['nvme ssd'],,"['msi', 'msi']",['256gb'],"['ddr4 windows', 'ddr4 windows']",,"['7200rpm', '7200rpm']",,,"['intel core i7 7700hq nvidia gtx 1060', 'intel core i7 7700hq nvidia gtx 1070']"
oc_1682,453115,,,['fhd'],,['ddr4 windows'],,,,,
oc_1683,453176,['way'],,['unconventional design of carbide series'],,,,,,,
oc_1684,453330,,['stream'],['gv'],,['gddr5'],,['8008mhz'],['enabled 3'],,
oc_1685,453482,,,,,,,,,,
oc_1686,453517,['revolutionary new architecture'],,['nvidia'],,,,,,,['geforce gtx']
oc_1687,453682,,,['socket compatibility'],,,,,,,
oc_1688,454362,,,,,,['usb 3'],,,,
oc_1689,454571,,,,,,,,,,
oc_1690,454651,"['best air coolers', 'phanteks enters the case arena']",,['standard'],,,,,,,
oc_1691,454890,,,['enthoo'],,,,,,,
oc_1692,455141,,['lifetime warranty'],,,['vdimm'],,"['ram', '65v']",,,
oc_1693,455552,,"['stream', '2']",,,['gddr5'],,['7000mhz'],,,
oc_1694,455676,['mighty datatraveler'],,['small'],,,,,,,
oc_1695,455771,"['datatraveler se9 usb', 'stylish and durable metal']",,,,,,,['everywhere'],,
oc_1696,456027,['win10 pro'],['fhd'],['aero'],,['ddr4'],,,,['15x cf1'],
oc_1697,456274,,,,['support for'],,['sata ports'],,,,
oc_1698,456304,['ultra delivers'],,,,,,,,,
oc_1699,456305,"['processors 384', 'ati stream', 'ati avivo hd']","['stream', 'ati crossfirex ready']",,,['gddr3'],,"['1050mhz', '3600mhz']",,,
oc_1700,456374,"['phanteks', 'universal extension cables', 'offers a']",,,,,,,['enthusiasts'],,
oc_1701,456782,['year warranty'],,['quad core'],,['ddr3 controller integrated hd 4600 graphics 1'],['22nm'],,,,
oc_1702,456915,['computer case fan'],,['built'],,,,,['computer enthusiasts'],,
oc_1703,457097,"['processors 1792 directx', 'amd mantle dolby truehd gcn', 'amd mantle', 'vr ready']","['stream', 'amd crossfirex ready', 'stream']","['core', 'amd eyefinity', 'core', 'amd eyefinity']",,"['gddr5', 'gddr5']",,"['980mhz', '5900mhz', '6000mhz']",['amd crossfirex'],,
oc_1704,457831,,,['plextor'],,,,,,,
oc_1705,459457,['created an excellent extension card'],['product the'],"['silverstone', 'ec04 e which']",,,,,,,
oc_1706,459567,['nvidia'],,['msi'],,['gddr5'],,,,['gs60 6qe ghost pro'],['intel core i7 6700hq']
oc_1707,459891,,,['amd'],,,,,,,
oc_1708,460029,,,['support'],,,,,,,
oc_1709,460153,,,['fm182'],,,,,['space'],,
oc_1710,460330,"['icy dock mb', '1s 2b black']",,,,,,,,['882sp'],
oc_1711,460415,,,['1333mhz ram'],,,,,['5v'],,
oc_1712,460464,['years warranty'],,,['08g p4'],,,['8192mb 10000mhz'],,,
oc_1713,460838,['wireless router combining'],,['tp link s'],,,,,,['tl wdr3600 is'],
oc_1714,461067,['control virtually silent operation and a'],,['corsair'],,,,,,,
oc_1715,461248,,,['socket'],,"['support 4x', 'ddr4 dimm 4x pcie x16']",,,,,
oc_1716,461727,['5 year warranty'],,,['6tb'],,['sata 6gb s'],,,,
oc_1717,462276,"['aero 15w cf1', '2x']",,['gigabyte'],,['ddr4'],,['2400mhz'],,,['intel core i7 7700hq']
oc_1718,462365,,,['tp link s'],,,['wireless n network'],,,,
oc_1719,462842,,['lifetime warranty'],['2666mhz ram'],,['vdimm'],,,,,
oc_1720,463037,,,"['socket compatibility', 'socket compatibility']",,,,,,,
oc_1721,463176,['qhd led'],['tft'],['aorus x3 plus'],,['ddr4'],,,,,['intel core i7 6700hq']
oc_1722,463906,,,['socket compatibility'],,,,,,,
oc_1723,463948,,,['silverstone'],,,,,,,
oc_1724,463998,['big impression'],,['tyr pc'],,,,,,,
oc_1725,464324,"['processors 2304 directx', 'years warranty']","['boost', 'stream', 'amd crossfire']",['rx'],,['gddr5'],,['8192mb 8000mhz'],,['vr ready 3'],
oc_1726,464529,,,['xb272bmiprzx'],,,,,,['1920 x 1080'],
oc_1727,464556,,,['intel'],,['ddr3 x1 pci e x16 x2 pci e x1 x2'],,,,,
oc_1728,465296,"['nzxt s', 'renowned aggressive design']",['designs'],['ushering'],,,,,,,
oc_1729,465846,"['pc case', 'green led']",,['thermaltake'],,,,,,,
oc_1730,466260,,['lifetime warranty'],['2400mhz ram'],,['vdimm'],,,,,
oc_1731,466276,,,['flash'],,,"['usb 3 0 speed', 'usb 2']",,,,
oc_1732,467426,,,['mempek1w016gaxt'],,,,,,,['intel optane memory']
oc_1733,467688,"['unmatched creative freedom', 'nvidia quadro', 'world s', 'most advanced visual computing']",,['unmatched power'],,,,,,,
oc_1734,468361,"['enthusiast series txm', 'psu']",,['corsair'],,,,,,,
oc_1735,468393,,['lifetime warranty'],,['1866mhz ram'],['sodimm'],,,,,
oc_1736,468527,,['stream'],,,['gddr5'],,['7000mhz'],,,
oc_1737,469200,['docking stand'],,['icy dock'],,,,,,['mb881u3 1sa sata ide'],
oc_1738,469251,,,,,,['10x usb 3 0'],,,,
oc_1739,469505,,,['nf'],,,,,,,
oc_1740,469925,,,,['2666mhz ram'],['vdimm'],,,,,
oc_1741,470391,,,['third'],,,,,,,
oc_1742,470669,['fan can'],,,,,,,,,
oc_1743,470804,['pc case'],,,,,,,,,
oc_1744,470984,['4x pcie x1 6x'],['audio 2x'],['skylake'],['0 4x'],,['usb3'],,,['6th gen ddr4 2x pcie x16'],
oc_1745,471009,['like no other'],,,,,,,,,
oc_1746,471293,,['lifetime warranty'],,,['vdimm'],,['35v'],,,
oc_1747,471372,,,['strider'],,,,,,,
oc_1748,471801,,,['designed'],,,['mini dtx and mini itx'],,,,
oc_1749,472118,,,['bitfenix alchemy'],,,,,,,
oc_1750,473441,['mssd'],,,,,['7200rpm'],,['gddr5'],,['glare intel core i7 5700hq']
oc_1751,474084,['memory space external hard drive'],,['intenso'],,,['usb 3 0 led'],,['black'],,
oc_1752,474524,['integrates some delicate'],,['xof'],,,,,,,
oc_1753,474874,,['white'],['bitfenix'],,,,,,,
oc_1754,474968,['optical drive supports hot swapping'],,,,,['single 5'],,,,
oc_1755,475330,['10gbe networks protocol offload'],,,,,,,,,
oc_1756,476280,['from noctua connect'],,,,,,,,,
oc_1757,476312,"['surveillance drive', '3 year warranty']",,['part'],['3tb'],,"['capacity 3 5 inch', 'sata 6gb s']",,,,
oc_1758,476574,,,['support'],,,,,,,
oc_1759,477373,['amd mantle dolby truehd gcn'],['amd eyefinity'],,,['gddr5'],,"['1050mhz', '5700mhz']",,,
oc_1760,478018,,,,"['support for', 'SATA3 - 6 M.2 - 1 RAID 0, 1, 5, 10']",,,"['2 ch, 2 DIMM DDR4']",,,
oc_1761,478073,['green leds'],,,,,,,,,
oc_1762,478155,,,['aperture'],,,,,['market'],,
oc_1763,478188,['2 year warranty'],,,['1tb'],,['sata 6gb s'],,,,
oc_1764,478378,['vdimm lifetime warranty'],,['3000mhz ram'],,,,,,,
oc_1765,478447,,,['ms05'],,,,,,,
oc_1766,478611,,,['intel solid state drive'],,,,,,,
oc_1767,479063,,,['bitfenix'],,,,,['extension 45'],,
oc_1768,479603,,,,,,,,,,
oc_1769,479746,['year warranty'],,['dual'],,['ddr3 controller integrated hd graphics 3'],['22nm'],,,,
oc_1770,480428,,,['akasa'],,,,,['superspeed connectivity'],,
oc_1771,480591,"['amd mantle', 'vr ready']",['stream'],['amd eyefinity'],,['gddr5'],,"['1050mhz', '6000mhz']",['amd crossfirex'],,
oc_1772,481003,,,['z4 pro'],,,['usb 3 0 hub'],,,,
oc_1773,481932,,,['hp omen'],,['ddr4'],,['2400mhz'],,,
oc_1774,482068,,['white'],['bitfenix'],,,,,,['12v 20cm'],
oc_1775,482412,,['lifetime warranty'],['3000mhz ram'],,['vdimm'],['timings 1 20'],['35v'],,,
oc_1776,483836,,,['530'],,,,,,,
oc_1777,484298,['1x pcie x1 6 x sata 6 0 gb s'],,['skylake'],,,"['socket', '1 x usb 2 0 crossfire']",,,['2 x sata express m 2'],
oc_1778,484521,,,,,,,,,,
oc_1779,485161,['fastest max speeds available'],,['archer'],,,,,,,
oc_1780,485255,['world your work and'],,,['500gb'],,,,,,
oc_1781,485294,,,['datatraveler'],,,"['standard usb and', 'usb type c']",,,,
oc_1782,485805,['corsair'],,,,,,,,,
oc_1783,485862,"['personal data', 'datatraveler locker']",,['put'],,,,,['secures receipts'],['a'],
oc_1784,485993,['1x pcie x1 4x'],,,,['support 2x ddr4 dimm'],"['1x pcie x16', 'sata 6gb s', 'usb 2 0']",,,,
oc_1785,486075,"['m12ii evo', 'fully modular 80']",,['seasonic'],,,,,,,
oc_1786,486118,"['year warranty', 'year warranty']","['hardware', 'hardware']",['bay'],,"['ni', 'ni']",,"['aes', 'aes']",,,['intel celeron dual core']
oc_1787,486453,,,['led backlit'],,,,['10000000'],,['1920x1080'],
oc_1788,487234,"['pc case', 'pc case']",['thermaltake'],['thermaltake'],,"['blue led 1500rpm', 'blue led 1500rpm']",,,,,
oc_1789,487239,,,['socket'],,,,,,,
oc_1790,487672,['85w'],,['socket'],,,,,,['2011 3'],
oc_1791,487978,,,['1333mhz ram'],,['vdimm'],,['60v'],,,
oc_1792,488023,"['ati stream', 'ati avivo hd']",['stream'],['core'],,['gddr3'],,"['780mhz', '3600mhz']",['ati crossfirex'],,
oc_1793,489307,,,,,['ddr4'],,,,,
oc_1794,489374,"['phanteks universal extension cables', 'offers a']",,,,,,,['enthusiasts'],,
oc_1795,489511,['5 year warranty'],,,['4tb'],,['sata 6gb s'],,,,
oc_1796,489552,,,,,,,,['lifetime warranty'],,
oc_1797,489933,,,['hyperx savage'],,,,,['offers super'],,
oc_1798,490299,['years warranty'],,,,,,,,,
oc_1799,490444,['x3 plus'],,,,,,,['2400mhz'],['v7 cf1 13 9'],
oc_1800,491338,,,['1600mhz ram'],,,,,,,
oc_1801,491522,"['shine iii works', 'fetching features']",,['ducky'],,,,,,,['shine ii']
oc_1802,491800,['5 year warranty'],,,['320gb'],,,['16mb'],,['sata ii interface'],
oc_1803,491998,,['lifetime warranty'],,,['vdimm'],['timings 1 20'],"['2666mhz ram', '35v']",,,
oc_1804,492013,,,['carbide series'],,,,,,,
oc_1805,492234,"['5 year warranty backwards compatible', '5 year warranty backwards compatible']",,,"['1tb', '1tb']",,,"['7200rpm', '7200rpm']",,"['sata 6gb s', 'sata 6gb s']",
oc_1806,492940,['network attached server 2008 r2'],,,,,,,,,['dual']
oc_1807,493032,,,,,,,,,,['core cherry mx']
oc_1808,493074,,['7200rpm hard disk drive'],['kingston s'],,,,,,['kc1000 solid state drive'],
oc_1809,494792,,,['usb'],,,['multitude of'],,,,['bluetooth']
oc_1810,494855,,,['hx'],,,['dual'],,,,
oc_1811,495016,"['conventional', 'architecture']",,['samsung s'],,,,,,,
oc_1812,495693,,,['bitfenix alchemy'],,,,,,,
oc_1813,495740,"['ati stream', 'ati avivo hd']",['ati'],,,['gddr5'],,"['860mhz', '4800mhz']",,,
oc_1814,495828,,,['skylake'],,,,,,['kabylake ddr4'],
oc_1815,497369,['bearings guarantee operating noise levels which'],,['plus'],,,,,,,
oc_1816,497406,['megahalems super mega'],,['specifically'],,,,,,,
oc_1817,497847,['processors 1920 sli ready'],['stream'],['aero'],,['gddr5'],['vr ready physx cuda'],"['8192mb', '8008mhz']",,,
oc_1818,498239,['processors 2048 crossfire ready'],['stream'],['hs'],,['gddr5'],,['7000mhz'],,,
oc_1819,498338,['crossfire support 7'],,['intel'],,['ddr3 2x pci e x16 2x pci e x1 2x pci 6x'],,,,,
oc_1820,498954,,,['ek fb'],,,['complete'],,,,
oc_1821,499060,['series made by'],,['multiframe s'],,,,,,,
oc_1822,499197,['2 year warranty'],,,['1tb'],,,['7200rpm'],,['sata 6gb s'],
oc_1823,499632,['years warranty'],,['80nsj6dhl4ek core clock'],,,,['8192mb 10000mhz'],,,
oc_1824,499814,,['lifetime warranty'],,,['vdimm'],,"['2400mhz ram', '35v']",,,
oc_1825,500476,['site warranty'],,['1366x768'],,,,,,,
oc_1826,501111,"['processors 48 shader', 'physx cuda']",['stream'],['core'],,['gddr3'],,"['810mhz', '1070mhz']",['enabled 3'],,
oc_1827,501552,,,,,,['dvi or'],,,,
oc_1828,502147,"['processors 2304 directx', 'years warranty']","['stream', 'amd crossfire']",,,['gddr5'],,['8000mhz'],,['vr ready premium 3'],
oc_1829,502160,['processors 1920 sli ready'],['stream'],,['912 v801'],['gddr5'],['vr ready physx cuda'],['8192mb 8000mhz'],,,
oc_1830,502282,,,['corsair'],,,,,,['pro led delivers'],
oc_1831,503301,,,['fz'],,,,,,,
oc_1832,503586,,,['following'],,,,,,,
oc_1833,504003,['i7 6820hk'],,['msi'],,,,,,,['nvidia gtx 1070']
oc_1834,505240,,,['nzxt sleeved led kit'],,,,,,,
oc_1835,505608,['processors 1280 vr ready'],"['stream', 'enabled 2']",,,['gddr5'],,['8008mhz'],,,
oc_1836,505727,,['sata storage'],,,,['bays'],,,,
oc_1837,505997,,,['3000mhz ram'],,,,,,,
oc_1838,506714,,,,,['ddr4 ram'],,,,,['intel core i7']
oc_1839,506953,"['of three red sleeved y', 'from noctua connect']",['cables'],['set'],,,,,,,
oc_1840,507079,['air series led'],,['corsair'],,,,,,,
oc_1841,507125,"['2 year warranty', '2 year warranty']",,,"['6tb', '6tb']",,"['sata 6gb s', 'sata 6gb s']",,,,
oc_1842,507337,['offers super fast speeds'],,,,,,,,,
oc_1843,507397,,,['microsd'],,,,,,,
oc_1844,508059,,,['skylake'],,,,"['usb3', '7x']",,['6th gen ddr4'],
oc_1845,508548,,['stream processors'],,,['gddr5'],,"['915mhz', '6008mhz']",['enabled 2'],,
oc_1846,508789,['most demanding computing situations'],,['corsair'],,,,,,,
oc_1847,509245,['2560x1440'],,,,,,,,,
oc_1848,509292,,,['silverstone'],,,['convenient usb 3'],,,,
oc_1849,509298,['lifetime warranty'],,,['1600mhz ram'],,,,,,
oc_1850,509467,['hbm2 stream processors 4096'],,['gv'],,,,"['8192mb', '945mhz']",,,
oc_1851,510226,,,,['support for'],,['sata ports'],,,,
oc_1852,510375,['environments'],,,,,,,,,
oc_1853,510698,['transmemory u301'],,['toshiba'],,,,,,,
oc_1854,510950,,,['socket compatibility'],,,,,,,
oc_1855,511474,['sleek scratch resistant brushed metal enclosure'],,,,,,,,,
oc_1856,511514,,['stream'],['physx cuda'],,['gddr5'],,['7010mhz'],,,
oc_1857,511977,,['chassis'],,,,,,,,
oc_1858,512030,['archer t6e supports'],,['tp link s'],,,,,,,
oc_1859,512220,['power supply line'],,,,,,,,,
oc_1860,512273,['processors 768 vr ready physx cuda'],"['stream', 'enabled 3']",['gv'],,['gddr5'],,['7010mhz'],,,
oc_1861,512358,"['unmatched creative freedom', 'nvidia quadro']",,['unmatched power'],,,,,,,
oc_1862,512884,,,,,,,,,,
oc_1863,513079,['cost effective platform the'],,['right'],,,['hard drive'],,,['in a'],
oc_1864,513517,['super silent performance'],,['best'],,,,,,['efficiency paired with'],
oc_1865,513791,['3way crossfire'],,['intel'],,,"['pci e x16 4x', 'pci e x1']",,['lan'],['sata express'],
oc_1866,514001,['processors 1280 vr ready'],"['stream', 'physx cuda']",,,['gddr5'],,['8200mhz'],,,
oc_1867,514020,['accents'],,['s340'],,,,,,,
oc_1868,514058,"['samsung', '300k 100k iops']",,,['mzvpv256hdgl 00000'],,['0 x4'],,,,
oc_1869,514073,['years warranty'],,,['08g p4'],,,"['1860mhz', '8192mb 10000mhz']",,,
oc_1870,514654,,['lifetime warranty'],,['1866mhz ram'],['vdimm'],,['65v'],,,
oc_1871,514659,"['air series led', 'pc case fans combine', 'air delivery']",,['corsair'],,,,,,,
oc_1872,515335,['years warranty'],,['gv'],,,,['11448mhz'],,,
oc_1873,516117,['years warranty'],,,,,,,,,
oc_1874,516265,,,['antec'],,,,,,,
oc_1875,518013,,,['skylake'],,['usb3'],,"['usb3', '0 8x']",,['6th gen ddr4'],
oc_1876,518343,"['pwm while minimalizing the', 'noise level']",,['overclockers bring down'],,,,,,,['rc turbo']
oc_1877,518431,,,,,,,,,['rgb led'],['corsair']
oc_1878,519091,,['lifetime warranty'],,['3200mhz ram'],['vdimm'],,,,,
oc_1879,519099,['home network for'],,['triple pack powerline adapters'],,,['speeds'],,,,
oc_1880,519216,,['stream'],,,['gddr5'],,['8008mhz'],['enabled 2'],,
oc_1881,519549,['years warranty'],,,,,,['11124mhz'],,,
oc_1882,519728,['some of noctua s'],['quality quiet cooli'],['redux product line reissues'],,,,,,,
oc_1883,520009,,,,['3200mhz ram'],,['timings 1 20'],,,,
oc_1884,520061,,['lifetime warranty'],['2666mhz'],,['ddr4'],,,,,
oc_1885,520186,,,['clean'],,,,,,,
oc_1886,521524,['bitfenix colossus'],,['introducing'],,,,,,,
oc_1887,521906,,,['combined'],,['nvidia gtx 780'],,,,,
oc_1888,522368,,,,['500 8g ddr3 sodimm'],,"['2 x gigabit rj45', 'ports 2 x hdmi ports']",,,,['intel celeron j3455 quad core']
oc_1889,524513,,['stream'],,,['gddr5'],,['7010mhz'],['physx cuda'],,
oc_1890,524794,,,,,,,,,,
oc_1891,525261,['corsair'],,,['2666mhz ram'],,,,,,
oc_1892,525616,['unlocked multiplier'],,['eight'],,,,,,,
oc_1893,525772,['orange green and red'],,['fz'],,,,,,,
oc_1894,525780,['tower case'],,['enthusiasts expectations'],,,,,,,
oc_1895,525786,,['stream'],['physx cuda'],,['gddr5'],,['7010mhz'],,,
oc_1896,527345,"['gaming laptop', 'mssd']",,['gigabyte'],,,"['fhd anti glare with wide', '7200rpm']",,"['angle view', 'gddr5']",['v3 cf4'],['intel core i7 4720hq']
oc_1897,528475,"['processors directx', 'amd mantle dolby truehd gcn']","['2048', 'amd crossfirex ready']","['core', 'amd eyefinity']",,['gddr5'],,['6000mhz'],,,
oc_1898,529617,,['lifetime warranty'],['2400mhz'],,['vdimm'],,"['ram', '65v']",,,
oc_1899,529658,['mysterious dark'],,['p6'],,,,,['aficionados'],,
oc_1900,529854,['green'],,['bitfenix alchemy'],,,,,,['12v 20cm'],
oc_1901,530016,['rapidfire has'],,['k65 rgb'],,,,,,,
oc_1902,530239,"['processors 2304 directx', 'years warranty']","['boost', 'stream', 'amd crossfire']",['rx 580r8dbr6'],,['gddr5'],,['8192mb 8000mhz'],,['vr ready 3'],
oc_1903,530486,['technical innovations'],,['nvidia'],,,,,,,
oc_1904,530527,"['1x pcie x16 2x pci e x1 4x', 'usb3 0 6x']",,,,,['sata 6gb s'],,,['6th gen ddr4'],
oc_1905,530759,['blue'],,['ikbc f87'],,,,,,['rgb'],
oc_1906,530899,,,,['support for'],,['sata ports'],,,,
oc_1907,531822,,['lifetime warranty'],['hx432c16pb3k4'],,['vdimm'],,['35v'],,,
oc_1908,532370,['corsair neutron series xti'],,['cssd'],,,,,,,
oc_1909,532811,,['lifetime warranty'],['3200mhz ram'],,,,,,,
oc_1910,533125,['video'],,,,,,,,,
oc_1911,533156,"['increasing demand', 'to enable']",,['meet'],,,,,,,
oc_1912,533248,,['stream processors 2816 sli ready'],"['core', 'physx cuda']",,['gddr5'],,['7280mhz'],,,
oc_1913,533359,,['lifetime warranty'],['2400mhz ram'],,['vdimm'],,['35v'],,,
oc_1914,533520,,['supremefx'],,,,,,,,
oc_1915,533603,,,['robust'],,,,,['etched keys'],,
oc_1916,534316,,,['intel'],,['ddr3 x1 pci e x16 x1 pci x4 sata x1 gb'],,,,,
oc_1917,534648,"['cooler made of silverstones argon series 6x', 'pwm connector now']",,['very powerful tower'],,,,,,,
oc_1918,534930,['motherboards the'],,,,,,,,,
oc_1919,535698,['notebooks and desktops'],,['kingston s'],,,['usb 3 0'],,,['datatraveler 100'],
oc_1920,536737,['cost effective platform the'],,['right'],,,['hard drive'],,,['in a'],
oc_1921,536764,"['air series led high static', 'pc case fans combine', 'air delivery']",,['corsair'],,,,,,,
oc_1922,537000,['1x pcie x16 2x pci e x1 4x'],,"['skylake', 'audio 4x']",,,['sata 6gb s'],,,"['6th gen ddr3', 'usb3 0 6x']",
oc_1923,537198,['3 year warranty'],,['hgst'],,,,,,,
oc_1924,537566,"['40 pci e lanes', '40 pci e lanes']",,,,,,,,,
oc_1925,537583,,,,,,,['525mb'],,,
oc_1926,537752,['processors 1152 vr ready'],"['stream', 'physx cuda']",,,['gddr5'],,['8000mhz'],,,
oc_1927,538075,,['stream'],,,['gddr3'],,"['797mhz', '1600mhz']",['years warranty'],,
oc_1928,540039,,,['introducing'],,,['bq series'],,,,
oc_1929,540547,,['stream'],['rx'],,['gddr5'],,['7000mhz'],['years warranty'],,
oc_1930,541006,,,['socket'],,['usb3'],,,,['sata express 4x'],
