ids,ban_author,half_author,ban_binding,half_binding,ban_id,half_id,ban_isbn,half_isbn,ban_pages,half_pages,ban_pubdate,half_pubdate,ban_publisher,half_publisher,ban_title,half_title,label
ban_537_half_527,Jenny Han,Jenny Han,,,ban_537,half_527,9781416995562,9781416968290,304,304,4/5/11,"Apr. 6th, 2010",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,It's Not Summer Without You,The Summer I Turned Pretty,0
ban_1938_half_2898,Robert Liparulo,Robert Liparulo,,Paperback,ban_1938,half_2898,9781595548924,9781595548924,314,314,11/30/10,"Nov. 30th, 2010","Nelson, Thomas, Inc.",Thomas Nelson s,Whirlwind,Whirlwind,1
ban_15176_half_741,,,paperback,,ban_15176,half_741,9781617291920,9781603201698,400,112,"March 2, 2016","Oct. 9th, 2012", Manning Publications,Time Home Entertainment,Real-World Machine Learning,Entertainment Weekly the Twilight Journey,0
ban_2679_half_40,Christopher Paolini,Christopher Paul Curtis,,,ban_2679,half_40,9788415729013,9780440228004,836,224,4/30/15,"Dec. 12th, 2000",Roca,Laurel Leaf Library,Eldest,The Watsons Go to Birmingham - 1963,0
ban_2334_half_1364,Kiersten White,Kiersten White,,,ban_2334,half_1364,9780061985874,9780061985874,368,342,7/24/12,"Jul. 24th, 2012",HarperCollins Publishers,Harper Teen,Supernaturally,Supernaturally,1
ban_1382_half_519,Marina Budhos,Marina Budhos,,,ban_1382,half_519,9781416949206,9781416949206,176,162,9/11/07,"Sep. 1st, 2007",Atheneum Books for Young Readers,Simon Pulse,Ask Me No Questions,Ask Me No Questions,1
ban_1838_half_2874,Nagaru Tanigawa,Nagaru Tanigawa,,,ban_1838,half_2874,9780316039024,9780316086059,224,192,4/1/09,"Mar. 23rd, 2010","Little, Brown Books for Young Readers",Yen Press,The Melancholy of Haruhi Suzumiya,"The Melancholy of Haruhi Suzumiya, Volume 5",0
ban_550_half_527,Jenny Han,Jenny Han,,,ban_550,half_527,9781416968290,9781416968290,304,304,4/6/10,"Apr. 6th, 2010",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,The Summer I Turned Pretty,The Summer I Turned Pretty,1
ban_2431_half_2995,Cara Lynn Shultz,Cara Lynn Shultz,,,ban_2431,half_2995,9780373210503,9780373210503,384,371,3/27/12,"Mar. 27th, 2012",Harlequin,Harlequin Teen,Spellcaster,Spellcaster,1
ban_1379_half_1002,Ryan Smithson,Ryan Smithson,,,ban_1379,half_1002,9780061664717,9780061664717,321,321,5/4/10,"May. 4th, 2010",HarperCollins Publishers,Collins,Ghosts of War: The True Story of a 19-Year-Old GI,Ghosts of War,1
ban_797_half_729,Sarah Dessen,Sarah Dessen,,,ban_797,half_729,9780142401750,9780142401750,272,250,5/11/04,"May. 11th, 2004",Penguin Young Readers Group,Speak,Dreamland,Dreamland,1
ban_1249_half_1849,Jennifer Echols,Jennifer Echols,,,ban_1249,half_1849,9781439178232,9781439178232,292,292,7/20/10,"Jul. 20th, 2010",MTV Books,MTV Books,Forget You,Forget You,1
ban_1005_half_1352,S. E. Hinton,S. E. Hinton,,,ban_1005,half_1352,9780385375672,9780440978503,224,224,8/6/13,"Oct. 1st, 1989",Random House Children's Books,Laurel Leaf Library,Tex,Tex,0
ban_2559_half_464,Sarah Dessen,Sarah Dessen,,,ban_2559,half_464,9780142417287,9780142406250,976,374,10/14/10,"Apr. 6th, 2006",Penguin Young Readers Group,Puffin Books,Sarah Dessen Deluxe Gift Set,The Truth about Forever,0
ban_681_half_651,Aim��e Carter,Aimee Carter,,,ban_681,half_651,9780373210954,9780373210756,1312,395,9/24/13,"Jul. 31st, 2012",Harlequin,Harlequin Teen,"The Goddess Test Boxed Set: The Goddess Test, Goddess Interrupted, The Goddess Inheritance,The Goddess Legacy",The Goddess Legacy,0
ban_2331_half_1422,Anthony Horowitz,Anthony Horowitz,,,ban_2331,half_1422,9780399246333,9780399246333,144,130,10/19/06,"Nov. 1st, 2006",Penguin Young Readers Group,Philomel Books,Stormbreaker: The Graphic Novel,Stormbreaker,1
ban_751_half_106,Walter Dean Myers,Walter Dean Myers,,,ban_751,half_106,9780064472883,9780064472883,224,224,5/28/02,"May. 7th, 2002",HarperCollins Publishers,Amistad Press,Bad Boy,Bad Boy,1
ban_15153_half_1648,Richard Waymire,Richard Peck,paperback,,ban_15153,half_1648,9780672324697,9780142403105,960,164,"November 17, 2002","Apr. 21st, 2005", Sams Publishing,Puffin Books,Sams Teach Yourself Microsoft SQL Server 2000 in 21 Days,The River Between Us,0
ban_762_half_568,Eoin Colfer,Eoin Colfer,,,ban_762,half_568,9781423124542,9781423124535,304,309,6/23/09,"Jul. 1st, 2009",Disney-Hyperion,Hyperion Books,Artemis Fowl; The Arctic Incident,The Eternity Code,0
ban_1217_half_628,Danica McKellar,Danica McKellar,,,ban_1217,half_628,9780452295407,9780452295407,352,331,6/30/09,"Jun. 1st, 2009",Penguin Publishing Group,Plume Books,Kiss My Math: Showing Pre-Algebra Who's Boss,Kiss My Math,1
ban_510_half_126,Scott Westerfeld,Scott Westerfeld,,,ban_510,half_126,9781442419797,9781416947950,384,372,5/3/11,"Sep. 30th, 2007",Simon Pulse,Simon Pulse,Specials,Specials,0
ban_2225_half_1876,Lauren Conrad,Lauren Conrad,,,ban_2225,half_1876,9780061767593,9780061767593,326,325,1/5/10,"Jan. 5th, 2010",HarperCollins Publishers,HarperCollins,L. A. Candy,L.A. Candy,1
ban_480_half_2610,Jennifer Shannon,Jennifer Estep,,,ban_480,half_2610,9781608821877,9780758266941,136,374,6/1/12,"Dec. 1st, 2011",New Harbinger Publications,Kensington Publishing Corporation,The Shyness and Social Anxiety Workbook for Teens: CBT and ACT Skills to Help You Build Social Confidence,Kiss of Frost,0
ban_2121_half_1034,Gary Soto,Gary Soto,,,ban_2121,half_1034,9780152058630,9780152058630,96,78,10/1/06,"Jun. 1st, 2006",Houghton Mifflin Harcourt,Harcourt Paperbacks,Novio Boy: A Play,Novio Boy,1
ban_2645_half_1752,Tamora Pierce,Tamora Pierce,,,ban_2645,half_1752,9780375866333,9780375866333,400,369,4/10/12,"Apr. 10th, 2012",Random House Children's Books,Bluefire,Tortall and Other Lands: A Collection of Tales,Tortall and Other Lands,1
ban_2833_half_1957,Christopher Paul Curtis,Christopher Paul Curtis,,,ban_2833,half_1957,9780440413318,9780440413318,288,259,5/9/06,"May. 9th, 2006",Random House Children's Books,Laurel Leaf Library,Bucking the Sarge,Bucking the Sarge,1
ban_2231_half_1656,Kimberly Derting,Kimberly Derting,,,ban_2231,half_1656,9780062082206,9780061779831,384,329,4/16/13,"Feb. 15th, 2011",HarperCollins Publishers,Harper,The Last Echo,The Body Finder,0
ban_29_half_792,Marie Lu,Marie Lu,,,ban_29,half_792,9780142422076,9780142422076,352,336,4/16/13,"Jan. 29th, 2013",Penguin Young Readers Group,Speak,Legend,Legend,1
ban_2216_half_798,Tamora Pierce,Tamora Pierce,,Paperback,ban_2216,half_798,9780689878565,9780689878558,288,274,1/28/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,In the Hand of the Goddess,Alanna,0
ban_336_half_1422,Anthony Horowitz,Anthony Horowitz,,,ban_336,half_1422,9780142406113,9780399246333,304,130,2/16/06,"Nov. 1st, 2006",Penguin Young Readers Group,Philomel Books,Stormbreaker,Stormbreaker,0
ban_632_half_235,Scott Westerfeld,Scott Westerfeld,,,ban_632,half_235,9781416971740,9781442419803,464,348,8/10/10,"May. 3rd, 2011",Simon Pulse,Simon Pulse,Leviathan,Pretties,0
ban_69_half_1271,Suzanne Collins,Suzanne Collins,,,ban_69,half_1271,9780439023528,9781594135873,384,483,7/1/10,"Mar. 26th, 2012","Scholastic, Inc.",Large Print Press,The Hunger Games,The Hunger Games,0
ban_792_half_1022,Ann Rinaldi,Ann Rinaldi,,Paperback,ban_792,half_1022,9780152046828,9780152046828,320,320,6/7/03,"Jul. 1st, 2003",Houghton Mifflin Harcourt,Graphia Books,A Break with Charity: A Story about the Salem Witch Trials,A Break with Charity,1
ban_2388_half_2495,Julian Houston,Julian Houston,,,ban_2388,half_2495,9780618884056,9780618884056,288,282,1/14/08,"Jan. 14th, 2008",Houghton Mifflin Harcourt,Graphia Books,New Boy,New Boy,1
ban_989_half_798,Tamora Pierce,Tamora Pierce,,Paperback,ban_989,half_798,9780375838170,9780689878558,576,274,5/25/10,"Jan. 6th, 2005",Random House Children's Books,Simon Pulse,Bloodhound,Alanna,0
ban_266_half_265,Stephenie Meyer,Stephenie Meyer,,Paperback,ban_266,half_265,9780316027656,9780316027656,640,629,8/4/09,"Aug. 4th, 2009","Little, Brown Books for Young Readers","Little, Brown Young Readers",Eclipse,Eclipse,1
ban_551_half_241,Paul Fleischman,Paul Fleischman,,,ban_551,half_241,9780312629113,9780312629113,144,133,10/12/10,"Oct. 12th, 2010",Square Fish,Square Fish,Whirligig,Whirligig,1
ban_1434_half_1464,Melanie Dickerson,Melanie Dickerson,,,ban_1434,half_1464,9780310730989,9780310724391,304,352,11/4/14,"Dec. 25th, 2012",Zondervan,Zondervan,The Princess Spy,The Fairest Beauty,0
ban_6219_half_2574,James Hogg,James Sturm,,,ban_6219,half_2574,2940030577609,9780786839018,-1,89,,,Glasgow : Blackie and Son,Jump at the Sun,"The poetical works of the Ettrick shepherd [microform] : including the Queen's wake, Pilgrims of the sun, Mador of the moor, Mountain bard, etc., etc. ; with an autobiography, and illustrative engravings, from original drawings",Satchel Paige,0
ban_4301_half_1202,Christopher A. Newsome,Christopher Pike,,Paperback,ban_4301,half_1202,9781450089302,9781416983088,60,594,06/01/2010,"Aug. 4th, 2009",Xlibris Corporation,Simon Pulse,Autobiography Of A Mysterious Man,"Human Urges, Fatal Consequences",0
ban_15355_half_1015,,,paperback,,ban_15355,half_1015,9780672335419,9781603209380,504,128,"May 23, 2011","Oct. 2nd, 2012", Sams Publishing,People,Sams Teach Yourself SQL in 24 Hours,People Celebrity Puzzler,0
ban_1328_half_160,Michael Scott,Michael Grant,,,ban_1328,half_160,9780375873119,9780061448782,-1,558,9/28/10,"Apr. 28th, 2009",Random House Children's Books,Harper Teen,The Secrets of the Immortal Nicholas Flamel: The First Codex,Gone,0
ban_1482_half_2510,Bruce Brooks,Bruce Brooks,,,ban_1482,half_2510,9780064405645,9780064405645,288,288,1/28/96,"Dec. 15th, 1995",HarperCollins Publishers,HarperCollins,Moves Make the Man,The Moves Make the Man,1
ban_1870_half_1356,Holly Goldberg Sloan,Holly Goldberg Sloan,,,ban_1870,half_1356,9780316122764,9780316122764,416,392,6/12/12,"Jun. 12th, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",I'll Be There,I'll Be There,1
ban_1290_half_2154,Melissa Marr,Melissa Marr,,,ban_1290,half_2154,9780061659270,9780061659270,336,327,2/21/12,"Feb. 21st, 2012",HarperCollins Publishers,HarperCollins,Darkest Mercy,Darkest Mercy,1
ban_292_half_362,Robert Cormier,Robert Cormier,,,ban_292,half_362,9780375829871,9780440944591,272,272,9/14/04,"Aug. 1st, 1986",Random House Children's Books,Laurel Leaf Library,The Chocolate War,The Chocolate War,0
ban_1008_half_1393,Cate Tiernan,Cate Tiernan,,,ban_1008,half_1393,9780142417171,9780142417171,592,592,9/2/10,"Sep. 2nd, 2010",Penguin Young Readers Group,Speak,Book of Shadows / The Coven / Blood Witch,"Sweep, Volume 1",1
ban_2547_half_2003,Marlene Perez,Marlene Perez,,,ban_2547,half_2003,9780547607344,9780547607344,240,240,3/6/12,"Mar. 6th, 2012",Houghton Mifflin Harcourt,Graphia Books,Dead Is a Battlefield,Dead Is a Battlefield,1
ban_13861_half_548,William Stanek,William Shakespeare,,,ban_13861,half_548,9781627161626,9780198328735,422,174,,"May. 1st, 2009",Stanek & Associates,"Oxford University Press, USA",Group Policy Administration: The Personal Trainer for Windows Server 2008 and Windows Server 2008 R2,Othello,0
ban_15601_half_420,,,paperback,,ban_15601,half_420,9783540578673,9781423170884,356,144,"May 27, 1994","Jan. 22nd, 2013", Springer,Disney Press,"Recent Trends in Data Type Specification: 9th Workshop on Specification of Abstract Data Types Joint with the 4th COMPASS Workshop, Caldes de ... Papers",Oz Junior Novel,0
ban_12463_half_2669,Gabriele Lanaro,Gabrielle Lord,,,ban_12463,half_2669,9781783288458,9781610671125,108,181,,"Jan. 1st, 2012",Packt Publishing,Kane/Miller Book s,Python High Performance Programming,October,0
ban_2485_half_240,Madeleine L'Engle,Madeleine L'Engle,,,ban_2485,half_240,9781250003430,9780312367558,800,212,10/16/12,"May. 1st, 2007",Square Fish,Square Fish,A Wrinkle in Time Trilogy,A Wrinkle in Time,0
ban_1258_half_907,Watt Key,Watt Key,,,ban_1258,half_907,9780312384289,9780312384289,304,298,9/2/08,"Sep. 2nd, 2008",Square Fish,Square Fish,Alabama Moon,Alabama Moon,1
ban_11826_half_25,Christopher Negus,Christopher Paul Curtis,,,ban_11826,half_25,9780470478363,9780440413288,288,256,,"Jan. 8th, 2002",Wiley,Yearling Books,Mac OS X UNIX Toolbox: 1000+ commands for Mac OS X,"Bud, Not Buddy",0
ban_1838_half_2819,Nagaru Tanigawa,Nagaru Tanigawa,,,ban_1838,half_2819,9780316039024,9780316038898,224,183,4/1/09,"Nov. 2nd, 2010","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Melancholy of Haruhi Suzumiya,The Disappearance of Haruhi Suzumiya,0
ban_304_half_79,Sharon M. Draper,Sharon M. Draper,,,ban_304,half_79,9781442489134,9780689806988,162,192,7/23/13,"Feb. 1st, 1996",Atheneum Books for Young Readers,Simon Pulse,Tears of a Tiger,Tears of a Tiger,0
ban_1221_half_2643,Ann Brashares,Ann Brashares,,Paperback,ban_1221,half_2643,9780385731058,9780385731058,373,373,12/28/04,"Dec. 28th, 2004",Random House Children's Books,Delacorte Press Books for Young Readers,The Second Summer of the Sisterhood,The Second Summer of the Sisterhood,1
ban_2090_half_2411,Brent Hartinger,Brent Hartinger,,,ban_2090,half_2411,9780060012236,9780060012236,240,226,2/17/04,"Feb. 17th, 2004",HarperCollins Publishers,HarperTempest,Geography Club,Geography Club,1
ban_2162_half_2539,Gary Paulsen,Gary Paulsen,,,ban_2162,half_2539,9780440407164,9780553494280,112,84,9/9/03,"Jun. 10th, 2008",Random House Children's Books,Yearling Books,Caught by the Sea: My Life on Boats,The Amazing Life of Birds,0
ban_2726_half_1391,Dan Savage,Dan Savage,,,ban_2726,half_1391,9780452297616,9780452297616,352,338,1/25/12,"Jan. 25th, 2012",Penguin Publishing Group,Plume Books,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",It Gets Better,1
ban_1326_half_2086,Tamora Pierce,Tamora Pierce,,,ban_1326,half_2086,9780375828782,9780375814730,480,467,10/11/05,"Oct. 14th, 2008",Random House Children's Books,Laurel Leaf Library,Trickster's Queen,Trickster's Queen,0
ban_1898_half_598,L. J. Smith,Jeff Smith,,Paperback,ban_1898,half_598,9781612184623,9780439706346,308,150,11/12/13,"Feb. 1st, 2008",47North,Graphix,Unspoken,Ghost Circles,0
ban_1530_half_2040,L. J. Smith,L. J. Smith,,,ban_1530,half_2040,9781416974529,9781416974529,752,732,4/7/09,"Apr. 7th, 2009",Simon Pulse,Simon Pulse,Night World #7-9: Huntress; Black Dawn; Witchlight,Night World #03,1
ban_40_half_38,Madeleine L'Engle,Madeleine L'Engle,,,ban_40,half_38,9780312367541,9781250003430,256,800,5/1/07,"Oct. 16th, 2012",Square Fish,Square Fish,A Wrinkle in Time,A Wrinkle in Time Trilogy,0
ban_1917_half_1212,Tracy Barrett,Tracy Barrett,,,ban_1917,half_1212,9780440415367,9780440415367,224,224,10/28/00,"Oct. 10th, 2000",Random House Children's Books,Laurel Leaf Library,Anna of Byzantium,Anna of Byzantium,1
ban_2272_half_2087,Jon Scieszka,Jon Scieszka,,,ban_2272,half_2087,9780670011445,9780670011445,272,272,4/10/08,"Apr. 10th, 2008",Penguin Young Readers Group,Viking Children's Books,Guys Write for Guys Read: Boys' Favorite Authors Write about Being Boys,Guys Write for Guys Read,1
ban_807_half_801,Raychelle Cassada Lohmann,Raychelle Cassada Lohmann,,,ban_807,half_801,9781572246997,9781572246997,144,129,12/2/09,"Dec. 1st, 2009",New Harbinger Publications,Instant Help Books,The Anger Workbook for Teens: Activities to Help You Deal with Anger and Frustration,The Anger Workbook for Teens,1
ban_176_half_19,Ally Condie,Ally Condie,,,ban_176,half_19,9780142419779,9780142419779,416,400,9/20/11,"Sep. 20th, 2011",Penguin Young Readers Group,Speak,Matched,Matched,1
ban_338_half_46,Kami Garcia,Kami Garcia,,,ban_338,half_46,9780316250900,9780316243766,2272,1696,10/15/13,"Oct. 23rd, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Beautiful Creatures Complete Paperback Collection,The Beautiful Creatures Paperback Set,0
ban_2436_half_2118,Evelyn Raab,Evelyn Raab,,,ban_2436,half_2118,9781554078240,9781554078240,216,216,8/17/11,"Aug. 17th, 2011","Firefly Books, Limited",Firefly Books,Clueless in the Kitchen: A Cookbook for Teens,Clueless in the Kitchen,1
ban_149_half_160,Michael Crichton,Michael Grant,,,ban_149,half_160,9780345538994,9780061448782,432,558,10/30/12,"Apr. 28th, 2009",Random House Publishing Group,Harper Teen,The Lost World,Gone,0
ban_2199_half_1027,James Howe,James Howe,,,ban_2199,half_1027,9781416926849,9781416926849,288,278,9/26/06,"Sep. 1st, 2006",Atheneum Books for Young Readers,Simon Pulse,13: Thirteen Stories That Capture the Agony and Ecstasy of Being Thirteen,13,1
ban_2216_half_1111,Tamora Pierce,Tamora Pierce,,Paperback,ban_2216,half_1111,9780689878565,9780689878565,288,264,1/28/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,In the Hand of the Goddess,In the Hand of the Goddess,1
ban_9450_half_1501,David Busch,David Klass,,,ban_9450,half_1501,9781285429977,9780312653026,256,288,,"Sep. 14th, 2010",Cengage Learning,Square Fish,David Busch's Olympus OM-D E-M5 Guide to Digital Photography,You Don't Know Me,0
ban_2061_half_1439,Meg Cabot,Meg Cabot,,,ban_2061,half_1439,9780061543630,9780060096151,256,294,4/22/08,,HarperCollins Publishers,HarperTrophy,Princess in Pink,Princess in Training,0
ban_2481_half_2035,Cat Patrick,Cat Patrick,,,ban_2481,half_2035,9780316094603,9780316094603,288,288,5/1/12,"May. 1st, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Forgotten,Forgotten,1
ban_1297_half_1072,Jennifer Donnelly,Jennifer Donnelly,,,ban_1297,half_1072,9780152053109,9780152053109,408,396,9/28/04,"Sep. 1st, 2004",Houghton Mifflin Harcourt,Harcourt Paperbacks,A Northern Light,A Northern Light,1
ban_1187_half_427,John Christopher,John Christopher,,Paperback,ban_1187,half_427,9781481414777,9780689856723,272,195,5/13/14,"Apr. 1st, 2003",Aladdin,Simon Pulse,The White Mountains,The White Mountains,0
ban_646_half_618,Eoin Colfer,Eoin Colfer,,,ban_646,half_618,9781423124948,9781423124948,432,416,8/11/09,"Aug. 1st, 2009",Disney-Hyperion,Hyperion Books,Artemis Fowl; The Lost Colony,Artemis Fowl,1
ban_5259_half_521,Amanda Smith,Roland Smith,,Paperback,ban_5259,half_521,9781297996191,9781585364565,570,256,08/22/2015,"Jun. 25th, 2010",Sagwan Press,Sleeping Bear Press,"An Autobiography, The Story Of The Lord's Dealings With Mrs. Amanda Smith, The Colored Evangelist: Containing An Account Of Her Life Work Of Faith, And Her Travels In America, England, Ireland, Scotland, India, And Africa, As An Independent",The White House,0
ban_2449_half_3032,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_2449,half_3032,9780142405703,9780142405703,240,216,2/2/06,"Feb. 2nd, 2006",Penguin Young Readers Group,Puffin Books,Prom,Prom,1
ban_529_half_451,Francisco Jimenez,Francisco Jimenez,,,ban_529,half_451,9780618342488,9780618226184,208,208,11/12/02,"Sep. 30th, 2002",Houghton Mifflin Harcourt,Houghton Mifflin Harcourt (HMH),Breaking Through,Senderos Fronterizos = Breaking Through,0
ban_1016_half_19,Ally Carter,Ally Condie,,,ban_1016,half_19,9781423100041,9780142419779,288,400,3/20/07,"Sep. 20th, 2011",Disney-Hyperion,Speak,"I'd Tell You I Love You, but Then I'd Have to Kill You",Matched,0
ban_1479_half_1739,Alice Hoffman,Alice Hoffman,,,ban_1479,half_1739,9780545204118,9780439443852,144,116,2/1/10,"Jun. 30th, 2004","Scholastic, Inc.",Scholastic Paperbacks,Green Angel,Green Angel,0
ban_75_half_338,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_75,half_338,9780312674397,9780142414736,224,197,5/10/11,"Mar. 19th, 2009",Square Fish,Speak,Speak,Speak,0
ban_17037_half_64,Rebecca M. Riordan,Rick Riordan,paperback,Paperback,ban_17037,half_64,9780321205612,9781423101505,544,416,"July 26, 2004","Jan. 25th, 2011", Addison-Wesley Professional ,Hyperion Books,Seeing Data: Designing User Interfaces for Database Systems Using .NET,"The Percy Jackson and the Olympians, Book Five",0
ban_536_half_1816,Madeleine L'Engle,Madeleine L'Engle,,,ban_536,half_1816,9780312368579,9780312368579,368,357,5/1/07,"May. 1st, 2007",Square Fish,Square Fish,Many Waters,Many Waters,1
ban_268_half_445,S. E. Hinton,S. E. Hinton,,,ban_268,half_445,9780140389661,9780140389661,192,159,4/1/98,"Apr. 1st, 1998",Penguin Young Readers Group,Penguin Putnam Books for Young Readers,"That Was Then, This Is Now","That Was Then, This is Now",1
ban_14021_half_939,Robert Lair,Robert Cormier,,,ban_14021,half_939,9781430234616,9780440229711,422,176,,"May. 13th, 2003",Apress,Laurel Leaf Library,Beginning Silverlight 5 in C#,The Rag and Bone Shop,0
ban_829_half_615,Rachel Caine,Rachel Cohn,,,ban_829,half_615,9780451237934,9780375835339,400,183,10/2/12,"Aug. 28th, 2007",Penguin Publishing Group,Alfred A. Knopf,Black Dawn,Nick & Norah's Infinite Playlist,0
ban_58_half_1832,Gary Paulsen,Gary Paulsen,,,ban_58,half_1832,9781416936473,9780152058395,192,108,1/23/07,"Nov. 1st, 2006",Simon & Schuster Books For Young Readers,Harcourt Paperbacks,Hatchet,The Rifle,0
ban_1963_half_2178,Han Nolan,Han Nolan,,,ban_1963,half_2178,9780152046798,9780152046798,312,312,4/14/03,"May. 1st, 2003",Houghton Mifflin Harcourt,Harcourt Paperbacks,If I Should Die Before I Wake,If I Should Die Before I Wake,1
ban_2745_half_2184,Holly Black,Holly Black,,,ban_2745,half_2184,9781442403406,9780316008105,352,403,4/3/12,"Jun. 7th, 2010",Margaret K. McElderry Books,"Little, Brown Books for Young Readers",Red Glove,Geektastic,0
ban_1764_half_1160,Walter Dean Myers,Walter Dean Myers,,,ban_1764,half_1160,9780307976109,9781606842096,160,164,2/14/12,"Apr. 26th, 2011",Random House Children's Books,Egmont USA,145th Street: Short Stories,Riot,0
ban_40_half_26,Madeleine L'Engle,Madeleine L'Engle,,,ban_40,half_26,9780312367541,9780312367541,256,245,5/1/07,"May. 1st, 2007",Square Fish,Square Fish,A Wrinkle in Time,A Wrinkle in Time,1
ban_537_half_877,Jenny Han,Jenny Han,,,ban_537,half_877,9781416995562,9781416995562,304,275,4/5/11,"Apr. 5th, 2011",Simon & Schuster Books For Young Readers,Simon & Schuster Children's Publishing,It's Not Summer Without You,It's Not Summer Without You,1
ban_1494_half_1837,Mark Cotta Vaz,Mark Cotta Vaz,,,ban_1494,half_1837,9780316134118,9780316134118,144,144,12/13/11,"Dec. 13th, 2011","Little, Brown Books for Young Readers",Little Brown and Company,The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,"The Twilight Saga: Breaking Dawn, Part 1",1
ban_504_half_1399,Christopher Paolini,Christopher Paolini,,Paperback,ban_504,half_1399,9780375826696,9780440238485,528,768,4/26/05,"Oct. 31st, 2006",Random House Children's Books,Laurel Leaf Library,Eragon,Eragon,0
ban_2071_half_1439,Meg Cabot,Meg Cabot,,,ban_2071,half_1439,9780061543654,9780060096151,304,294,5/27/08,,HarperCollins Publishers,HarperTrophy,Princess in Training,Princess in Training,0
ban_1588_half_1095,Darren Shan,Darren Shan,,Paperback,ban_1588,half_1095,9780316602112,9780316602112,224,224,5/11/05,"May. 11th, 2005","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Hunters of the Dusk,Hunters of the Dusk,1
ban_10640_half_1565,Dan Gookin,Dan Gutman,,Paperback,ban_10640,half_1565,9780470230770,9780380805044,384,176,,"Mar. 5th, 2002",Wiley,HarperCollins,Troubleshooting Your PC for Dummies,Babe & Me,0
ban_4750_half_2953,William F. Cody,William Sleator,,,ban_4750,half_2953,9781293935934,9780141311012,350,120,02/07/2015,"Feb. 19th, 2001",Scholar's Choice,Puffin Books,An Autobiography of Buffalo Bill - Scholar's Choice Edition,Rewind,0
ban_1971_half_1464,Melanie Dickerson,Melanie Dickerson,,,ban_1971,half_1464,9780310727613,9780310724391,288,352,11/29/11,"Dec. 25th, 2012",Zondervan,Zondervan,The Merchant's Daughter,The Fairest Beauty,0
ban_134_half_29,Scott Westerfeld,Scott Westerfeld,,,ban_134,half_29,9781442419810,9780689865381,432,448,5/3/11,"Feb. 28th, 2005",Simon Pulse,Simon Pulse,Uglies,Uglies,0
ban_1807_half_1497,Mal Peet,Mal Peet,,,ban_1807,half_1497,9780763632861,9780763632861,240,225,2/13/07,"Feb. 13th, 2007",Candlewick Press,Candlewick Press (MA),Keeper,Keeper,1
ban_1132_half_1422,Anthony Horowitz,Anthony Horowitz,,,ban_1132,half_1422,9780439680097,9780399246333,272,130,10/1/06,"Nov. 1st, 2006","Scholastic, Inc.",Philomel Books,Raven's Gate,Stormbreaker,0
ban_412_half_166,Paolo Bacigalupi,Paolo Bacigalupi,,,ban_412,half_166,9780316056199,9780316056199,352,352,10/3/11,"Oct. 3rd, 2011","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Ship Breaker,Ship Breaker,1
ban_307_half_456,James Patterson,James Patterson,,,ban_307,half_456,9780316038355,9780316067966,400,403,10/25/11,"Apr. 1st, 2007","Little, Brown Books for Young Readers","Little, Brown Young Readers",The Gift,School's Out-Forever,0
ban_659_half_563,David Levithan,David Levithan,,,ban_659,half_563,9780375832994,9780375832994,192,185,5/10/05,"May. 10th, 2005",Random House Children's Books,Alfred A. Knopf Books for Young Readers,Boy Meets Boy,Boy Meets Boy,1
ban_1312_half_1230,Todd Strasser,Todd Strasser,,,ban_1312,half_1230,9780689848933,9780689848933,208,208,4/28/02,"Apr. 1st, 2002",Simon Pulse,Simon Pulse,Give a Boy a Gun,Give a Boy a Gun,1
ban_2485_half_38,Madeleine L'Engle,Madeleine L'Engle,,,ban_2485,half_38,9781250003430,9781250003430,800,800,10/16/12,"Oct. 16th, 2012",Square Fish,Square Fish,A Wrinkle in Time Trilogy,A Wrinkle in Time Trilogy,1
ban_324_half_359,Ellen Hopkins,Ellen Hopkins,,,ban_324,half_359,9781416903574,9781416903574,688,666,5/20/08,"May. 20th, 2008",Margaret K. McElderry Books,Simon Pulse,Impulse,Impulse,1
ban_357_half_958,Frank Beddor,Frank Beddor,,Paperback,ban_357,half_958,9780142409411,9780142409411,400,358,8/21/07,"Aug. 21st, 2007",Penguin Young Readers Group,Speak,The Looking Glass Wars,The Looking Glass Wars,1
ban_1141_half_1324,Irene Hunt,Irene Hunt,,,ban_1141,half_1324,9780425099698,9780425182802,224,192,6/28/15,"Jan. 8th, 2002",Penguin Publishing Group,Berkley,No Promises in the Wind,No Promises in the Wind,0
ban_1515_half_1173,Tamora Pierce,Tamora Pierce,,Paperback,ban_1515,half_1173,9780689878558,9780689878589,240,284,1/6/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,Alanna: The First Adventure,The Woman Who Rides Like a Man,0
