ids,label,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title
wor_44144_half_2759,0,Robert Liparulo,Robert Liparulo,Paperback,Paperback,wor_44144,half_2759,9781595547293,9781595548931,320,308,(1 Sep 2009),"Nov. 30th, 2010",Thomas Nelson Publishers ,Thomas Nelson s,Gatekeepers,Timescape
wor_44145_half_2759,1,Robert Liparulo,Robert Liparulo,Paperback,Paperback,wor_44145,half_2759,9781595548931,9781595548931,320,308,(28 Oct 2010),"Nov. 30th, 2010",Thomas Nelson Publishers ,Thomas Nelson s,Timescape,Timescape
wor_44144_half_2638,1,Robert Liparulo,Robert Liparulo,Paperback,Paperback,wor_44144,half_2638,9781595547293,9781595547293,320,309,(1 Sep 2009),"Sep. 29th, 2009",Thomas Nelson Publishers ,Thomas Nelson s,Gatekeepers,Gatekeepers
wor_33801_half_1043,0,Alyson Noel,Alyson Noel,Paperback,,wor_33801,half_1043,9780312583750,9780312575663,336,352,(3 Jan 2012),"Nov. 13th, 2012",St Martin's Press ,St. Martin's Griffin,Dark Flame,Echo
wor_33801_half_2310,0,Alyson Noel,Alyson Noel,Paperback,,wor_33801,half_2310,9780312583750,9780312604394,336,445,(3 Jan 2012),"Apr. 26th, 2011",St Martin's Press ,St. Martin's Griffin,Dark Flame,Forever Summer
wor_33800_half_2310,1,Alyson Noel,Alyson Noel,Paperback,,wor_33800,half_2310,9780312604394,9780312604394,464,445,(20 May 2011),"Apr. 26th, 2011",Griffin Publishing ,St. Martin's Griffin,Forever Summer,Forever Summer
wor_33801_half_961,1,Alyson Noel,Alyson Noel,Paperback,,wor_33801,half_961,9780312583750,9780312583750,336,336,(3 Jan 2012),"Jan. 3rd, 2012",St Martin's Press ,St. Martin's Griffin,Dark Flame,Dark Flame
wor_12798_half_983,0,Herge Herge,Herge,Paperback,Paperback,wor_12798,half_983,9780316358354,9780316358378,62,62,(30 Apr 1975),"Apr. 30th, 1975","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: Black Island,Flight 714 to Sydney
wor_12795_half_983,1,Herge Herge,Herge,Paperback,Paperback,wor_12795,half_983,9780316358378,9780316358378,62,62,(30 Apr 1975),"Apr. 30th, 1975","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: Flight 714 to Sydney,Flight 714 to Sydney
wor_12798_half_1010,1,Herge Herge,Herge,Paperback,Paperback,wor_12798,half_1010,9780316358354,9780316358354,62,62,(30 Apr 1975),"Apr. 30th, 1975","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: Black Island,The Adventures of Tintin
wor_12896_half_1768,0,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_12896,half_1768,9780064410342,9780061478772,336,383,(26 May 2007),"Apr. 22nd, 2008",HarperCollins Publishers Inc ,Eos,Howl's Moving Castle,Castle in the Air
wor_30388_half_1768,1,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_30388,half_1768,9780061478772,9780061478772,383,383,(22 Apr 2008),"Apr. 22nd, 2008",HarperCollins Publishers Inc ,Eos,Castle in the Air,Castle in the Air
wor_30378_half_1768,0,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_30378,half_1768,9780006755302,9780061478772,288,383,(2 Oct 2000),"Apr. 22nd, 2008",HarperCollins Publishers ,Eos,Castle in the Air,Castle in the Air
wor_12894_half_1768,0,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_12894,half_1768,9780064473453,9780061478772,248,383,(7 Aug 2001),"Apr. 22nd, 2008",HarperCollins Publishers Inc ,Eos,Castle in the Air,Castle in the Air
wor_12896_half_233,0,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_12896,half_233,9780064410342,9780061478789,336,429,(26 May 2007),"Apr. 22nd, 2008",HarperCollins Publishers Inc ,Eos,Howl's Moving Castle,Howl's Moving Castle
wor_12896_half_540,1,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_12896,half_540,9780064410342,9780064410342,336,336,(26 May 2007),"Aug. 7th, 2001",HarperCollins Publishers Inc ,Greenwillow Books,Howl's Moving Castle,Howl's Moving Castle
wor_29078_half_1531,0,Erin Hunter,Erin Hunter,Paperback,,wor_29078,half_1531,9780062291455,9780062008374,528,112,(25 Feb 2016),"Nov. 22nd, 2011",HarperCollins Publishers Inc ,HarperCollins,Warriors Super Edition: Bramblestar's Storm,Warriors: Skyclan and the Stranger #2
wor_37973_half_2543,0,Steve Sheinkin,Steve Sheinkin,Paperback,,wor_37973,half_2543,9781580233477,9781596435193,144,244,(21 Feb 2008),"Jul. 7th, 2009",Jewish Lights Publishing ,Flash Point,Rabbi Harvey Rides Again: A Graphic Novel of Jewish Folktales Let Loose in the Wild West,Two Miserable Presidents
wor_32247_half_766,0,P. C. Cast,P. C. Cast,Paperback,Paperback,wor_32247,half_766,9780312360306,9780312577995,320,336,(25 Jul 2008),"Mar. 16th, 2010",Griffin Publishing ,St. Martin's Griffin,Chosen,Hunted
wor_32247_half_745,1,P. C. Cast,P. C. Cast,Paperback,Paperback,wor_32247,half_745,9780312360306,9780312360306,320,307,(25 Jul 2008),"Mar. 4th, 2008",Griffin Publishing ,St. Martin's Griffin,Chosen,Chosen
wor_31633_half_1022,0,Ann Rinaldi,Ann Rinaldi,Paperback,Paperback,wor_31633,half_1022,9780152046835,9780152046828,368,320,(1 Jul 2003),"Jul. 1st, 2003","Harcourt Books, Inc ",Graphia Books,A Ride Into Morning: The Story of Tempe Wick,A Break with Charity
wor_31646_half_1022,1,Ann Rinaldi,Ann Rinaldi,Paperback,Paperback,wor_31646,half_1022,9780152046828,9780152046828,320,320,(19 Jul 2007),"Jul. 1st, 2003",Red Wagon Books ,Graphia Books,A Break with Charity: A Story about the Salem Witch Trials,A Break with Charity
wor_41640_half_1897,0,Shelley Peterson,Shelley Peterson,Paperback,,wor_41640,half_1897,9781770860841,9781554702688,309,308,(15 Nov 2006),"Mar. 31st, 2010",Cormorant Books ,Key Porter Books,Sundancer,Mystery at Saddle Creek
wor_41639_half_1897,0,Shelley Peterson,Shelley Peterson,Paperback,,wor_41639,half_1897,9781554703234,9781554702688,268,308,(15 Aug 2010),"Mar. 31st, 2010",Key Porter Books ,Key Porter Books,Stagestruck,Mystery at Saddle Creek
wor_41645_half_1897,1,Shelley Peterson,Shelley Peterson,Paperback,,wor_41645,half_1897,9781554702688,9781554702688,308,308,(15 Mar 2010),"Mar. 31st, 2010",Key Porter Books ,Key Porter Books,Mystery at Saddle Creek,Mystery at Saddle Creek
wor_29655_half_265,0,Stephenie Meyer,Stephenie Meyer,Paperback,Paperback,wor_29655,half_265,9781907410352,9780316027656,720,629,(19 Aug 2010),"Aug. 4th, 2009","Little, Brown Book Group ","Little, Brown Young Readers","Breaking Dawn: Twilight, Book 4",Eclipse
wor_29658_half_265,0,Stephenie Meyer,Stephenie Meyer,Paperback,Paperback,wor_29658,half_265,9781904233916,9780316027656,576,629,(3 Jul 2008),"Aug. 4th, 2009","Little, Brown Book Group ","Little, Brown Young Readers",Eclipse,Eclipse
wor_29669_half_265,0,Stephenie Meyer,Stephenie Meyer,Paperback,Paperback,wor_29669,half_265,9781905654628,9780316027656,576,629,(1 Jun 2010),"Aug. 4th, 2009","Little, Brown Book Group ","Little, Brown Young Readers",Eclipse,Eclipse
wor_38874_half_1435,0,Alvin Schwartz,Alvin Schwartz,Paperback,,wor_38874,half_1435,9781407199269,9780064404181,352,128,(8 Aug 2019),"Sep. 30th, 1991",Scholastic ,HarperCollins,Scary Stories to Tell in the Dark: The Complete Collection,Scary Stories 3
wor_35550_half_1546,0,Frank Beddor,Frank Beddor,Paperback,Paperback,wor_35550,half_1546,9780981873701,9780142412091,176,371,(7 Oct 2008),"Nov. 1st, 2008",Automatic Pictures ,Speak,Hatter M: Looking Glass Wars v. 1,Seeing Redd
wor_35539_half_1546,1,Frank Beddor,Frank Beddor,Paperback,Paperback,wor_35539,half_1546,9780142412091,9780142412091,371,371,(1 Nov 2008),"Nov. 1st, 2008",Penguin Putnam Inc ,Speak,"Seeing Redd: The Looking Glass Wars, Book Two",Seeing Redd
wor_39992_half_1620,0,Mark Walden,Mark Walden,Hardback,,wor_39992,half_1620,9781442494213,9781416935728,304,320,(24 Apr 2018),"Jan. 29th, 2008",Simon & Schuster Books for Young Readers ,Simon & Schuster Books for Young Readers,Redemption,H.I.V.E.
wor_33384_half_642,0,Herge,Herge,Hardback,Paperback,wor_33384,half_642,9781405208130,9780316358347,64,62,(20 Jun 2003),"Jun. 30th, 1974",Egmont UK Ltd ,"Little, Brown Books for Young Readers",Prisoners of the Sun,The Adventures of Tintin
wor_12800_half_642,0,Herge Herge,Herge,Paperback,Paperback,wor_12800,half_642,9780316358460,9780316358347,62,62,(30 Sep 1976),"Jun. 30th, 1974","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: Explorers on the Moon,The Adventures of Tintin
wor_8669_half_642,0,Herge,Herge,Paperback,Paperback,wor_8669,half_642,9780316358569,9780316358347,62,62,(30 Jul 1984),"Jun. 30th, 1974","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: The Blue Lotus,The Adventures of Tintin
wor_12803_half_642,1,"Herge, Leslie Lonsdale-Cooper, Michael Turner",Herge,Paperback,Paperback,wor_12803,half_642,9780316358347,9780316358347,62,62,(30 Jun 1974),"Jun. 30th, 1974","Little, Brown Books for Young Readers ","Little, Brown Books for Young Readers",Red Rackham's Treasure,The Adventures of Tintin
wor_34778_half_843,0,Leslie Connor,Leslie Connor,Hardback,,wor_34778,half_843,9780606404051,9780060890902,416,290,(5 Dec 2017),"Feb. 1st, 2010",Turtleback Books ,Katherine Tegen Books,All Rise for the Honorable Perry T. Cook,Waiting for Normal
wor_34776_half_843,0,Leslie Connor,Leslie Connor,Hardback,,wor_34776,half_843,9780060890889,9780060890902,290,290,(5 Feb 2008),"Feb. 1st, 2010",Katherine Tegen Books ,Katherine Tegen Books,Waiting for Normal,Waiting for Normal
wor_34773_half_843,1,Leslie Connor,Leslie Connor,Paperback,,wor_34773,half_843,9780060890902,9780060890902,290,290,(1 Feb 2010),"Feb. 1st, 2010",HarperCollins Publishers Inc ,Katherine Tegen Books,Waiting for Normal,Waiting for Normal
wor_36929_half_2256,0,Gabrielle Lord,Gabrielle Lord,Paperback,,wor_36929,half_2256,9780340996522,9781610671132,192,179,(2 Sep 2010),"Jan. 1st, 2012",Hachette Children's Group ,Kane/Miller Book s,September,November
wor_36929_half_2261,0,Gabrielle Lord,Gabrielle Lord,Paperback,,wor_36929,half_2261,9780340996522,9781610671118,192,181,(2 Sep 2010),"Jan. 1st, 2012",Hachette Children's Group ,Kane/Miller Book s,September,September
wor_41808_half_1916,0,CLAMP,CLAMP,Paperback,,wor_41808,half_1916,9781421540412,9781595826695,584,640,(10 Nov 2011),"Apr. 1st, 2012","Viz Media, Subs. of Shogakukan Inc ",Dark Horse Comics,"X, Vol. 1: Includes vols. 1, 2 3",Magic Knight Rayearth 2 Omnibus Edition
wor_35110_half_893,0,Kevin Carroll,Kevin Carroll,Hardback,,wor_35110,half_893,9781933060026,9781933060569,96,70,(3 Nov 2005),"Jul. 1st, 2008",ESPN Books ,Hyperion Books,Rules Of The Red Rubber Ball: Find and Sustain Your Life's Work,What's Your Red Rubber Ball?!
wor_45627_half_2550,0,Karen Mahoney,Karen Mahoney,Paperback,,wor_45627,half_2550,9780552574136,9780738733401,352,336,(30 Mar 2015),"Apr. 8th, 2013",Random House Children's Publishers UK ,Flux,The Wood Queen,The Stone Demon
wor_45624_half_2550,1,Karen Mahoney,Karen Mahoney,Paperback,,wor_45624,half_2550,9780738733401,9780738733401,320,336,(8 Apr 2013),"Apr. 8th, 2013",Flux ,Flux,Stone Demon,The Stone Demon
wor_29081_half_435,0,Erin Hunter,Erin Hunter,Hardback,,wor_29081,half_435,9780062386571,9780060871246,352,293,(22 Oct 2018),"Feb. 10th, 2009",HarperCollins Publishers Inc ,HarperCollins,Warriors: A Vision of Shadows #6: The Raging Storm,The Quest Begins
wor_38196_half_1679,0,Robin Wasserman,Robin Wasserman,Paperback,Paperback,wor_38196,half_1679,9781416907183,9780439933421,192,235,(5 Feb 2007),"Sep. 30th, 2007",Simon & Schuster ,Scholastic Paperbacks,Seven Deadly Sins: Sloth,Truth
wor_21763_half_2984,0,Laura Ingalls Wilder,Laura Ingalls Wilder,,,wor_21763,half_2984,9780061563058,9780064400817,6,171,(1 Jul 2008),"Oct. 20th, 1976",HarperCollins Publishers Inc ,HarperCollins s,Little House On The Prairie Low Price Unabridged CD,West from Home
wor_11469_half_2984,1,Laura Ingalls Wilder,Laura Ingalls Wilder,Paperback,,wor_11469,half_2984,9780064400817,9780064400817,171,171,(3 Feb 2007),"Oct. 20th, 1976",HarperCollins Publishers Inc ,HarperCollins s,West from Home,West from Home
wor_15072_half_343,0,James Patterson,James Patterson,Paperback,,wor_15072,half_343,9780755349333,9780316002905,512,309,(15 Oct 2009),"Sep. 15th, 2009",Headline Publishing Group ,"Little, Brown Young Readers",Pop Goes the Weasel,Max
wor_30688_half_475,0,Robie H Harris,Robie H. Harris,Hardback,Paperback,wor_30688,half_475,9780763629311,9780763624330,32,89,(13 Sep 2011),,Candlewick Press (MA) ,Candlewick Press (MA),Who Has What? All about Girls' Bodies and Boys' Bodies,It's Perfectly Normal
wor_28626_half_60,0,Scott Westerfeld,Scott Westerfeld,Paperback,,wor_28626,half_60,9781442419797,9781442419810,350,406,(1 May 2011),"May. 3rd, 2011",Simon & Schuster ,Simon Pulse,Specials,Uglies
wor_28626_half_339,1,Scott Westerfeld,Scott Westerfeld,Paperback,,wor_28626,half_339,9781442419797,9781442419797,350,350,(1 May 2011),"May. 3rd, 2011",Simon & Schuster ,Simon Pulse,Specials,Specials
wor_33797_half_1379,0,Alyson Noel,Alyson Noel,Paperback,,wor_33797,half_1379,9780330528122,9780312650056,336,368,(7 Jul 2011),"Sep. 14th, 2010",Pan Macmillan ,St. Martin's Griffin,Everlasting,Shadowland
wor_6029_half_466,0,Ray Bradbury,Ray Bradbury,Paperback,,wor_6029,half_466,9780345410016,9780375803017,192,160,(15 Aug 1996),"Sep. 7th, 1999",Random House USA Inc ,Random House (NY),Fahrenheit 451,The Halloween Tree
wor_6347_half_466,1,"Ray Bradbury, Joseph A Mugnaini",Ray Bradbury,Paperback,,wor_6347,half_466,9780375803017,9780375803017,145,160,(1 Sep 1999),"Sep. 7th, 1999",Random House USA Inc ,Random House (NY),The Halloween Tree,The Halloween Tree
wor_29804_half_156,0,Mawi Asgedom,Mawi Asgedom,Paperback,,wor_29804,half_156,9780316736893,9780316826204,176,176,(3 Sep 2003),"Sep. 1st, 2002","Little, Brown & Company ","Little, Brown Books for Young Readers",The Code: The Five Secrets to Teen Success,Of Beetles & Angels
wor_29803_half_156,1,Mawi Asgedom,Mawi Asgedom,Paperback,,wor_29803,half_156,9780316826204,9780316826204,176,176,(1 Sep 2002),"Sep. 1st, 2002","Little, Brown & Company ","Little, Brown Books for Young Readers",Of Beetles and Angels: A Boy's Remarkable Journey from a Refugee Camp to Harvard,Of Beetles & Angels
wor_29804_half_2753,1,Mawi Asgedom,Mawi Asgedom,Paperback,,wor_29804,half_2753,9780316736893,9780316736893,176,152,(3 Sep 2003),"Sep. 3rd, 2003","Little, Brown & Company ","Little, Brown Books for Young Readers",The Code: The Five Secrets to Teen Success,The Code
wor_27996_half_1694,0,Herge,Herge,,Paperback,wor_27996,half_1694,9781787530355,9780316358316,-1,62,(1 Jan 2018),"Jun. 30th, 1974",BBC Worldwide Ltd ,"Little, Brown Books for Young Readers",The Adventures of Tintin: The BBC Radio 4 Collection,The Adventures of Tintin
wor_8669_half_1694,0,Herge,Herge,Paperback,Paperback,wor_8669,half_1694,9780316358569,9780316358316,62,62,(30 Jul 1984),"Jun. 30th, 1974","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: The Blue Lotus,The Adventures of Tintin
wor_12801_half_1694,1,Herge,Herge,Paperback,Paperback,wor_12801,half_1694,9780316358316,9780316358316,62,62,(30 Jun 1974),"Jun. 30th, 1974",Time Warner International ,"Little, Brown Books for Young Readers",King Ottokar's Sceptre,The Adventures of Tintin
wor_37472_half_3057,0,Cynthia Voigt,Cynthia Kadohata,Paperback,,wor_37472,half_3057,9780689866203,9781442429192,233,216,(1 Jan 2004),"Nov. 1st, 2011",Atheneum Books for Young Readers ,Atheneum Books for Young Readers,Bad Girls in Love,A Million Shades of Gray
wor_33086_half_3057,1,Cynthia Kadohat,Cynthia Kadohata,Paperback,,wor_33086,half_3057,9781442429192,9781442429192,216,216,(1 Nov 2011),"Nov. 1st, 2011",Simon & Schuster ,Atheneum Books for Young Readers,A Million Shades of Gray,A Million Shades of Gray
wor_15692_half_1755,0,Lois Duncan,Lois Duncan,Paperback,,wor_15692,half_1755,9780316098984,9780316099042,211,287,(19 Apr 2011),"Apr. 19th, 2011","Little, Brown & Company ","Little, Brown Books for Young Readers",Down a Dark Hall,Stranger with My Face
wor_10776_half_1755,0,Lois Duncan,Lois Duncan,Paperback,,wor_10776,half_1755,9780440983569,9780316099042,256,287,(1 Jan 2002),"Apr. 19th, 2011",Random House USA Inc ,"Little, Brown Books for Young Readers",Stranger with My Face,Stranger with My Face
wor_15681_half_1755,1,Lois Duncan,Lois Duncan,Paperback,,wor_15681,half_1755,9780316099042,9780316099042,287,287,(19 Apr 2011),"Apr. 19th, 2011","Little, Brown & Company ","Little, Brown Books for Young Readers",Stranger with My Face,Stranger with My Face
wor_15692_half_994,0,Lois Duncan,Lois Duncan,Paperback,,wor_15692,half_994,9780316098984,9780440918059,211,192,(19 Apr 2011),"Sep. 30th, 1990","Little, Brown & Company ",Laurel Leaf Library,Down a Dark Hall,Down a Dark Hall
wor_15695_half_994,0,Lois Duncan,Lois Duncan,Hardback,,wor_15695,half_994,9781613831892,9780440918059,211,192,(19 Apr 2011),"Sep. 30th, 1990",Perfection Learning ,Laurel Leaf Library,Down a Dark Hall,Down a Dark Hall
wor_32671_half_953,0,Darren Shan,Darren Shan,Paperback,Paperback,wor_32671,half_953,9780007193202,9780316603959,272,207,(3 Jan 2006),"Apr. 1st, 2004",HarperCollins Publishers ,"Little, Brown Books for Young Readers",Lord Loss,Trials of Death
wor_32665_half_953,0,Darren Shan,Darren Shan,Paperback,Paperback,wor_32665,half_953,9780007114405,9780316603959,176,207,(1 Oct 2001),"Apr. 1st, 2004",HarperCollins Publishers ,"Little, Brown Books for Young Readers",Trials of Death,Trials of Death
wor_32671_half_1801,0,Darren Shan,Darren Shan,Paperback,Paperback,wor_32671,half_1801,9780007193202,9780316012331,272,233,(3 Jan 2006),"May. 10th, 2006",HarperCollins Publishers ,"Little, Brown Books for Young Readers",Lord Loss,Lord Loss
wor_35257_half_916,0,Michael Northrop,Michael Northrop,Hardback,,wor_35257,half_916,9780545723398,9780545210133,192,240,(28 Apr 2015),"Dec. 1st, 2012",Scholastic Press ,Scholastic Paperbacks,Amulet Keepers,Trapped
wor_29475_half_959,0,Gennifer Choldenko,Gennifer Choldenko,Paperback,,wor_29475,half_959,9780152066444,9780142417188,216,274,(6 Apr 2009),"Jan. 25th, 2011",Houghton Mifflin ,Puffin Books,If a Tree Falls at Lunch Period,Al Capone Shines My Shoes
wor_29461_half_959,0,Gennifer Choldenko,Gennifer Choldenko,Paperback,,wor_29461,half_959,9781408801550,9780142417188,288,274,(10 Sep 2009),"Jan. 25th, 2011",Bloomsbury Publishing PLC ,Puffin Books,Al Capone Shines My Shoes,Al Capone Shines My Shoes
wor_29465_half_959,1,Gennifer Choldenko,Gennifer Choldenko,Paperback,,wor_29465,half_959,9780142417188,9780142417188,274,274,(25 Jan 2011),"Jan. 25th, 2011",Penguin Putnam Inc ,Puffin Books,Al Capone Shines My Shoes,Al Capone Shines My Shoes
wor_29475_half_1636,1,Gennifer Choldenko,Gennifer Choldenko,Paperback,,wor_29475,half_1636,9780152066444,9780152066444,216,216,(6 Apr 2009),"Apr. 6th, 2009",Houghton Mifflin ,Houghton Mifflin Harcourt (HMH),If a Tree Falls at Lunch Period,If a Tree Falls at Lunch Period
wor_32666_half_1095,0,Darren Shan,Darren Shan,Paperback,Paperback,wor_32666,half_1095,9780007159215,9780316602112,208,224,(4 Oct 2004),"May. 11th, 2005",HarperCollins Publishers ,"Little, Brown Books for Young Readers",Sons of Destiny,Hunters of the Dusk
wor_46095_half_2657,0,Paul B. Janeczko,Paul B. Janeczko,Paperback,,wor_46095,half_2657,9781442460614,9780763660666,144,256,(9 Mar 2012),"Sep. 11th, 2012",Simon & Schuster ,Candlewick Press (MA),Poetry From A to Z: A Guide for Young Writers,The Dark Game
wor_46101_half_2657,1,Janeczko Paul B.,Paul B. Janeczko,Paperback,,wor_46101,half_2657,9780763660666,9780763660666,248,256,(1 Dec 2012),"Sep. 11th, 2012","Candlewick Press,U.S. ",Candlewick Press (MA),The Dark Game: True Spy Stories from Invisible Ink to CIA Moles,The Dark Game
wor_41343_half_3047,0,Jennifer Echols,Jennifer Echols,Paperback,,wor_41343,half_3047,9781439178232,9781442452367,256,259,(1 Aug 2010),"Feb. 7th, 2012",MTV Books ,Simon Pulse,Forget You,The One That I Want
wor_41348_half_3047,1,Jennifer Echols,Jennifer Echols,Paperback,,wor_41348,half_3047,9781442452367,9781442452367,259,259,(7 Feb 2012),"Feb. 7th, 2012",Simon & Schuster ,Simon Pulse,The One That I Want,The One That I Want
wor_41343_half_1849,1,Jennifer Echols,Jennifer Echols,Paperback,,wor_41343,half_1849,9781439178232,9781439178232,256,292,(1 Aug 2010),"Jul. 20th, 2010",MTV Books ,MTV Books,Forget You,Forget You
wor_39889_half_312,0,National Geographic,National Geographic,Paperback,,wor_39889,half_312,9781426220166,9781426304460,-1,143,(18 Oct 2018),"Jun. 9th, 2009",National Geographic Society ,National Geographic Society,National Geographic Almanac 2019 UK Edition,National Geographic Student Atlas of the World
wor_39891_half_312,0,National Geographic,National Geographic,Hardback,,wor_39891,half_312,9781426220647,9781426304460,416,143,(5 Nov 2019),"Jun. 9th, 2009",National Geographic Society ,National Geographic Society,National Geographic History at a Glance: Illustrated Time Lines From Prehistory to the Present Day,National Geographic Student Atlas of the World
wor_29082_half_388,0,Erin Hunter,Erin Hunter,Paperback,,wor_29082,half_388,9780062410030,9780060525637,336,336,(21 Apr 2016),"Feb. 15th, 2005",HarperCollins Publishers Inc ,HarperCollins,Warriors: Dawn of the Clans #4: The Blazing Star,Warriors #4
wor_29773_half_1894,0,Walter Farley,Walter Farley,Hardback,Paperback,wor_29773,half_1894,9780606000352,9780679813446,193,240,(17 Dec 1991),"Aug. 20th, 1991",Demco Media Inc ,Yearling Books,The Black Stallion and the Girl,The Black Stallion Returns
wor_29772_half_1894,0,Walter Farley,Walter Farley,Hardback,Paperback,wor_29772,half_1894,9780808542094,9780679813446,268,240,(20 Aug 1991),"Aug. 20th, 1991",Turtleback Books ,Yearling Books,Son of the Black Stallion,The Black Stallion Returns
wor_29778_half_1894,1,Walter Farley,Walter Farley,Paperback,Paperback,wor_29778,half_1894,9780679813446,9780679813446,240,240,(1 Jun 1999),"Aug. 20th, 1991",Random House USA Inc ,Yearling Books,The Black Stallion Returns,The Black Stallion Returns
wor_45550_half_2542,0,Marsha Forchuk Skrypuch,Marsha Forchuk Skrypuch,Paperback,,wor_45550,half_2542,9781554553587,9781554550449,32,210,(26 Nov 2015),"Apr. 4th, 2008",Fitzhenry & Whiteside ,Fitzhenry & Whiteside,When Mama Goes to Work,Daughter of War
wor_45551_half_2542,1,Marsha Forchuk Skrypuch,Marsha Forchuk Skrypuch,Paperback,,wor_45551,half_2542,9781554550449,9781554550449,210,210,(4 Apr 2008),"Apr. 4th, 2008",Fitzhenry & Whiteside ,Fitzhenry & Whiteside,Daughter of War,Daughter of War
wor_13160_half_2643,0,Ann Brashares,Ann Brashares,Paperback,Paperback,wor_13160,half_2643,9780440229704,9780385731058,-1,373,(1 Jul 2004),"Dec. 28th, 2004",Laurel Leaf Library ,Delacorte Press Books for Young Readers,The Sisterhood of the Traveling Pants,The Second Summer of the Sisterhood
wor_16428_half_2643,1,Ann Brashares,Ann Brashares,Paperback,Paperback,wor_16428,half_2643,9780385731058,9780385731058,13,373,(28 Dec 2004),"Dec. 28th, 2004",Delacorte Press Books for Young Readers ,Delacorte Press Books for Young Readers,The Second Summer of the Sisterhood,The Second Summer of the Sisterhood
wor_13160_half_2444,0,Ann Brashares,Ann Brashares,Paperback,Paperback,wor_13160,half_2444,9780440229704,9780553494792,-1,352,(1 Jul 2004),"Apr. 30th, 2005",Laurel Leaf Library ,Dell Publishing Company,The Sisterhood of the Traveling Pants,Sisterhood of the Traveling Pants
wor_28389_half_1396,0,Gary Paulsen,Gary Paulsen,Paperback,,wor_28389,half_1396,9780553494655,9780375866111,88,120,(23 Jun 2010),"Apr. 24th, 2012",Yearling Books ,Yearling Books,Lawn Boy,"Liar, Liar"
wor_28389_half_152,1,Gary Paulsen,Gary Paulsen,Paperback,,wor_28389,half_152,9780553494655,9780553494655,88,88,(23 Jun 2010),"Mar. 24th, 2009",Yearling Books ,Yearling Books,Lawn Boy,Lawn Boy
wor_3875_half_152,0,Gary Paulsen,Gary Paulsen,Hardback,,wor_3875,half_152,9781417828333,9780553494655,96,88,(24 Mar 2009),"Mar. 24th, 2009",Turtleback Books ,Yearling Books,Lawn Boy,Lawn Boy
wor_33406_half_2348,0,Randa Abdel-Fattah,Randa Abdel-Fattah,,,wor_33406,half_2348,9781743191682,9780545050562,-1,297,(19 Mar 2012),"May. 1st, 2010",Bolinda Audio ,Orchard Books,Ten Things I Hate About Me: Library Edition,Ten Things I Hate about Me
wor_35534_half_958,0,Frank Beddor,Frank Beddor,Hardback,Paperback,wor_35534,half_958,9780803731554,9780142409411,371,358,(21 Aug 2007),"Aug. 21st, 2007",Penguin Putnam Inc ,Speak,"Seeing Redd: The Looking Glass Wars, Book Two",The Looking Glass Wars
wor_35542_half_958,1,Frank Beddor,Frank Beddor,Paperback,Paperback,wor_35542,half_958,9780142409411,9780142409411,358,358,(21 Aug 2007),"Aug. 21st, 2007",Speak ,Speak,The Looking Glass Wars,The Looking Glass Wars
wor_39021_half_1931,0,Jessica Day George,Jessica Day George,Paperback,,wor_39021,half_1931,9781681190242,9781599904559,368,280,(24 Aug 2016),"Apr. 27th, 2010",Bloomsbury Publishing Plc ,Bloomsbury Publishing PLC,Silver in the Blood,Princess of the Midnight Ball
wor_39015_half_1931,0,Jessica Day George,Jessica Day George,Paperback,,wor_39015,half_1931,9781599906591,9781599904559,272,280,(19 Dec 2013),"Apr. 27th, 2010",Bloomsbury Publishing Plc ,Bloomsbury Publishing PLC,Princess of Glass,Princess of the Midnight Ball
wor_39028_half_1931,1,Jessica Day George,Jessica Day George,Paperback,,wor_39028,half_1931,9781599904559,9781599904559,280,280,(27 Apr 2010),"Apr. 27th, 2010",Bloomsbury Publishing Plc ,Bloomsbury Publishing PLC,Princess of the Midnight Ball,Princess of the Midnight Ball
wor_39021_half_2019,0,Jessica Day George,Jessica Day George,Paperback,,wor_39021,half_2019,9781681190242,9781599903286,368,328,(24 Aug 2016),"Jan. 20th, 2009",Bloomsbury Publishing Plc ,Bloomsbury Publishing PLC,Silver in the Blood,"Sun and Moon, Ice and Snow"
wor_39383_half_2049,0,Melissa Marr,Melissa Marr,Paperback,,wor_39383,half_2049,9780007263073,9780061493492,336,176,(1 Jul 2008),"Apr. 30th, 2010",HarperCollins Publishers ,TokyoPop,Wicked Lovely,Wicked Lovely Challenge
