ids,bx_author,wor_author,bx_binding,wor_binding,bx_id,wor_id,bx_isbn,wor_isbn,bx_pages,wor_pages,bx_pubdate,wor_pubdate,bx_publisher,wor_publisher,bx_title,wor_title,label
bx_29319_wor_13154,FronaÂ?Â?Â?Â? Lewis,Frona Lewis,,Paperback,bx_29319,wor_13154,9780595304318,9780595304318,-1,168,2003,(7 Dec 2003),iUniverse,iUniverse ,Flowers for Travis,Flowers for Travis,1
bx_104915_wor_22305,David Whyte,David Whyte,,Paperback,bx_104915,wor_22305,9780385484183,9780385484183,-1,368,1996,(6 Oct 1998),Currency,Bantam Doubleday Dell Publishing Group Inc ,The Heart Aroused : Poetry and the Preservation of the Soul in Corporate America,The Heart Aroused,1
bx_13901_wor_7496,Elaine Showalter,Elaine Showalter,,Paperback,bx_13901,wor_7496,9780860682851,9780860682851,-1,400,1982,(23 Sep 1982),Virago,"Little, Brown Book Group ",A literature of their own: British women novelists from BrontÃ« to Lessing,A Literature Of Their Own: British Women Novelists from Bronte to Lessing,1
bx_70484_wor_36094,Bette Greene,Bette Greene,,Paperback,bx_70484,wor_36094,9780141303123,9780141303123,-1,135,1999,(24 Jun 1999),Puffin Books,Penguin Books Australia ,Philip Hall Likes Me. I Reckon Maybe.,"Philip Hall Likes ME, I Reckon Maybe",1
bx_16772_wor_28553,MADELEINE L'ENGLE,Madeleine L'Engle,,Paperback,bx_16772,wor_28553,9780440498056,9780141354934,-1,288,1998,(3 Jul 2014),Yearling,Penguin Books Ltd ,A Wrinkle In Time,A Wrinkle in Time,0
bx_15847_wor_8263,Luiz Alfredo Garcia-Roza,Luiz Alfredo Garcia-Roza,,Paperback,bx_15847,wor_8263,9780312421182,9780312421182,-1,272,2003,(1 Jul 2003),Picador USA,St Martin's Press ,The Silence of the Rain: An Inspector Espinosa Mystery,The Silence of the Rain: A Detective Espinosa Mystery,1
bx_239642_wor_19615,Rudyard Kipling,Ellen Gilchrist,,Hardback,bx_239642,wor_19615,9780385021296,9780316299480,-1,576,1946,(14 Dec 2000),Doubleday Books,"Little, Brown & Company ",Just So Stories,Collected Stories,0
bx_21728_wor_10493,Robert Munsch,"Robert Munsch, Helene Desputeaux",,Hardback,bx_21728,wor_10493,9781550372557,9781550372557,-1,32,1992,(1 May 1992),Annick Press,Annick Press Ltd ,Purple Green and Yellow,"Purple, Green and Yellow",1
bx_23179_wor_11040,Gary W. Evans,Gary W. Evans,,Paperback,bx_23179,wor_11040,9780895297310,9780895297310,-1,192,1996,(17 Oct 1996),Avery Publishing Group,"Avery Publishing Group Inc.,U.S. ",Chromium Picolinate: Everything You Need to Know,Chromium Picolinate: Everything You Need to Know,1
bx_13979_wor_7533,Robert Hass,Robert Hass,,Paperback,bx_13979,wor_7533,9780880015394,9780880015394,-1,-1,1997,(12 Jan 2000),Ecco,ECCO Press ,Twentieth Century Pleasures: Prose on Poetry,Twentieth Century Pleasures: Prose on Poetry,1
bx_67958_wor_41743,Linda Randall Wisdom,Michael D Beil,,Hardback,bx_67958,wor_41743,9780373076406,9780375867415,-1,274,1995,(9 Oct 2012),Silhouette,Alfred A. Knopf Books for Young Readers ,No More Secrets,The Secret Cellar,0
bx_213811_wor_15854,Douglas Adams,"Douglas Adams, Tim Marrs",,Hardback,bx_213811,wor_15854,9780613064057,9780575115347,-1,192,1999,(10 May 2012),Sagebrush Bound,Orion Publishing Co ,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide To The Galaxy,0
bx_25621_wor_11867,Adam Parkes,"Adam Parkes, Adam Parkes",,Paperback,bx_25621,wor_11867,9780826452313,9780826452313,-1,94,2001,(1 Sep 2001),Continuum International Publishing Group,Bloomsbury Publishing PLC ,Kazuo Ishiguro's The Remains of the Day: A Reader's Guide,"Kazuo Ishiguro's ""The Remains of the Day""",1
bx_48590_wor_2706,Tadeusz Browski,"Tadeusz Borowski, Jan Kott, Barbara Vedder, Michael Kandel",,Paperback,bx_48590,wor_2706,9780140041149,9780140186246,-1,192,1980,(26 Nov 1992),Penguin Books Ltd,Penguin Books Ltd ,"This Way for the Gas, Ladies and Gentlemen","This Way for the Gas, Ladies and Gentlemen",0
bx_65596_wor_8314,John Taylor Gatto,"John Taylor Gatto, Thomas Moore",,Paperback,bx_65596,wor_8314,9780865712317,9780865714489,-1,144,1991,(1 Feb 2002),New Society Publishers,New Society Publishers ,Dumbing Us Down: The Hidden Curriculum of Compulsory Schooling,Dumbing Us Down: The Hidden Curriculum of Compulsory Schooling,0
bx_28297_wor_1366,Herge,Carol Ryrie Brink,,Hardback,bx_28297,wor_1366,9780316358354,9780899683041,-1,-1,1975,(1 Dec 1992),"Little, Brown",Buccaneer Books ,The Black Island,Baby Island,0
bx_121830_wor_42658,Andrew Calimach,Hugh Lupton,,Paperback,bx_121830,wor_42658,9780971468603,9781782853497,-1,136,2002,(1 Sep 2017),Haiduk Press,Barefoot Books Ltd ,Lovers' Legends: The Gay Greek Myths,Greek Myths,0
bx_23797_wor_11280,Doris Kearns Goodwin,Doris Kearns Goodwin,,Hardback,bx_23797,wor_11280,9780684847955,9780684824895,-1,261,1998,(27 Oct 1997),Simon  Schuster,Simon & Schuster ,WAIT TILL NEXT YEAR: A MEMOIR,Wait till Next Year: A Memoir,0
bx_23438_wor_11131,Frederik Pohl,Frederik Pohl,,Paperback,bx_23438,wor_11131,9780345371973,9780345371973,-1,407,1991,(1 Oct 1998),Del Rey Books,Random House USA Inc ,The World at the End of Time,The World at the End of Time,1
bx_172630_wor_29990,Wilson Rawls,Wilson Rawls,,Paperback,bx_172630,wor_29990,9780440412670,9780440412670,-1,212,1996,(1 Jan 1990),Yearling Books,Random House USA Inc ,Where the Red Fern Grows: The Story of Two Dogs and a Boy,Where the Red Fern Grows: The Story of Two Dogs and a Boy,1
bx_28217_wor_12763,Manuel Vazquez Montalban,Manuel Vazquez Montalban,,Paperback,bx_28217,wor_12763,9781852421311,9781852421311,-1,224,1997,(31 Mar 1988),Serpent's Tail,Profile Books Ltd ,Murder in the Central Committee,Murder in the Central Committee,1
bx_202676_wor_8172,Laura Ingalls Wilder,Laura Ingalls Wilder,,Paperback,bx_202676,wor_8172,9780061070068,9780064400022,-1,352,1953,(14 Dec 2002),HarperCollins Publishers,HarperCollins Publishers Inc ,Little House on the Prairie,Little House on the Prairie,0
bx_12652_wor_7011,Lilian Jackson Braun,Lilian Jackson Braun,,Paperback,bx_12652,wor_7011,9780515109504,9780515109504,-1,272,1992,(30 Oct 1997),Jove Books,Penguin Putnam Inc ,The Cat Who Moved a Mountain,The Cat Who Moved a Mountain,1
bx_22419_wor_10760,Elizabeth Thornton,Elizabeth Thornton,,Paperback,bx_22419,wor_10760,9780553574791,9780553574791,-1,352,1996,(31 May 1996),Bantam Books,Bantam Doubleday Dell Publishing Group Inc ,Dangerous to Hold,Dangerous To Hold,1
bx_142264_wor_15584,Soren Kierkegaard,"Soren Kierkegaard, Alastair Hannay, Alastair Hannay",,Paperback,bx_142264,wor_15584,9780140444490,9780140444490,-1,176,1986,(29 Aug 1985),Penguin Books,Penguin Books Ltd ,Fear and Trembling,Fear and Trembling: Dialectical Lyric by Johannes De Silentio,1
bx_101576_wor_10559,Anne Marie Duquette,Gertrude Chandler Warner,,Paperback,bx_101576,wor_10559,9780373033287,9780807516041,-1,128,1994,(1 Jan 1995),Harlequin,Albert Whitman & Company ,Dinosaur Lady,The Dinosaur Mystery,0
bx_19018_wor_9414,Margaret Wise Brown,Golden Books,,Hardback,bx_19018,wor_9414,9780307960375,9780307960375,-1,32,2002,(1 Mar 2003),Golden Books,Random House USA Inc ,Seven Little Postmen,LGB Seven Little Postmen,1
bx_31309_wor_46542,HARRIET ZIEFERT,Harriet Ziefert,,Paperback,bx_31309,wor_46542,9780394898612,9780394898612,-1,32,1988,(12 May 1988),Dragonfly Books,Alfred A. Knopf ,A New Coat for Anna,A New Coat for Anna,1
bx_13171_wor_7228,Dave Barry,Dave Borry,,Paperback,bx_13171,wor_7228,9780805029642,9780805029642,-1,227,1993,(1 Jan 1996),Henry Holt  Company,Henry Holt & Company Inc ,Dave Barry's Bad Habits a 100% Fact-Free Book,Dave Borry's Bad Habits,1
bx_22051_wor_10616,Bret Easton Ellis,Bret Easton Ellis,Paperback,Paperback,bx_22051,wor_10616,9780375703843,9780375703843,-1,560,2000,(21 Mar 2000),Vintage Books USA,Random House USA Inc ,Glamorama,Glamorama,1
bx_27362_wor_12464,Charles Lamb,"Charles Lamb, Mary Lamb",,Paperback,bx_27362,wor_12464,9780140366778,9780140366778,-1,368,1995,(25 Aug 1994),Puffin Books,Penguin Books Ltd ,Tales from Shakespeare,Tales of Shakespeare,1
bx_16819_wor_32711,Sophocles,Kendare Blake,,Hardback,bx_16819,wor_32711,9780195061673,9780765334435,-1,336,1990,(10 Sep 2013),Oxford University Press,Tor Books ,Antigone,Antigoddess,0
bx_142154_wor_46091,Louisa May Alcott,Louisa May Alcott,,Paperback,bx_142154,wor_46091,9780590404983,9780008387846,-1,272,1987,(12 Dec 2019),Scholastic,HarperCollins Publishers ,Little Women,Little Women,0
bx_42355_wor_7441,Amy Tan,Amy Tan,,Paperback,bx_42355,wor_7441,9780749399573,9780679727682,-1,288,1991,(17 Sep 1991),Vintage,Random House USA Inc ,The Joy Luck Club,The Joy Luck Club,0
bx_27649_wor_12544,Heinrich Harrer,Heinrich Harrer,,Paperback,bx_27649,wor_12544,9780006550921,9780006550921,-1,320,0,(1 Dec 1997),Flamingo,HarperCollins Publishers ,Seven Years In Tibet,Seven Years in Tibet,1
bx_33559_wor_10551,Maxence Fermine,Maxence Fermine,,Paperback,bx_33559,wor_10551,9782869594401,9782020385800,-1,84,1999,(12 Jan 2011),Arléa,Editions du Seuil ,Neige,Neige,0
bx_100405_wor_3408,Lewis Carroll,"Lewis Carroll, Helen Oxenbury",,Paperback,bx_100405,wor_3408,9780804900799,9781406360431,-1,208,1979,(4 Dec 2014),Airmont Pub Co,Walker Books Ltd ,Alice's Adventures in Wonderland and Through the Looking Glass,Alice's Adventures in Wonderland,0
bx_29138_wor_13102,Dave Barry,Dr Dave Barry,,Paperback,bx_29138,wor_13102,9780345440631,9780345440631,-1,272,2000,(5 Sep 2000),Ballantine Books,Random House USA Inc ,Dave Barry's Complete Guide to Guys,Dave Barry's Complete Guide to Guys,1
bx_2623_wor_4925,Paulo Coelho,"Paulo Coelho, Margaret Jull Costa",,Paperback,bx_2623,wor_4925,9780060955779,9780007103461,-1,208,2001,(21 Aug 2000),Perennial,HarperCollins Publishers ,Veronika Decides to Die,Veronika Decides to Die,0
bx_49653_wor_17955,Anne Frank,Anne Frank,,Paperback,bx_49653,wor_17955,9780671707613,9781405882125,-1,72,1990,(28 Mar 2008),Pocket,Pearson Education Limited ,ANNE FRANK: DIARY OF A YOUNG GIRL,Level 4: The Diary of a Young Girl,0
bx_87673_wor_14398,Thomas Hardy,"Thomas Hardy, Dale Kramer",,Paperback,bx_87673,wor_14398,9780140431254,9780199537037,-1,432,1993,(14 Aug 2008),Penguin Books,Oxford University Press ,The Mayor of Casterbridge,The Mayor of Casterbridge,0
bx_23878_wor_11306,Judy Delton,Judy Delton,Paperback,Paperback,bx_23878,wor_11306,9780440400103,9780440400103,-1,-1,1988,(1 Sep 1988),Yearling Books,Bantam Doubleday Dell Publishing Group Inc ,Cookies and Crutches,Cookies Crutches,1
bx_461_wor_19528,Carrie Bebris,Carrie Bebris,,Paperback,bx_461,wor_19528,9780786913879,9780786913879,-1,320,2001,(1 May 2001),Wizards of the Coast,Wizards of the Coast ,Pool of Radiance: The Ruins of Myth Drannor,Pool of Radiance: Ruins of Myth Drannor,1
bx_14703_wor_7809,Dashiell Hammett,Dashiell Hammett,,Paperback,bx_14703,wor_7809,9780679722618,9780679722618,-1,216,1992,(1 Sep 1996),Vintage Books USA,Random House USA Inc ,Red Harvest,Red Harvest,1
bx_25198_wor_11685,MERCER MAYER,Mercer Mayer,,Paperback,bx_25198,wor_11685,9780307126856,9780307126856,-1,24,1999,(1 Mar 1992),Golden Books,"Golden Books Publishing Company, Inc. ",What a Bad Dream,What A Bad Dream,1
bx_140588_wor_18478,Rex Stout,Rex Stout,,Paperback,bx_140588,wor_18478,9780553762969,9780553762969,-1,208,1995,(31 Mar 1999),Bantam,Bantam ,If Death Ever Slept,If Death Ever Slept,1
bx_20153_wor_9873,WILL AND MA OSBORNE,"Mary Pope Osborne, Will Osborne",,Paperback,bx_20153,wor_9873,9780375802973,9780375802973,-1,119,2000,(1 Aug 2000),Random House Books for Young Readers,Random House USA Inc ,Knights And Castles,Magic Tree House Fact Tracker #2 Knights And Castles,1
bx_14199_wor_33797,Nancy Thayer,Alyson Noel,,Paperback,bx_14199,wor_33797,9780451172501,9780330528122,-1,336,1992,(7 Jul 2011),Signet Book,Pan Macmillan ,Everlasting,Everlasting,0
bx_12582_wor_6986,Olivia Judson,Olivia Judson,,Hardback,bx_12582,wor_6986,9780805063318,9780805063318,-1,308,2002,(14 Aug 2002),Metropolitan Books,Metropolitan Books ,Dr. Tatiana's Sex Advice to All Creation: The Definitive Guide to the Evolutionary Biology of Sex,Dr. Tatiana's Sex Advice to All Creation / Olivia Judson.,1
bx_1915_wor_41623,Kurt Vonnegut,Barry Lyg,,Paperback,bx_1915,wor_41623,9780425130216,9781419736063,-1,225,1991,(7 May 2019),Berkley Publishing Group,Abrams ,Hocus Pocus,Hocus Pocus,0
bx_14750_wor_7828,Ernest Hemingway,Hemingway,,Paperback,bx_14750,wor_7828,9780684822761,9780684822761,-1,156,1996,(29 Jan 1996),Scribner,Prentice Hall (a Pearson Education company) ,In Our Time,In Our Time,1
bx_7332_wor_9468,Donald Harstad,Donald Harstad,,Paperback,bx_7332,wor_9468,9780385488945,9780553581485,-1,368,1998,(4 May 1999),Doubleday Books,Bantam Doubleday Dell Publishing Group Inc ,Eleven Days: A Novel of the Heartland,Eleven Days,0
bx_39361_wor_3782,Randy Alcorn,Randy Alcorn,,Paperback,bx_39361,wor_3782,9780842337915,9781414348551,-1,406,2001,(19 Jul 2011),Tyndale House Publishers,Tyndale House Publishers ,Safely Home,Safely Home,0
bx_229758_wor_510,Helene Siegel,Helene Siegel,,Paperback,bx_229758,wor_510,9780890878354,9780890878071,-1,96,1997,(1 Nov 1996),Celestial Arts,Celestial Arts ,The Totally Nuts Cookbook,More Totally Cookbooks Camping,0
bx_20563_wor_10026,Scott Adams,Scott Adams,,Paperback,bx_20563,wor_10026,9780836228991,9780836228991,-1,128,1997,(1 Mar 1997),Andrews McMeel Publishing,Andrews McMeel Publishing ,Casual Day Has Gone Too Far,Casual Day Has Gone Too Far: A Dilbert Book,1
bx_26376_wor_12154,Jeffery Deaver,"Jeffery Deaver, William Jefferies",,Paperback,bx_26376,wor_12154,9780671047504,9780671047504,-1,368,2000,(1 Dec 2000),Pocket,Simon & Schuster ,Bloody River Blues,Bloody River Blues,1
bx_19386_wor_8979,Laura Joh Rowland,Laura Joh Rowland,,Paperback,bx_19386,wor_8979,9780312282622,9780312983789,-1,368,2002,(30 May 2003),St. Martin's Minotaur,St Martin's Press ,The Pillow Book of Lady Wisteria,The Pillow Book of Lady Wisteria,0
bx_102915_wor_21602,H. G. Wells,"H. G. Wells, Brian Aldiss",Paperback,Hardback,bx_102915,wor_21602,9780460873031,9780241382707,-1,240,1993,(6 Dec 2018),Everymans Library,Penguin Books Ltd ,The War of the Worlds,The War of the Worlds,0
bx_176169_wor_48224,Jim Sukach,Jim Sukach,,Paperback,bx_176169,wor_48224,9780806938271,9780806942513,-1,96,1998,(30 Jun 1999),Sterling Publishing,Sterling Juvenile ,Great Quicksolve Whodunit Puzzles,Great Quicksolve Whodunit Puzzles: Mini-Mysteries for You to Solve,0
bx_105330_wor_30592,Homer,Homer,,Paperback,bx_105330,wor_30592,9780670821624,9781853260254,-1,512,1996,(5 May 1992),Viking Books,Wordsworth Editions Ltd ,The Odyssey,The Odyssey,0
bx_13166_wor_7224,Richard Shenkman,Richard Shenkman,,Paperback,bx_13166,wor_7224,9780060923303,9780060923303,-1,240,1992,(31 Aug 1992),Perennial,HarperCollins Publishers Inc ,"I Love Paul Revere, Whether He Rode or Not","I Love Paul Revere, Whether He Rode or Not",1
bx_12792_wor_7065,Julie Garwood,Julie Garwood,,Paperback,bx_12792,wor_7065,9780671870980,9780671870980,-1,512,1996,(1 Feb 1996),Pocket,Simon & Schuster ,For the Roses,For the Roses,1
bx_37_wor_13936,Harper Lee,Harper Lee,,Paperback,bx_37,wor_13936,9780446310789,9780099466734,-1,320,1988,(5 Feb 2004),Little Brown  Company,Vintage Publishing ,To Kill a Mockingbird,To Kill a Mockingbird,0
bx_25062_wor_11644,Erich Segal,Professor of Classics Erich Segal,,Paperback,bx_25062,wor_11644,9780380018444,9780380018444,-1,336,2002,(26 Jun 2012),HarperTorch,HarperCollins Publishers Inc ,Oliver's Story,Oliver's Story,1
bx_31110_wor_40436,Kevin Henkes,Kevin Henkes,,Hardback,bx_31110,wor_40436,9780688128975,9780688128975,-1,40,1996,(1 Mar 2006),Greenwillow,HarperCollins Publishers Inc ,Lilly's Purple Plastic Purse,Lillys Purple Plastic Purse,1
bx_29175_wor_13117,MARGARET ATWOOD,Margaret Eleanor Atwood,,Paperback,bx_29175,wor_13117,9780385721677,9780385721677,-1,376,2004,(1 Mar 2004),Anchor,Anchor Books ,Oryx and Crake,Oryx and Crake: A Novel,1
bx_22518_wor_10793,Christina Dodd,Christina Dodd,,Paperback,bx_22518,wor_10793,9780380811984,9780380811984,-1,368,2000,(27 Mar 2001),Avon,HarperCollins Publishers Inc ,Rules of Engagement,Rules of Engagement,1
bx_222205_wor_39992,Scott Wallens,Mark Walden,,Hardback,bx_222205,wor_39992,9780142301043,9781442494213,-1,304,2002,(24 Apr 2018),Puffin Books,Simon & Schuster Books for Young Readers ,Redemption,Redemption,0
bx_77671_wor_29219,Ursula  K. Le Guin,Ursula K. Le Guin,,Paperback,bx_77671,wor_29219,9780689317200,9780141354910,-1,304,1991,(7 Jul 2016),Atheneum,Penguin Books Ltd ,A Wizard of Earthsea,A Wizard of Earthsea,0
bx_17099_wor_8688,Jack Gantos,Jack Gantos,,Paperback,bx_17099,wor_8688,9780374437169,9780374437169,-1,176,1999,(23 Mar 2000),"Farrar, Straus and Giroux (BYR)",St Martin's Press ,Jack's Black Book,Jack's Black Book,1
bx_152191_wor_2349,Emily Bronte,Emily Bronte,,Hardback,bx_152191,wor_2349,9780582077829,9781840227949,-1,320,1993,(7 Sep 2019),Longman Publishing Group,Wordsworth Editions Ltd ,Wuthering Heights,Wuthering Heights,0
bx_245109_wor_12343,Charles Dickens,Charles Dickens,,Paperback,bx_245109,wor_12343,9780451514905,9780812505061,-1,367,1980,(1 Jan 1920),Signet,Macmillan Publishers New Zealand Ltd ,A Tale of Two Cities,A Tale of Two Cities,0
bx_251530_wor_2950,Wayne W. Bennett,"Adam Davies, Dr Jeff Meldrum",,Paperback,bx_251530,wor_2950,9780534615246,9781909488212,-1,164,2003,(7 Oct 2014),Wadsworth Publishing,CFZ Press ,Criminal Investigation,Manbeasts: A personal investigation,0
bx_10335_wor_6067,Isabel Allende,Isabel Allende,,Hardback,bx_10335,wor_6067,9780060509170,9780060509170,-1,-1,2002,(22 Oct 2002),HarperCollins,Rayo ,City of the Beasts,City of the Beasts,1
bx_22394_wor_16382,Belva Plain,Belva Plain,,Paperback,bx_22394,wor_16382,9780385334716,9780440235774,-1,400,2001,(30 Apr 2002),Delacorte Press,Bantam Doubleday Dell Publishing Group Inc ,Looking Back,Looking Back,0
bx_156035_wor_17203,Charles Dickens,"Charles Dickens, Gill Tavner, Karen Donnelly",,Paperback,bx_156035,wor_17203,9780895772589,9781906230005,-1,64,1987,(16 Nov 2007),Reader's Digest Association,Real Reads ,Oliver Twist,Oliver Twist,0
bx_20411_wor_9976,Carolyn Keene,Carolyn Keene,Hardback,Hardback,bx_20411,wor_9976,9780448095196,9780448095196,-1,192,1969,(1 Jan 1942),Grosset  Dunlap,Penguin Putnam Inc ,The Quest of the Missing Map,Nancy Drew 19: the Quest of the Missing Map,1
bx_266563_wor_39215,Angela Johnson,Alexandra Adornetto,,Paperback,bx_266563,wor_39215,9780613285179,9788499184395,-1,-1,2001,(30 Jun 2013),Sagebrush Bound,Roca Editorial ,Heaven,Heaven,0
bx_712_wor_22555,Gwyn Hyman Rubio,"Gwyn Hyman Rubio, Kate Miller",,,bx_712,wor_22555,9780142000205,9781565115132,-1,-1,2001,(4 Apr 2001),Penguin Books,HighBridge Audio ,Icy Sparks,Icy Sparks,0
bx_218584_wor_3775,Sara Jarrod,Randy Alcorn,,Paperback,bx_218584,wor_3775,9780515119541,9781414310404,-1,188,1996,(4 Sep 2006),Jove Books,Tyndale House Publishers ,Heaven Above,Heaven for Kids,0
bx_45957_wor_26185,Barbara McCafferty,Gloria Vanderbilt,Paperback,Paperback,bx_45957,wor_26185,9781575663432,9780353230040,-1,402,1998,(10 Nov 2018),Kensington Publishing Corp.,Franklin Classics Trade Press ,Double Exposure,Double Exposure,0
bx_28411_wor_12851,Gordon Bussey,Gordon Bussey,,Hardback,bx_28411,wor_12851,9780953896707,9780953896707,-1,96,2001,(1 Jan 2001),Marconi Communications,Marconi Communications ,Marconi's Atlantic Leap,Marconi's Atlantic Leap,1
bx_17882_wor_8998,Toru Takemitsu,"Taoru Takemitsu, Yoshiko Kakudo, Glenn Glasow, Seiji Ozawa",,Paperback,bx_17882,wor_8998,9780914913368,9780914913368,-1,156,1995,(1 Jan 1995),Fallen Leaf Press,Scarecrow Press ,Confronting Silence,Confronting Silence: Selected Writings,1
bx_30705_wor_10934,Mark Twain,Mark Twain,,Paperback,bx_30705,wor_10934,9780451523730,9780142437179,-1,368,1959,(31 Dec 2002),New Amer Library Classics,Penguin Putnam Inc ,Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,0
bx_13648_wor_7400,Rudolf Steiner,"Rudolf Steiner, D. Osmond, J. Collis",,Paperback,bx_13648,wor_7400,9780919924031,9780919924031,-1,96,2000,(1 Aug 2007),Steiner Books,Anthroposophic Press Inc ,The Driving Force of Spiritual Powers in World History,The Driving Force of Spiritual Powers in World History,1
bx_12210_wor_6835,Laura Zigman,Laura Zigman,,Paperback,bx_12210,wor_6835,9780385333412,9780385333412,-1,256,2001,(6 Feb 2001),Delta,Delta ,Dating Big Bird,Dating Big Bird,1
bx_13175_wor_7232,Robert McCammon,Robert R. McGammon,,Paperback,bx_13175,wor_7232,9780671743079,9780671743079,-1,400,1993,(1 Jan 1999),Pocket,Simon & Schuster ,GONE SOUTH,Gone South,1
bx_203246_wor_33368,Virginia Euwer Wolff,Virginia Euwer Wolff,,Paperback,bx_203246,wor_33368,9780590898003,9780590898003,-1,230,2000,(30 Apr 2000),Scholastic Signature,Scholastic US ,Bat 6,Bat 6,1
bx_19335_wor_9530,Rex Stout,Rex Stout,,Paperback,bx_19335,wor_9530,9780553261097,9780553261097,-1,187,1992,(1 Sep 1992),Bantam Books,Bantam Doubleday Dell Publishing Group Inc ,Not Quite Dead Enough: A Nero Wolfe Mystery,Not Quite Dead Enough,1
bx_290_wor_12744,Charles Dickens,"Charles Dickens, Charles Dickens, T. C. B. Cooke, Dr. Keith Carabine",,Paperback,bx_290,wor_12744,9780679423072,9781853262647,-1,800,1993,(5 Sep 1995),Alfred A. Knopf,Wordsworth Editions Ltd ,Nicholas Nickleby,Nicholas Nickleby,0
bx_20082_wor_9850,Richard Laymon,Richard Laymon,,Hardback,bx_20082,wor_9850,9781587670121,9781587670121,-1,-1,2000,(29 Oct 2000),Cemetery Dance Publications,Cemetery Dance Publications ,Once upon a Halloween,Once Upon a Halloween,1
bx_1828_wor_13989,Barbara Kingsolver,Barbara Kingsolver,,Paperback,bx_1828,wor_13989,9780060175405,9780571201983,-1,640,1999,(4 Oct 1999),HarperCollins,Faber & Faber ,The Poisonwood Bible,The Poisonwood Bible,0
bx_18771_wor_9311,Marion Rombauer Becker,"Irma Starkhoff Rombauer, Marion Rombauer Becker, Ethan Becker",,Hardback,bx_18771,wor_9311,9780684818702,9780684818702,-1,300,1997,(24 Nov 1997),Scribner,Prentice Hall (a Pearson Education company) ,The New Joy of Cooking,The New Joy of Cooking,1
bx_246548_wor_12176,H. Rider Haggard,"H. Rider Haggard, Dennis Butts",,Paperback,bx_246548,wor_12176,9780812583564,9780192834850,-1,366,1985,(18 Jun 1998),Tor Books,Oxford University Press ,King Solomon's Mines,King Solomon's Mines,0
bx_27040_wor_12378,Carla Neggers,Carla Neggers,,Paperback,bx_27040,wor_12378,9781551666846,9781551666846,-1,376,2003,(15 Apr 2005),Mira,HarperCollins Publishers ,Cold Ridge,Cold Ridge,1
bx_18770_wor_9310,Julee Rosso,Julee Rosso,,Paperback,bx_18770,wor_9310,9780894802041,9780894802041,-1,384,1982,(30 Jun 1991),Workman Publishing,Workman Publishing ,The Silver Palate Cookbook,"""The Silver Palate Cook Book",1
bx_29111_wor_13092,Robert Wilson,Robert C Wilson,,Paperback,bx_29111,wor_13092,9780425184233,9780425184233,-1,464,2002,(10 Mar 2005),Berkley Publishing Group,Penguin Putnam Inc ,A Small Death in Lisbon,A Small Death in Lisbon,1
bx_18303_wor_14500,Sucharitkul,Robert A. Heinlein,,Paperback,bx_18303,wor_14500,9780671503611,9780441783588,-1,263,1984,(4 Dec 1997),Pocket,Penguin Putnam Inc ,STARSHIP HAIKU,Starship Troopers,0
bx_162941_wor_12506,Mark Epstein,Mark (Mark William) Epstein,,Paperback,bx_162941,wor_12506,9780465085859,9780465039319,-1,256,1996,(2 May 1995),Basic Books,INGRAM PUBLISHER SERVICES US ,Thoughts Without a Thinker: Psychotherapy from a Buddhist Perspective,Thoughts without a Thinker: Psychotherapy from a Buddhist Perspective,0
bx_26277_wor_12131,Dr. Seuss,Dr. Seuss,,Hardback,bx_26277,wor_12131,9780394831299,9780394831299,-1,48,1975,(1 Sep 1975),Random House Children's Books,Random House USA Inc ,"Oh, the Thinks You Can Think!","Oh, the Thinks You Can Think!",1
bx_263776_wor_30995,Carol Matas,Carol Matas,,Paperback,bx_263776,wor_30995,9780689843587,9780689843587,-1,164,2002,(1 Sep 2002),Aladdin,Simon & Schuster ,The War Within : A Novel of the Civil War,The War Within: A Novel of the Civil War,1
bx_116543_wor_10784,Louise May Alcott,"Louisa May Alcott, Valerie Alderson",,Paperback,bx_116543,wor_10784,9780866119559,9780192834348,-1,528,1989,(2 Apr 1998),Playmore Inc. Publishers,Oxford University Press ,Little Women,Little Women,0
bx_246393_wor_40271,Robert Decker,Laaren Brown,,Paperback,bx_246393,wor_40271,9780716718512,9781407138367,-1,32,1989,(1 Aug 2013),W H Freeman  Co,Scholastic ,Volcanoes,Volcanoes,0
bx_153276_wor_6769,Jack Canfield,"Jack Canfield, etc.",,Paperback,bx_153276,wor_6769,9781558746459,9781558746220,-1,328,1999,(1 Nov 1998),HCI,Health Communications ,Chicken Soup for the Couple's Soul,A Second Chicken Soup for the Woman's Soul,0
bx_20866_wor_10127,Henry David Thoreau,Henry David Thoreau,,Paperback,bx_20866,wor_10127,9780486275635,9780486275635,-1,90,1993,(20 May 1993),Dover Publications,Dover Publications Inc. ,Civil Disobedience and Other Essays,Civil Disobedience and Other Essays,1
bx_203746_wor_2900,Chuck Palahniuk,Chuck Palahniuk,,Paperback,bx_203746,wor_2900,9781402524974,9780099437963,-1,272,2002,(5 Jun 2003),Recorded Books,Vintage Publishing ,Lullaby,Lullaby,0
bx_203129_wor_41788,Joyce Carol Oates,Joyce Carol Oates,,Paperback,bx_203129,wor_41788,9780195070651,9780195092622,-1,782,1992,(1 Sep 1994),Oxford University Press,Oxford University Press Inc ,The Oxford Book of American Short Stories,The Oxford Book of American Short Stories,0
