ids,ban_author,wor_author,ban_binding,wor_binding,ban_id,wor_id,ban_isbn,wor_isbn,ban_pages,wor_pages,ban_pubdate,wor_pubdate,ban_publisher,wor_publisher,ban_title,wor_title,label
ban_45_wor_3849,Sandra Cisneros,Sandra Cisneros,,Paperback,ban_45,wor_3849,9780679734772,9780747560876,144,128,1/28/84,(19 Jul 2004),Knopf Doubleday Publishing Group,Bloomsbury Publishing PLC ,The House on Mango Street,The House on Mango Street,0
ban_1995_wor_41141,Judy Blundell,Judy Blundell,,Hardback,ban_1995,wor_41141,9780439903486,9781606867129,288,284,1/1/10,(1 Jan 2010),"Scholastic, Inc.",Perfection Learning ,What I Saw and How I Lied,What I Saw and How I Lied,0
ban_1740_wor_30973,Wendy Mass,Wendy Mass,,Paperback,ban_1740,wor_30973,9780316058285,9780316058285,208,212,9/6/06,(6 Sep 2006),"Little, Brown Books for Young Readers",Little Brown and Company ,Leap Day,Leap Day,1
ban_374_wor_9555,James Patterson,James Patterson,,Paperback,ban_374,wor_9555,9781455521524,9780446600453,352,288,7/30/13,(1 Apr 1996),Grand Central Publishing,Grand Central Publishing ,The Fire,The Thomas Berryman Number,0
ban_985_wor_36876,Andrea Cremer,Andrea R Cremer,,Hardback,ban_985,wor_36876,9780142423707,9780606266352,448,408,8/7/12,(7 Aug 2012),Penguin Young Readers Group,Turtleback Books ,Bloodrose,Bloodrose,0
ban_1561_wor_39214,Alexandra Adornetto,Alexandra Adornetto,,Hardback,ban_1561,wor_39214,9781250029416,9783499216022,448,448,8/6/13,(1 Mar 2013),Square Fish,Rowohlt Taschenbuch Verla ,Heaven,Heaven,0
ban_1411_wor_36265,Paul Volponi,Paul Volponi,,Hardback,ban_1411,wor_36265,9780142406922,9780756967598,208,199,11/2/06,(2 Nov 2006),Penguin Young Readers Group,Perfection Learning ,Black and White,Black and White,0
ban_25_wor_28198,Suzanne Collins,Suzanne Collins,,,ban_25,wor_28198,9780545586177,9780545101431,400,10,6/4/13,(1 Sep 2009),"Scholastic, Inc.",Scholastic ,Catching Fire,Catching Fire,0
ban_790_wor_7054,J. R. R. Tolkien,J R R Tolkien,,Paperback,ban_790,wor_7054,9780345339713,9780618002238,416,352,8/28/86,(15 Sep 1999),Random House Publishing Group,Mariner Books ,The Two Towers,The Two Towers,0
ban_1685_wor_37117,Alan Lawrence Sitomer,Alan Lawrence Sitomer,,Hardback,ban_1685,wor_37117,9781423130277,9781423110729,320,312,2/2/10,(30 Sep 2008),Disney-Hyperion,Jump at the Sun ,The Secret Story of Sonia Rodriguez,The Secret Story of Sonia Rodriguez,0
ban_1884_wor_32787,Courtney Summers,Courtney Summers,,Paperback,ban_1884,wor_32787,9780312573805,9780312573805,256,224,1/5/10,(4 Jan 2010),St. Martin's Press,Griffin Publishing ,Some Girls Are,Some Girls are,1
ban_679_wor_30262,Mike Mullin,Mike Mullin,,Paperback,ban_679,wor_30262,9781939100047,9781939100047,534,534,4/21/15,(21 Apr 2015),Tanglewood Press IN,Tanglewood Press ,Sunrise,Sunrise,1
ban_3032_wor_25550,Moe Howard,Moe Howard,,Paperback,ban_3032,wor_25550,9781613747667,9781613747667,256,256,07/01/2013,(1 Jul 2013),"Chicago Review Press, Incorporated",Chicago Review Press ,I Stooged to Conquer: The Autobiography of the Leader of the Three Stooges,I Stooged to Conquer,1
ban_2811_wor_42328,Swati Avasthi,Swati Avasthi,,Hardback,ban_2811,wor_42328,9780375863417,9780375963407,288,282,1/24/12,(9 Mar 2010),Random House Children's Books,Alfred A. Knopf Books for Young Readers ,Split,Split,0
ban_466_wor_32304,Alexander Gordon Smith,Alexander Gordon Smith,,Paperback,ban_466,wor_32304,9780312611934,9780312611934,304,290,8/3/10,(3 Aug 2010),Square Fish,St Martin's Press ,Lockdown: Escape from Furnace 1,Lockdown: Escape from Furnace,1
ban_3004_wor_25163,Kokichi Katsu,Katsu Kokichi,,Paperback,ban_3004,wor_25163,9780816512560,9780816512560,178,208,07/01/1991,(30 Jul 1991),University of Arizona Press,University of Arizona Press ,Musui's Story: The Autobiography of a Tokugawa Samurai / Edition 1,Musui's Story,1
ban_451_wor_32606,Robert C. O'Brien,Robert C O'Brien,,Paperback,ban_451,wor_32606,9781416939214,9781416939214,240,249,7/10/07,(22 Dec 2007),Simon Pulse,Simon & Schuster ,Z for Zachariah,Z for Zachariah,1
ban_959_wor_31731,Judy Blume,Judy Blume,,Paperback,ban_959,wor_31731,9781481414432,9781447281047,240,208,4/29/14,(1 Jan 2015),Atheneum Books for Young Readers,Pan Macmillan ,Forever...,Forever,0
ban_3153_wor_25845,Jon E. Lewis,Jon E. Lewis,,Paperback,ban_3153,wor_25845,9781849019330,9781849010030,300,624,06/23/2011,(30 Jul 2009),"Little, Brown Book Group","Little, Brown Book Group ",SAS: The Autobiography,World War II: The Autobiography,0
ban_2988_wor_25006,"Ian Poulter, Isabelle Grey",Ian Poulter,,Hardback,ban_2988,wor_25006,9781782066903,9781782066880,-1,320,10/23/2014,(23 Oct 2014),Quercus Publishing,Quercus Publishing ,No Limits: My Autobiography,No Limits: My Autobiography,0
ban_2733_wor_17694,David Eddings,David Eddings,,Paperback,ban_2733,wor_17694,9780345358806,9780552168588,416,448,2/28/89,(14 Feb 2013),Random House Publishing Group,Transworld Publishers Ltd ,King of the Murgos,King Of The Murgos:,0
ban_319_wor_46666,Marie Rutkoski,Marie Rutkoski,,Hardback,ban_319,wor_46666,9781250056979,9780374384678,384,355,3/3/15,(4 Mar 2014),Square Fish,"Farrar, Straus and Giroux (Byr) ",The Winner's Curse,The Winner's Curse,0
ban_3563_wor_23669,James Weldon Johnson,James Weldon Johnson,,Paperback,ban_3563,wor_23669,9781452826615,9781440054891,102,218,04/22/2010,(31 Jul 2018),CreateSpace Independent Publishing Platform,Forgotten Books ,James Weldon Johnson: The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man,0
ban_2874_wor_9375,Nelson Mandela,Nelson Mandela,,Paperback,ban_2874,wor_9375,9780316323543,9780316548182,656,638,10/08/2013,(1 Oct 1995),"Little, Brown and Company","Little, Brown & Company ",Long Walk to Freedom: The Autobiography of Nelson Mandela,Long Walk to Freedom,0
ban_2485_wor_28568,Madeleine L'Engle,Madeleine L'Engle,,Paperback,ban_2485,wor_28568,9781250003430,9780312367558,800,212,10/16/12,(7 Jun 2016),Square Fish,St Martin's Press ,A Wrinkle in Time Trilogy,A Wrinkle in Time,0
ban_2260_wor_16429,Ann Brashares,Ann Brashares,,Paperback,ban_2260,wor_16429,9780385736831,9780385736831,256,256,7/14/15,(14 Jul 2015),Random House Children's Books,Ember ,The Here and Now,The Here and Now,1
ban_624_wor_31233,Cinda Williams Chima,Cinda Williams Chim,,Paperback,ban_624,wor_31233,9780786839179,9781780620473,448,432,2/27/07,(1 Sep 2011),Disney-Hyperion,Orion Publishing Co ,The Warrior Heir,The Warrior Heir,0
ban_2933_wor_24349,Brian P. Easton,Brian P Easton,,Paperback,ban_2933,wor_24349,2940148218456,9781934861295,-1,336,07/09/2013,(31 May 2010),Permuted Press,Permuted Press ,Autobiography of a Werewolf Hunter,Autobiography of a Werewolf Hunter,0
ban_3402_wor_25836,Jon E. Lewis,Jon E. Lewis,,Paperback,ban_3402,wor_25836,9781849012638,9781849013925,300,336,07/30/2009,(20 Oct 2006),"Little, Brown Book Group","Little, Brown Book Group ",World War II: The Autobiography,Spitfire: The Autobiography,0
ban_383_wor_34374,Nic Sheff,Nic Sheff,,Paperback,ban_383,wor_34374,9781416972198,9781416972198,352,352,1/6/09,(1 Sep 2018),Atheneum Books for Young Readers,Simon & Schuster ,Tweak: Growing Up on Methamphetamines,Tweak: Growing Up on Methamphetamines,1
ban_710_wor_21126,C. S. Lewis,C. S. Lewis,,Paperback,ban_710,wor_21126,9780064471091,9780007323098,272,272,3/28/02,(1 Oct 2009),HarperCollins Publishers,HarperCollins Publishers ,The Silver Chair,The Silver Chair,0
ban_1402_wor_15764,David Weber,"David Weber, Jane Lindskold",,Paperback,ban_1402,wor_15764,9781451639216,9781451639216,304,304,8/6/13,(13 Aug 2013),Baen,Baen Books ,Fire Season,Fire Season,1
ban_319_wor_46671,Marie Rutkoski,Marie Rutkoski,,Paperback,ban_319,wor_46671,9781250056979,9781250018045,384,257,3/3/15,(8 Jan 2013),Square Fish,Square Fish ,The Winner's Curse,The Cabinet of Wonders,0
ban_1958_wor_32070,Ginny Rorby,Ginny Rorby,,,ban_1958,wor_32070,9780761384984,9781531812843,255,-1,1/28/12,(16 Aug 2016),Lerner Publishing Group,Audible Studios on Brilliance ,Lost in the River of Grass,Lost in the River of Grass,0
ban_2876_wor_23474,Eleanor Roosevelt,Eleanor Roosevelt,,Paperback,ban_2876,wor_23474,9780062355911,9781786994462,480,584,10/21/2014,(15 Oct 2018),HarperCollins Publishers,Zed Books Ltd ,The Autobiography of Eleanor Roosevelt,The Autobiography of Eleanor Roosevelt,0
ban_5890_wor_23659,James Weldon Johnson,James Weldon Johnson,,Hardback,ban_5890,wor_23659,9781458703415,9781604592184,-1,112,05/06/2009,(17 Jan 2008),ReadHowYouWant,Wilder Publications ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man,0
ban_15177_wor_26078,,,paperback,,ban_15177,wor_26078,9781783555338,9781780549149,286,-1,"January 31, 2015",(1 Sep 2015), Packt Publishing ,Danilo Promotions Limited ,PostgreSQL Cookbook,The Official Kelly Brook 2016 A3 Calendar,0
ban_913_wor_34598,Seymour Reit,Seymour Reit,,,ban_913,wor_34598,9780152164270,9781982698614,144,-1,8/28/01,(15 Oct 2019),Houghton Mifflin Harcourt,Blackstone Publishing ,"Behind Rebel Lines: The Incredible Story of Emma Edmonds, Civil War Spy","Behind Rebel Lines: The Incredible Story of Emma Edmonds, Civil War Spy",0
ban_2124_wor_25510,Chris Crutcher,Chris Crutcher,,Paperback,ban_2124,wor_25510,9780060598402,9780061914829,288,288,10/5/04,(25 Mar 2014),HarperCollins Publishers,HarperCollins Publishers Inc ,Ironman,Period 8,0
ban_1747_wor_1635,Michael A. Stackpole,Michael A. Stackpole,,Paperback,ban_1747,wor_1635,9780553579031,9780553579031,336,336,4/13/99,(1 May 1999),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,Star Wars X-Wing #8: Isard's Revenge,X-Wing 008: Isard's Revenge,1
ban_2726_wor_38571,Dan Savage,Dan Savage,,Paperback,ban_2726,wor_38571,9780452297616,9780452297616,352,338,1/25/12,(25 Jan 2012),Penguin Publishing Group,Penguin Putnam Inc ,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living","It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",1
ban_407_wor_28567,Madeleine L'Engle,Madeleine L'Engle,,Paperback,ban_407,wor_28567,9780312368562,9780312368562,320,309,5/1/07,(1 May 2007),Square Fish,St Martin's Press ,A Swiftly Tilting Planet,A Swiftly Tilting Planet,1
ban_1159_wor_1426,Lensey Namioka,Lensey Namioka,,Hardback,ban_1159,wor_1426,9780440415992,9780756903442,160,154,11/28/00,(1 Nov 2000),Random House Children's Books,Perfection Learning ,"Ties That Bind, Ties That Break","Ties That Bind, Ties That Break",0
ban_1765_wor_43317,Heather Cocks,Heather Cocks,,Paperback,ban_1765,wor_43317,9780316098281,9780316098281,359,359,7/2/13,(2 Jul 2013),"Little, Brown Books for Young Readers","Little, Brown & Company ",Messy,Messy,1
ban_2687_wor_36962,Sara Zarr,Sara Zarr,,Paperback,ban_2687,wor_36962,9780316217507,9780316217507,288,288,6/16/15,(16 Jun 2015),"Little, Brown Books for Young Readers","Little, Brown & Company ",Roomies,Roomies,1
ban_52_wor_30014,Gayle Forman,Gayle Forman,,Paperback,ban_52,wor_30014,9780142415436,9781862308312,320,288,4/6/10,(13 May 2010),Penguin Young Readers Group,Random House Children's Publishers UK ,If I Stay,If I Stay,0
ban_3698_wor_23674,James Johnson,James Weldon Johnson,,Paperback,ban_3698,wor_23674,9781456314880,9783732695492,92,110,10/27/2010,(23 May 2018),CreateSpace Publishing,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man,0
ban_31_wor_17150,Louisa May Alcott,Louisa May Alcott,,Hardback,ban_31,wor_17150,9781593081089,9781840227789,528,384,3/1/04,(7 Sep 2018),Barnes & Noble,Wordsworth Editions Ltd ,Little Women,Little Women,0
ban_336_wor_29447,Anthony Horowitz,Anthony Horowitz,,Paperback,ban_336,wor_29447,9780142406113,9781406360196,304,272,2/16/06,(2 Apr 2015),Penguin Young Readers Group,Walker Books Ltd ,Stormbreaker,Stormbreaker,0
ban_1814_wor_28684,Scott O'Dell,Scott O'Dell,,Paperback,ban_1814,wor_28684,9780618966424,9780618966424,208,191,5/5/08,(5 May 2008),Houghton Mifflin Harcourt,"Cengage Learning, Inc ","Streams to the River, River to the Sea","Streams to the River, River to the Sea",1
ban_2134_wor_9590,David Eddings,David Eddings,,Paperback,ban_2134,wor_9590,9780345338716,9780345338716,384,384,8/28/86,(12 Aug 1986),Random House Publishing Group,Random House USA Inc ,Enchanters' End Game,Enchanters' End Game,1
ban_78_wor_45816,Kiera Cass,Kiera Cass,,Hardback,ban_78,wor_45816,9780062059949,9780606354882,327,327,3/26/13,(26 Mar 2013),HarperCollins Publishers,Turtleback Books ,The Selection,The Selection,0
ban_458_wor_34610,Libba Bray,Libba Bray,,Paperback,ban_458,wor_34610,9780316126106,9780316126106,608,496,12/3/13,(3 Dec 2013),"Little, Brown Books for Young Readers","Little, Brown & Company ",The Diviners,The Diviners,1
ban_1809_wor_1342,Kenneth Oppel,Kenneth Oppel,,Paperback,ban_1809,wor_1342,9780545229265,9780545229265,384,375,7/1/12,(1 Jul 2012),"Scholastic, Inc.",Scholastic Paperbacks ,Half Brother,Half Brother,1
ban_3402_wor_25845,Jon E. Lewis,Jon E. Lewis,,Paperback,ban_3402,wor_25845,9781849012638,9781849010030,300,624,07/30/2009,(30 Jul 2009),"Little, Brown Book Group","Little, Brown Book Group ",World War II: The Autobiography,World War II: The Autobiography,0
ban_1746_wor_35420,Marlene Perez,Marlene Perez,,Paperback,ban_1746,wor_35420,9780152064082,9780152064082,208,190,9/1/08,(1 Sep 2008),Houghton Mifflin Harcourt,Houghton Mifflin ,Dead Is the New Black,Dead Is the New Black,1
ban_1168_wor_861,Tamora Pierce,Tamora Pierce,,Paperback,ban_1168,wor_861,9780375829055,9780008304195,216,224,8/24/04,(5 Sep 2019),Random House Children's Books,HarperCollins Publishers ,First Test,First Test,0
ban_166_wor_28291,Sean Covey,Sean Covey,,Hardback,ban_166,wor_28291,9781929494170,9780762414741,64,108,12/28/99,(17 Mar 2003),Franklin Covey Company,Running Press ,The 7 Habits of Highly Effective Teens Workbook,The 7 Habits of Highly Effective Teens,0
ban_2079_wor_1653,Michael A. Stackpole,Michael A. Stackpole,,Paperback,ban_2079,wor_1653,9780553568028,9780553568028,368,357,5/28/96,(1 Aug 1996),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,Star Wars X-Wing #2: Wedge's Gamble,X-Wing 002: Wedges Gamble,1
ban_750_wor_28655,Kami Garcia,Kami Garci,,Paperback,ban_750,wor_28655,9780316077040,9780141326092,528,528,9/19/11,(12 Oct 2010),"Little, Brown Books for Young Readers",Penguin Books Ltd ,Beautiful Darkness,Beautiful Darkness,0
ban_2657_wor_28767,Neal Shusterman,Neal Shusterman,,Paperback,ban_2657,wor_28767,9781442451148,9781442451148,227,256,5/7/13,(1 Aug 2013),Simon & Schuster Books For Young Readers,Simon & Schuster ,Scorpion Shards,Scorpion Shards,1
ban_2688_wor_43661,Lauren Barnholdt,Lauren Barnholdt,,Paperback,ban_2688,wor_43661,9781416913184,9781416913184,304,304,6/26/07,(1 Sep 2007),Simon Pulse,Simon & Schuster ,Two-Way Street,Two-Way Street,1
ban_3019_wor_25335,Sidney Poitier,Sidney Poitier,,,ban_3019,wor_25335,9780061357909,9780061355431,272,7,01/26/2007,(26 Jan 2007),HarperCollins Publishers,HarperCollins Publishers Inc ,The Measure of a Man: A Spiritual Autobiography,The Measure of a Man CD: A Spiritual Autobiography,0
ban_660_wor_38224,Rachel Hawkins,Rachel Hawkins,,Paperback,ban_660,wor_38224,9781423121404,9781423121404,352,327,2/5/13,(5 Feb 2013),Disney Press,Hyperion Books ,Spell Bound,Spell Bound,1
ban_2320_wor_31118,Ann Shoket,Ann Shoket,,Paperback,ban_2320,wor_31118,9780762441938,9780762441938,192,192,7/5/11,(5 Jul 2011),Running Press Book Publishers,"Running Press,U.S. ",Seventeen Ultimate Guide to Style: How to Find Your Perfect Look,Seventeen Ultimate Guide to Style: How to Find Your Perfect Look,1
ban_815_wor_4503,Robin McKinley,Robin McKinley,,,ban_815,wor_4503,9780141309811,9780141309811,256,246,10/28/00,(30 Nov 2000),Penguin Young Readers Group,Puffin Books ,The Hero and the Crown,The Hero and the Crown,1
ban_905_wor_47232,Mark Peter Hughes,Mark Peter Hughes,,Paperback,ban_905,wor_47232,9780385735117,9780385742085,352,336,11/11/08,(24 May 2011),Random House Children's Books,Ember ,Lemonade Mouth,Lemonade Mouth,0
ban_17314_wor_8461,"Tim Bunce,Alligator Descartes","Alligator Descartes, Tim Bunce",paperback,Paperback,ban_17314,wor_8461,9781565926998,9781565926998,366,368,"February 14, 2000",(25 Feb 2000), O'Reilly Media,"O'Reilly Media, Inc, USA ",Programming the Perl DBI: Database programming with Perl,Programming the Perl DBI: Database Programming with Perl,1
ban_1585_wor_29817,Michael Grant,Michael Grant,,Paperback,ban_1585,wor_29817,9781606844182,9781405259958,416,416,4/23/13,(3 Sep 2012),Lerner Publishing Group,Egmont UK Ltd ,BZRK,BZRK,0
ban_2947_wor_24353,Brian P. Easton,Brian P Easton,,Paperback,ban_2947,wor_24353,2940151640046,9781618685551,200,-1,04/21/2015,(21 Apr 2015),Permuted Press,Permuted Press ,The Lineage,The Lineage,0
ban_515_wor_30013,Gayle Forman,Gayle Forman,,Paperback,ban_515,wor_30013,9780142422953,9781849415668,416,400,8/20/13,(10 Jan 2013),Penguin Young Readers Group,Random House Children's Publishers UK ,Just One Day,Just One Day,0
ban_2886_wor_23630,Molly Molloy,Charles Bowden,,Paperback,ban_2886,wor_23630,9781568586588,9781568586588,224,224,05/10/2011,(10 May 2011),Nation Books,Avalon Publishing Group ,El Sicario: The Autobiography of a Mexican Assassin,El Sicario: The Autobiography of a Mexican Assassin,1
ban_4952_wor_27589,"Jim Corbett, Verrier Elwin, Salim Ali",Jim Corbett,,Paperback,ban_4952,wor_27589,9780195669787,9780195669787,860,224,01/15/2005,(1 Feb 2004),"Oxford University Press, USA",Oxford University Press Inc ,Lives in the Wilderness: Three Classic Indian Autobiographies. Jim Corbett: My India; Verrier Elwin: The Tribal World of Verrier Elwin; Si'Alim Ali: The Fall of a Sparrow,Lives in the Wilderness,1
ban_1156_wor_28234,Veronica Roth,Veronica Roth,,Paperback,ban_1156,wor_28234,9780062024077,9780007534944,592,544,1/19/16,(22 Oct 2013),HarperCollins Publishers,HarperCollins Publishers ,Allegiant,Allegiant,0
ban_889_wor_42295,Holly Black,Holly Black,,Paperback,ban_889,wor_42295,9781416989547,9781416989547,415,415,4/3/12,(3 Apr 2012),Margaret K. McElderry Books,Simon & Schuster ,Zombies vs. Unicorns,Zombies vs. Unicorns,1
ban_413_wor_30941,Robert Lipsyte,Robert Lipsyte,,Paperback,ban_413,wor_30941,9780064470391,9780064470391,240,240,3/28/03,(13 Feb 2018),HarperCollins Publishers,HarperCollins ,The Contender,The Contender,1
ban_1551_wor_38302,K. L. Going,K. L. Going,,Paperback,ban_1551,wor_38302,9780142402085,9780552551809,192,240,11/18/04,(1 Jul 2004),Penguin Young Readers Group,Random House Children's Publishers UK ,Fat Kid Rules the World,Fat Kid Rules The World,0
ban_2049_wor_30138,Patricia  McCormick,Patricia McCormick,,Hardback,ban_2049,wor_30138,9780061730924,9780061730900,199,208,2/15/11,(1 Sep 2009),HarperCollins Publishers,Balzer & Bray/Harperteen ,Purple Heart,Purple Heart,0
ban_1523_wor_32370,Beth Revis,Beth Revis,,Paperback,ban_1523,wor_32370,9781595146151,9781595146151,448,441,11/14/13,(14 Nov 2013),Penguin Young Readers Group,Razorbill ,Shades of Earth,Shades of Earth,1
ban_9982_wor_8459,Elliotte Rusty Harold# W. Scott Means,"Elliotte Rusty Harold, W.Scott Means",,,ban_9982,wor_8459,9780596007645,9780596000585,714,496,,(8 Feb 2001),"O'Reilly Media, Incorporated","O'Reilly Media, Inc, USA ",XML In A Nutshell,XML in a Nutshell,0
ban_436_wor_32833,Lisa M. Schab,Lisa M. Schab,,Paperback,ban_436,wor_32833,9781608825820,9781572246577,200,200,6/1/13,(1 Nov 2008),New Harbinger Publications,New Harbinger Publications ,The Self-Esteem Workbook for Teens: Activities to Help You Build Confidence and Achieve Your Goals,Divorce Workbook For Teens: Activities to Help You Move Beyond the Breakup,0
ban_2105_wor_29734,Tavi Gevinson,Tavi Gevinson,,Paperback,ban_2105,wor_29734,9781595148278,9781595148278,352,350,10/21/14,(21 Oct 2014),Penguin Young Readers Group,Razorbill ,Rookie Yearbook Two,Rookie Yearbook Two,1
ban_1940_wor_47548,Bess Streeter Aldrich,Bess Streeter Aldrich,,Paperback,ban_1940,wor_47548,9780140384284,9780140384284,256,256,4/28/97,(1 Apr 1997),Penguin Young Readers Group,Penguin Books Australia ,A Lantern in Her Hand,A Lantern in Her Hand,1
ban_985_wor_36882,Andrea Cremer,Andrea Cremer,,Paperback,ban_985,wor_36882,9780142423707,9780142423707,448,408,8/7/12,(7 Aug 2012),Penguin Young Readers Group,Penguin Putnam Inc ,Bloodrose,Bloodrose,1
ban_3035_wor_25586,Henry Pu Yi,Henry Pu Yi,,Paperback,ban_3035,wor_25586,9781626367258,9781602397323,352,352,03/01/2010,(1 Mar 2010),Skyhorse Publishing,Skyhorse Publishing ,"The Last Manchu: The Autobiography of Henry Pu Yi, Last Emperor of China","The Last Manchu: The Autobiography of Henry Pu Yi, Last Emperor of China",0
ban_2090_wor_44822,Brent Hartinger,Brent Hartinger,,Paperback,ban_2090,wor_44822,9780060012236,9780060012236,240,226,2/17/04,(17 Feb 2004),HarperCollins Publishers,Harper Teen ,Geography Club,Geography Club,1
ban_2998_wor_25084,"Lemmy Kilmister, Janiss Garza",Lemmy Kilmister,,Paperback,ban_2998,wor_25084,9780806525907,9780806525907,320,320,12/15/2003,(15 Dec 2003),Kensington,"Citadel Press Inc.,U.S. ",White Line Fever: The Autobiography,White Line Fever: The Autobiography: The Autobiography,1
ban_52_wor_30010,Gayle Forman,Gayle Forman,,Paperback,ban_52,wor_30010,9780142415436,9781909531239,320,288,4/6/10,(3 Jul 2014),Penguin Young Readers Group,Random House Children's Publishers UK ,If I Stay,If I Stay,0
ban_460_wor_32704,Kendare Blake,Kendare Blake,,Paperback,ban_460,wor_32704,9780765328670,9780765328670,320,316,7/3/12,(3 Jul 2012),Tom Doherty Associates,St Martin's Press ,Anna Dressed in Blood,Anna Dressed in Blood,1
ban_95_wor_21964,Sylvia Plath,Sylvia Plath,,Paperback,ban_95,wor_21964,9780061148514,9780571268863,288,240,6/11/13,(1 Jan 2013),HarperCollins Publishers,Faber & Faber ,The Bell Jar,The Bell Jar,0
ban_564_wor_6669,Isaac Asimov,Isaac Asimov,,Hardback,ban_564,wor_6669,9780553382563,9780553803709,256,-1,4/29/08,(1 Jun 2004),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,"I, Robot","I, Robot",0
ban_17434_wor_39480,"Rob Thomas,Patrick McSharry",Rob Thomas,paperback,Paperback,ban_17434,wor_39480,9781118943717,9781118943717,288,288,"March 2, 2015",(20 Mar 2015), Wiley,John Wiley & Sons Inc ,"Big Data Revolution: What farmers, doctors and insurance agents teach us about discovering big data patterns","Big Data Revolution: What farmers, doctors and insurance agents teach us about discovering big data patterns",1
ban_2435_wor_37806,Eleanor Ramrath Garner,Eleanor Ramrath Garner,,Paperback,ban_2435,wor_37806,9781561452965,9781561452965,288,269,10/28/03,(1 Oct 2003),"Peachtree Publishing, Inc.","Peachtree Publishers,U.S. ",Eleanor's Story: An American Girl in Hitler's Germany,Eleanor's Story: an American Girl in Hitler's Germany,1
ban_1799_wor_40211,Kimberly Derting,Kimberly Derting,,Paperback,ban_1799,wor_40211,9780062293619,9780062293619,384,384,4/28/15,(25 May 2015),HarperCollins Publishers,HarperCollins Publishers Inc ,The Taking,The Taking,1
ban_10061_wor_5657,James Bethune,James McBride,,Paperback,ban_10061,wor_5657,9780132975117,9780993136801,840,230,,(1 Nov 2014),Peachpit Press,flightsofpassion.com ,Engineering Graphics with AutoCAD 2013 / Edition 1,The Flightdeck Survival Manual: How to Survive a Career Flying Aeroplanes for a Living,0
ban_2454_wor_47259,Robin L. Graham,Robin Lee Graham,,Paperback,ban_2454,wor_47259,9780060920470,9780060920470,240,240,3/28/91,(1 Jun 1991),HarperCollins Publishers,HarperCollins Publishers Inc ,Dove,"""Dove""",1
ban_4383_wor_28123,Milt Kogan M.D.,Milt Kogan M D,,Paperback,ban_4383,wor_28123,9781500193829,9781500193829,316,316,09/01/2014,(1 Sep 2014),CreateSpace Publishing,Createspace Independent Publishing Platform ,"Actor/Doctor: An Autobiography, Part 1","Actor/Doctor: An Autobiography, Part 1",1
ban_2951_wor_24570,"Andrew Carnegie, Gordon Hutner",Andrew Carnegie,,Paperback,ban_2951,wor_24570,9781101098370,9781420932966,352,192,11/07/2006,(1 Jan 2009),Penguin Publishing Group,Digireads.com ,The Autobiography of Andrew Carnegie and The Gospel of Wealth,The Autobiography of Andrew Carnegie and The Gospel of Wealth,0
ban_2325_wor_44988,Jenny Hubbard,Jenny Hubbard,,Paperback,ban_2325,wor_44988,9780385740562,9780385740562,192,183,6/12/12,(12 Jun 2012),Random House Children's Books,Random House USA Inc ,Paper Covers Rock,Paper Covers Rock,1
ban_2125_wor_29802,Jacqueline Woodson,Jacqueline Woodson,,,ban_2125,wor_29802,9780142423929,9780593147047,240,-1,2/7/13,(17 Sep 2019),Penguin Young Readers Group,Penguin Audiobooks ,Beneath a Meth Moon,Red at the Bone,0
ban_726_wor_30851,John Corey Whaley,John Corey Whaley,,Paperback,ban_726,wor_30851,9781442458734,9781442458734,368,368,3/24/15,(24 Mar 2015),Atheneum Books for Young Readers,Atheneum Books for Young Readers ,Noggin,Noggin,1
ban_734_wor_39523,Ashley Rhodes-Courter,Ashley Rhodes-Courter,,Hardback,ban_734,wor_39523,9781416948070,9781481415576,336,320,5/5/09,(30 Jun 2015),Atheneum Books for Young Readers,Atheneum Books for Young Readers ,Three Little Words: A Memoir,Three More Words,0
ban_2881_wor_23570,Eric Clapton,Eric Clapton,,Paperback,ban_2881,wor_23570,9780767925365,9780767925365,352,345,05/27/2008,(1 Jun 2008),Crown Publishing Group,Random House USA Inc ,Clapton: The Autobiography,Clapton: The Autobiography,1
ban_2212_wor_33356,Virginia Euwer Wolff,Virginia Euwer Wolff,,Paperback,ban_2212,wor_33356,9780689852886,9780571207022,272,272,10/28/02,(17 Feb 2001),Simon Pulse,Faber & Faber ,True Believer,True Believer,0
ban_2457_wor_14269,Suzanne Fisher Staples,Suzanne Fisher Staples,,Paperback,ban_2457,wor_14269,9780312377762,9780312377762,304,281,4/1/08,(1 Apr 2008),Square Fish,Square Fish ,Under the Persimmon Tree,Under the Persimmon Tree,1
ban_625_wor_32103,Becca Fitzpatrick,Becca Fitzpatrick,,Paperback,ban_625,wor_32103,9781416989448,9781416989448,464,427,1/3/12,(3 Jan 2012),Simon & Schuster Books For Young Readers,Simon & Schuster ,Crescendo,Crescendo,1
