ids,bx_author,half_author,bx_binding,half_binding,bx_id,half_id,bx_isbn,half_isbn,bx_pages,half_pages,bx_pubdate,half_pubdate,bx_publisher,half_publisher,bx_title,half_title,label
bx_103643_half_57,J. R. R. Tolkien,J. R. R. Tolkien,,,bx_103643,half_57,9780618087853,9780618002214,-1,320,2000,"Sep. 15th, 1999",Houghton Mifflin Company,Houghton Mifflin Harcourt (HMH),The Hobbit,The Hobbit,0
bx_35974_half_541,Walter Dean Myers,Walter Dean Myers,,,bx_35974,half_541,9780440938842,9780440938842,-1,192,1983,"Mar. 15th, 1983",Laure Leaf,Laurel Leaf Library,Hoops,Hoops,1
bx_258208_half_1261,Jack London,Jack London,,,bx_258208,half_1261,9780027595109,9780812504323,-1,114,1970,"May. 15th, 1990",Simon  Schuster Children's Publishing,Tor Classics,The CALL OF THE WILD,The Call of the Wild,0
bx_85362_half_885,David Gardner,David A. Kessler,,,bx_85362,half_885,9780684857176,9781596438316,-1,192,2000,"Dec. 24th, 2012",Fireside,Roaring Brook Press,The Motley Fools Rule Breakers Rule Makers : The Foolish Guide To Picking Stocks,Your Food Is Fooling You,0
bx_75146_half_304,Roger Lancelyn Green,Roger Lancelyn Green,,Paperback,bx_75146,half_304,9780140300734,9780141321011,-1,384,1953,"Apr. 1st, 2008",Puffin Books,Puffin Books,King Arthur and His Knights of the Round Table,King Arthur and His Knights of the Round Table,0
bx_117755_half_2357,Garth Nix,Garth Nix,,Paperback,bx_117755,half_2357,9780060575816,9780061474354,-1,311,2004,"Apr. 22nd, 2008",Eos,Eos,Sabriel,Sabriel,0
bx_28620_half_390,Deborah Ellis,Deborah Ellis,,,bx_28620,half_390,9780888995193,9780888995193,-1,199,2003,"Sep. 1st, 2003",Groundwood Books,Groundwood Books,Parvana's Journey,Parvana's Journey,1
bx_81327_half_1252,Jean Craighead George,Jean Craighead George,,,bx_81327,half_1252,9780141312415,9780141312415,-1,170,2001,"May. 21st, 2001",Puffin Books,Puffin Books,On the Far Side of the Mountain,On the Far Side of the Mountain,1
bx_147631_half_1960,Ruud Van Der Rol,Ruud Van Der Rol,,,bx_147631,half_1960,9780140369267,9780140369267,-1,113,1995,"May. 1st, 1995",Puffin Books,Puffin Books,Anne Frank: Beyond the Diary : A Photographic Remembrance,Anne Frank Beyond the Diary,1
bx_212287_half_1056,Mildred D. Taylor,Mildred D. Taylor,,,bx_212287,half_1056,9780140372908,9780140348927,-1,394,1995,"Oct. 1st, 1991",Puffin Books,Puffin Books,Let the Circle Be Unbroken,Let the Circle Be Unbroken,0
bx_21367_half_136,James Lincoln Collier,James Lincoln Collier,,,bx_21367,half_136,9780590427920,9780439783606,-1,216,1989,"Apr. 1st, 2005",Scholastic Paperbacks,Scholastic Paperbacks,My Brother Sam Is Dead,My Brother Sam Is Dead,0
bx_135968_half_3095,ROBERT CORMIER,Robert Cormier,,,bx_135968,half_3095,9780440905806,9780440905806,-1,288,1986,"Aug. 1st, 1986",Laurel Leaf,Laurel Leaf Library,Beyond the Chocolate War,Beyond the Chocolate War,1
bx_26439_half_2107,Mark Twain,Mark Twain,,Paperback,bx_26439,half_2107,9780140367492,9780140367492,-1,288,1996,"Feb. 1st, 1996",Puffin Books,Puffin Books,The Prince and the Pauper,The Prince and the Pauper,1
bx_185843_half_2664,Barbara Grunes,Barbara Stuber,,,bx_185843,half_2664,9781564265081,9781416997047,-1,258,1992,"May. 24th, 2011",Cole Group,Margaret K. McElderry Books,Kabobs on the Grill,Crossing the Tracks,0
bx_79810_half_1494,Eoin Colfer,Eoin Colfer,,,bx_79810,half_1494,9780786851478,9780786852901,-1,342,2004,"Apr. 30th, 2006",Miramax Kids,Miramax Books,Artemis Fowl: The Arctic Incident - Book #2,The Opal Deception,0
bx_212605_half_1540,Gary Paulsen,Gary Paulsen,,,bx_212605,half_1540,9780385321969,9780375873232,-1,248,1998,"Mar. 8th, 2011",Delacorte Press,Delacorte Press Books for Young Readers,The Transall Saga,The Transall Saga,0
bx_3838_half_1045,Lemony Snicket,Lemony Snicket,,Paperback,bx_3838,half_1045,9780060283124,9780061146336,-1,208,1999,"Sep. 4th, 2007",HarperCollins,HarperCollins,The Bad Beginning,A Series of Unfortunate Events #3: The Wide Window,0
bx_22489_half_3026,Lois Duncan,Lois Duncan,,,bx_22489,half_3026,9780440918646,9780316098977,-1,320,1990,"Oct. 3rd, 2011",Laure Leaf,"Little, Brown Books for Young Readers",Daughters of Eve,Daughters of Eve,0
bx_177704_half_654,Harry Mazer,Harry Mazer,,,bx_177704,half_654,9780689841606,9780689841606,-1,112,2002,"Nov. 1st, 2002",Aladdin,Simon & Schuster Books for Young Readers,A Boy at War: A Novel of Pearl Harbor,A Boy at War,1
bx_166610_half_591,Andrea Warren,Andrea Warren,,,bx_166610,half_591,9780060007676,9780060007676,-1,160,2002,"Sep. 17th, 2002",HarperTrophy,HarperCollins,Surviving Hitler : A Boy in the Nazi Death Camps,Surviving Hitler,1
bx_158674_half_2724,Nathaniel Hawthorne,Nathaniel Hawthorne,,,bx_158674,half_2724,9780679725268,9780812504835,-1,277,1990,"Aug. 15th, 1989",Random House Inc,Tor Classics,The Scarlet Letter,The Scarlet Letter,0
bx_60463_half_1661,Walter Dean Myers,Walter Dean Myers,,,bx_60463,half_1661,9780064470667,9780064470667,-1,224,1990,"Apr. 25th, 1990",HarperTrophy,HarperTrophy,Scorpions,Scorpions,1
bx_55919_half_2376,Clemence McLaren,Clemence McLaren,,,bx_55919,half_2376,9780689318207,9780689873973,-1,199,1996,"Aug. 31st, 2004",Atheneum,Simon Pulse,Inside the Walls of Troy,Inside the Walls of Troy,0
bx_20550_half_2703,JUDY BLUME,Judy Blume,,,bx_20550,half_2703,9780440486596,9780385739849,-1,179,1986,"Apr. 13th, 2010",Yearling,Delacorte Press Books for Young Readers,"Then Again, Maybe I Won't","Then Again, Maybe I Won't",0
bx_28301_half_964,Herge,Herge,,Paperback,bx_28301,half_964,9780316358392,9780316358392,-1,62,1975,"Apr. 30th, 1975","Little, Brown","Little, Brown Books for Young Readers",Tintin in Tibet,The Adventures of Tintin,1
bx_29724_half_1508,Roald Dahl,Roald Dahl,,,bx_29724,half_1508,9780141302713,9780141310343,-1,224,2000,"Jan. 14th, 2002",Puffin Books,Puffin Books,The Umbrella Man and Other Stories,Skin and Other Stories,0
bx_227085_half_1660,Janet Benge,Janet Benge,,,bx_227085,half_1660,9781576581360,9781576581360,-1,208,1998,"Sep. 1st, 1998",YWAM Publishing,YWAM Publishing,Corrie Ten Boom: Keeper of the Angels Den,Corrie Ten Boom,1
bx_108455_half_413,Judy Blume,Judy Blume,,,bx_108455,half_413,9780425193792,9780425193792,-1,144,2004,"Jan. 6th, 2004",Berkley Publishing Group,Berkley,Tales of a Fourth Grade Nothing,Tales of a Fourth Grade Nothing,1
bx_6316_half_774,Joan Aiken,Joan Aiken,,Paperback,bx_6316,half_774,9780440496038,9780440496038,-1,181,1987,"Oct. 1st, 1987",Yearling Books,Yearling Books,Wolves of Willoughby Chase,The Wolves of Willoughby Chase,1
bx_58157_half_2136,Frances Hodgson Burnett,Frances Hodgson Burnett,,,bx_58157,half_2136,9780142437056,9780143106456,-1,258,2002,"Oct. 25th, 2011",Penguin Books,Penguin Books,The Secret Garden,The Secret Garden,0
bx_124607_half_1804,T. A Barron,T. A. Barron,,,bx_124607,half_1804,9780441009305,9780441009305,-1,304,2002,"Apr. 30th, 2002",Ace Books,Ace Books,The Lost Years of Merlin,The Lost Years of Merlin,1
bx_82266_half_375,JOYCE MCDONALD,Joyce McDonald,,,bx_82266,half_375,9780440226727,9780440226727,-1,256,1999,"Jul. 13th, 1999",Laurel Leaf,Laurel Leaf Library,Swallowing Stones,Swallowing Stones,1
bx_185562_half_466,Ray Bradbury,Ray Bradbury,,,bx_185562,half_466,9780394824093,9780375803017,-1,160,1988,"Sep. 7th, 1999",Alfred A. Knopf,Random House (NY),The Halloween Tree,The Halloween Tree,0
bx_22430_half_362,Robert Cormier,Robert Cormier,,,bx_22430,half_362,9780394828053,9780440944591,-1,272,1986,"Aug. 1st, 1986",Alfred A. Knopf,Laurel Leaf Library,The Chocolate War,The Chocolate War,0
bx_190172_half_1270,TAMORA PIERCE,Tamora Pierce,Paperback,Paperback,bx_190172,half_1270,9780375814716,9780375814716,-1,431,2003,"Aug. 26th, 2003",Random House Books for Young Readers,Random House Books for Young Readers,Lady Knight,Lady Knight,1
bx_64037_half_1359,James Ramsey Ullman,James Ramsey Ullman,,,bx_64037,half_1359,9780812466096,9780064470483,-1,288,1988,"Apr. 15th, 1988",Perfection Learning Prebound,HarperTrophy,Banner in the Sky,Banner in the Sky,0
bx_60429_half_405,Avi,Avi,,,bx_60429,half_405,9780380728855,9780380714759,-1,278,2004,"Apr. 1st, 1992",HarperTrophy,HarperTrophy,The True Confessions of Charlotte Doyle,The True Confessions of Charlotte Doyle,0
bx_69907_half_2309,Jack Hamm,Jack Hamm,,,bx_69907,half_2309,9780399508035,9780399508035,-1,120,1982,"Nov. 1st, 1986",Perigee Books,Perigee Books,Cartooning the Head and Figure: By Jack Hamm,Cartooning the Head & Figure,1
bx_60429_half_330,Avi,Avi,,,bx_60429,half_330,9780380728855,9780545477116,-1,240,2004,"Sep. 1st, 2012",HarperTrophy,Scholastic Paperbacks,The True Confessions of Charlotte Doyle,The True Confessions of Charlotte Doyle,0
bx_250787_half_2296,Walter Dean Myers,Walter Dean Myers,,,bx_250787,half_2296,9780590543439,9780590543439,-1,192,2002,"Dec. 1st, 2001",Scholastic Signature,Scholastic Paperbacks,The Greatest: Muhammad Ali,The Greatest,1
bx_152963_half_210,Wendelin Van Draanen,Wendelin Van Draanen,,,bx_152963,half_210,9780375825446,9780375825446,-1,224,2003,"May. 13th, 2003",Alfred A. Knopf,Ember,Flipped,Flipped,1
bx_46633_half_2731,Tamora Pierce,Tamora Pierce,,Paperback,bx_46633,half_2731,9780590396059,9780590396059,-1,272,2001,"Apr. 1st, 2001",Point,Scholastic Paperbacks,Magic Steps,The Circle Opens #1: Magic Steps,1
bx_189679_half_768,Lois Lowry,Lois Lowry,,,bx_189679,half_768,9780618404414,9780385732536,-1,169,2004,"Aug. 22nd, 2006",Houghton Mifflin/Walter Lorraine Books,Delacorte Press Books for Young Readers,Messenger,Messenger,0
bx_13746_half_372,Isabel Allende,Isabel Allende,,,bx_13746,half_372,9780060510329,9780060510329,-1,401,2003,"Sep. 16th, 2003",Rayo,Rayo,LA Ciudad De Las Bestias,La Ciudad de las Bestias = The City of the Beasts,1
bx_1157_half_1495,Elizabeth Laird,Elizabeth Laird,,,bx_1157,half_1495,9780140368550,9780140368550,-1,288,1994,"Apr. 1st, 1994",Puffin Books,Puffin Books,Kiss the Dust,Kiss the Dust,1
bx_119965_half_2952,Francesca Lia Block,Christina Angarola,,,bx_119965,half_2952,9780763610340,9780763610340,-1,160,2001,"Feb. 1st, 2001",Candlewick Press (MA),Candlewick Press (MA),When I Was Your Age: Original Stories About Growing Up,"When I Was Your Age, Volume One",1
bx_82939_half_249,M.T. Anderson,M. T. Anderson,,,bx_82939,half_249,9780763622596,9780763622596,-1,299,2004,"Mar. 1st, 2004",Candlewick Press (MA),Candlewick Press (MA),Feed,Feed,1
bx_40110_half_267,Homer,Homer,,Paperback,bx_40110,half_267,9780140383096,9780140383096,-1,112,1997,"Dec. 1st, 1997",Puffin Books,Puffin Books,The Odyssey,The Odyssey,1
bx_16289_half_2395,Laura Malone Elliott,Laura Malone Elliott,,,bx_16289,half_2395,9780786807550,9780786817535,-1,288,2001,"Apr. 28th, 2003",Hyperion Books for Children,Hyperion Books for Children,Under a War-Torn Sky,Under a War-Torn Sky,0
bx_9270_half_720,Michael Ende,Michael Ende,,,bx_9270,half_720,9780140386332,9780140386332,-1,448,1996,"Jan. 1st, 1993",Puffin Books,Puffin Books,The Neverending Story,The Neverending Story,1
bx_17128_half_1322,Hans Peter Richter,Hans Peter Richter,,,bx_17128,half_1322,9780140322057,9780140322057,-1,149,1987,"May. 1st, 1987",Penguin Putnam Books for Young Readers,Penguin Putnam Books for Young Readers,Friedrich,Friedrich,1
bx_177877_half_1989,Terri Farley,Terri Farley,,,bx_177877,half_1989,9780060537265,9780060537265,-1,224,2003,,Avon,HarperCollins,Phantom Stallion #8: Golden Ghost,Phantom Stallion #8,1
bx_31151_half_2388,Terri Farley,Terri Farley,,,bx_31151,half_2388,9780064410892,9780064410892,-1,224,2003,,Avon,Avon Books,Free Again,Free Again,1
bx_37367_half_1918,Pat McKissack,Patricia C. McKissack,,,bx_37367,half_1918,9780590446914,9780590446914,-1,186,1994,"Jan. 1st, 1994",Scholastic,Scholastic,Sojourner Truth: Ain't I A Woman?,Sojourner Truth,1
bx_56906_half_268,Wilson Rawls,Wilson Rawls,,,bx_56906,half_268,9780440415800,9780440415800,-1,288,1999,"Dec. 29th, 1998",Yearling Books,Yearling Books,Summer of the Monkeys,Summer of the Monkeys,1
bx_10635_half_3096,Jules Verne,Jules Verne,,Paperback,bx_10635,half_3096,9780140351149,9780140367119,-1,297,1990,"Oct. 1st, 1995",Penguin USA,Puffin Books,Around the World in Eighty Days,Around the World in Eighty Days,0
bx_90682_half_2717,Elizabeth Cunningham,Elizabeth Alder,,,bx_90682,half_2717,9780882681573,9780440220114,-1,272,1993,"Jul. 7th, 1997",Station Hill Press,Laurel Leaf Library,The Return of the Goddess: A Divine Comedy,The King's Shadow,0
bx_6808_half_1739,Alice Hoffman,Alice Hoffman,,,bx_6808,half_1739,9780439443852,9780439443852,-1,116,2004,"Jun. 30th, 2004",Scholastic Paperbacks,Scholastic Paperbacks,Green Angel,Green Angel,1
bx_21364_half_1248,Victor Martinez,Victor Martinez,,,bx_21364,half_1248,9780064471862,9780064471862,-1,224,1998,"Feb. 13th, 1998",Rayo,HarperTrophy,Parrot in the Oven : mi vida,Parrot in the Oven,1
bx_91284_half_340,Eva Ibbotson,Eva Ibbotson,,,bx_91284,half_340,9780142500873,9780142501849,-1,298,2003,"Oct. 13th, 2003",Puffin Books,Puffin Books,The Great Ghost Rescue,Journey to the River Sea,0
bx_5432_half_94,J. K. Rowling,J. K. Rowling,,Paperback,bx_5432,half_94,9780439064866,9780439064873,-1,341,1999,"Sep. 1st, 2000",Scholastic,Scholastic,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,0
bx_173288_half_403,Sharon G. Flake,Sharon G. Flake,,,bx_173288,half_403,9780786815036,9781423103868,-1,188,2003,"Aug. 1st, 2007",Jump Sun,Jump at the Sun,Money Hungry,Money Hungry,0
bx_17608_half_991,Katherine Paterson,Katherine Paterson,,,bx_17608,half_991,9780140349818,9780140349818,-1,182,1994,"Oct. 1st, 1992",Puffin Books,Puffin Books,Lyddie,Lyddie,1
bx_178853_half_1944,Robert Steele Gray,Robert Graves,,,bx_178853,half_1944,9780312967093,9780440932215,-1,160,2000,"Oct. 15th, 1965",St. Martin's Press,Laurel Leaf Library,Survivor,Greek Gods and Heroes,0
bx_6330_half_111,J. K. Rowling,J. K. Rowling,,Paperback,bx_6330,half_111,9780439136365,9780439136365,-1,435,2001,"Oct. 1st, 2001",Scholastic,Scholastic,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,1
bx_256196_half_2583,Ann Morris,Paula Morris,,,bx_256196,half_2583,9780448416076,9780545042147,-1,309,1997,"Aug. 1st, 2010",Grosset  Dunlap,Point,Little Ballerinas,Ruined,0
bx_28300_half_1694,Herge,Herge,,Paperback,bx_28300,half_1694,9780316358316,9780316358316,-1,62,1974,"Jun. 30th, 1974","Little, Brown","Little, Brown Books for Young Readers",King Ottokar's Sceptre,The Adventures of Tintin,1
bx_5898_half_176,Wilson Rawls,Wilson Rawls,,,bx_5898,half_176,9780553274295,9780553274295,-1,256,1984,"Mar. 12th, 1997",Random House Children's Books,Laurel Leaf Library,Where the Red Fern Grows,Where the Red Fern Grows,1
bx_198226_half_2002,Cherie Bennett,Cherie Bennett,,,bx_198226,half_2002,9780316174688,9780316174688,-1,192,2002,"Dec. 1st, 2002","Little, Brown","Little, Brown Books for Young Readers",Flight,Flight,1
bx_46388_half_854,Roger Lancelyn Green,Roger Lancelyn Green,,Paperback,bx_46388,half_854,9780140367454,9780141341965,-1,207,1995,"May. 10th, 2012",Puffin Books,Puffin Books,A Tale of Troy,The Tale of Troy,0
bx_8799_half_74,LOIS LOWRY,Lois Lowry,,,bx_8799,half_74,9780553571332,9780385732550,-1,179,1999,"Jan. 24th, 2006",Bantam Books for Young Readers,Delacorte Press Books for Young Readers,The Giver,The Giver,0
bx_22443_half_516,Robert Newton Peck,Robert Newton Peck,,,bx_22443,half_516,9780679853060,9780679853060,-1,160,1994,"Sep. 20th, 1994",Random House Children's Books,Random House Children's Books,A Day No Pigs Would Die,A Day No Pigs Would Die,1
bx_124634_half_898,John Marsden,John Marsden,,,bx_124634,half_898,9783401025995,9780439829120,-1,267,2000,"Aug. 1st, 2006",Arena,Scholastic Paperbacks,Checkers. .,A Killing Frost,0
bx_17651_half_2634,Caroline B. Cooney,Caroline B. Cooney,,,bx_17651,half_2634,9780440226840,9780440226840,-1,150,1999,"Oct. 31st, 1999",Laurel-Leaf Books,Laurel Leaf Library,What Child Is This?: A Christmas Story,What Child is This?,1
bx_259970_half_1576,Robert Newton Peck,Robert Newton Peck,,,bx_259970,half_1576,9780394827001,9780679892618,-1,112,1974,"Nov. 17th, 1998",Alfred A. Knopf,Yearling Books,Soup,Soup,0
bx_83653_half_1434,Charles Dickens,Charles Dickens,,,bx_83653,half_1434,9780194226820,9780756633295,-1,512,1992,"Feb. 28th, 2008",Oxford University Press,DK Publishing (Dorling Kindersley),Great Expectations,Great Expectations,0
bx_124948_half_1832,Gary Paulsen,Gary Paulsen,,,bx_124948,half_1832,9780440706946,9780152058395,-1,108,1991,"Nov. 1st, 2006",Yearling Books,Harcourt Paperbacks,The Boy Who Owned the School,The Rifle,0
bx_159237_half_1051,Harold Keith,Harold Keith,,,bx_159237,half_1051,9780694056132,9780064470308,-1,352,1987,"Sep. 25th, 1987",Harpercollins Juvenile Books,HarperTrophy,Rifles for Watie,Rifles for Watie,0
bx_145257_half_125,Sharon G. Flake,Sharon G. Flake,,,bx_145257,half_125,9780786813070,9781423103851,-1,171,2000,"Aug. 1st, 2007",Jump Sun,Jump at the Sun,The Skin I'm in,The Skin I'm In,0
bx_62370_half_1848,Jean Craighead George,Jean Craighead George,,,bx_62370,half_1848,9780064462013,9780064405737,-1,240,1997,"Jan. 18th, 1996",HarperTrophy,HarperTrophy,The Tarantula in My Purse : and 172 Other Wild Pets,Julie,0
bx_109721_half_436,Lynn Joseph,Lynn Joseph,,,bx_109721,half_436,9780064472043,9780064472043,-1,144,2001,"Dec. 24th, 2001",HarperTrophy,HarperTrophy,The Color of My Words,The Color of My Words,1
bx_41368_half_2708,Walter Dean Myers,Walter Dean Myers,,,bx_41368,half_2708,9780064473125,9780064473125,-1,208,2002,"May. 7th, 2002",Amistad,Amistad Press,Crystal,Crystal,1
bx_28294_half_1017,Herge,Herge,,Paperback,bx_28294,half_1017,9780316358378,9780316358408,-1,62,1975,"Sep. 30th, 1975","Little, Brown","Little, Brown Books for Young Readers",Flight 714,The Adventures of Tintin,0
bx_66519_half_1508,Roald Dahl,Roald Dahl,,,bx_66519,half_1508,9780141311517,9780141310343,-1,224,2001,"Jan. 14th, 2002",Puffin Books,Puffin Books,Skin and Other Stories,Skin and Other Stories,0
bx_662_half_1891,Gail Carson Levine,Gail Carson Levine,,,bx_662,half_1891,9780060558864,9780060558864,-1,288,2004,"Feb. 17th, 2004",Avon,Harper Teen,Ella Enchanted,Ella Enchanted,1
bx_118552_half_1534,John Christopher,John Christopher,,Paperback,bx_118552,half_1534,9780020427018,9780689856662,-1,224,1988,"Apr. 1st, 2003",Simon Pulse,Simon Pulse,The City of Gold and Lead,The City of Gold and Lead,0
bx_171104_half_1123,Judy Blume,Judy Blume,,,bx_171104,half_1123,9780027110401,9780440984696,-1,224,1982,"Jul. 31st, 1982",Atheneum/Richard Jackson Books,Laurel Leaf Library,Iggie's House,Tiger Eyes,0
bx_56796_half_835,Walter Dean Myers,Walter Dean Myers,,,bx_56796,half_835,9780140326130,9780140326130,-1,192,1988,"Apr. 1st, 1988",Puffin Books,Puffin Books,"Fast Sam, Cool Clyde, and Stuff","Fast Sam, Cool Clyde, and Stuff",1
bx_215429_half_943,Charles Portis,Charles Portis,,,bx_215429,half_943,9780451185457,9781468301250,-1,240,1995,"Oct. 30th, 2012",Signet Book,Overlook Press,True Grit,True Grit,0
bx_153920_half_129,J. K. Rowling,J. K. Rowling,,Paperback,bx_153920,half_129,9780807220283,9780439358071,-1,870,2003,"Sep. 1st, 2004",Random House Audio,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0
bx_151121_half_2244,Charles Dickens,Charles Dickens,,,bx_151121,half_2244,9780812504347,9780812504347,-1,116,2004,"Dec. 15th, 1990",Tor Classics,Tor Classics,A Christmas Carol,A Christmas Carol,1
bx_57719_half_1369,Sue Townsend,Sue Townsend,,,bx_57719,half_1369,9780060533991,9780060533991,-1,272,2003,"Aug. 14th, 2003",HarperTempest,Harper Teen,"The Secret Diary of Adrian Mole, Aged 13 3/4","The Secret Diary of Adrian Mole, Aged 13 3/4",1
bx_38866_half_1589,Cecily von Ziegesar,Cecily Von Ziegesar,,Paperback,bx_38866,half_1589,9780446613156,9780316910330,-1,208,2003,"Apr. 1st, 2002",Warner Books,Poppy Books,Gossip Girl,Gossip Girl,0
bx_74145_half_1170,Tamora Pierce,Tamora Pierce,Paperback,Paperback,bx_74145,half_1170,9780679801139,9780689878572,-1,384,1997,"Jan. 6th, 2005",Random House Children's Books,Simon Pulse,Lioness Rampant,Lioness Rampant,0
bx_77242_half_2996,Sterling North,Sterling North,,,bx_77242,half_2996,9780140344455,9780142402528,-1,192,1990,"Sep. 23rd, 2004",Puffin Books,Puffin Books,Rascal,Rascal,0
bx_187133_half_1824,Gennifer Choldenko,Gennifer Choldenko,,,bx_187133,half_1824,9780142500682,9780142500682,-1,216,2003,"Jun. 23rd, 2003",G. P. Putnam's Sons,G. P. Putnam's Sons,Notes from a Liar and Her Dog,Notes from a Liar and Her Dog,1
bx_74348_half_714,ROBB WHITE,Robb White,,,bx_74348,half_714,9780440917403,9780440917403,-1,224,1973,"Oct. 15th, 1973",Laure Leaf,Laurel Leaf Library,Deathwatch,Deathwatch,1
bx_270297_half_767,Jacqueline Woodson,Jacqueline Woodson,,,bx_270297,half_767,9780399231124,9780142415221,-1,181,1998,"Jan. 7th, 2010",Speak,Speak,If You Come Softly,If You Come Softly,0
bx_114324_half_113,Gary Paulsen,Gary Paulsen,,,bx_114324,half_113,9780440219361,9780440219361,-1,112,1995,"Jan. 1st, 1995",Laure Leaf,Laurel Leaf Library,Nightjohn,Nightjohn,1
bx_70474_half_1083,Lois Lenski,Lois Lenski,,,bx_70474,half_1083,9780064405850,9780064405850,-1,208,1995,"Mar. 31st, 1995",HarperTrophy,HarperTrophy,Strawberry Girl,Strawberry Girl,1
bx_54741_half_1519,ROBERT CORMIER,Robert Cormier,,,bx_54741,half_1519,9780440227694,9780440227694,-1,144,2000,"Feb. 8th, 2000",Laurel Leaf,Laurel Leaf Library,Heroes,Heroes,1
bx_141219_half_1025,GARY SOTO,Gary Soto,,,bx_141219,half_1025,9780440210245,9780440210245,-1,160,1991,"Aug. 1st, 1991",Laure Leaf,Laurel Leaf Library,A Summer Life,A Summer Life,1
bx_57908_half_2811,Scott O'Dell,Scott O'Dell,,,bx_57908,half_2811,9780440410010,9780440410010,-1,179,1995,"Jan. 31st, 1995",Yearling Books,Yearling Books,Zia,Zia,1
bx_51113_half_2136,Frances Hodgson Burnett,Frances Hodgson Burnett,,,bx_51113,half_2136,9780140621532,9780143106456,-1,258,1995,"Oct. 25th, 2011",Penguin Books Ltd,Penguin Books,The Secret Garden,The Secret Garden,0
bx_183674_half_2262,Lois Duncan,Lois Duncan,,,bx_183674,half_2262,9780316195553,9780316099028,-1,272,1985,"Oct. 3rd, 2011",Little Brown  Co,"Little, Brown Books for Young Readers",Locked in Time,Locked in Time,0
bx_54067_half_2107,Mark Twain,Mark Twain,,Paperback,bx_54067,half_2107,9780451526533,9780140367492,-1,288,1997,"Feb. 1st, 1996",Signet Book,Puffin Books,Adventures of Tom Sawyer,The Prince and the Pauper,0
bx_25291_half_35,Rodman Philbrick,Rodman Philbrick,,,bx_25291,half_35,9780439286060,9780439286060,-1,176,2001,"Jun. 1st, 2001",Scholastic Signature,Scholastic Paperbacks,Freak the Mighty,Freak the Mighty,1
bx_218312_half_2098,Lee J. Ames,Lee J. Ames,,,bx_218312,half_2098,9780385176422,9780385176422,-1,64,1984,"Apr. 2nd, 1986",Broadway Books,Broadway Books,Draw 50 Horses,Draw 50 Horses,1
bx_156025_half_1824,Gennifer Choldenko,Gennifer Choldenko,,,bx_156025,half_1824,9780399235917,9780142500682,-1,216,2001,"Jun. 23rd, 2003",G. P. Putnam's Sons,G. P. Putnam's Sons,Notes from a Liar and Her Dog,Notes from a Liar and Her Dog,0
bx_58175_half_270,Katherine Paterson,Katherine Paterson,,,bx_58175,half_270,9780064402019,9780064402019,-1,148,2004,"Jun. 17th, 1987",HarperTrophy,HarperTrophy,The Great Gilly Hopkins,The Great Gilly Hopkins,1
bx_60334_half_32,Scott O'Dell,Scott O'Dell,,,bx_60334,half_32,9780440227182,9780440439882,-1,192,1978,"Feb. 28th, 1987",Random House Childrens Pub,Yearling Books,Island of the Blue Dolphins,Island of the Blue Dolphins,0
bx_73834_half_3001,Roald Dahl,Roald Dahl,,,bx_73834,half_3001,9780140035742,9780143106340,-1,142,1989,"Aug. 30th, 2011",Penguin Books,Penguin Books,Over to You: Ten Stories of Flyers and Flying,James and the Giant Peach,0
bx_13111_half_386,Ursula K. Le Guin,Ursula K. Le Guin,,,bx_13111,half_386,9780140306323,9780547773742,-1,320,1974,"Sep. 11th, 2012",Puffin Books,Graphia Books,The tombs of Atuan,A Wizard of Earthsea,0
bx_25713_half_141,J. K. Rowling,J. K. Rowling,,Paperback,bx_25713,half_141,9788478886463,9780545139700,-1,759,2001,"Jul. 7th, 2009",Lectorum Publications,Arthur A. Levine Books,Harry Potter y el cÃ¡liz de fuego,Harry Potter and the Deathly Hallows,0
bx_255655_half_182,Jean Craighead George,Jean Craighead George,,,bx_255655,half_182,9780142401118,9780141312422,-1,192,2004,"May. 21st, 2001",Puffin Books,Puffin Books,My Side of the Mountain,My Side of the Mountain,0
bx_22877_half_1261,Jack London,Jack London,,,bx_22877,half_1261,9780812504323,9780812504323,-1,114,1990,"May. 15th, 1990",Aerie,Tor Classics,The Call of the Wild : Complete and Unabridged,The Call of the Wild,1
bx_3242_half_2556,Brian Jacques,Brian Jacques,,,bx_3242,half_2556,9780441005765,9780441005765,-1,373,1998,"Nov. 1st, 1998",Ace Books,Ace Books,Mossflower,Mossflower,1
bx_222529_half_2734,Mary E. Pearson,Mary E. Pearson,,,bx_222529,half_2734,9780152045692,9780152045692,-1,240,2002,"Oct. 1st, 2002",Harcourt Paperbacks,Graphia Books,Scribbler of Dreams,Scribbler of Dreams,1
bx_166919_half_194,James Lincoln Collier,James Lincoln Collier,,,bx_166919,half_194,9780590336949,9780590427920,-1,224,1985,"May. 1st, 1985",Scholastic Paperbacks (T),Scholastic Paperbacks,My Brother Sam Is Dead,My Brother Sam Is Dead,0
bx_203348_half_245,John W. Traphagan,John Flanagan,,,bx_203348,half_245,9780791445006,9780142421949,-1,464,2000,"Sep. 4th, 2012",State University of New York Press,Puffin Books,Taming Oblivion: Aging Bodies and the Fear of Senility in Japan,The Outcasts,0
